date,open,close,low,high,volume
2010-01-04,112.37,113.33,111.51,113.39,118944600
2010-01-05,113.26,113.63,112.85,113.68,111579900
2010-01-06,113.52,113.71,113.43,113.99,116074400
2010-01-07,113.5,114.19,113.18,114.33,131091100
2010-01-08,113.89,114.57,113.66,114.62,126402800
2010-01-11,115.08,114.73,114.24,115.13,106375700
2010-01-12,113.97,113.66,113.22,114.21,163333500
2010-01-13,113.95,114.62,113.37,114.94,161822000
2010-01-14,114.49,114.93,114.42,115.14,115718800
2010-01-15,114.73,113.64,113.2,114.84,212283100
2010-01-19,113.62,115.06,113.59,115.13,139172700
2010-01-20,114.28,113.89,112.98,114.45,216490200
2010-01-21,113.92,111.7,111.56,114.27,344859600
2010-01-22,111.2,109.21,109.09,111.74,345942400
2010-01-25,110.21,109.77,109.41,110.41,186937500
2010-01-26,109.34,109.31,109.04,110.47,211168800
2010-01-27,109.17,109.83,108.33,110.08,271863600
2010-01-28,110.19,108.57,107.91,110.25,316104000
2010-01-29,109.04,107.39,107.22,109.8,310677600
2010-02-01,108.15,109.06,107.5,109.07,187865000
2010-02-02,109.26,110.38,108.88,110.59,216327900
2010-02-03,109.88,109.83,109.51,110.48,172730700
2010-02-04,108.98,106.44,106.42,109.03,356715700
2010-02-05,106.56,106.66,104.58,106.88,493585800
2010-02-08,106.74,105.89,105.81,107.33,224166900
2010-02-09,107.13,107.22,106.27,108.15,337820500
2010-02-10,107.05,107.01,106.11,107.6,240511500
2010-02-11,106.87,108.13,106.25,108.25,223591600
2010-02-12,106.99,108.04,106.51,108.1,304622100
2010-02-16,108.86,109.74,107.82,109.85,159317500
2010-02-17,110.27,110.26,109.74,110.41,168845100
2010-02-18,110.08,110.91,110.04,111.14,193708600
2010-02-19,110.62,111.14,110.36,111.57,222684900
2010-02-22,111.55,111.16,110.83,111.58,132346900
2010-02-23,110.86,109.81,109.52,111.2,207497000
2010-02-24,110.14,110.82,109.86,111.0,176350700
2010-02-25,109.24,110.67,108.94,110.75,259634700
2010-02-26,110.77,110.74,110.11,111.12,173589300
2010-03-01,111.2,111.89,111.17,112.0,147709700
2010-03-02,112.37,112.2,112.0,112.74,160992400
2010-03-03,112.49,112.3,112.02,112.97,150785000
2010-03-04,112.45,112.64,112.03,112.8,135770400
2010-03-05,113.37,114.25,113.1,114.34,176118800
2010-03-08,114.26,114.27,114.07,114.52,114631200
2010-03-09,113.93,114.46,113.87,114.99,154556700
2010-03-10,114.51,114.97,114.41,115.28,186088800
2010-03-11,114.7,115.45,114.35,115.48,160791100
2010-03-12,115.95,115.46,115.14,115.97,162074800
2010-03-15,115.26,115.49,114.6,115.57,146816800
2010-03-16,115.81,116.41,115.49,116.52,168673000
2010-03-17,116.76,117.1,116.42,117.48,177468100
2010-03-18,117.11,117.04,116.57,117.27,196509100
2010-03-19,115.97,115.97,115.52,117.29,226641100
2010-03-22,115.31,116.59,115.24,116.8,184477800
2010-03-23,116.76,117.41,116.38,117.51,182941600
2010-03-24,116.97,116.84,115.58,117.43,196072600
2010-03-25,117.63,116.65,116.51,118.17,223396300
2010-03-26,116.87,116.58,116.12,117.42,205808500
2010-03-29,117.17,117.32,116.69,117.53,134513500
2010-03-30,117.46,117.4,116.91,117.83,145772500
2010-03-31,116.95,117.0,116.61,117.52,161078700
2010-04-01,117.8,117.8,117.1,118.25,161215200
2010-04-05,118.25,118.76,117.92,118.84,105847600
2010-04-06,118.42,119.04,118.29,119.25,110384200
2010-04-07,118.8,118.36,117.81,119.36,184576300
2010-04-08,117.95,118.77,117.6,118.97,158704000
2010-04-09,119.02,119.55,118.8,119.6,133006500
2010-04-12,119.7,119.74,119.56,120.05,110279000
2010-04-13,119.62,119.83,119.0,120.04,125043600
2010-04-14,120.27,121.19,120.08,121.19,161609000
2010-04-15,120.99,121.29,120.95,121.57,144615300
2010-04-16,120.86,119.36,118.75,121.29,366786700
2010-04-19,119.01,119.81,118.47,119.93,217947800
2010-04-20,120.56,120.88,119.87,120.98,157708000
2010-04-21,120.95,120.66,119.99,121.23,192910100
2010-04-22,119.81,121.02,119.12,121.17,115360300
2010-04-23,120.94,121.81,120.63,121.86,177335500
2010-04-26,121.85,121.35,121.23,122.12,143457300
2010-04-27,120.65,118.48,118.25,121.34,355853300
2010-04-28,119.05,119.38,118.27,119.68,300674100
2010-04-29,120.1,120.86,120.07,121.11,193775000
2010-04-30,120.88,118.81,118.78,121.01,270000900
2010-05-03,119.38,120.35,119.2,120.68,182747900
2010-05-04,119.01,117.52,116.92,119.03,360353400
2010-05-05,116.56,116.82,115.97,117.8,328973200
2010-05-06,116.26,112.94,105.0,117.0,647356600
2010-05-07,112.64,111.26,109.41,113.77,637558800
2010-05-10,115.81,116.16,114.91,116.65,396159600
2010-05-11,115.07,115.83,114.91,117.36,317849800
2010-05-12,116.29,117.45,116.09,117.62,235607100
2010-05-13,117.13,115.99,115.89,117.68,234452500
2010-05-14,115.12,113.89,112.87,115.33,345601400
2010-05-17,114.2,113.95,111.77,114.52,325739800
2010-05-18,114.88,112.4,112.03,115.22,360556800
2010-05-19,111.77,111.76,110.36,112.77,394742700
2010-05-20,109.38,107.54,107.47,109.89,530418300
2010-05-21,105.91,109.11,105.36,109.38,500909400
2010-05-24,108.52,107.71,107.61,109.39,269823000
2010-05-25,105.11,107.82,104.38,107.87,396505200
2010-05-26,108.48,107.17,106.85,109.47,349719300
2010-05-27,109.19,110.76,108.78,110.8,300870500
2010-05-28,110.64,109.37,108.85,110.72,297933500
2010-06-01,108.35,107.53,107.37,109.95,277909400
2010-06-02,108.08,110.33,107.51,110.34,240243700
2010-06-03,110.65,110.71,109.58,111.06,226618300
2010-06-04,108.61,106.82,106.46,109.33,398475600
2010-06-07,107.2,105.49,105.41,107.61,264609100
2010-06-08,105.57,106.62,104.65,106.83,357774300
2010-06-09,107.24,106.05,105.6,108.28,268023300
2010-06-10,107.86,109.15,106.04,109.28,317890600
2010-06-11,108.19,109.68,108.12,109.75,214128200
2010-06-14,110.52,109.51,109.4,111.12,207196100
2010-06-15,110.28,112.0,110.09,112.1,238268700
2010-06-16,111.42,111.96,111.2,112.42,216374000
2010-06-17,112.28,112.14,111.05,112.33,263185800
2010-06-18,111.83,111.73,111.37,112.13,174006600
2010-06-21,113.12,111.41,110.79,113.2,213140700
2010-06-22,111.41,109.57,109.41,111.9,239355400
2010-06-23,109.64,109.23,108.48,110.03,254639900
2010-06-24,108.69,107.42,107.14,108.83,268523600
2010-06-25,107.74,107.87,106.77,108.42,238726500
2010-06-28,108.03,107.53,107.14,108.32,169218600
2010-06-29,106.02,104.21,103.55,107.51,373649500
2010-06-30,103.92,103.22,102.88,104.88,284101700
2010-07-01,103.15,102.76,101.13,103.49,382924800
2010-07-02,103.11,102.2,101.62,103.42,233385200
2010-07-06,103.64,102.87,101.88,104.37,256935300
2010-07-07,103.13,106.11,103.02,106.24,253769400
2010-07-08,107.0,107.16,105.91,107.28,210842100
2010-07-09,107.13,107.96,106.93,107.97,144999900
2010-07-12,107.6,108.03,107.15,108.24,131283600
2010-07-13,109.15,109.66,108.93,110.09,213025900
2010-07-14,109.31,109.65,108.86,110.08,184426800
2010-07-15,109.61,109.68,108.17,110.06,232337900
2010-07-16,109.09,106.66,106.45,109.21,282693400
2010-07-19,107.05,107.29,106.22,107.63,186709000
2010-07-20,105.87,108.48,105.82,108.56,258162400
2010-07-21,109.04,107.07,106.63,109.07,264527000
2010-07-22,108.34,109.46,108.33,109.94,274781300
2010-07-23,109.24,110.41,108.93,110.57,222020800
2010-07-26,110.6,111.56,110.29,111.67,184445700
2010-07-27,112.17,111.55,111.11,112.29,204855600
2010-07-28,111.32,110.83,110.46,111.66,163056200
2010-07-29,111.52,110.29,109.41,111.82,220149100
2010-07-30,109.17,110.27,108.98,110.86,220070600
2010-08-02,111.99,112.76,111.54,112.94,188263200
2010-08-03,112.48,112.22,111.85,112.77,146657300
2010-08-04,112.53,112.97,112.16,113.11,158171700
2010-08-05,112.25,112.85,112.08,112.91,140473800
2010-08-06,111.74,112.39,110.92,112.57,239728300
2010-08-09,112.92,112.99,112.32,113.18,120800400
2010-08-10,112.03,112.38,111.37,112.98,242916300
2010-08-11,110.65,109.3,109.12,110.69,273406900
2010-08-12,107.65,108.63,107.6,109.02,239542600
2010-08-13,108.29,108.31,108.18,108.96,158698500
2010-08-16,107.57,108.26,107.18,108.61,147895300
2010-08-17,109.19,109.59,108.88,110.39,172270300
2010-08-18,109.54,109.79,108.91,110.38,182922100
2010-08-19,109.22,107.88,107.43,109.49,265847600
2010-08-20,107.56,107.53,106.75,107.94,209714200
2010-08-23,108.04,107.12,107.07,108.57,163490300
2010-08-24,105.95,105.53,104.97,106.39,280677800
2010-08-25,104.95,105.94,104.29,106.34,272234800
2010-08-26,106.44,105.23,104.88,106.58,224439500
2010-08-27,105.89,106.86,104.31,106.97,272649000
2010-08-30,106.58,105.31,105.3,106.91,167238600
2010-08-31,104.92,105.31,104.49,105.98,273933100
2010-09-01,106.73,108.46,106.66,108.61,256828100
2010-09-02,108.72,109.47,108.49,109.49,156112200
2010-09-03,110.54,110.89,109.95,110.99,212197300
2010-09-07,110.37,109.64,109.55,110.51,141973700
2010-09-08,109.86,110.41,109.81,110.85,149924400
2010-09-09,111.65,110.92,110.62,111.68,147017900
2010-09-10,111.12,111.48,110.87,111.61,127819000
2010-09-13,112.58,112.72,112.13,112.95,178503500
2010-09-14,112.5,112.65,112.08,113.29,209823600
2010-09-15,112.32,113.08,111.98,113.21,168608400
2010-09-16,112.73,113.05,112.35,113.12,199962900
2010-09-17,113.04,112.49,112.18,113.15,195836900
2010-09-20,112.88,114.21,112.52,114.46,214555200
2010-09-21,114.3,113.98,113.51,114.84,268389100
2010-09-22,113.8,113.42,113.1,114.44,191322400
2010-09-23,112.49,112.5,112.18,113.67,202354300
2010-09-24,113.75,114.82,113.65,114.9,209671800
2010-09-27,114.86,114.27,114.16,114.99,128761800
2010-09-28,114.42,114.67,113.18,115.04,209207500
2010-09-29,114.38,114.47,114.02,114.91,179665800
2010-09-30,115.05,114.13,113.59,115.79,287106700
2010-10-01,114.99,114.61,113.93,115.12,174638700
2010-10-04,114.37,113.75,113.18,114.85,166153200
2010-10-05,114.8,116.04,114.67,116.32,229634100
2010-10-06,116.02,116.03,115.56,116.33,148626600
2010-10-07,116.5,115.89,115.19,116.53,164860000
2010-10-08,116.05,116.54,115.61,116.86,177760100
2010-10-11,116.72,116.65,116.25,116.97,103098300
2010-10-12,116.27,117.01,115.65,117.35,182210000
2010-10-13,117.66,117.92,117.38,118.55,194347200
2010-10-14,117.81,117.46,116.72,118.01,217764300
2010-10-15,118.28,117.7,116.76,118.35,243705000
2010-10-18,117.74,118.28,117.31,118.67,141204800
2010-10-19,117.19,116.73,116.02,117.85,280604700
2010-10-20,116.94,117.87,116.87,118.44,200051800
2010-10-21,118.4,118.13,117.21,119.09,221585500
2010-10-22,118.31,118.35,118.0,118.53,108212400
2010-10-25,119.14,118.7,118.61,119.76,151145700
2010-10-26,118.1,118.72,117.87,118.84,158982900
2010-10-27,117.89,118.38,117.26,118.51,190024000
2010-10-28,119.06,118.4,117.83,119.11,168576000
2010-10-29,118.28,118.49,118.07,118.72,144305500
2010-11-01,119.07,118.53,117.85,119.75,174074800
2010-11-02,119.42,119.47,119.1,119.75,158345900
2010-11-03,119.68,119.95,118.45,120.02,226702800
2010-11-04,121.28,122.26,119.97,122.32,215039400
2010-11-05,122.34,122.72,122.18,122.92,180654100
2010-11-08,122.34,122.49,121.94,122.69,156107100
2010-11-09,122.82,121.61,121.12,122.95,186621600
2010-11-10,121.58,122.1,120.66,122.16,221387400
2010-11-11,121.05,121.64,120.68,121.82,158017600
2010-11-12,120.82,120.2,119.65,121.35,239068800
2010-11-15,120.58,120.03,119.98,121.05,163940800
2010-11-16,119.29,118.16,117.59,119.49,299566200
2010-11-17,118.21,118.22,117.86,118.71,172308900
2010-11-18,119.36,119.96,119.35,120.39,197723700
2010-11-19,119.9,120.29,119.25,120.34,156852900
2010-11-22,119.69,120.19,118.77,120.24,181361000
2010-11-23,118.77,118.45,117.99,119.02,222309000
2010-11-24,119.2,120.2,119.18,120.23,140046100
2010-11-26,119.16,118.8,118.8,119.81,76007800
2010-11-29,118.5,119.16,117.74,119.48,223642300
2010-11-30,117.98,118.49,117.81,119.17,233930700
2010-12-01,120.2,121.01,120.19,121.24,221037200
2010-12-02,121.2,122.56,121.13,122.65,191213600
2010-12-03,122.14,122.89,122.11,123.03,151288900
2010-12-06,122.63,122.76,122.5,123.04,103050500
2010-12-07,123.94,122.83,122.76,124.01,206581000
2010-12-08,122.98,123.28,122.41,123.38,138019200
2010-12-09,123.97,123.76,123.15,124.02,123705100
2010-12-10,124.14,124.48,123.73,124.6,117571700
2010-12-13,125.05,124.56,124.52,125.2,133812700
2010-12-14,124.75,124.67,124.29,125.23,147249600
2010-12-15,124.44,124.1,123.89,124.93,160823100
2010-12-16,124.18,124.82,123.75,124.91,185035200
2010-12-17,124.08,124.3,123.82,124.46,141075300
2010-12-20,124.64,124.6,123.98,124.9,119085500
2010-12-21,124.99,125.39,124.87,125.47,94965500
2010-12-22,125.48,125.78,125.41,125.82,78878100
2010-12-23,125.64,125.6,125.29,125.78,70053700
2010-12-27,125.13,125.65,125.04,125.77,58126000
2010-12-28,125.9,125.83,125.5,125.95,55309100
2010-12-29,125.98,125.92,125.9,126.2,58033100
2010-12-30,125.8,125.72,125.53,126.13,76616900
2010-12-31,125.53,125.75,125.33,125.87,91218900
2011-01-03,126.71,127.05,125.7,127.6,138725200
2011-01-04,127.33,126.98,126.19,127.37,137409700
2011-01-05,126.58,127.64,126.46,127.72,133975300
2011-01-06,127.69,127.39,127.01,127.83,122519000
2011-01-07,127.56,127.14,126.15,127.77,156034600
2011-01-10,126.58,126.98,126.2,127.16,122401700
2011-01-11,127.44,127.43,126.95,127.74,110287000
2011-01-12,128.21,128.58,127.46,128.72,107929200
2011-01-13,128.63,128.37,128.05,128.69,129048400
2011-01-14,128.19,129.3,128.1,129.33,117677900
2011-01-18,129.18,129.52,129.03,129.64,114401300
2011-01-19,129.41,128.25,127.91,129.54,151958400
2011-01-20,127.96,128.08,127.13,128.4,175745700
2011-01-21,128.88,128.37,128.23,129.17,151462900
2011-01-24,128.29,129.1,128.26,129.25,113715500
2011-01-25,128.76,129.17,128.11,129.28,167552200
2011-01-26,129.49,129.67,129.23,130.05,141281500
2011-01-27,129.7,129.99,129.47,130.21,123302700
2011-01-28,130.14,127.72,127.51,130.35,295637300
2011-01-31,128.07,128.68,127.75,128.78,149249200
2011-02-01,129.46,130.74,129.38,130.97,167194300
2011-02-02,130.4,130.49,130.33,130.84,118323600
