date,value
2015-03-31,23305.0
2015-04-01,20640.0
2015-04-02,23522.0
2015-04-06,24449.0
2015-04-07,21489.0
2015-04-08,24836.0
2015-04-09,23032.0
2015-04-10,23141.0
2015-04-13,21297.0
2015-04-14,22794.0
2015-04-15,20778.0
2015-04-16,18632.0
2015-04-17,21728.0
2015-04-20,24260.0
2015-04-21,19323.0
2015-04-22,21441.0
2015-04-23,18109.0
2015-04-24,23573.0
2015-04-27,22092.0
2015-04-28,23004.0
2015-04-29,19650.0
2015-04-30,23786.0
2015-05-01,23813.0
2015-05-04,21694.0
2015-05-05,21703.0
2015-05-06,19645.0
2015-05-07,21693.0
2015-05-08,20743.0
2015-05-11,22241.0
2015-05-12,23307.0
2015-05-13,23233.0
2015-05-14,19557.0
2015-05-15,18662.0
2015-05-18,19789.0
2015-05-19,20930.0
2015-05-20,16647.0
2015-05-21,18221.0
2015-05-22,20096.0
2015-05-26,16952.0
2015-05-27,17227.0
2015-05-28,20724.0
2015-05-29,20868.0
2015-06-01,20913.0
2015-06-02,22661.0
2015-06-03,22434.0
2015-06-04,19683.0
2015-06-05,21409.0
2015-06-08,19427.0
2015-06-09,19880.0
2015-06-10,23563.0
2015-06-11,19039.0
2015-06-12,22265.0
2015-06-15,18819.0
2015-06-16,20733.0
2015-06-17,19837.0
2015-06-18,21126.0
2015-06-19,22302.0
2015-06-22,18513.0
2015-06-23,20023.0
2015-06-24,20880.0
2015-06-25,19046.0
2015-06-26,20709.0
2015-06-29,18051.0
2015-06-30,20279.0
2015-07-01,18871.0
2015-07-02,16229.0
2015-07-06,20154.0
2015-07-07,19419.0
2015-07-08,18223.0
2015-07-09,17505.0
2015-07-10,19292.0
2015-07-13,18230.0
2015-07-14,20393.0
2015-07-15,18592.0
2015-07-16,18651.0
2015-07-17,20342.0
2015-07-20,20748.0
2015-07-21,20331.0
2015-07-22,20273.0
2015-07-23,18490.0
2015-07-24,22109.0
2015-07-27,17982.0
2015-07-28,19754.0
2015-07-29,20018.0
2015-07-30,20262.0
2015-07-31,18278.0
2015-08-03,21714.0
2015-08-04,19795.0
2015-08-05,17639.0
2015-08-06,20389.0
2015-08-07,24004.0
2015-08-10,16799.0
2015-08-11,18317.0
2015-08-12,19711.0
2015-08-13,20524.0
2015-08-14,21062.0
2015-08-17,17390.0
2015-08-18,21280.0
2015-08-19,21494.0
2015-08-20,19213.0
2015-08-21,19746.0
2015-08-24,18717.0
2015-08-25,19766.0
2015-08-26,19968.0
2015-08-27,19128.0
2015-08-28,16829.0
2015-08-31,24289.0
2015-09-01,20939.0
2015-09-02,22507.0
2015-09-03,20985.0
