date,value
2015-03-31,45974.0
2015-04-01,46559.0
2015-04-02,48937.0
2015-04-06,46014.0
2015-04-07,46873.0
2015-04-08,57488.0
2015-04-09,39864.0
2015-04-10,41392.0
2015-04-13,50256.0
2015-04-14,46218.0
2015-04-15,52003.0
2015-04-16,52333.0
2015-04-17,46662.0
2015-04-20,40985.0
2015-04-21,52151.0
2015-04-22,44695.0
2015-04-23,48892.0
2015-04-24,58902.0
2015-04-27,55884.0
2015-04-28,48890.0
2015-04-29,37253.0
2015-04-30,51538.0
2015-05-01,61051.0
2015-05-04,48014.0
2015-05-05,54244.0
2015-05-06,50995.0
2015-05-07,48761.0
2015-05-08,51987.0
2015-05-11,48870.0
2015-05-12,53577.0
2015-05-13,50464.0
2015-05-14,53855.0
2015-05-15,53706.0
2015-05-18,59118.0
2015-05-19,47863.0
2015-05-20,46543.0
2015-05-21,45401.0
2015-05-22,44631.0
2015-05-26,58470.0
2015-05-27,56341.0
2015-05-28,56822.0
2015-05-29,47608.0
2015-06-01,41956.0
2015-06-02,50198.0
2015-06-03,52464.0
2015-06-04,52339.0
2015-06-05,56428.0
2015-06-08,47457.0
2015-06-09,55182.0
2015-06-10,49083.0
2015-06-11,53561.0
2015-06-12,50190.0
2015-06-15,54825.0
2015-06-16,50380.0
2015-06-17,50825.0
2015-06-18,63621.0
2015-06-19,62199.0
2015-06-22,54858.0
2015-06-23,56460.0
2015-06-24,62747.0
2015-06-25,58701.0
2015-06-26,52207.0
2015-06-29,56386.0
2015-06-30,56124.0
2015-07-01,49477.0
2015-07-02,49484.0
2015-07-06,55717.0
2015-07-07,54956.0
2015-07-08,49863.0
2015-07-09,57751.0
2015-07-10,50845.0
2015-07-13,58005.0
2015-07-14,48966.0
2015-07-15,56894.0
2015-07-16,49267.0
2015-07-17,49514.0
2015-07-20,63801.0
2015-07-21,69956.0
2015-07-22,63005.0
2015-07-23,57692.0
2015-07-24,59221.0
2015-07-27,63776.0
2015-07-28,61605.0
2015-07-29,59984.0
2015-07-30,50359.0
2015-07-31,51129.0
2015-08-03,60004.0
2015-08-04,52044.0
2015-08-05,51589.0
2015-08-06,62375.0
2015-08-07,71671.0
2015-08-10,62372.0
2015-08-11,59414.0
2015-08-12,54598.0
2015-08-13,61215.0
2015-08-14,61832.0
2015-08-17,59836.0
2015-08-18,59696.0
2015-08-19,65531.0
2015-08-20,60647.0
2015-08-21,60455.0
2015-08-24,64772.0
2015-08-25,69598.0
2015-08-26,65020.0
2015-08-27,62170.0
2015-08-28,61427.0
2015-08-31,61484.0
2015-09-01,59555.0
2015-09-02,58828.0
2015-09-03,59837.0
2015-09-04,67302.0
2015-09-08,61977.0
2015-09-09,64732.0
2015-09-10,72587.0
2015-09-11,64787.0
2015-09-14,69692.0
2015-09-15,68210.0
2015-09-16,62752.0
2015-09-17,63456.0
2015-09-18,68972.0
2015-09-21,65379.0
2015-09-22,68303.0
2015-09-23,62261.0
2015-09-24,73189.0
2015-09-25,66071.0
2015-09-28,68069.0
2015-09-29,79647.0
2015-09-30,83648.0
2015-10-01,73611.0
2015-10-02,70211.0
2015-10-05,74587.0
2015-10-06,58887.0
2015-10-07,57233.0
2015-10-08,75478.0
2015-10-09,62655.0
2015-10-12,65850.0
2015-10-13,62131.0
2015-10-14,70523.0
2015-10-15,59266.0
2015-10-16,67339.0
2015-10-19,68945.0
2015-10-20,69781.0
2015-10-21,58768.0
2015-10-22,61985.0
2015-10-23,61644.0
2015-10-26,72144.0
2015-10-27,70597.0
2015-10-28,66916.0
2015-10-29,59171.0
2015-10-30,55072.0
2015-11-02,56771.0
2015-11-03,68636.0
2015-11-04,64891.0
2015-11-05,63888.0
2015-11-06,57572.0
2015-11-09,58266.0
2015-11-10,49669.0
2015-11-11,70446.0
2015-11-12,60562.0
2015-11-13,52838.0
2015-11-16,61396.0
2015-11-17,59576.0
2015-11-18,57787.0
2015-11-19,57369.0
2015-11-20,61779.0
2015-11-23,48848.0
2015-11-24,57282.0
2015-11-25,62489.0
2015-11-27,52683.0
2015-11-30,56822.0
2015-12-01,54028.0
2015-12-02,61872.0
2015-12-03,60314.0
2015-12-04,47178.0
2015-12-07,51528.0
2015-12-08,48103.0
2015-12-09,53711.0
2015-12-10,56724.0
2015-12-11,55625.0
2015-12-14,51608.0
2015-12-15,59445.0
2015-12-16,55091.0
2015-12-17,51988.0
2015-12-18,54640.0
2015-12-21,57119.0
2015-12-22,48335.0
2015-12-23,54290.0
2015-12-24,59868.0
2015-12-28,49112.0
2015-12-29,40150.0
2015-12-30,48176.0
2015-12-31,46457.0
2016-01-04,40185.0
2016-01-05,52914.0
2016-01-06,49607.0
2016-01-07,46956.0
2016-01-08,57388.0
2016-01-11,55608.0
2016-01-12,51051.0
2016-01-13,53460.0
2016-01-14,55964.0
2016-01-15,52834.0
2016-01-19,60010.0
2016-01-20,51377.0
2016-01-21,48780.0
2016-01-22,48751.0
2016-01-25,47130.0
2016-01-26,48315.0
2016-01-27,58194.0
2016-01-28,52755.0
2016-01-29,50494.0
2016-02-01,47282.0
2016-02-02,52174.0
2016-02-03,54404.0
2016-02-04,48435.0
2016-02-05,45459.0
2016-02-08,43304.0
2016-02-09,53655.0
2016-02-10,52979.0
2016-02-11,46089.0
