date,value
2015-03-31,7865.0
2015-04-01,8978.0
2015-04-02,8028.0
2015-04-06,8240.0
2015-04-07,7266.0
2015-04-08,8144.0
2015-04-09,7614.0
2015-04-10,6952.0
2015-04-13,7619.0
2015-04-14,7429.0
2015-04-15,7927.0
2015-04-16,7745.0
2015-04-17,8577.0
2015-04-20,8537.0
2015-04-21,8629.0
2015-04-22,8103.0
2015-04-23,7492.0
2015-04-24,8880.0
2015-04-27,7248.0
2015-04-28,9120.0
2015-04-29,7535.0
2015-04-30,8913.0
2015-05-01,9067.0
2015-05-04,10207.0
2015-05-05,7983.0
2015-05-06,7997.0
2015-05-07,7279.0
2015-05-08,7076.0
2015-05-11,7731.0
2015-05-12,9632.0
2015-05-13,8193.0
2015-05-14,7639.0
2015-05-15,9084.0
2015-05-18,8042.0
2015-05-19,9217.0
2015-05-20,8689.0
2015-05-21,10039.0
2015-05-22,9638.0
2015-05-26,7622.0
2015-05-27,10108.0
2015-05-28,9618.0
2015-05-29,8061.0
2015-06-01,8738.0
2015-06-02,8480.0
2015-06-03,8404.0
2015-06-04,8570.0
2015-06-05,9028.0
2015-06-08,9110.0
2015-06-09,8627.0
2015-06-10,7914.0
2015-06-11,6039.0
2015-06-12,7883.0
2015-06-15,8669.0
2015-06-16,9402.0
2015-06-17,8887.0
2015-06-18,8412.0
2015-06-19,9165.0
2015-06-22,8932.0
2015-06-23,8788.0
2015-06-24,9569.0
2015-06-25,8146.0
2015-06-26,10483.0
2015-06-29,7320.0
2015-06-30,7303.0
2015-07-01,8045.0
2015-07-02,8649.0
2015-07-06,7458.0
2015-07-07,10160.0
2015-07-08,9444.0
2015-07-09,9066.0
2015-07-10,9793.0
2015-07-13,10428.0
2015-07-14,8130.0
2015-07-15,7935.0
2015-07-16,9416.0
2015-07-17,8090.0
2015-07-20,11057.0
2015-07-21,8644.0
2015-07-22,7776.0
2015-07-23,8854.0
2015-07-24,9345.0
2015-07-27,10005.0
2015-07-28,9376.0
2015-07-29,9169.0
2015-07-30,8768.0
2015-07-31,7934.0
2015-08-03,8174.0
2015-08-04,10040.0
2015-08-05,9499.0
2015-08-06,9275.0
2015-08-07,9003.0
2015-08-10,8128.0
2015-08-11,9977.0
2015-08-12,9855.0
2015-08-13,10648.0
2015-08-14,9735.0
2015-08-17,8756.0
2015-08-18,9302.0
2015-08-19,8826.0
2015-08-20,9746.0
2015-08-21,10539.0
2015-08-24,9127.0
2015-08-25,10602.0
2015-08-26,7688.0
2015-08-27,8641.0
2015-08-28,9379.0
2015-08-31,9305.0
2015-09-01,9696.0
2015-09-02,9493.0
2015-09-03,10302.0
2015-09-04,8813.0
2015-09-08,11744.0
2015-09-09,9515.0
2015-09-10,10745.0
2015-09-11,9704.0
2015-09-14,10065.0
2015-09-15,9607.0
2015-09-16,10239.0
2015-09-17,7837.0
2015-09-18,8802.0
2015-09-21,9416.0
2015-09-22,8581.0
2015-09-23,8493.0
2015-09-24,11032.0
2015-09-25,8620.0
2015-09-28,11719.0
2015-09-29,11224.0
2015-09-30,10734.0
2015-10-01,10127.0
2015-10-02,11518.0
2015-10-05,9526.0
2015-10-06,8689.0
2015-10-07,10522.0
2015-10-08,9125.0
2015-10-09,10478.0
2015-10-12,10809.0
2015-10-13,10498.0
2015-10-14,8140.0
2015-10-15,9279.0
2015-10-16,7793.0
2015-10-19,9200.0
2015-10-20,9426.0
2015-10-21,11285.0
2015-10-22,9814.0
2015-10-23,7859.0
2015-10-26,11414.0
2015-10-27,7392.0
2015-10-28,10742.0
2015-10-29,9644.0
2015-10-30,9065.0
2015-11-02,9330.0
2015-11-03,9475.0
2015-11-04,10540.0
2015-11-05,9044.0
2015-11-06,11283.0
2015-11-09,9687.0
2015-11-10,9095.0
2015-11-11,9737.0
2015-11-12,10194.0
2015-11-13,9933.0
2015-11-16,10822.0
2015-11-17,8930.0
2015-11-18,10615.0
2015-11-19,8692.0
2015-11-20,11483.0
2015-11-23,9651.0
2015-11-24,8768.0
2015-11-25,7701.0
2015-11-27,9738.0
2015-11-30,8498.0
2015-12-01,9730.0
2015-12-02,10266.0
2015-12-03,10489.0
2015-12-04,7909.0
2015-12-07,9455.0
2015-12-08,9319.0
2015-12-09,13041.0
2015-12-10,11184.0
2015-12-11,9774.0
2015-12-14,9863.0
2015-12-15,10399.0
2015-12-16,8200.0
2015-12-17,10825.0
2015-12-18,8118.0
2015-12-21,10391.0
2015-12-22,10228.0
2015-12-23,10320.0
2015-12-24,8018.0
2015-12-28,8398.0
2015-12-29,8102.0
2015-12-30,10434.0
2015-12-31,8229.0
2016-01-04,10171.0
2016-01-05,9875.0
2016-01-06,10545.0
2016-01-07,11548.0
2016-01-08,8762.0
2016-01-11,10553.0
2016-01-12,11006.0
2016-01-13,9718.0
2016-01-14,7659.0
2016-01-15,10261.0
2016-01-19,10772.0
2016-01-20,8179.0
2016-01-21,8155.0
2016-01-22,9359.0
2016-01-25,9218.0
2016-01-26,8075.0
2016-01-27,11479.0
2016-01-28,9208.0
2016-01-29,10353.0
2016-02-01,8234.0
2016-02-02,10966.0
2016-02-03,10231.0
2016-02-04,10058.0
2016-02-05,7681.0
2016-02-08,8943.0
2016-02-09,9538.0
2016-02-10,7623.0
2016-02-11,9219.0
2016-02-12,7563.0
