date,value
2015-03-31,393355.0
2015-04-01,357725.0
2015-04-02,395664.0
2015-04-06,339920.0
2015-04-07,372033.0
2015-04-08,297994.0
2015-04-09,297158.0
2015-04-10,395407.0
2015-04-13,388226.0
2015-04-14,347338.0
2015-04-15,381161.0
2015-04-16,433137.0
2015-04-17,339608.0
2015-04-20,362329.0
2015-04-21,325218.0
2015-04-22,323285.0
2015-04-23,393589.0
2015-04-24,372143.0
2015-04-27,430508.0
2015-04-28,426605.0
2015-04-29,356709.0
2015-04-30,295006.0
2015-05-01,374264.0
2015-05-04,363840.0
2015-05-05,391795.0
2015-05-06,393456.0
2015-05-07,433227.0
2015-05-08,417607.0
2015-05-11,403830.0
2015-05-12,437979.0
2015-05-13,363180.0
2015-05-14,356177.0
2015-05-15,390333.0
2015-05-18,412420.0
2015-05-19,339995.0
2015-05-20,401168.0
2015-05-21,356808.0
2015-05-22,381509.0
2015-05-26,422966.0
2015-05-27,358897.0
2015-05-28,378603.0
2015-05-29,420839.0
2015-06-01,445948.0
2015-06-02,405693.0
2015-06-03,408139.0
2015-06-04,389677.0
2015-06-05,335077.0
2015-06-08,376991.0
2015-06-09,339998.0
2015-06-10,405911.0
2015-06-11,415544.0
2015-06-12,407408.0
2015-06-15,293418.0
2015-06-16,375000.0
2015-06-17,377205.0
2015-06-18,311023.0
2015-06-19,397762.0
2015-06-22,366496.0
2015-06-23,396156.0
2015-06-24,391166.0
2015-06-25,355294.0
2015-06-26,425878.0
2015-06-29,407060.0
2015-06-30,369005.0
2015-07-01,423568.0
2015-07-02,453293.0
2015-07-06,467617.0
2015-07-07,411612.0
2015-07-08,446387.0
2015-07-09,391316.0
2015-07-10,453993.0
2015-07-13,408409.0
2015-07-14,371535.0
2015-07-15,353044.0
2015-07-16,386957.0
2015-07-17,369782.0
2015-07-20,437787.0
2015-07-21,369239.0
2015-07-22,395006.0
2015-07-23,408745.0
2015-07-24,336351.0
2015-07-27,362274.0
2015-07-28,465443.0
2015-07-29,413143.0
2015-07-30,356598.0
2015-07-31,389505.0
2015-08-03,369388.0
2015-08-04,465429.0
2015-08-05,352799.0
2015-08-06,447679.0
2015-08-07,398991.0
2015-08-10,400751.0
2015-08-11,410645.0
2015-08-12,397825.0
2015-08-13,365335.0
2015-08-14,398338.0
2015-08-17,365742.0
2015-08-18,471175.0
2015-08-19,366702.0
2015-08-20,395787.0
2015-08-21,308641.0
2015-08-24,317619.0
2015-08-25,443481.0
2015-08-26,428517.0
2015-08-27,398326.0
2015-08-28,390057.0
2015-08-31,370628.0
2015-09-01,435846.0
2015-09-02,330663.0
2015-09-03,428001.0
2015-09-04,344338.0
2015-09-08,441217.0
2015-09-09,361280.0
2015-09-10,371392.0
2015-09-11,411738.0
2015-09-14,407202.0
2015-09-15,379173.0
2015-09-16,415379.0
2015-09-17,436958.0
2015-09-18,369584.0
2015-09-21,445339.0
2015-09-22,408075.0
2015-09-23,347107.0
2015-09-24,340228.0
2015-09-25,375306.0
2015-09-28,369042.0
2015-09-29,411505.0
2015-09-30,349311.0
2015-10-01,404916.0
2015-10-02,413230.0
2015-10-05,406245.0
2015-10-06,373562.0
2015-10-07,452735.0
2015-10-08,377923.0
2015-10-09,391606.0
2015-10-12,355893.0
2015-10-13,455689.0
2015-10-14,364866.0
2015-10-15,384261.0
2015-10-16,376622.0
2015-10-19,382770.0
2015-10-20,388746.0
2015-10-21,448176.0
2015-10-22,384394.0
2015-10-23,396413.0
2015-10-26,376634.0
2015-10-27,345324.0
2015-10-28,429010.0
2015-10-29,356832.0
2015-10-30,346855.0
2015-11-02,347679.0
2015-11-03,397035.0
2015-11-04,391760.0
2015-11-05,380800.0
2015-11-06,358726.0
2015-11-09,318333.0
2015-11-10,370418.0
2015-11-11,343115.0
2015-11-12,448600.0
2015-11-13,417977.0
2015-11-16,452651.0
2015-11-17,324098.0
2015-11-18,398669.0
2015-11-19,351092.0
2015-11-20,388179.0
2015-11-23,423296.0
2015-11-24,327588.0
2015-11-25,371591.0
2015-11-27,428982.0
2015-11-30,377263.0
2015-12-01,399159.0
2015-12-02,302184.0
2015-12-03,365701.0
2015-12-04,348955.0
2015-12-07,384419.0
2015-12-08,287184.0
2015-12-09,356793.0
2015-12-10,357063.0
2015-12-11,309764.0
2015-12-14,337683.0
2015-12-15,401285.0
2015-12-16,300701.0
2015-12-17,423409.0
2015-12-18,341673.0
2015-12-21,431065.0
2015-12-22,336678.0
2015-12-23,390230.0
2015-12-24,333779.0
2015-12-28,328863.0
2015-12-29,357968.0
2015-12-30,364131.0
2015-12-31,340801.0
2016-01-04,435094.0
2016-01-05,367772.0
2016-01-06,359076.0
2016-01-07,373666.0
2016-01-08,372853.0
2016-01-11,265976.0
2016-01-12,358576.0
2016-01-13,361779.0
2016-01-14,408225.0
2016-01-15,431009.0
2016-01-19,378948.0
2016-01-20,408700.0
2016-01-21,375443.0
2016-01-22,391436.0
2016-01-25,397093.0
2016-01-26,365527.0
2016-01-27,360752.0
2016-01-28,388342.0
2016-01-29,423055.0
2016-02-01,423077.0
2016-02-02,318171.0
2016-02-03,409493.0
2016-02-04,399606.0
2016-02-05,378794.0
2016-02-08,421094.0
2016-02-09,317585.0
2016-02-10,418638.0
2016-02-11,366588.0
2016-02-12,312773.0
2016-02-16,456808.0
2016-02-17,338932.0
2016-02-18,357356.0
2016-02-19,294779.0
2016-02-22,331545.0
2016-02-23,329163.0
2016-02-24,355768.0
2016-02-25,395748.0
2016-02-26,401231.0
2016-02-29,337781.0
2016-03-01,361724.0
2016-03-02,408938.0
2016-03-03,370243.0
2016-03-04,418557.0
2016-03-07,384948.0
2016-03-08,378700.0
2016-03-09,364664.0
2016-03-10,395206.0
2016-03-11,387064.0
2016-03-14,390704.0
2016-03-15,405148.0
2016-03-16,344523.0
2016-03-17,379013.0
2016-03-18,408349.0
2016-03-21,396420.0
2016-03-22,390557.0
2016-03-23,373885.0
2016-03-24,389391.0
2016-03-28,377423.0
2016-03-29,369857.0
2016-03-30,361818.0
2016-03-31,369132.0
2016-04-01,435831.0
2016-04-04,363398.0
2016-04-05,344851.0
2016-04-06,403149.0
2016-04-07,351831.0
2016-04-08,331699.0
2016-04-11,364000.0
2016-04-12,357817.0
2016-04-13,462027.0
2016-04-14,374418.0
2016-04-15,375834.0
2016-04-18,438757.0
2016-04-19,405551.0
2016-04-20,343963.0
2016-04-21,375963.0
2016-04-22,409934.0
2016-04-25,367209.0
2016-04-26,388078.0
2016-04-27,360846.0
2016-04-28,371601.0
2016-04-29,338174.0
2016-05-02,342159.0
2016-05-03,372454.0
2016-05-04,356467.0
2016-05-05,446808.0
2016-05-06,362209.0
2016-05-09,435108.0
2016-05-10,382114.0
2016-05-11,360032.0
2016-05-12,417444.0
2016-05-13,418691.0
2016-05-16,412605.0
2016-05-17,346749.0
2016-05-18,415316.0
2016-05-19,400102.0
2016-05-20,378642.0
2016-05-23,466587.0
2016-05-24,407366.0
2016-05-25,402296.0
2016-05-26,284296.0
2016-05-27,334553.0
2016-05-31,401629.0
2016-06-01,372335.0
2016-06-02,429956.0
2016-06-03,417910.0
2016-06-06,366541.0
2016-06-07,366222.0
2016-06-08,316319.0
2016-06-09,387656.0
2016-06-10,408747.0
2016-06-13,377278.0
2016-06-14,373930.0
2016-06-15,379291.0
2016-06-16,419625.0
2016-06-17,424699.0
2016-06-20,347354.0
2016-06-21,310488.0
2016-06-22,409178.0
2016-06-23,376542.0
2016-06-24,321837.0
2016-06-27,379643.0
2016-06-28,486646.0
2016-06-29,374768.0
2016-06-30,385296.0
2016-07-01,371999.0
2016-07-05,353543.0
2016-07-06,408870.0
2016-07-07,376852.0
2016-07-08,406673.0
2016-07-11,415854.0
2016-07-12,350710.0
2016-07-13,444944.0
2016-07-14,324330.0
2016-07-15,433528.0
2016-07-18,331382.0
2016-07-19,390429.0
2016-07-20,381678.0
2016-07-21,403262.0
2016-07-22,476903.0
2016-07-25,386518.0
2016-07-26,308991.0
2016-07-27,399633.0
2016-07-28,424115.0
2016-07-29,370865.0
2016-08-01,405135.0
2016-08-02,400945.0
2016-08-03,414897.0
2016-08-04,387874.0
2016-08-05,458132.0
2016-08-08,478505.0
2016-08-09,400478.0
2016-08-10,435416.0
2016-08-11,384370.0
2016-08-12,460826.0
2016-08-15,394930.0
2016-08-16,370800.0
2016-08-17,386177.0
2016-08-18,443759.0
2016-08-19,444789.0
2016-08-22,359684.0
2016-08-23,378175.0
2016-08-24,399316.0
2016-08-25,404701.0
2016-08-26,393897.0
2016-08-29,326764.0
2016-08-30,424911.0
2016-08-31,413467.0
2016-09-01,378005.0
2016-09-02,419927.0
2016-09-06,403512.0
2016-09-07,382398.0
2016-09-08,407197.0
2016-09-09,303942.0
2016-09-12,413879.0
2016-09-13,344696.0
2016-09-14,345017.0
2016-09-15,375878.0
2016-09-16,401753.0
2016-09-19,423415.0
2016-09-20,321852.0
2016-09-21,442663.0
2016-09-22,383948.0
2016-09-23,365558.0
2016-09-26,416388.0
2016-09-27,381925.0
2016-09-28,386851.0
2016-09-29,481037.0
2016-09-30,384696.0
2016-10-03,351867.0
2016-10-04,409142.0
2016-10-05,358267.0
2016-10-06,422984.0
2016-10-07,383084.0
2016-10-10,397016.0
2016-10-11,383080.0
2016-10-12,404712.0
2016-10-13,329281.0
2016-10-14,431362.0
2016-10-17,372145.0
2016-10-18,402325.0
2016-10-19,348530.0
2016-10-20,382412.0
2016-10-21,349575.0
2016-10-24,376010.0
2016-10-25,357029.0
2016-10-26,384772.0
2016-10-27,293714.0
2016-10-28,409971.0
2016-10-31,441821.0
2016-11-01,386457.0
2016-11-02,322729.0
2016-11-03,430104.0
2016-11-04,316868.0
2016-11-07,382280.0
2016-11-08,406585.0
