date,value
2015-03-31,48432.0
2015-04-01,50507.0
2015-04-02,47762.0
2015-04-06,50487.0
2015-04-07,53155.0
2015-04-08,57502.0
2015-04-09,47570.0
2015-04-10,56134.0
2015-04-13,47409.0
2015-04-14,43583.0
2015-04-15,48619.0
2015-04-16,51130.0
2015-04-17,40025.0
2015-04-20,54898.0
2015-04-21,50428.0
2015-04-22,55734.0
2015-04-23,53516.0
2015-04-24,47576.0
2015-04-27,56016.0
2015-04-28,51135.0
2015-04-29,60793.0
2015-04-30,50551.0
2015-05-01,58797.0
2015-05-04,50409.0
2015-05-05,43498.0
2015-05-06,65452.0
2015-05-07,57439.0
2015-05-08,55092.0
2015-05-11,66872.0
2015-05-12,58489.0
2015-05-13,67608.0
2015-05-14,56691.0
2015-05-15,56178.0
2015-05-18,63196.0
2015-05-19,66232.0
2015-05-20,53433.0
2015-05-21,67873.0
2015-05-22,70048.0
2015-05-26,64577.0
2015-05-27,60375.0
2015-05-28,51086.0
2015-05-29,51680.0
2015-06-01,69567.0
2015-06-02,67126.0
2015-06-03,61876.0
2015-06-04,66985.0
2015-06-05,71781.0
2015-06-08,68865.0
2015-06-09,62590.0
2015-06-10,75248.0
2015-06-11,64772.0
2015-06-12,65941.0
2015-06-15,73293.0
2015-06-16,70578.0
2015-06-17,65784.0
2015-06-18,72340.0
2015-06-19,59508.0
2015-06-22,72386.0
2015-06-23,67794.0
2015-06-24,55637.0
2015-06-25,75497.0
2015-06-26,72180.0
2015-06-29,79376.0
2015-06-30,74307.0
2015-07-01,69830.0
2015-07-02,62934.0
2015-07-06,64097.0
2015-07-07,75653.0
2015-07-08,66613.0
2015-07-09,66622.0
2015-07-10,72718.0
2015-07-13,55562.0
2015-07-14,53500.0
2015-07-15,69295.0
2015-07-16,68107.0
2015-07-17,65026.0
2015-07-20,71241.0
2015-07-21,61990.0
2015-07-22,79834.0
2015-07-23,83815.0
2015-07-24,76368.0
2015-07-27,66286.0
2015-07-28,82021.0
2015-07-29,69478.0
2015-07-30,69817.0
