date,value
2015-03-31,118122.0
2015-04-01,104773.0
2015-04-02,107359.0
2015-04-06,140623.0
2015-04-07,104341.0
2015-04-08,114027.0
2015-04-09,120805.0
2015-04-10,101424.0
2015-04-13,76774.0
2015-04-14,98610.0
2015-04-15,121525.0
2015-04-16,116715.0
2015-04-17,111253.0
2015-04-20,94759.0
2015-04-21,109884.0
2015-04-22,104984.0
2015-04-23,116631.0
2015-04-24,105964.0
2015-04-27,116071.0
2015-04-28,114141.0
2015-04-29,99052.0
2015-04-30,101971.0
2015-05-01,122806.0
2015-05-04,97018.0
2015-05-05,102050.0
2015-05-06,108463.0
2015-05-07,112845.0
2015-05-08,110687.0
2015-05-11,103496.0
2015-05-12,150668.0
2015-05-13,122687.0
2015-05-14,94646.0
2015-05-15,116627.0
2015-05-18,105987.0
2015-05-19,119142.0
2015-05-20,127180.0
2015-05-21,107182.0
2015-05-22,121313.0
2015-05-26,120922.0
2015-05-27,89268.0
2015-05-28,107889.0
2015-05-29,119775.0
2015-06-01,130757.0
2015-06-02,110067.0
2015-06-03,110742.0
2015-06-04,106461.0
2015-06-05,113395.0
2015-06-08,124527.0
2015-06-09,110921.0
2015-06-10,121973.0
2015-06-11,116329.0
2015-06-12,132159.0
2015-06-15,113134.0
2015-06-16,116140.0
2015-06-17,134758.0
2015-06-18,117135.0
2015-06-19,125953.0
2015-06-22,104938.0
2015-06-23,118055.0
2015-06-24,108391.0
2015-06-25,126355.0
2015-06-26,121843.0
2015-06-29,112558.0
2015-06-30,107733.0
2015-07-01,101760.0
2015-07-02,121448.0
2015-07-06,92015.0
2015-07-07,98512.0
2015-07-08,122534.0
2015-07-09,129528.0
2015-07-10,137222.0
2015-07-13,88123.0
2015-07-14,106411.0
2015-07-15,106731.0
2015-07-16,102618.0
2015-07-17,90083.0
2015-07-20,126401.0
2015-07-21,116043.0
2015-07-22,122245.0
2015-07-23,116450.0
2015-07-24,97125.0
2015-07-27,88848.0
2015-07-28,110778.0
2015-07-29,111651.0
2015-07-30,111486.0
2015-07-31,127079.0
2015-08-03,102884.0
2015-08-04,121526.0
2015-08-05,123396.0
2015-08-06,117751.0
2015-08-07,101603.0
2015-08-10,97219.0
2015-08-11,113047.0
2015-08-12,105595.0
2015-08-13,118825.0
2015-08-14,115628.0
2015-08-17,111205.0
2015-08-18,126155.0
