date,value
2015-03-31,138299.0
2015-04-01,144771.0
2015-04-02,132590.0
2015-04-06,177797.0
2015-04-07,118225.0
2015-04-08,152426.0
2015-04-09,127023.0
2015-04-10,166894.0
2015-04-13,181422.0
2015-04-14,141466.0
2015-04-15,155767.0
2015-04-16,135792.0
2015-04-17,172516.0
2015-04-20,151458.0
2015-04-21,175022.0
2015-04-22,160853.0
2015-04-23,173417.0
2015-04-24,126882.0
2015-04-27,164398.0
2015-04-28,155500.0
2015-04-29,170356.0
2015-04-30,187288.0
2015-05-01,164545.0
2015-05-04,198735.0
2015-05-05,174607.0
2015-05-06,171173.0
2015-05-07,158209.0
2015-05-08,166222.0
2015-05-11,160723.0
2015-05-12,149961.0
2015-05-13,135559.0
2015-05-14,149423.0
2015-05-15,219517.0
2015-05-18,187130.0
2015-05-19,193917.0
2015-05-20,192043.0
2015-05-21,177855.0
2015-05-22,179749.0
2015-05-26,198420.0
2015-05-27,167216.0
2015-05-28,172281.0
2015-05-29,158359.0
2015-06-01,168552.0
2015-06-02,153055.0
2015-06-03,177653.0
2015-06-04,153153.0
2015-06-05,160352.0
2015-06-08,195518.0
2015-06-09,170548.0
2015-06-10,236323.0
2015-06-11,222188.0
2015-06-12,172836.0
2015-06-15,176296.0
2015-06-16,176649.0
2015-06-17,180807.0
2015-06-18,179287.0
2015-06-19,192325.0
2015-06-22,181442.0
2015-06-23,240460.0
2015-06-24,208557.0
2015-06-25,192101.0
2015-06-26,169145.0
2015-06-29,148422.0
2015-06-30,182112.0
2015-07-01,200835.0
2015-07-02,158087.0
2015-07-06,159387.0
2015-07-07,179872.0
2015-07-08,216748.0
2015-07-09,160391.0
2015-07-10,208661.0
2015-07-13,183679.0
2015-07-14,151956.0
2015-07-15,175676.0
2015-07-16,213672.0
2015-07-17,191096.0
2015-07-20,188704.0
2015-07-21,203855.0
2015-07-22,201293.0
2015-07-23,204778.0
2015-07-24,192207.0
2015-07-27,156515.0
2015-07-28,166279.0
2015-07-29,177751.0
2015-07-30,200841.0
2015-07-31,184699.0
2015-08-03,169500.0
2015-08-04,220230.0
2015-08-05,234522.0
2015-08-06,178931.0
2015-08-07,180755.0
2015-08-10,178729.0
2015-08-11,214347.0
2015-08-12,202513.0
2015-08-13,175789.0
2015-08-14,181380.0
2015-08-17,208994.0
2015-08-18,169000.0
2015-08-19,186657.0
2015-08-20,230330.0
2015-08-21,182096.0
2015-08-24,200588.0
2015-08-25,184779.0
2015-08-26,204504.0
2015-08-27,193166.0
2015-08-28,172547.0
2015-08-31,228185.0
2015-09-01,206899.0
2015-09-02,181677.0
2015-09-03,200644.0
2015-09-04,190329.0
2015-09-08,203321.0
2015-09-09,199482.0
2015-09-10,179513.0
2015-09-11,184654.0
2015-09-14,187545.0
2015-09-15,185034.0
2015-09-16,198214.0
2015-09-17,210397.0
2015-09-18,187701.0
2015-09-21,214851.0
2015-09-22,232712.0
2015-09-23,199178.0
2015-09-24,200867.0
2015-09-25,187782.0
2015-09-28,219869.0
2015-09-29,204835.0
2015-09-30,187586.0
2015-10-01,185562.0
2015-10-02,208433.0
2015-10-05,184166.0
2015-10-06,204883.0
2015-10-07,209480.0
2015-10-08,219711.0
2015-10-09,196046.0
2015-10-12,204856.0
2015-10-13,169711.0
2015-10-14,173900.0
2015-10-15,199172.0
2015-10-16,211380.0
2015-10-19,180009.0
2015-10-20,163997.0
2015-10-21,155173.0
2015-10-22,216267.0
2015-10-23,153034.0
2015-10-26,192546.0
2015-10-27,212580.0
2015-10-28,193428.0
2015-10-29,191415.0
2015-10-30,179117.0
2015-11-02,139535.0
2015-11-03,167345.0
2015-11-04,167380.0
2015-11-05,190702.0
2015-11-06,190061.0
2015-11-09,199645.0
2015-11-10,170478.0
2015-11-11,155852.0
2015-11-12,166439.0
2015-11-13,132712.0
2015-11-16,178063.0
2015-11-17,200214.0
2015-11-18,156643.0
2015-11-19,145822.0
2015-11-20,168611.0
2015-11-23,182769.0
2015-11-24,168249.0
2015-11-25,165352.0
2015-11-27,158032.0
2015-11-30,214576.0
2015-12-01,171560.0
2015-12-02,139536.0
2015-12-03,202356.0
2015-12-04,151103.0
2015-12-07,164766.0
2015-12-08,199720.0
2015-12-09,168166.0
2015-12-10,152769.0
2015-12-11,174223.0
2015-12-14,190778.0
2015-12-15,192312.0
2015-12-16,155011.0
2015-12-17,134930.0
2015-12-18,162663.0
2015-12-21,156858.0
2015-12-22,185724.0
2015-12-23,182498.0
2015-12-24,156193.0
2015-12-28,149843.0
2015-12-29,158319.0
2015-12-30,184967.0
2015-12-31,163154.0
2016-01-04,196438.0
2016-01-05,155135.0
2016-01-06,167848.0
2016-01-07,183455.0
2016-01-08,167512.0
2016-01-11,140031.0
2016-01-12,154393.0
2016-01-13,157439.0
2016-01-14,136767.0
2016-01-15,162145.0
2016-01-19,168560.0
2016-01-20,194594.0
2016-01-21,187755.0
2016-01-22,162435.0
2016-01-25,157080.0
2016-01-26,143407.0
2016-01-27,176679.0
2016-01-28,126893.0
2016-01-29,144937.0
2016-02-01,156771.0
2016-02-02,172669.0
2016-02-03,172784.0
2016-02-04,132826.0
2016-02-05,153984.0
2016-02-08,155537.0
2016-02-09,127012.0
2016-02-10,152226.0
2016-02-11,141512.0
2016-02-12,133541.0
2016-02-16,181320.0
2016-02-17,162571.0
2016-02-18,129625.0
2016-02-19,171867.0
2016-02-22,161178.0
2016-02-23,148817.0
2016-02-24,153038.0
2016-02-25,168054.0
2016-02-26,157503.0
2016-02-29,170851.0
2016-03-01,167171.0
2016-03-02,143564.0
2016-03-03,168047.0
2016-03-04,160693.0
2016-03-07,166313.0
2016-03-08,154752.0
2016-03-09,166330.0
2016-03-10,158283.0
2016-03-11,175875.0
2016-03-14,150741.0
2016-03-15,127728.0
2016-03-16,135337.0
2016-03-17,156900.0
2016-03-18,171442.0
2016-03-21,180671.0
2016-03-22,169299.0
2016-03-23,145271.0
2016-03-24,171532.0
2016-03-28,163275.0
2016-03-29,158301.0
2016-03-30,138295.0
2016-03-31,152240.0
2016-04-01,185173.0
2016-04-04,156614.0
2016-04-05,178600.0
2016-04-06,158783.0
2016-04-07,166940.0
2016-04-08,191616.0
2016-04-11,154364.0
2016-04-12,143268.0
2016-04-13,156665.0
2016-04-14,163434.0
2016-04-15,115387.0
2016-04-18,145601.0
2016-04-19,163877.0
2016-04-20,134196.0
2016-04-21,153751.0
2016-04-22,164200.0
2016-04-25,197180.0
2016-04-26,196622.0
2016-04-27,193009.0
2016-04-28,194563.0
2016-04-29,186397.0
2016-05-02,166082.0
2016-05-03,159382.0
2016-05-04,174974.0
2016-05-05,185219.0
2016-05-06,206174.0
2016-05-09,197146.0
2016-05-10,190991.0
2016-05-11,172857.0
2016-05-12,174809.0
2016-05-13,140818.0
2016-05-16,160191.0
2016-05-17,151484.0
2016-05-18,175300.0
2016-05-19,205305.0
2016-05-20,151027.0
2016-05-23,176706.0
2016-05-24,159906.0
2016-05-25,166474.0
2016-05-26,193062.0
2016-05-27,196228.0
2016-05-31,182055.0
2016-06-01,185076.0
2016-06-02,185612.0
2016-06-03,154166.0
2016-06-06,192412.0
2016-06-07,185942.0
2016-06-08,193633.0
2016-06-09,189717.0
2016-06-10,163741.0
2016-06-13,189481.0
2016-06-14,145266.0
2016-06-15,231220.0
2016-06-16,158137.0
2016-06-17,166576.0
2016-06-20,198206.0
2016-06-21,184188.0
2016-06-22,183553.0
2016-06-23,150355.0
2016-06-24,199496.0
2016-06-27,172034.0
2016-06-28,199007.0
2016-06-29,157972.0
2016-06-30,167536.0
2016-07-01,194027.0
2016-07-05,231324.0
2016-07-06,199933.0
2016-07-07,166811.0
2016-07-08,210630.0
2016-07-11,196588.0
2016-07-12,196530.0
2016-07-13,172288.0
2016-07-14,205133.0
2016-07-15,228438.0
2016-07-18,157624.0
2016-07-19,182839.0
2016-07-20,172659.0
2016-07-21,175318.0
2016-07-22,207067.0
2016-07-25,148854.0
2016-07-26,179581.0
2016-07-27,207376.0
2016-07-28,182853.0
2016-07-29,205719.0
2016-08-01,206884.0
2016-08-02,184667.0
2016-08-03,191332.0
2016-08-04,200566.0
2016-08-05,172027.0
2016-08-08,213069.0
2016-08-09,206521.0
2016-08-10,200664.0
2016-08-11,216708.0
2016-08-12,177506.0
2016-08-15,201554.0
2016-08-16,216690.0
2016-08-17,193613.0
2016-08-18,174726.0
2016-08-19,207593.0
2016-08-22,213102.0
2016-08-23,220264.0
2016-08-24,221130.0
2016-08-25,179705.0
2016-08-26,172643.0
2016-08-29,177485.0
2016-08-30,212515.0
2016-08-31,233739.0
2016-09-01,216548.0
2016-09-02,218609.0
2016-09-06,219544.0
2016-09-07,198258.0
2016-09-08,231566.0
2016-09-09,212573.0
2016-09-12,159729.0
2016-09-13,200567.0
2016-09-14,219905.0
2016-09-15,191535.0
2016-09-16,189479.0
2016-09-19,161292.0
2016-09-20,220078.0
2016-09-21,213886.0
2016-09-22,214872.0
2016-09-23,204974.0
2016-09-26,187190.0
2016-09-27,215551.0
2016-09-28,183708.0
2016-09-29,231244.0
2016-09-30,213953.0
2016-10-03,163689.0
2016-10-04,226965.0
2016-10-05,204821.0
2016-10-06,204443.0
2016-10-07,173646.0
2016-10-10,179661.0
2016-10-11,177485.0
2016-10-12,182404.0
2016-10-13,184196.0
2016-10-14,187771.0
2016-10-17,209398.0
2016-10-18,182102.0
2016-10-19,170481.0
2016-10-20,220440.0
2016-10-21,219489.0
2016-10-24,187818.0
2016-10-25,151352.0
2016-10-26,218020.0
2016-10-27,180430.0
2016-10-28,196438.0
2016-10-31,203342.0
2016-11-01,193558.0
2016-11-02,223188.0
2016-11-03,162054.0
2016-11-04,206298.0
2016-11-07,189093.0
2016-11-08,189598.0
2016-11-09,204586.0
2016-11-10,180321.0
2016-11-11,202015.0
2016-11-14,175723.0
2016-11-15,184117.0
2016-11-16,189140.0
2016-11-17,179674.0
2016-11-18,210494.0
2016-11-21,167649.0
2016-11-22,196754.0
2016-11-23,144789.0
2016-11-25,241340.0
2016-11-28,167783.0
2016-11-29,160822.0
2016-11-30,171273.0
2016-12-01,174495.0
2016-12-02,183243.0
2016-12-05,186295.0
2016-12-06,184700.0
2016-12-07,184024.0
2016-12-08,177315.0
2016-12-09,173327.0
2016-12-12,174478.0
2016-12-13,163229.0
2016-12-14,151230.0
2016-12-15,168530.0
2016-12-16,176121.0
2016-12-19,165926.0
2016-12-20,202540.0
2016-12-21,206553.0
2016-12-22,168118.0
2016-12-23,168651.0
2016-12-27,161009.0
2016-12-28,186774.0
2016-12-29,156744.0
2016-12-30,193322.0
2017-01-03,148306.0
2017-01-04,178158.0
2017-01-05,174127.0
2017-01-06,172779.0
2017-01-09,165007.0
2017-01-10,175391.0
2017-01-11,171144.0
2017-01-12,179840.0
2017-01-13,139834.0
2017-01-17,189757.0
2017-01-18,176259.0
2017-01-19,166107.0
2017-01-20,163465.0
2017-01-23,150557.0
2017-01-24,184313.0
2017-01-25,168746.0
2017-01-26,190711.0
2017-01-27,172359.0
2017-01-30,189324.0
2017-01-31,156831.0
2017-02-01,185204.0
2017-02-02,148182.0
2017-02-03,181513.0
2017-02-06,186784.0
2017-02-07,172732.0
2017-02-08,180430.0
2017-02-09,162428.0
2017-02-10,167966.0
2017-02-13,183908.0
2017-02-14,167780.0
2017-02-15,190287.0
2017-02-16,160692.0
2017-02-17,164525.0
2017-02-21,185574.0
2017-02-22,173292.0
2017-02-23,176635.0
2017-02-24,184959.0
2017-02-27,149790.0
2017-02-28,189140.0
2017-03-01,165239.0
2017-03-02,172127.0
2017-03-03,164751.0
2017-03-06,149799.0
2017-03-07,161944.0
2017-03-08,174077.0
2017-03-09,151010.0
2017-03-10,166541.0
2017-03-13,178603.0
2017-03-14,158916.0
2017-03-15,165397.0
2017-03-16,184451.0
2017-03-17,173980.0
2017-03-20,202013.0
2017-03-21,171362.0
2017-03-22,169521.0
2017-03-23,173771.0
2017-03-24,174112.0
2017-03-27,185806.0
2017-03-28,175309.0
2017-03-29,171735.0
2017-03-30,134430.0
2017-03-31,160269.0
2017-04-03,164523.0
2017-04-04,156628.0
2017-04-05,176286.0
2017-04-06,182452.0
2017-04-07,141710.0
2017-04-10,179593.0
2017-04-11,172108.0
2017-04-12,198141.0
2017-04-13,192630.0
2017-04-17,146742.0
2017-04-18,188555.0
2017-04-19,171098.0
2017-04-20,147603.0
2017-04-21,199165.0
2017-04-24,147527.0
2017-04-25,203912.0
2017-04-26,173563.0
2017-04-27,191416.0
2017-04-28,195535.0
2017-05-01,198488.0
2017-05-02,165142.0
2017-05-03,195476.0
2017-05-04,183444.0
2017-05-05,197355.0
2017-05-08,181645.0
2017-05-09,216773.0
2017-05-10,229949.0
2017-05-11,158123.0
2017-05-12,181347.0
2017-05-15,178848.0
2017-05-16,162299.0
2017-05-17,224024.0
2017-05-18,191059.0
2017-05-19,219041.0
2017-05-22,188522.0
2017-05-23,198028.0
2017-05-24,196209.0
2017-05-25,242583.0
2017-05-26,212441.0
2017-05-30,218867.0
2017-05-31,178407.0
2017-06-01,246228.0
2017-06-02,202889.0
2017-06-05,235668.0
2017-06-06,211408.0
2017-06-07,211284.0
2017-06-08,191723.0
2017-06-09,203619.0
2017-06-12,184266.0
2017-06-13,190553.0
2017-06-14,179519.0
2017-06-15,197363.0
2017-06-16,178863.0
2017-06-19,194251.0
2017-06-20,234889.0
2017-06-21,207687.0
2017-06-22,200696.0
2017-06-23,206723.0
2017-06-26,196458.0
2017-06-27,231118.0
2017-06-28,205824.0
2017-06-29,242659.0
2017-06-30,236283.0
2017-07-03,210829.0
2017-07-05,233801.0
2017-07-06,201235.0
2017-07-07,260807.0
2017-07-10,213596.0
2017-07-11,231774.0
2017-07-12,257696.0
2017-07-13,222751.0
2017-07-14,230353.0
2017-07-17,233949.0
2017-07-18,282616.0
2017-07-19,239743.0
2017-07-20,250770.0
2017-07-21,224543.0
2017-07-24,254864.0
2017-07-25,234197.0
2017-07-26,276934.0
2017-07-27,237281.0
2017-07-28,246682.0
2017-07-31,269061.0
2017-08-01,220716.0
2017-08-02,291499.0
2017-08-03,269268.0
2017-08-04,226036.0
2017-08-07,227729.0
2017-08-08,225442.0
2017-08-09,216926.0
2017-08-10,273328.0
2017-08-11,274588.0
2017-08-14,234807.0
2017-08-15,217924.0
2017-08-16,237514.0
2017-08-17,214696.0
2017-08-18,272470.0
2017-08-21,264448.0
2017-08-22,235257.0
2017-08-23,253532.0
2017-08-24,249068.0
2017-08-25,264338.0
2017-08-28,256676.0
2017-08-29,294466.0
2017-08-30,246412.0
2017-08-31,282085.0
2017-09-01,234143.0
2017-09-05,189505.0
2017-09-06,234183.0
2017-09-07,256133.0
2017-09-08,273778.0
2017-09-11,257574.0
2017-09-12,253823.0
2017-09-13,267997.0
2017-09-14,257719.0
2017-09-15,278057.0
2017-09-18,297121.0
2017-09-19,354123.0
2017-09-20,310552.0
2017-09-21,276830.0
2017-09-22,287317.0
2017-09-25,259966.0
2017-09-26,279264.0
2017-09-27,278560.0
2017-09-28,309399.0
2017-09-29,242969.0
2017-10-02,273632.0
2017-10-03,299780.0
2017-10-04,243282.0
2017-10-05,266003.0
2017-10-06,264246.0
2017-10-09,277784.0
2017-10-10,302862.0
2017-10-11,320815.0
2017-10-12,271771.0
2017-10-13,298386.0
2017-10-16,272832.0
2017-10-17,282531.0
2017-10-18,266922.0
2017-10-19,247035.0
2017-10-20,282278.0
2017-10-23,291457.0
2017-10-24,252630.0
2017-10-25,306018.0
2017-10-26,275055.0
2017-10-27,251090.0
2017-10-30,284051.0
2017-10-31,272315.0
2017-11-01,245298.0
2017-11-02,241523.0
2017-11-03,251385.0
2017-11-06,264531.0
2017-11-07,273026.0
2017-11-08,292489.0
2017-11-09,310686.0
2017-11-10,298778.0
2017-11-13,273099.0
2017-11-14,231352.0
2017-11-15,284969.0
2017-11-16,232639.0
2017-11-17,269349.0
2017-11-20,266261.0
2017-11-21,272728.0
2017-11-22,262933.0
2017-11-24,234126.0
2017-11-27,272202.0
2017-11-28,292839.0
2017-11-29,265488.0
2017-11-30,251662.0
2017-12-01,272998.0
2017-12-04,265938.0
2017-12-05,251029.0
2017-12-06,265168.0
2017-12-07,282672.0
2017-12-08,243008.0
2017-12-11,218553.0
2017-12-12,268151.0
2017-12-13,251933.0
2017-12-14,240862.0
2017-12-15,298705.0
2017-12-18,252190.0
2017-12-19,240619.0
2017-12-20,227939.0
2017-12-21,264667.0
2017-12-22,241488.0
2017-12-26,245456.0
2017-12-27,232551.0
2017-12-28,259092.0
2017-12-29,235078.0
2018-01-02,214748.0
2018-01-03,227342.0
2018-01-04,243822.0
2018-01-05,229273.0
2018-01-08,244540.0
2018-01-09,250649.0
2018-01-10,265758.0
2018-01-11,242573.0
2018-01-12,242873.0
2018-01-16,238796.0
2018-01-17,273568.0
2018-01-18,262323.0
2018-01-19,268390.0
2018-01-22,318857.0
2018-01-23,185428.0
2018-01-24,233189.0
2018-01-25,272977.0
2018-01-26,302576.0
2018-01-29,260575.0
2018-01-30,235172.0
2018-01-31,257610.0
2018-02-01,209904.0
2018-02-02,229465.0
2018-02-05,202329.0
2018-02-06,277336.0
2018-02-07,212616.0
2018-02-08,257854.0
2018-02-09,237170.0
2018-02-12,224395.0
2018-02-13,240201.0
2018-02-14,262798.0
2018-02-15,262636.0
2018-02-16,241403.0
2018-02-20,231786.0
2018-02-21,236501.0
2018-02-22,232413.0
2018-02-23,226676.0
2018-02-26,241080.0
2018-02-27,231955.0
2018-02-28,257356.0
2018-03-01,286670.0
2018-03-02,243863.0
2018-03-05,186616.0
2018-03-06,244898.0
2018-03-07,196833.0
2018-03-08,253308.0
2018-03-09,225147.0
2018-03-12,251323.0
2018-03-13,253551.0
2018-03-14,204654.0
2018-03-15,297945.0
2018-03-16,218207.0
2018-03-19,255175.0
2018-03-20,268547.0
2018-03-21,235027.0
2018-03-22,202247.0
2018-03-23,229609.0
2018-03-26,245494.0
2018-03-27,262566.0
2018-03-28,262718.0
2018-03-29,255011.0
2018-04-02,234106.0
2018-04-03,252712.0
2018-04-04,221489.0
2018-04-05,250227.0
2018-04-06,239784.0
2018-04-09,218638.0
2018-04-10,262809.0
2018-04-11,227316.0
