date,value
2015-03-31,294590.0
2015-04-01,322001.0
2015-04-02,244649.0
2015-04-06,284651.0
2015-04-07,265694.0
2015-04-08,281759.0
2015-04-09,306707.0
2015-04-10,331426.0
2015-04-13,282713.0
2015-04-14,246458.0
2015-04-15,299338.0
2015-04-16,333877.0
2015-04-17,312620.0
2015-04-20,279358.0
2015-04-21,315581.0
2015-04-22,305801.0
2015-04-23,296315.0
2015-04-24,282304.0
2015-04-27,268384.0
2015-04-28,283285.0
2015-04-29,305837.0
2015-04-30,274241.0
2015-05-01,310936.0
2015-05-04,278611.0
2015-05-05,259542.0
2015-05-06,296342.0
2015-05-07,309665.0
2015-05-08,306460.0
2015-05-11,332960.0
2015-05-12,291374.0
2015-05-13,331404.0
2015-05-14,280727.0
2015-05-15,268381.0
2015-05-18,320460.0
2015-05-19,327327.0
2015-05-20,299262.0
2015-05-21,373390.0
2015-05-22,287652.0
2015-05-26,290449.0
2015-05-27,343038.0
2015-05-28,326116.0
2015-05-29,307571.0
2015-06-01,323187.0
2015-06-02,283840.0
2015-06-03,294949.0
2015-06-04,318067.0
2015-06-05,264851.0
2015-06-08,309771.0
2015-06-09,328030.0
2015-06-10,386151.0
2015-06-11,277752.0
2015-06-12,249507.0
2015-06-15,299663.0
2015-06-16,304052.0
2015-06-17,292808.0
2015-06-18,272035.0
2015-06-19,327217.0
2015-06-22,299949.0
2015-06-23,337539.0
2015-06-24,276128.0
2015-06-25,346260.0
2015-06-26,278837.0
2015-06-29,292621.0
2015-06-30,316790.0
2015-07-01,261319.0
2015-07-02,311683.0
2015-07-06,336230.0
2015-07-07,323334.0
2015-07-08,279126.0
2015-07-09,244607.0
2015-07-10,353617.0
2015-07-13,300868.0
2015-07-14,345251.0
2015-07-15,295443.0
2015-07-16,282614.0
2015-07-17,333391.0
2015-07-20,386246.0
2015-07-21,321601.0
2015-07-22,266123.0
2015-07-23,304075.0
2015-07-24,284302.0
2015-07-27,298823.0
2015-07-28,270057.0
2015-07-29,316755.0
2015-07-30,299117.0
2015-07-31,292171.0
2015-08-03,351086.0
2015-08-04,320013.0
2015-08-05,317954.0
2015-08-06,262395.0
2015-08-07,342496.0
2015-08-10,336041.0
