date,value
2015-03-31,26992.0
2015-04-01,22969.0
2015-04-02,20728.0
2015-04-06,22920.0
2015-04-07,25299.0
2015-04-08,24463.0
2015-04-09,20879.0
2015-04-10,20993.0
2015-04-13,23261.0
2015-04-14,25007.0
2015-04-15,21498.0
2015-04-16,23528.0
2015-04-17,23692.0
2015-04-20,24968.0
2015-04-21,26004.0
2015-04-22,24735.0
2015-04-23,21533.0
2015-04-24,28896.0
2015-04-27,21837.0
2015-04-28,27417.0
2015-04-29,27071.0
2015-04-30,26385.0
2015-05-01,27111.0
2015-05-04,27558.0
2015-05-05,25214.0
2015-05-06,26585.0
2015-05-07,29097.0
2015-05-08,28775.0
2015-05-11,25097.0
2015-05-12,24150.0
2015-05-13,23439.0
2015-05-14,28044.0
2015-05-15,28966.0
2015-05-18,26504.0
2015-05-19,23423.0
2015-05-20,26039.0
2015-05-21,27104.0
2015-05-22,25750.0
2015-05-26,23328.0
2015-05-27,25172.0
2015-05-28,27008.0
2015-05-29,25574.0
2015-06-01,28724.0
2015-06-02,27771.0
2015-06-03,25504.0
2015-06-04,27199.0
2015-06-05,24330.0
2015-06-08,27840.0
2015-06-09,16959.0
2015-06-10,31323.0
2015-06-11,26613.0
2015-06-12,24082.0
2015-06-15,27498.0
2015-06-16,24336.0
2015-06-17,24175.0
2015-06-18,23694.0
2015-06-19,29122.0
2015-06-22,27778.0
2015-06-23,27024.0
2015-06-24,27561.0
2015-06-25,27707.0
2015-06-26,28224.0
2015-06-29,29431.0
2015-06-30,31888.0
2015-07-01,29101.0
2015-07-02,26392.0
2015-07-06,25615.0
2015-07-07,26653.0
2015-07-08,29160.0
2015-07-09,31745.0
2015-07-10,25131.0
2015-07-13,23258.0
2015-07-14,26050.0
2015-07-15,26354.0
2015-07-16,26923.0
2015-07-17,26769.0
2015-07-20,27014.0
2015-07-21,30765.0
2015-07-22,24972.0
2015-07-23,25383.0
2015-07-24,23172.0
2015-07-27,29966.0
2015-07-28,26737.0
2015-07-29,30174.0
2015-07-30,28358.0
2015-07-31,25045.0
2015-08-03,23279.0
2015-08-04,27116.0
2015-08-05,25665.0
2015-08-06,27381.0
2015-08-07,25354.0
2015-08-10,24122.0
2015-08-11,24049.0
2015-08-12,26143.0
2015-08-13,25431.0
2015-08-14,27654.0
2015-08-17,24470.0
2015-08-18,22201.0
2015-08-19,27802.0
2015-08-20,24143.0
2015-08-21,26489.0
2015-08-24,26389.0
2015-08-25,31763.0
2015-08-26,22300.0
2015-08-27,24780.0
2015-08-28,24210.0
2015-08-31,25911.0
2015-09-01,22170.0
2015-09-02,26830.0
2015-09-03,24060.0
2015-09-04,23963.0
2015-09-08,20827.0
2015-09-09,20460.0
2015-09-10,28062.0
2015-09-11,27258.0
2015-09-14,25577.0
2015-09-15,26952.0
2015-09-16,24447.0
2015-09-17,21045.0
2015-09-18,23472.0
2015-09-21,22178.0
2015-09-22,24832.0
2015-09-23,23193.0
2015-09-24,25973.0
2015-09-25,24956.0
2015-09-28,26195.0
2015-09-29,27370.0
2015-09-30,25082.0
2015-10-01,25373.0
2015-10-02,24498.0
2015-10-05,21488.0
2015-10-06,20487.0
2015-10-07,25223.0
2015-10-08,21711.0
2015-10-09,22755.0
2015-10-12,27694.0
2015-10-13,22101.0
2015-10-14,22726.0
2015-10-15,25594.0
2015-10-16,25133.0
2015-10-19,23958.0
2015-10-20,23169.0
2015-10-21,19305.0
2015-10-22,19383.0
2015-10-23,19148.0
2015-10-26,18659.0
2015-10-27,21128.0
2015-10-28,21640.0
2015-10-29,22073.0
2015-10-30,26449.0
2015-11-02,20687.0
2015-11-03,23106.0
2015-11-04,20395.0
2015-11-05,23395.0
2015-11-06,26218.0
2015-11-09,20862.0
2015-11-10,21676.0
2015-11-11,22748.0
2015-11-12,19543.0
2015-11-13,20901.0
2015-11-16,20557.0
2015-11-17,23411.0
2015-11-18,21519.0
