date,value
2015-03-31,639567.0
2015-04-01,692507.0
2015-04-02,634030.0
2015-04-06,681118.0
2015-04-07,648025.0
2015-04-08,577413.0
2015-04-09,745351.0
2015-04-10,801939.0
2015-04-13,735870.0
2015-04-14,738230.0
2015-04-15,723477.0
2015-04-16,770820.0
2015-04-17,730585.0
2015-04-20,656971.0
2015-04-21,613738.0
2015-04-22,616242.0
2015-04-23,756831.0
2015-04-24,640489.0
2015-04-27,680410.0
2015-04-28,643766.0
2015-04-29,692564.0
2015-04-30,613057.0
2015-05-01,765201.0
2015-05-04,637300.0
2015-05-05,794905.0
2015-05-06,739680.0
2015-05-07,691037.0
2015-05-08,694614.0
2015-05-11,664354.0
2015-05-12,762467.0
2015-05-13,771802.0
2015-05-14,653050.0
2015-05-15,668015.0
2015-05-18,578076.0
2015-05-19,577006.0
2015-05-20,731868.0
2015-05-21,641495.0
2015-05-22,721254.0
2015-05-26,799495.0
2015-05-27,773619.0
2015-05-28,748403.0
2015-05-29,774994.0
2015-06-01,677257.0
2015-06-02,738915.0
2015-06-03,746989.0
2015-06-04,784733.0
2015-06-05,666293.0
2015-06-08,700144.0
2015-06-09,828751.0
2015-06-10,676039.0
2015-06-11,700749.0
2015-06-12,599589.0
2015-06-15,695310.0
2015-06-16,744802.0
2015-06-17,668769.0
2015-06-18,822338.0
2015-06-19,629647.0
2015-06-22,788998.0
2015-06-23,673247.0
2015-06-24,685007.0
2015-06-25,678196.0
2015-06-26,679956.0
2015-06-29,737396.0
2015-06-30,596943.0
2015-07-01,732181.0
2015-07-02,690238.0
2015-07-06,683753.0
2015-07-07,684613.0
2015-07-08,753449.0
2015-07-09,694255.0
2015-07-10,605623.0
2015-07-13,658726.0
2015-07-14,598543.0
2015-07-15,765028.0
2015-07-16,671528.0
2015-07-17,735608.0
2015-07-20,695294.0
2015-07-21,690906.0
2015-07-22,737723.0
2015-07-23,729065.0
2015-07-24,646267.0
2015-07-27,755663.0
2015-07-28,752893.0
2015-07-29,660491.0
2015-07-30,845862.0
2015-07-31,760955.0
2015-08-03,807374.0
2015-08-04,744516.0
2015-08-05,661516.0
2015-08-06,544033.0
2015-08-07,834497.0
2015-08-10,760713.0
2015-08-11,627664.0
2015-08-12,708364.0
2015-08-13,849703.0
2015-08-14,669945.0
2015-08-17,700305.0
2015-08-18,715628.0
2015-08-19,801012.0
2015-08-20,665261.0
2015-08-21,677950.0
2015-08-24,593805.0
2015-08-25,716989.0
2015-08-26,755545.0
2015-08-27,762095.0
2015-08-28,760021.0
2015-08-31,742681.0
2015-09-01,650145.0
2015-09-02,801481.0
2015-09-03,698769.0
2015-09-04,497045.0
2015-09-08,696059.0
2015-09-09,607540.0
2015-09-10,760078.0
2015-09-11,719001.0
2015-09-14,707721.0
2015-09-15,604327.0
2015-09-16,692506.0
2015-09-17,709589.0
2015-09-18,684409.0
2015-09-21,710962.0
2015-09-22,728853.0
2015-09-23,814014.0
2015-09-24,733268.0
2015-09-25,688137.0
2015-09-28,597470.0
2015-09-29,862510.0
2015-09-30,712286.0
2015-10-01,630891.0
2015-10-02,723594.0
2015-10-05,653741.0
2015-10-06,750835.0
2015-10-07,622942.0
2015-10-08,713946.0
2015-10-09,722206.0
2015-10-12,690335.0
2015-10-13,625879.0
2015-10-14,694680.0
2015-10-15,629468.0
2015-10-16,620639.0
2015-10-19,734009.0
2015-10-20,651855.0
2015-10-21,697696.0
2015-10-22,685029.0
2015-10-23,699397.0
2015-10-26,747171.0
2015-10-27,737521.0
2015-10-28,672139.0
2015-10-29,721320.0
2015-10-30,720263.0
2015-11-02,588436.0
2015-11-03,776211.0
2015-11-04,784524.0
2015-11-05,751340.0
2015-11-06,659374.0
2015-11-09,578981.0
2015-11-10,595093.0
2015-11-11,642118.0
2015-11-12,732155.0
2015-11-13,606197.0
2015-11-16,655222.0
2015-11-17,575842.0
2015-11-18,791018.0
2015-11-19,703163.0
2015-11-20,759338.0
2015-11-23,785303.0
2015-11-24,542151.0
2015-11-25,785153.0
2015-11-27,717442.0
2015-11-30,670736.0
2015-12-01,738368.0
2015-12-02,810864.0
2015-12-03,677353.0
2015-12-04,738140.0
2015-12-07,574722.0
2015-12-08,696948.0
2015-12-09,724239.0
2015-12-10,782331.0
2015-12-11,619463.0
2015-12-14,690455.0
2015-12-15,830976.0
2015-12-16,583298.0
2015-12-17,792690.0
2015-12-18,559756.0
2015-12-21,631858.0
2015-12-22,614443.0
2015-12-23,614218.0
2015-12-24,677747.0
2015-12-28,639762.0
2015-12-29,634355.0
2015-12-30,687891.0
2015-12-31,752315.0
2016-01-04,648740.0
2016-01-05,729257.0
2016-01-06,862821.0
2016-01-07,772102.0
2016-01-08,562369.0
2016-01-11,704598.0
2016-01-12,678882.0
2016-01-13,813881.0
2016-01-14,768390.0
2016-01-15,598251.0
2016-01-19,690759.0
2016-01-20,890713.0
2016-01-21,784227.0
2016-01-22,726443.0
2016-01-25,619626.0
2016-01-26,635750.0
2016-01-27,637375.0
