date,value
2015-03-31,20342.0
2015-04-01,22755.0
2015-04-02,20702.0
2015-04-06,20712.0
2015-04-07,22587.0
2015-04-08,18423.0
2015-04-09,19751.0
2015-04-10,21208.0
2015-04-13,24132.0
2015-04-14,19939.0
2015-04-15,20169.0
2015-04-16,19615.0
2015-04-17,21573.0
2015-04-20,20332.0
2015-04-21,21376.0
2015-04-22,19542.0
2015-04-23,20702.0
2015-04-24,18842.0
2015-04-27,20327.0
2015-04-28,21222.0
2015-04-29,21097.0
2015-04-30,21750.0
2015-05-01,19479.0
2015-05-04,21557.0
2015-05-05,22653.0
2015-05-06,19404.0
2015-05-07,19176.0
2015-05-08,20331.0
2015-05-11,18394.0
2015-05-12,20927.0
2015-05-13,22005.0
2015-05-14,24734.0
2015-05-15,22126.0
2015-05-18,23351.0
2015-05-19,25243.0
2015-05-20,18723.0
2015-05-21,19916.0
2015-05-22,23317.0
2015-05-26,22460.0
2015-05-27,22445.0
2015-05-28,20156.0
2015-05-29,22421.0
2015-06-01,24704.0
2015-06-02,24385.0
2015-06-03,23558.0
2015-06-04,26909.0
2015-06-05,24906.0
2015-06-08,20431.0
2015-06-09,20972.0
2015-06-10,24860.0
2015-06-11,21735.0
2015-06-12,22498.0
2015-06-15,23540.0
2015-06-16,25141.0
2015-06-17,22625.0
2015-06-18,23909.0
2015-06-19,22754.0
2015-06-22,19030.0
2015-06-23,21702.0
2015-06-24,20604.0
2015-06-25,21532.0
2015-06-26,23658.0
2015-06-29,24837.0
2015-06-30,24266.0
2015-07-01,16196.0
2015-07-02,23924.0
2015-07-06,24239.0
2015-07-07,19672.0
2015-07-08,19743.0
2015-07-09,23482.0
2015-07-10,22407.0
2015-07-13,22852.0
2015-07-14,18719.0
2015-07-15,22450.0
2015-07-16,22736.0
2015-07-17,21834.0
2015-07-20,23351.0
2015-07-21,22372.0
2015-07-22,25297.0
2015-07-23,23184.0
2015-07-24,23918.0
2015-07-27,25126.0
2015-07-28,21972.0
2015-07-29,24086.0
2015-07-30,24895.0
2015-07-31,22332.0
2015-08-03,21045.0
2015-08-04,22732.0
2015-08-05,22002.0
2015-08-06,25761.0
2015-08-07,20394.0
2015-08-10,26608.0
2015-08-11,23833.0
2015-08-12,22176.0
2015-08-13,21367.0
2015-08-14,23438.0
2015-08-17,25748.0
2015-08-18,20981.0
2015-08-19,25085.0
2015-08-20,24262.0
2015-08-21,22546.0
2015-08-24,20839.0
2015-08-25,21552.0
2015-08-26,23336.0
2015-08-27,19595.0
2015-08-28,27482.0
2015-08-31,21612.0
2015-09-01,21448.0
2015-09-02,22951.0
2015-09-03,25011.0
2015-09-04,22763.0
2015-09-08,20402.0
2015-09-09,23583.0
2015-09-10,22314.0
2015-09-11,22632.0
2015-09-14,25577.0
2015-09-15,24594.0
2015-09-16,23721.0
2015-09-17,20679.0
2015-09-18,20855.0
2015-09-21,24654.0
2015-09-22,24873.0
2015-09-23,25889.0
2015-09-24,23610.0
2015-09-25,28760.0
2015-09-28,21435.0
2015-09-29,22652.0
2015-09-30,25575.0
2015-10-01,25240.0
2015-10-02,25836.0
2015-10-05,22818.0
2015-10-06,26808.0
2015-10-07,26444.0
2015-10-08,26742.0
2015-10-09,27564.0
2015-10-12,20062.0
2015-10-13,29929.0
2015-10-14,26814.0
2015-10-15,23710.0
2015-10-16,26021.0
2015-10-19,22901.0
