date,value
2015-03-31,33555.0
2015-04-01,34524.0
2015-04-02,37218.0
2015-04-06,34354.0
2015-04-07,37468.0
2015-04-08,32857.0
2015-04-09,38217.0
2015-04-10,37259.0
2015-04-13,36433.0
2015-04-14,34614.0
2015-04-15,37154.0
2015-04-16,38893.0
2015-04-17,38797.0
2015-04-20,39520.0
2015-04-21,41733.0
2015-04-22,32170.0
2015-04-23,33552.0
2015-04-24,32136.0
2015-04-27,36691.0
2015-04-28,36421.0
2015-04-29,33390.0
2015-04-30,41287.0
2015-05-01,35245.0
2015-05-04,36265.0
2015-05-05,32496.0
2015-05-06,44464.0
2015-05-07,37993.0
2015-05-08,35223.0
2015-05-11,34000.0
2015-05-12,36306.0
2015-05-13,35941.0
2015-05-14,31343.0
2015-05-15,39260.0
2015-05-18,37968.0
2015-05-19,37201.0
2015-05-20,34009.0
2015-05-21,35495.0
2015-05-22,39170.0
2015-05-26,35377.0
2015-05-27,41011.0
2015-05-28,30882.0
2015-05-29,41181.0
2015-06-01,38676.0
2015-06-02,32654.0
2015-06-03,36754.0
2015-06-04,35797.0
2015-06-05,36494.0
2015-06-08,41348.0
2015-06-09,38479.0
2015-06-10,40486.0
2015-06-11,39255.0
2015-06-12,40866.0
2015-06-15,44985.0
2015-06-16,43727.0
2015-06-17,37464.0
2015-06-18,35689.0
2015-06-19,42084.0
2015-06-22,35959.0
2015-06-23,42881.0
2015-06-24,42649.0
2015-06-25,31488.0
2015-06-26,42925.0
2015-06-29,35479.0
2015-06-30,37996.0
2015-07-01,37566.0
2015-07-02,36014.0
2015-07-06,34972.0
2015-07-07,44361.0
2015-07-08,46760.0
2015-07-09,44049.0
2015-07-10,37436.0
2015-07-13,41311.0
2015-07-14,42373.0
2015-07-15,41728.0
2015-07-16,45742.0
2015-07-17,43425.0
2015-07-20,34374.0
2015-07-21,50491.0
2015-07-22,36524.0
2015-07-23,35176.0
2015-07-24,33014.0
2015-07-27,40403.0
2015-07-28,35923.0
2015-07-29,43308.0
2015-07-30,43444.0
2015-07-31,37345.0
2015-08-03,38055.0
2015-08-04,34629.0
2015-08-05,45782.0
2015-08-06,37367.0
2015-08-07,44956.0
2015-08-10,45108.0
2015-08-11,34561.0
2015-08-12,33799.0
2015-08-13,41822.0
2015-08-14,37172.0
2015-08-17,46271.0
2015-08-18,42390.0
2015-08-19,42136.0
2015-08-20,41712.0
2015-08-21,41352.0
2015-08-24,34951.0
2015-08-25,40593.0
2015-08-26,36091.0
2015-08-27,42647.0
2015-08-28,36013.0
2015-08-31,44587.0
2015-09-01,45872.0
2015-09-02,35419.0
2015-09-03,34346.0
2015-09-04,34706.0
2015-09-08,36803.0
2015-09-09,40529.0
2015-09-10,40761.0
2015-09-11,40622.0
2015-09-14,44478.0
2015-09-15,40819.0
2015-09-16,39955.0
2015-09-17,42091.0
2015-09-18,39427.0
2015-09-21,44172.0
2015-09-22,40610.0
2015-09-23,39102.0
2015-09-24,38735.0
2015-09-25,36740.0
2015-09-28,46547.0
2015-09-29,48881.0
2015-09-30,45747.0
2015-10-01,39305.0
2015-10-02,50317.0
2015-10-05,43375.0
2015-10-06,39690.0
2015-10-07,44498.0
2015-10-08,38470.0
2015-10-09,40791.0
2015-10-12,41022.0
2015-10-13,46566.0
2015-10-14,34145.0
2015-10-15,38413.0
2015-10-16,38683.0
2015-10-19,40445.0
2015-10-20,34440.0
2015-10-21,40469.0
2015-10-22,44730.0
2015-10-23,46479.0
2015-10-26,50960.0
2015-10-27,37417.0
2015-10-28,38952.0
2015-10-29,39666.0
2015-10-30,39165.0
2015-11-02,43598.0
2015-11-03,42762.0
2015-11-04,43418.0
2015-11-05,38222.0
2015-11-06,35434.0
2015-11-09,43172.0
2015-11-10,34967.0
2015-11-11,36785.0
2015-11-12,43371.0
2015-11-13,45185.0
2015-11-16,44462.0
2015-11-17,36853.0
2015-11-18,42146.0
2015-11-19,37452.0
2015-11-20,52314.0
2015-11-23,41166.0
2015-11-24,42239.0
2015-11-25,42344.0
2015-11-27,43001.0
2015-11-30,44643.0
2015-12-01,45674.0
2015-12-02,46727.0
2015-12-03,38581.0
2015-12-04,44630.0
2015-12-07,37679.0
2015-12-08,47005.0
2015-12-09,42181.0
2015-12-10,39566.0
2015-12-11,35681.0
2015-12-14,46969.0
2015-12-15,39864.0
2015-12-16,51828.0
2015-12-17,44439.0
2015-12-18,47013.0
2015-12-21,41460.0
2015-12-22,41174.0
2015-12-23,40635.0
2015-12-24,48606.0
2015-12-28,37830.0
2015-12-29,43355.0
2015-12-30,36653.0
2015-12-31,38978.0
2016-01-04,45797.0
2016-01-05,44896.0
2016-01-06,43267.0
2016-01-07,44093.0
2016-01-08,41024.0
2016-01-11,44403.0
2016-01-12,43654.0
2016-01-13,46342.0
2016-01-14,38805.0
2016-01-15,43393.0
2016-01-19,42552.0
2016-01-20,34913.0
2016-01-21,44773.0
2016-01-22,38625.0
2016-01-25,45809.0
2016-01-26,44147.0
2016-01-27,45593.0
2016-01-28,38889.0
2016-01-29,46524.0
2016-02-01,39930.0
2016-02-02,36391.0
2016-02-03,42832.0
2016-02-04,44947.0
2016-02-05,41659.0
2016-02-08,45951.0
2016-02-09,40927.0
2016-02-10,45031.0
2016-02-11,44088.0
2016-02-12,41168.0
2016-02-16,57049.0
2016-02-17,44697.0
2016-02-18,42733.0
2016-02-19,41892.0
2016-02-22,48613.0
2016-02-23,44362.0
2016-02-24,49803.0
2016-02-25,48670.0
2016-02-26,44874.0
2016-02-29,43359.0
2016-03-01,36009.0
2016-03-02,41557.0
2016-03-03,42744.0
2016-03-04,40097.0
2016-03-07,39554.0
2016-03-08,34153.0
2016-03-09,41341.0
2016-03-10,52352.0
2016-03-11,36921.0
2016-03-14,34629.0
2016-03-15,40339.0
2016-03-16,37335.0
2016-03-17,44463.0
2016-03-18,32569.0
2016-03-21,39786.0
2016-03-22,50662.0
2016-03-23,41171.0
2016-03-24,39783.0
2016-03-28,41825.0
2016-03-29,41945.0
2016-03-30,48735.0
2016-03-31,48595.0
2016-04-01,44001.0
2016-04-04,35021.0
2016-04-05,37801.0
2016-04-06,42822.0
2016-04-07,50934.0
2016-04-08,40862.0
2016-04-11,46091.0
2016-04-12,45476.0
2016-04-13,39413.0
2016-04-14,51799.0
2016-04-15,40974.0
2016-04-18,46671.0
2016-04-19,39194.0
2016-04-20,42473.0
2016-04-21,46489.0
2016-04-22,41871.0
2016-04-25,33458.0
2016-04-26,52288.0
2016-04-27,45420.0
2016-04-28,48593.0
2016-04-29,45351.0
2016-05-02,49160.0
2016-05-03,35863.0
2016-05-04,53179.0
2016-05-05,42125.0
2016-05-06,34887.0
2016-05-09,46837.0
2016-05-10,46717.0
2016-05-11,52517.0
2016-05-12,37969.0
2016-05-13,42582.0
2016-05-16,52520.0
2016-05-17,47630.0
