date,value
2015-03-31,298212.0
2015-04-01,347000.0
2015-04-02,288688.0
2015-04-06,308781.0
2015-04-07,356888.0
2015-04-08,379104.0
2015-04-09,312710.0
2015-04-10,279640.0
2015-04-13,335857.0
2015-04-14,361574.0
2015-04-15,372201.0
2015-04-16,336040.0
2015-04-17,298001.0
2015-04-20,339990.0
2015-04-21,252684.0
2015-04-22,315542.0
2015-04-23,310618.0
2015-04-24,305447.0
2015-04-27,314659.0
2015-04-28,294726.0
2015-04-29,333586.0
2015-04-30,307836.0
2015-05-01,271133.0
2015-05-04,317168.0
2015-05-05,281246.0
2015-05-06,279264.0
2015-05-07,367733.0
2015-05-08,326373.0
2015-05-11,309952.0
2015-05-12,344057.0
2015-05-13,319771.0
2015-05-14,311180.0
2015-05-15,296567.0
2015-05-18,311518.0
2015-05-19,301587.0
2015-05-20,336431.0
2015-05-21,314687.0
2015-05-22,284094.0
2015-05-26,324075.0
2015-05-27,289845.0
2015-05-28,299499.0
2015-05-29,291108.0
2015-06-01,277812.0
2015-06-02,281756.0
2015-06-03,294261.0
2015-06-04,307042.0
2015-06-05,299710.0
2015-06-08,311235.0
2015-06-09,304704.0
2015-06-10,290101.0
2015-06-11,299347.0
2015-06-12,269723.0
2015-06-15,334132.0
2015-06-16,278978.0
2015-06-17,296962.0
2015-06-18,301745.0
2015-06-19,289892.0
2015-06-22,306491.0
2015-06-23,341594.0
2015-06-24,279735.0
2015-06-25,286581.0
2015-06-26,239533.0
2015-06-29,245700.0
2015-06-30,249417.0
2015-07-01,296180.0
2015-07-02,316654.0
2015-07-06,281385.0
2015-07-07,278077.0
2015-07-08,269492.0
2015-07-09,311951.0
2015-07-10,263607.0
2015-07-13,298065.0
2015-07-14,318899.0
2015-07-15,292773.0
2015-07-16,299866.0
2015-07-17,304203.0
2015-07-20,258276.0
2015-07-21,296410.0
2015-07-22,314949.0
2015-07-23,304741.0
2015-07-24,286979.0
2015-07-27,300720.0
2015-07-28,332718.0
2015-07-29,268051.0
2015-07-30,273772.0
2015-07-31,356263.0
2015-08-03,386865.0
2015-08-04,321810.0
2015-08-05,303245.0
2015-08-06,267218.0
2015-08-07,373354.0
2015-08-10,320284.0
2015-08-11,331866.0
2015-08-12,292403.0
2015-08-13,284331.0
2015-08-14,307427.0
2015-08-17,310837.0
2015-08-18,321121.0
2015-08-19,314784.0
2015-08-20,276220.0
2015-08-21,317405.0
2015-08-24,323348.0
2015-08-25,335324.0
2015-08-26,352354.0
2015-08-27,363781.0
2015-08-28,285696.0
2015-08-31,394347.0
2015-09-01,289973.0
2015-09-02,342241.0
2015-09-03,306331.0
2015-09-04,302814.0
2015-09-08,336054.0
2015-09-09,325927.0
2015-09-10,335656.0
2015-09-11,308933.0
2015-09-14,303409.0
2015-09-15,304805.0
2015-09-16,253726.0
2015-09-17,341397.0
2015-09-18,376278.0
2015-09-21,329874.0
2015-09-22,393357.0
2015-09-23,349965.0
2015-09-24,341695.0
2015-09-25,272819.0
2015-09-28,344208.0
2015-09-29,338363.0
2015-09-30,357769.0
2015-10-01,341162.0
2015-10-02,320832.0
2015-10-05,317712.0
2015-10-06,297312.0
2015-10-07,346770.0
2015-10-08,292485.0
2015-10-09,326001.0
2015-10-12,268986.0
2015-10-13,381714.0
2015-10-14,404901.0
2015-10-15,340199.0
2015-10-16,381095.0
2015-10-19,304687.0
2015-10-20,350654.0
2015-10-21,344444.0
2015-10-22,351003.0
2015-10-23,326978.0
2015-10-26,293893.0
2015-10-27,304252.0
2015-10-28,275056.0
2015-10-29,339056.0
2015-10-30,306253.0
2015-11-02,356459.0
2015-11-03,375945.0
2015-11-04,295305.0
2015-11-05,366055.0
2015-11-06,345885.0
2015-11-09,354603.0
2015-11-10,272146.0
2015-11-11,295082.0
2015-11-12,310593.0
