date,value
2015-03-31,157376.0
2015-04-01,175541.0
2015-04-02,176437.0
2015-04-06,176527.0
2015-04-07,166764.0
2015-04-08,144144.0
2015-04-09,153332.0
2015-04-10,128522.0
2015-04-13,155173.0
2015-04-14,153057.0
2015-04-15,124449.0
2015-04-16,144913.0
2015-04-17,134530.0
2015-04-20,156080.0
2015-04-21,159076.0
2015-04-22,133784.0
2015-04-23,172681.0
2015-04-24,142103.0
2015-04-27,153083.0
2015-04-28,157774.0
2015-04-29,139713.0
2015-04-30,135232.0
2015-05-01,164873.0
2015-05-04,139441.0
2015-05-05,146343.0
2015-05-06,136560.0
2015-05-07,148139.0
2015-05-08,163643.0
2015-05-11,164530.0
2015-05-12,154252.0
2015-05-13,151582.0
2015-05-14,134646.0
2015-05-15,135616.0
2015-05-18,130729.0
2015-05-19,156989.0
2015-05-20,135791.0
2015-05-21,142269.0
2015-05-22,123497.0
2015-05-26,139904.0
2015-05-27,141018.0
2015-05-28,134228.0
2015-05-29,124092.0
2015-06-01,131250.0
2015-06-02,144026.0
2015-06-03,117228.0
2015-06-04,124423.0
2015-06-05,132469.0
2015-06-08,122036.0
2015-06-09,112602.0
2015-06-10,98426.0
2015-06-11,134900.0
2015-06-12,128487.0
2015-06-15,117782.0
2015-06-16,127083.0
2015-06-17,90933.0
2015-06-18,121025.0
2015-06-19,122651.0
2015-06-22,123450.0
2015-06-23,105280.0
2015-06-24,132398.0
2015-06-25,117884.0
2015-06-26,101968.0
2015-06-29,103060.0
2015-06-30,120158.0
2015-07-01,120729.0
2015-07-02,110928.0
2015-07-06,107656.0
2015-07-07,108979.0
2015-07-08,114650.0
2015-07-09,119747.0
2015-07-10,108995.0
2015-07-13,117246.0
2015-07-14,110521.0
2015-07-15,134106.0
2015-07-16,119892.0
2015-07-17,129700.0
2015-07-20,130458.0
2015-07-21,119218.0
2015-07-22,117712.0
2015-07-23,111655.0
2015-07-24,101192.0
2015-07-27,133525.0
2015-07-28,107311.0
2015-07-29,95076.0
2015-07-30,108394.0
2015-07-31,132843.0
2015-08-03,146182.0
2015-08-04,117824.0
2015-08-05,132522.0
2015-08-06,91145.0
2015-08-07,133935.0
2015-08-10,134630.0
2015-08-11,116207.0
2015-08-12,125252.0
2015-08-13,113105.0
2015-08-14,110989.0
2015-08-17,128585.0
2015-08-18,122679.0
2015-08-19,132983.0
2015-08-20,130358.0
2015-08-21,109322.0
2015-08-24,120229.0
2015-08-25,118568.0
2015-08-26,118752.0
2015-08-27,110413.0
2015-08-28,106736.0
2015-08-31,134444.0
2015-09-01,122001.0
2015-09-02,120891.0
2015-09-03,114747.0
2015-09-04,109546.0
2015-09-08,140494.0
2015-09-09,122542.0
2015-09-10,115937.0
2015-09-11,115058.0
2015-09-14,114282.0
2015-09-15,133701.0
2015-09-16,102104.0
2015-09-17,123554.0
2015-09-18,115989.0
2015-09-21,90791.0
2015-09-22,122965.0
2015-09-23,135290.0
2015-09-24,135267.0
2015-09-25,128110.0
2015-09-28,105448.0
2015-09-29,112088.0
2015-09-30,125909.0
2015-10-01,116138.0
2015-10-02,121246.0
2015-10-05,141587.0
2015-10-06,112759.0
2015-10-07,114038.0
2015-10-08,122277.0
2015-10-09,129661.0
2015-10-12,140047.0
2015-10-13,94215.0
2015-10-14,122074.0
2015-10-15,120712.0
2015-10-16,114141.0
2015-10-19,122446.0
2015-10-20,132330.0
2015-10-21,125272.0
2015-10-22,141758.0
2015-10-23,112517.0
2015-10-26,114448.0
2015-10-27,115240.0
2015-10-28,119748.0
2015-10-29,129829.0
2015-10-30,126736.0
2015-11-02,128282.0
2015-11-03,107069.0
2015-11-04,123116.0
2015-11-05,96466.0
2015-11-06,116834.0
2015-11-09,116365.0
2015-11-10,113586.0
2015-11-11,124564.0
2015-11-12,115686.0
2015-11-13,100148.0
2015-11-16,109818.0
2015-11-17,111902.0
2015-11-18,131033.0
2015-11-19,128009.0
2015-11-20,103675.0
2015-11-23,108056.0
2015-11-24,111963.0
2015-11-25,122842.0
2015-11-27,99906.0
2015-11-30,117879.0
2015-12-01,128726.0
2015-12-02,143228.0
2015-12-03,121106.0
2015-12-04,104007.0
2015-12-07,117803.0
2015-12-08,120732.0
2015-12-09,123417.0
2015-12-10,110508.0
2015-12-11,129750.0
2015-12-14,100610.0
2015-12-15,102158.0
2015-12-16,101409.0
2015-12-17,117637.0
2015-12-18,121300.0
2015-12-21,99617.0
2015-12-22,110488.0
2015-12-23,133400.0
2015-12-24,108811.0
2015-12-28,101293.0
2015-12-29,128117.0
2015-12-30,101636.0
2015-12-31,107170.0
2016-01-04,108015.0
2016-01-05,112258.0
2016-01-06,130551.0
2016-01-07,127566.0
2016-01-08,104336.0
2016-01-11,105552.0
2016-01-12,106659.0
2016-01-13,95915.0
2016-01-14,120144.0
2016-01-15,120404.0
2016-01-19,100391.0
2016-01-20,123762.0
2016-01-21,115725.0
2016-01-22,106585.0
2016-01-25,114854.0
2016-01-26,109063.0
2016-01-27,92920.0
2016-01-28,114045.0
2016-01-29,96556.0
2016-02-01,107738.0
2016-02-02,114934.0
2016-02-03,115659.0
2016-02-04,133103.0
2016-02-05,110844.0
2016-02-08,115240.0
2016-02-09,95218.0
2016-02-10,103389.0
2016-02-11,123543.0
2016-02-12,128120.0
2016-02-16,120804.0
2016-02-17,135309.0
2016-02-18,126090.0
2016-02-19,119076.0
2016-02-22,123423.0
2016-02-23,109173.0
2016-02-24,121626.0
2016-02-25,125924.0
2016-02-26,105347.0
2016-02-29,102923.0
2016-03-01,150921.0
2016-03-02,111068.0
2016-03-03,131398.0
2016-03-04,106175.0
2016-03-07,101945.0
2016-03-08,110479.0
2016-03-09,119143.0
2016-03-10,119547.0
2016-03-11,141740.0
2016-03-14,145641.0
2016-03-15,108082.0
2016-03-16,128487.0
2016-03-17,129301.0
2016-03-18,136540.0
2016-03-21,119505.0
2016-03-22,154340.0
2016-03-23,128074.0
2016-03-24,132056.0
2016-03-28,139968.0
2016-03-29,111109.0
2016-03-30,115279.0
2016-03-31,125099.0
2016-04-01,133171.0
2016-04-04,147896.0
2016-04-05,133265.0
2016-04-06,161541.0
2016-04-07,139178.0
2016-04-08,127572.0
2016-04-11,136745.0
2016-04-12,145093.0
2016-04-13,126562.0
2016-04-14,146892.0
2016-04-15,131330.0
2016-04-18,144578.0
2016-04-19,132402.0
2016-04-20,117284.0
2016-04-21,144343.0
2016-04-22,122911.0
2016-04-25,114592.0
2016-04-26,136818.0
2016-04-27,137626.0
2016-04-28,118943.0
2016-04-29,119381.0
2016-05-02,121687.0
2016-05-03,133406.0
2016-05-04,122797.0
2016-05-05,121184.0
2016-05-06,142024.0
2016-05-09,120946.0
2016-05-10,119203.0
2016-05-11,132377.0
2016-05-12,134574.0
2016-05-13,113685.0
2016-05-16,130043.0
2016-05-17,121519.0
2016-05-18,107678.0
2016-05-19,120652.0
2016-05-20,116467.0
2016-05-23,110130.0
2016-05-24,135031.0
2016-05-25,114784.0
2016-05-26,118746.0
2016-05-27,98602.0
2016-05-31,108337.0
2016-06-01,108689.0
2016-06-02,119684.0
2016-06-03,103358.0
2016-06-06,107353.0
2016-06-07,107108.0
2016-06-08,110009.0
2016-06-09,101002.0
2016-06-10,113457.0
2016-06-13,116526.0
2016-06-14,106377.0
2016-06-15,118298.0
2016-06-16,129571.0
2016-06-17,125091.0
2016-06-20,107866.0
2016-06-21,105531.0
2016-06-22,101701.0
2016-06-23,126817.0
2016-06-24,106824.0
2016-06-27,103925.0
