date,value
2015-03-31,134843.0
2015-04-01,132742.0
2015-04-02,149429.0
2015-04-06,130297.0
2015-04-07,158855.0
2015-04-08,128074.0
2015-04-09,114096.0
2015-04-10,136284.0
2015-04-13,174809.0
2015-04-14,139486.0
2015-04-15,142157.0
2015-04-16,106955.0
2015-04-17,171710.0
2015-04-20,150695.0
2015-04-21,121511.0
2015-04-22,166897.0
2015-04-23,142600.0
2015-04-24,163616.0
2015-04-27,153436.0
2015-04-28,119119.0
2015-04-29,147392.0
2015-04-30,130780.0
2015-05-01,158854.0
2015-05-04,180504.0
2015-05-05,143195.0
2015-05-06,130906.0
2015-05-07,146900.0
2015-05-08,175726.0
2015-05-11,192664.0
2015-05-12,158565.0
2015-05-13,160660.0
2015-05-14,152271.0
2015-05-15,178697.0
2015-05-18,175425.0
2015-05-19,184055.0
2015-05-20,153184.0
2015-05-21,161355.0
2015-05-22,177318.0
2015-05-26,154407.0
2015-05-27,161873.0
2015-05-28,172538.0
2015-05-29,139635.0
2015-06-01,166100.0
2015-06-02,158201.0
2015-06-03,206042.0
2015-06-04,168821.0
2015-06-05,176235.0
2015-06-08,140393.0
2015-06-09,184848.0
2015-06-10,195939.0
2015-06-11,176253.0
2015-06-12,181547.0
2015-06-15,200064.0
2015-06-16,218759.0
2015-06-17,220548.0
2015-06-18,203233.0
2015-06-19,201779.0
2015-06-22,207279.0
2015-06-23,219311.0
2015-06-24,176261.0
2015-06-25,181639.0
2015-06-26,137486.0
2015-06-29,233080.0
2015-06-30,181718.0
2015-07-01,198882.0
2015-07-02,198338.0
2015-07-06,200163.0
2015-07-07,172002.0
2015-07-08,229069.0
2015-07-09,211439.0
2015-07-10,181344.0
2015-07-13,168110.0
2015-07-14,196865.0
2015-07-15,207556.0
2015-07-16,208018.0
2015-07-17,215694.0
2015-07-20,221260.0
2015-07-21,198794.0
2015-07-22,147845.0
2015-07-23,204779.0
2015-07-24,165272.0
2015-07-27,170146.0
2015-07-28,174047.0
2015-07-29,223285.0
2015-07-30,221341.0
2015-07-31,213087.0
2015-08-03,174266.0
2015-08-04,171735.0
2015-08-05,207572.0
2015-08-06,197795.0
2015-08-07,204957.0
