date,value
2015-03-31,12976.0
2015-04-01,16254.0
2015-04-02,15359.0
2015-04-06,15143.0
2015-04-07,12893.0
2015-04-08,12191.0
2015-04-09,12917.0
2015-04-10,11316.0
2015-04-13,15148.0
2015-04-14,13276.0
2015-04-15,13854.0
2015-04-16,13772.0
2015-04-17,14184.0
2015-04-20,14018.0
2015-04-21,15530.0
2015-04-22,13697.0
2015-04-23,13957.0
2015-04-24,14053.0
2015-04-27,11373.0
2015-04-28,15940.0
2015-04-29,14060.0
2015-04-30,17263.0
2015-05-01,14979.0
2015-05-04,12516.0
2015-05-05,13671.0
2015-05-06,11052.0
2015-05-07,14137.0
2015-05-08,14453.0
2015-05-11,15338.0
2015-05-12,15211.0
2015-05-13,12797.0
2015-05-14,16460.0
2015-05-15,13995.0
2015-05-18,14475.0
2015-05-19,14562.0
2015-05-20,12511.0
2015-05-21,14743.0
2015-05-22,14352.0
2015-05-26,15132.0
2015-05-27,14324.0
2015-05-28,15711.0
2015-05-29,13612.0
2015-06-01,14322.0
2015-06-02,15656.0
2015-06-03,15332.0
2015-06-04,14579.0
2015-06-05,11412.0
2015-06-08,12637.0
2015-06-09,18206.0
2015-06-10,16209.0
2015-06-11,12415.0
2015-06-12,15893.0
2015-06-15,13598.0
2015-06-16,15111.0
2015-06-17,15332.0
2015-06-18,16449.0
2015-06-19,13983.0
2015-06-22,15188.0
2015-06-23,15322.0
2015-06-24,17472.0
2015-06-25,13497.0
2015-06-26,14625.0
2015-06-29,15272.0
2015-06-30,14353.0
2015-07-01,16677.0
2015-07-02,15161.0
2015-07-06,15607.0
2015-07-07,15157.0
2015-07-08,14954.0
2015-07-09,16437.0
2015-07-10,11104.0
2015-07-13,13180.0
2015-07-14,14627.0
2015-07-15,14513.0
2015-07-16,14244.0
2015-07-17,14437.0
2015-07-20,15740.0
2015-07-21,15137.0
2015-07-22,14911.0
2015-07-23,13163.0
2015-07-24,15492.0
2015-07-27,13794.0
2015-07-28,13438.0
2015-07-29,14272.0
2015-07-30,14237.0
