date,value
2015-03-31,176829.0
2015-04-01,170974.0
2015-04-02,158101.0
2015-04-06,162557.0
2015-04-07,172133.0
2015-04-08,169866.0
2015-04-09,178247.0
2015-04-10,152598.0
2015-04-13,160029.0
2015-04-14,188899.0
2015-04-15,202565.0
2015-04-16,154890.0
2015-04-17,139506.0
2015-04-20,158327.0
2015-04-21,167469.0
2015-04-22,206567.0
2015-04-23,208948.0
2015-04-24,226659.0
2015-04-27,175214.0
2015-04-28,173127.0
2015-04-29,165337.0
2015-04-30,168090.0
2015-05-01,166857.0
2015-05-04,154393.0
2015-05-05,152138.0
2015-05-06,181143.0
2015-05-07,157892.0
2015-05-08,166084.0
2015-05-11,171140.0
2015-05-12,173603.0
2015-05-13,189468.0
2015-05-14,169500.0
2015-05-15,143063.0
2015-05-18,177100.0
2015-05-19,191186.0
2015-05-20,200928.0
2015-05-21,157558.0
2015-05-22,191151.0
2015-05-26,155544.0
2015-05-27,189350.0
2015-05-28,174409.0
2015-05-29,174151.0
2015-06-01,182414.0
2015-06-02,165188.0
2015-06-03,157558.0
2015-06-04,197511.0
2015-06-05,161818.0
2015-06-08,178082.0
2015-06-09,203810.0
2015-06-10,175966.0
2015-06-11,179332.0
2015-06-12,170304.0
2015-06-15,163602.0
2015-06-16,169247.0
2015-06-17,169521.0
2015-06-18,160535.0
2015-06-19,166816.0
2015-06-22,179725.0
2015-06-23,186305.0
2015-06-24,159779.0
2015-06-25,181176.0
2015-06-26,173624.0
2015-06-29,148799.0
2015-06-30,154703.0
2015-07-01,154524.0
2015-07-02,164932.0
2015-07-06,171868.0
2015-07-07,194712.0
2015-07-08,170561.0
2015-07-09,200087.0
2015-07-10,195695.0
2015-07-13,136226.0
2015-07-14,160634.0
2015-07-15,186362.0
2015-07-16,190192.0
2015-07-17,171269.0
2015-07-20,167467.0
2015-07-21,188963.0
2015-07-22,171320.0
2015-07-23,155952.0
2015-07-24,166308.0
2015-07-27,169286.0
2015-07-28,181828.0
2015-07-29,197019.0
2015-07-30,186810.0
2015-07-31,161648.0
2015-08-03,164700.0
2015-08-04,162526.0
2015-08-05,155792.0
2015-08-06,164345.0
2015-08-07,157240.0
2015-08-10,173705.0
2015-08-11,177141.0
2015-08-12,169477.0
2015-08-13,171015.0
2015-08-14,181464.0
2015-08-17,168484.0
2015-08-18,154280.0
2015-08-19,142680.0
2015-08-20,190293.0
2015-08-21,205940.0
2015-08-24,146982.0
2015-08-25,187874.0
2015-08-26,170640.0
2015-08-27,174984.0
2015-08-28,148552.0
2015-08-31,181618.0
2015-09-01,167332.0
2015-09-02,148341.0
2015-09-03,176349.0
2015-09-04,154018.0
2015-09-08,194073.0
2015-09-09,198407.0
2015-09-10,169952.0
2015-09-11,186541.0
2015-09-14,179207.0
2015-09-15,196049.0
2015-09-16,151865.0
2015-09-17,176000.0
2015-09-18,164058.0
2015-09-21,136349.0
2015-09-22,173574.0
2015-09-23,167992.0
2015-09-24,187604.0
2015-09-25,166574.0
2015-09-28,156433.0
2015-09-29,172432.0
2015-09-30,143308.0
2015-10-01,155078.0
2015-10-02,192245.0
2015-10-05,170419.0
2015-10-06,170713.0
2015-10-07,146672.0
2015-10-08,158409.0
2015-10-09,150820.0
2015-10-12,151415.0
2015-10-13,171596.0
