date,value
2015-03-31,14199.0
2015-04-01,13122.0
2015-04-02,13126.0
2015-04-06,14333.0
2015-04-07,15186.0
2015-04-08,13356.0
2015-04-09,14257.0
2015-04-10,13029.0
2015-04-13,14160.0
2015-04-14,13080.0
2015-04-15,12909.0
2015-04-16,13025.0
2015-04-17,13969.0
2015-04-20,13124.0
2015-04-21,12793.0
2015-04-22,14450.0
2015-04-23,11046.0
2015-04-24,13879.0
2015-04-27,12465.0
2015-04-28,14567.0
2015-04-29,13122.0
2015-04-30,14134.0
2015-05-01,13369.0
2015-05-04,13040.0
2015-05-05,13855.0
2015-05-06,14586.0
2015-05-07,14104.0
2015-05-08,13169.0
2015-05-11,12104.0
2015-05-12,15909.0
2015-05-13,15635.0
2015-05-14,12718.0
2015-05-15,15074.0
2015-05-18,14722.0
2015-05-19,16316.0
2015-05-20,14335.0
2015-05-21,15073.0
2015-05-22,14057.0
2015-05-26,14273.0
2015-05-27,12371.0
2015-05-28,12310.0
2015-05-29,12664.0
2015-06-01,15656.0
2015-06-02,16154.0
2015-06-03,12688.0
2015-06-04,13222.0
2015-06-05,14444.0
2015-06-08,11725.0
2015-06-09,15301.0
2015-06-10,15005.0
2015-06-11,11567.0
2015-06-12,16362.0
2015-06-15,14007.0
2015-06-16,14698.0
2015-06-17,15131.0
2015-06-18,13458.0
2015-06-19,15100.0
2015-06-22,15518.0
2015-06-23,12782.0
2015-06-24,13204.0
2015-06-25,14777.0
2015-06-26,12524.0
2015-06-29,13198.0
2015-06-30,13370.0
2015-07-01,12481.0
2015-07-02,11819.0
2015-07-06,13033.0
2015-07-07,12216.0
2015-07-08,13807.0
2015-07-09,12388.0
2015-07-10,13194.0
2015-07-13,11722.0
2015-07-14,12102.0
2015-07-15,11449.0
2015-07-16,10397.0
2015-07-17,12284.0
2015-07-20,9226.0
2015-07-21,9398.0
2015-07-22,10658.0
2015-07-23,13126.0
2015-07-24,11132.0
2015-07-27,9921.0
2015-07-28,10119.0
2015-07-29,10390.0
2015-07-30,8820.0
2015-07-31,9201.0
2015-08-03,10584.0
2015-08-04,10289.0
2015-08-05,7549.0
2015-08-06,8895.0
2015-08-07,9761.0
2015-08-10,8064.0
2015-08-11,9993.0
2015-08-12,8250.0
2015-08-13,9006.0
2015-08-14,8510.0
2015-08-17,6935.0
2015-08-18,7510.0
2015-08-19,8838.0
2015-08-20,8063.0
2015-08-21,7174.0
2015-08-24,6802.0
2015-08-25,7552.0
2015-08-26,6442.0
2015-08-27,6125.0
2015-08-28,6869.0
2015-08-31,6973.0
2015-09-01,5729.0
2015-09-02,5271.0
2015-09-03,6298.0
2015-09-04,6154.0
2015-09-08,4909.0
2015-09-09,4317.0
2015-09-10,3934.0
2015-09-11,4923.0
2015-09-14,4248.0
2015-09-15,4245.0
2015-09-16,3751.0
2015-09-17,3795.0
2015-09-18,3621.0
2015-09-21,2960.0
2015-09-22,3730.0
2015-09-23,2678.0
2015-09-24,3173.0
2015-09-25,3011.0
2015-09-28,2342.0
2015-09-29,2036.0
2015-09-30,2549.0
2015-10-01,2015.0
2015-10-02,2258.0
2015-10-05,2872.0
2015-10-06,2915.0
2015-10-07,3328.0
2015-10-08,3107.0
2015-10-09,3522.0
2015-10-12,3798.0
2015-10-13,3935.0
2015-10-14,4434.0
2015-10-15,4060.0
2015-10-16,3875.0
2015-10-19,5175.0
2015-10-20,4930.0
2015-10-21,4855.0
2015-10-22,4274.0
2015-10-23,4921.0
2015-10-26,5471.0
2015-10-27,5475.0
2015-10-28,6362.0
2015-10-29,5824.0
2015-10-30,6082.0
2015-11-02,5980.0
2015-11-03,6163.0
2015-11-04,6746.0
2015-11-05,5954.0
2015-11-06,6602.0
2015-11-09,7354.0
2015-11-10,7353.0
2015-11-11,6713.0
2015-11-12,7694.0
2015-11-13,9003.0
2015-11-16,8578.0
2015-11-17,8808.0
2015-11-18,8044.0
2015-11-19,7692.0
2015-11-20,9711.0
2015-11-23,9001.0
2015-11-24,10092.0
2015-11-25,10337.0
2015-11-27,9321.0
2015-11-30,10254.0
2015-12-01,11986.0
2015-12-02,11747.0
2015-12-03,11548.0
2015-12-04,10588.0
2015-12-07,10203.0
2015-12-08,9939.0
2015-12-09,10891.0
2015-12-10,11416.0
2015-12-11,10669.0
2015-12-14,14220.0
2015-12-15,11583.0
2015-12-16,10100.0
2015-12-17,14443.0
2015-12-18,12631.0
2015-12-21,13118.0
2015-12-22,13046.0
2015-12-23,13105.0
2015-12-24,11434.0
2015-12-28,12067.0
2015-12-29,14576.0
2015-12-30,13110.0
2015-12-31,13425.0
2016-01-04,12114.0
2016-01-05,15593.0
2016-01-06,11475.0
2016-01-07,12936.0
2016-01-08,12915.0
2016-01-11,15021.0
2016-01-12,13484.0
2016-01-13,14092.0
2016-01-14,13780.0
2016-01-15,12766.0
2016-01-19,14315.0
2016-01-20,13288.0
2016-01-21,14035.0
2016-01-22,13960.0
2016-01-25,15121.0
2016-01-26,12930.0
2016-01-27,14548.0
2016-01-28,13350.0
2016-01-29,14489.0
2016-02-01,12816.0
2016-02-02,16138.0
2016-02-03,16103.0
2016-02-04,14645.0
2016-02-05,11865.0
2016-02-08,13548.0
2016-02-09,14693.0
2016-02-10,13342.0
2016-02-11,14961.0
2016-02-12,13691.0
2016-02-16,12640.0
2016-02-17,13387.0
2016-02-18,13984.0
2016-02-19,12437.0
2016-02-22,13740.0
2016-02-23,12621.0
2016-02-24,12030.0
2016-02-25,14710.0
2016-02-26,16955.0
2016-02-29,14843.0
2016-03-01,12272.0
2016-03-02,14550.0
2016-03-03,14648.0
2016-03-04,16644.0
2016-03-07,16964.0
2016-03-08,16261.0
2016-03-09,14895.0
2016-03-10,15132.0
2016-03-11,13288.0
2016-03-14,15378.0
2016-03-15,14141.0
2016-03-16,12430.0
2016-03-17,11861.0
2016-03-18,14538.0
2016-03-21,14076.0
2016-03-22,13006.0
2016-03-23,11945.0
2016-03-24,16781.0
2016-03-28,12062.0
2016-03-29,13358.0
2016-03-30,17152.0
2016-03-31,15485.0
2016-04-01,14997.0
2016-04-04,12301.0
2016-04-05,11442.0
2016-04-06,14126.0
2016-04-07,16997.0
2016-04-08,15066.0
2016-04-11,15631.0
2016-04-12,16441.0
2016-04-13,16552.0
2016-04-14,15401.0
2016-04-15,12474.0
2016-04-18,15911.0
2016-04-19,12741.0
2016-04-20,13944.0
2016-04-21,13308.0
2016-04-22,10630.0
2016-04-25,15093.0
2016-04-26,15399.0
2016-04-27,14505.0
2016-04-28,14279.0
2016-04-29,15943.0
2016-05-02,13803.0
2016-05-03,16435.0
2016-05-04,13667.0
2016-05-05,12398.0
2016-05-06,14028.0
2016-05-09,16744.0
2016-05-10,12463.0
2016-05-11,16372.0
2016-05-12,13898.0
2016-05-13,13530.0
2016-05-16,12274.0
2016-05-17,15179.0
2016-05-18,15737.0
2016-05-19,14404.0
2016-05-20,12337.0
2016-05-23,14787.0
2016-05-24,12019.0
2016-05-25,13867.0
2016-05-26,11416.0
2016-05-27,15027.0
2016-05-31,13322.0
2016-06-01,15047.0
2016-06-02,16414.0
2016-06-03,13784.0
2016-06-06,13197.0
2016-06-07,15846.0
2016-06-08,14683.0
2016-06-09,11211.0
2016-06-10,12771.0
2016-06-13,14906.0
2016-06-14,12550.0
2016-06-15,12262.0
2016-06-16,13360.0
2016-06-17,15138.0
2016-06-20,15209.0
2016-06-21,14942.0
2016-06-22,13492.0
2016-06-23,9461.0
2016-06-24,14310.0
2016-06-27,15129.0
2016-06-28,13001.0
2016-06-29,15412.0
2016-06-30,13351.0
2016-07-01,14841.0
2016-07-05,14102.0
2016-07-06,14413.0
2016-07-07,13549.0
2016-07-08,13838.0
2016-07-11,17009.0
2016-07-12,15119.0
2016-07-13,13986.0
2016-07-14,16589.0
2016-07-15,15851.0
2016-07-18,12679.0
2016-07-19,12578.0
2016-07-20,15892.0
2016-07-21,12873.0
2016-07-22,13764.0
2016-07-25,16205.0
2016-07-26,14035.0
2016-07-27,14690.0
2016-07-28,13004.0
2016-07-29,13650.0
2016-08-01,13912.0
2016-08-02,15761.0
2016-08-03,13035.0
