date,value
2017-10-02,199742.0
2017-10-03,212548.0
2017-10-04,226800.0
2017-10-05,228232.0
2017-10-06,198208.0
2017-10-09,215753.0
2017-10-10,194550.0
2017-10-11,189900.0
2017-10-12,217522.0
2017-10-13,205112.0
2017-10-16,193099.0
2017-10-17,219615.0
2017-10-18,209341.0
2017-10-19,190206.0
2017-10-20,183482.0
2017-10-23,169123.0
2017-10-24,210535.0
2017-10-25,193737.0
2017-10-26,185285.0
2017-10-27,179315.0
2017-10-30,214524.0
2017-10-31,219727.0
2017-11-01,206819.0
2017-11-02,208283.0
2017-11-03,153447.0
2017-11-06,221032.0
2017-11-07,208531.0
2017-11-08,208685.0
2017-11-09,212152.0
2017-11-10,191342.0
2017-11-13,250969.0
2017-11-14,179738.0
2017-11-15,193917.0
2017-11-16,173358.0
2017-11-17,184790.0
2017-11-20,195448.0
2017-11-21,226394.0
2017-11-22,207083.0
2017-11-24,209734.0
2017-11-27,230518.0
2017-11-28,198218.0
2017-11-29,198546.0
2017-11-30,179337.0
2017-12-01,196046.0
2017-12-04,239066.0
2017-12-05,216157.0
2017-12-06,227464.0
2017-12-07,215148.0
2017-12-08,212035.0
2017-12-11,216586.0
2017-12-12,202155.0
2017-12-13,238222.0
2017-12-14,206124.0
2017-12-15,204381.0
2017-12-18,157521.0
2017-12-19,167363.0
2017-12-20,219725.0
2017-12-21,238015.0
2017-12-22,225680.0
2017-12-26,206946.0
2017-12-27,198663.0
2017-12-28,220129.0
2017-12-29,203207.0
2018-01-02,243368.0
2018-01-03,214976.0
2018-01-04,178153.0
2018-01-05,196032.0
2018-01-08,205801.0
2018-01-09,179226.0
2018-01-10,217716.0
2018-01-11,220956.0
2018-01-12,214345.0
2018-01-16,211830.0
2018-01-17,211417.0
2018-01-18,189561.0
2018-01-19,221302.0
2018-01-22,197326.0
2018-01-23,200280.0
2018-01-24,175559.0
2018-01-25,220274.0
2018-01-26,178883.0
2018-01-29,186071.0
2018-01-30,230154.0
2018-01-31,187110.0
2018-02-01,225306.0
2018-02-02,204518.0
2018-02-05,186802.0
2018-02-06,217700.0
2018-02-07,204664.0
2018-02-08,223852.0
2018-02-09,230212.0
2018-02-12,199052.0
2018-02-13,178829.0
2018-02-14,183818.0
2018-02-15,201350.0
2018-02-16,213021.0
2018-02-20,211204.0
2018-02-21,200563.0
2018-02-22,225925.0
2018-02-23,207164.0
2018-02-26,196511.0
2018-02-27,227149.0
2018-02-28,208754.0
2018-03-01,189602.0
2018-03-02,176743.0
2018-03-05,179293.0
2018-03-06,150733.0
2018-03-07,205004.0
2018-03-08,204276.0
2018-03-09,212610.0
2018-03-12,204968.0
2018-03-13,173584.0
2018-03-14,151350.0
2018-03-15,209024.0
2018-03-16,208075.0
2018-03-19,205328.0
2018-03-20,202297.0
2018-03-21,196766.0
2018-03-22,212564.0
2018-03-23,178928.0
2018-03-26,201761.0
2018-03-27,194611.0
2018-03-28,207117.0
2018-03-29,174583.0
2018-04-02,191255.0
2018-04-03,181984.0
2018-04-04,227337.0
2018-04-05,185858.0
2018-04-06,222383.0
2018-04-09,195830.0
2018-04-10,207175.0
2018-04-11,197501.0
2018-04-12,202835.0
2018-04-13,207782.0
2018-04-16,204197.0
2018-04-17,200469.0
2018-04-18,208110.0
2018-04-19,157750.0
2018-04-20,190151.0
2018-04-23,190046.0
2018-04-24,198268.0
2018-04-25,204081.0
2018-04-26,206102.0
2018-04-27,211717.0
2018-04-30,201615.0
2018-05-01,196476.0
2018-05-02,215011.0
2018-05-03,204623.0
2018-05-04,186403.0
2018-05-07,196138.0
2018-05-08,211013.0
2018-05-09,210175.0
2018-05-10,200855.0
2018-05-11,207251.0
2018-05-14,172186.0
2018-05-15,194308.0
2018-05-16,198479.0
2018-05-17,188118.0
2018-05-18,223507.0
2018-05-21,197886.0
2018-05-22,221335.0
2018-05-23,181840.0
2018-05-24,226995.0
2018-05-25,168377.0
2018-05-29,224651.0
2018-05-30,191330.0
2018-05-31,202417.0
2018-06-01,199794.0
2018-06-04,196877.0
2018-06-05,214168.0
2018-06-06,180081.0
2018-06-07,172991.0
2018-06-08,200362.0
2018-06-11,182746.0
2018-06-12,172449.0
2018-06-13,196593.0
2018-06-14,235390.0
2018-06-15,212229.0
2018-06-18,197484.0
2018-06-19,196204.0
2018-06-20,223585.0
2018-06-21,199418.0
2018-06-22,200493.0
2018-06-25,230461.0
2018-06-26,188471.0
2018-06-27,187363.0
2018-06-28,187970.0
2018-06-29,211436.0
2018-07-02,215892.0
2018-07-03,164917.0
2018-07-05,172871.0
2018-07-06,179970.0
2018-07-09,167339.0
2018-07-10,181429.0
2018-07-11,199076.0
2018-07-12,215335.0
2018-07-13,157689.0
2018-07-16,208933.0
2018-07-17,183536.0
2018-07-18,186206.0
2018-07-19,184851.0
2018-07-20,228828.0
2018-07-23,196867.0
2018-07-24,203933.0
2018-07-25,182385.0
2018-07-26,188227.0
2018-07-27,205302.0
2018-07-30,159383.0
2018-07-31,161000.0
2018-08-01,219709.0
2018-08-02,197273.0
2018-08-03,179268.0
2018-08-06,210374.0
2018-08-07,183179.0
2018-08-08,216563.0
2018-08-09,226791.0
2018-08-10,207543.0
2018-08-13,187719.0
2018-08-14,222928.0
2018-08-15,230737.0
2018-08-16,196648.0
2018-08-17,197041.0
2018-08-20,228850.0
2018-08-21,224698.0
2018-08-22,228461.0
2018-08-23,230094.0
2018-08-24,178207.0
2018-08-27,244873.0
2018-08-28,209088.0
2018-08-29,230723.0
2018-08-30,212288.0
2018-08-31,214426.0
2018-09-04,207754.0
2018-09-05,213409.0
2018-09-06,170465.0
2018-09-07,182935.0
2018-09-10,216339.0
2018-09-11,216836.0
2018-09-12,208466.0
2018-09-13,193341.0
2018-09-14,242216.0
2018-09-17,196847.0
2018-09-18,202280.0
2018-09-19,223302.0
2018-09-20,203343.0
2018-09-21,227132.0
