date,value
2015-03-31,327385.0
2015-04-01,298295.0
2015-04-02,299823.0
2015-04-06,293562.0
2015-04-07,286764.0
2015-04-08,252093.0
2015-04-09,339489.0
2015-04-10,287831.0
2015-04-13,306681.0
2015-04-14,296231.0
2015-04-15,276469.0
2015-04-16,303134.0
2015-04-17,300345.0
2015-04-20,279628.0
2015-04-21,254665.0
2015-04-22,311569.0
2015-04-23,288807.0
2015-04-24,281289.0
2015-04-27,269846.0
2015-04-28,290209.0
2015-04-29,270841.0
2015-04-30,311207.0
2015-05-01,305297.0
2015-05-04,270555.0
2015-05-05,266570.0
2015-05-06,304109.0
2015-05-07,281837.0
2015-05-08,283605.0
2015-05-11,238606.0
2015-05-12,298827.0
2015-05-13,258152.0
2015-05-14,288863.0
2015-05-15,296909.0
2015-05-18,250299.0
2015-05-19,266877.0
2015-05-20,288157.0
2015-05-21,254201.0
2015-05-22,262859.0
2015-05-26,270342.0
2015-05-27,314137.0
2015-05-28,263224.0
2015-05-29,287785.0
2015-06-01,231848.0
2015-06-02,289573.0
2015-06-03,324333.0
2015-06-04,306412.0
2015-06-05,309485.0
2015-06-08,302384.0
2015-06-09,311170.0
2015-06-10,257799.0
2015-06-11,261091.0
2015-06-12,275764.0
2015-06-15,282724.0
2015-06-16,256146.0
2015-06-17,291368.0
2015-06-18,248391.0
2015-06-19,258005.0
2015-06-22,315741.0
2015-06-23,267380.0
2015-06-24,319057.0
2015-06-25,287704.0
2015-06-26,291294.0
2015-06-29,284988.0
2015-06-30,267623.0
2015-07-01,280237.0
2015-07-02,279448.0
2015-07-06,285500.0
2015-07-07,255157.0
2015-07-08,292735.0
2015-07-09,281022.0
2015-07-10,313857.0
2015-07-13,250447.0
2015-07-14,246680.0
2015-07-15,301726.0
2015-07-16,294391.0
2015-07-17,284396.0
2015-07-20,293980.0
2015-07-21,285990.0
2015-07-22,295744.0
2015-07-23,296089.0
2015-07-24,325260.0
2015-07-27,267553.0
2015-07-28,210484.0
2015-07-29,240245.0
2015-07-30,263237.0
2015-07-31,243787.0
