date,value
2015-03-31,59333.0
2015-04-01,50692.0
2015-04-02,51279.0
2015-04-06,50773.0
2015-04-07,61692.0
2015-04-08,49200.0
2015-04-09,64178.0
2015-04-10,60471.0
2015-04-13,47912.0
2015-04-14,61955.0
2015-04-15,58498.0
2015-04-16,68372.0
2015-04-17,54825.0
2015-04-20,60948.0
2015-04-21,59355.0
2015-04-22,58913.0
2015-04-23,55412.0
2015-04-24,52759.0
2015-04-27,56716.0
2015-04-28,39295.0
2015-04-29,51098.0
2015-04-30,57118.0
2015-05-01,63096.0
2015-05-04,61527.0
2015-05-05,50975.0
2015-05-06,60302.0
2015-05-07,61420.0
2015-05-08,71876.0
2015-05-11,67383.0
2015-05-12,67007.0
2015-05-13,59758.0
2015-05-14,65026.0
2015-05-15,63877.0
2015-05-18,56557.0
2015-05-19,48094.0
2015-05-20,59656.0
2015-05-21,68859.0
2015-05-22,61536.0
2015-05-26,60885.0
2015-05-27,67767.0
2015-05-28,57869.0
2015-05-29,50843.0
2015-06-01,70088.0
2015-06-02,66925.0
2015-06-03,67672.0
2015-06-04,61763.0
2015-06-05,60800.0
2015-06-08,64397.0
2015-06-09,63900.0
2015-06-10,50506.0
2015-06-11,70072.0
2015-06-12,54554.0
2015-06-15,63997.0
2015-06-16,67165.0
2015-06-17,67714.0
2015-06-18,74029.0
2015-06-19,55821.0
2015-06-22,63485.0
2015-06-23,58024.0
2015-06-24,60485.0
2015-06-25,69536.0
2015-06-26,63099.0
2015-06-29,49333.0
2015-06-30,58832.0
2015-07-01,57222.0
2015-07-02,59555.0
2015-07-06,60079.0
2015-07-07,56555.0
2015-07-08,61843.0
2015-07-09,68372.0
2015-07-10,65950.0
2015-07-13,58364.0
2015-07-14,56724.0
2015-07-15,75579.0
2015-07-16,64163.0
2015-07-17,55428.0
2015-07-20,63371.0
2015-07-21,54398.0
2015-07-22,61516.0
2015-07-23,68191.0
2015-07-24,68157.0
2015-07-27,71573.0
2015-07-28,66101.0
2015-07-29,69464.0
2015-07-30,65634.0
2015-07-31,69789.0
2015-08-03,71703.0
2015-08-04,56604.0
2015-08-05,49372.0
2015-08-06,64100.0
2015-08-07,66069.0
2015-08-10,65148.0
2015-08-11,60200.0
2015-08-12,66946.0
2015-08-13,60786.0
2015-08-14,52051.0
2015-08-17,67844.0
2015-08-18,57312.0
2015-08-19,52141.0
2015-08-20,63395.0
2015-08-21,62957.0
2015-08-24,61481.0
2015-08-25,60706.0
2015-08-26,68235.0
2015-08-27,68735.0
2015-08-28,63398.0
2015-08-31,61977.0
2015-09-01,55860.0
