date,value
2015-03-31,130252.0
2015-04-01,126488.0
2015-04-02,148679.0
2015-04-06,120429.0
2015-04-07,147571.0
2015-04-08,140985.0
2015-04-09,136206.0
2015-04-10,134794.0
2015-04-13,170958.0
2015-04-14,119342.0
2015-04-15,152639.0
2015-04-16,139373.0
2015-04-17,130390.0
2015-04-20,100412.0
2015-04-21,158152.0
2015-04-22,149430.0
2015-04-23,170962.0
2015-04-24,141370.0
2015-04-27,179998.0
2015-04-28,148249.0
2015-04-29,145128.0
2015-04-30,136376.0
2015-05-01,136185.0
2015-05-04,143701.0
2015-05-05,141134.0
2015-05-06,158321.0
2015-05-07,158432.0
2015-05-08,153116.0
2015-05-11,136211.0
2015-05-12,125130.0
2015-05-13,153907.0
2015-05-14,154140.0
2015-05-15,152929.0
2015-05-18,160042.0
2015-05-19,134465.0
2015-05-20,156308.0
2015-05-21,142375.0
2015-05-22,146139.0
2015-05-26,169718.0
2015-05-27,159894.0
2015-05-28,148642.0
2015-05-29,166778.0
2015-06-01,133931.0
2015-06-02,121238.0
2015-06-03,176952.0
2015-06-04,169065.0
2015-06-05,179253.0
2015-06-08,136494.0
2015-06-09,141830.0
2015-06-10,145665.0
2015-06-11,177589.0
2015-06-12,153939.0
2015-06-15,161129.0
2015-06-16,160898.0
2015-06-17,172579.0
2015-06-18,164931.0
2015-06-19,140362.0
2015-06-22,143370.0
2015-06-23,153133.0
2015-06-24,149297.0
2015-06-25,183440.0
2015-06-26,143845.0
2015-06-29,182899.0
2015-06-30,146105.0
2015-07-01,136521.0
2015-07-02,154384.0
2015-07-06,162639.0
2015-07-07,180926.0
2015-07-08,169926.0
2015-07-09,185294.0
2015-07-10,174037.0
2015-07-13,157289.0
2015-07-14,162756.0
2015-07-15,144348.0
2015-07-16,148900.0
2015-07-17,140453.0
2015-07-20,143449.0
2015-07-21,148833.0
2015-07-22,139251.0
2015-07-23,136777.0
2015-07-24,169027.0
2015-07-27,137451.0
2015-07-28,148234.0
2015-07-29,150311.0
2015-07-30,121492.0
2015-07-31,145500.0
2015-08-03,160284.0
2015-08-04,150691.0
2015-08-05,145060.0
2015-08-06,183111.0
2015-08-07,128411.0
2015-08-10,135089.0
2015-08-11,138224.0
2015-08-12,125468.0
2015-08-13,136740.0
2015-08-14,165411.0
2015-08-17,142194.0
2015-08-18,157368.0
2015-08-19,171103.0
2015-08-20,133146.0
2015-08-21,127652.0
2015-08-24,167367.0
2015-08-25,163205.0
2015-08-26,151576.0
2015-08-27,162635.0
2015-08-28,142267.0
2015-08-31,170410.0
2015-09-01,158225.0
2015-09-02,135437.0
2015-09-03,133014.0
2015-09-04,173793.0
2015-09-08,149129.0
2015-09-09,177693.0
2015-09-10,131077.0
2015-09-11,145105.0
2015-09-14,172925.0
2015-09-15,128062.0
2015-09-16,146314.0
2015-09-17,163651.0
2015-09-18,185302.0
2015-09-21,143548.0
2015-09-22,132612.0
2015-09-23,162572.0
2015-09-24,175929.0
2015-09-25,158149.0
2015-09-28,145386.0
2015-09-29,160880.0
2015-09-30,153435.0
2015-10-01,116311.0
2015-10-02,158946.0
2015-10-05,162706.0
2015-10-06,137756.0
2015-10-07,155958.0
2015-10-08,158948.0
2015-10-09,140312.0
2015-10-12,122727.0
2015-10-13,146780.0
2015-10-14,129867.0
2015-10-15,162533.0
2015-10-16,139083.0
2015-10-19,146449.0
2015-10-20,139337.0
2015-10-21,127936.0
2015-10-22,150806.0
2015-10-23,153051.0
2015-10-26,147662.0
2015-10-27,113621.0
2015-10-28,136658.0
2015-10-29,158296.0
2015-10-30,162636.0
2015-11-02,130370.0
2015-11-03,143553.0
2015-11-04,111779.0
2015-11-05,127671.0
2015-11-06,149297.0
2015-11-09,122620.0
2015-11-10,124255.0
2015-11-11,131727.0
2015-11-12,125594.0
2015-11-13,134755.0
2015-11-16,143697.0
2015-11-17,120211.0
2015-11-18,126186.0
2015-11-19,109354.0
2015-11-20,128405.0
2015-11-23,135860.0
2015-11-24,128763.0
2015-11-25,104442.0
2015-11-27,155563.0
2015-11-30,144199.0
2015-12-01,137560.0
2015-12-02,139680.0
2015-12-03,130782.0
2015-12-04,104011.0
2015-12-07,148738.0
2015-12-08,125630.0
2015-12-09,146222.0
2015-12-10,141488.0
2015-12-11,137833.0
2015-12-14,128756.0
2015-12-15,135421.0
2015-12-16,121532.0
2015-12-17,129643.0
2015-12-18,128606.0
2015-12-21,136338.0
2015-12-22,135437.0
2015-12-23,129518.0
2015-12-24,123349.0
2015-12-28,123303.0
2015-12-29,135354.0
2015-12-30,110050.0
2015-12-31,131219.0
2016-01-04,131811.0
2016-01-05,105106.0
2016-01-06,113565.0
2016-01-07,99370.0
2016-01-08,114219.0
2016-01-11,102361.0
2016-01-12,141494.0
2016-01-13,135793.0
2016-01-14,119331.0
2016-01-15,124936.0
2016-01-19,113617.0
2016-01-20,104577.0
2016-01-21,126309.0
2016-01-22,107860.0
2016-01-25,123464.0
2016-01-26,110338.0
2016-01-27,120948.0
2016-01-28,116518.0
2016-01-29,134214.0
2016-02-01,127251.0
2016-02-02,137458.0
2016-02-03,99327.0
2016-02-04,117048.0
2016-02-05,120316.0
2016-02-08,110701.0
2016-02-09,116748.0
2016-02-10,117885.0
2016-02-11,102555.0
2016-02-12,131265.0
2016-02-16,122227.0
2016-02-17,121502.0
2016-02-18,121535.0
2016-02-19,139476.0
2016-02-22,103466.0
2016-02-23,131929.0
2016-02-24,114291.0
2016-02-25,130810.0
2016-02-26,129136.0
2016-02-29,130710.0
2016-03-01,95344.0
2016-03-02,120601.0
2016-03-03,136220.0
2016-03-04,128422.0
2016-03-07,126766.0
2016-03-08,119994.0
2016-03-09,120260.0
2016-03-10,143144.0
2016-03-11,129975.0
2016-03-14,93605.0
2016-03-15,104143.0
2016-03-16,105930.0
2016-03-17,109901.0
2016-03-18,117964.0
2016-03-21,130795.0
2016-03-22,119763.0
2016-03-23,96108.0
2016-03-24,135708.0
2016-03-28,131565.0
2016-03-29,123127.0
2016-03-30,119730.0
2016-03-31,119312.0
2016-04-01,107769.0
2016-04-04,122437.0
2016-04-05,113717.0
2016-04-06,93356.0
2016-04-07,128338.0
2016-04-08,108393.0
2016-04-11,116340.0
2016-04-12,120694.0
2016-04-13,123447.0
2016-04-14,102980.0
2016-04-15,137791.0
2016-04-18,136260.0
2016-04-19,100057.0
2016-04-20,112179.0
2016-04-21,121050.0
2016-04-22,125504.0
2016-04-25,120573.0
2016-04-26,120171.0
2016-04-27,126095.0
2016-04-28,104309.0
2016-04-29,133036.0
2016-05-02,124033.0
2016-05-03,124144.0
2016-05-04,139382.0
2016-05-05,113267.0
2016-05-06,143437.0
2016-05-09,107750.0
2016-05-10,129818.0
2016-05-11,117580.0
2016-05-12,118541.0
2016-05-13,105498.0
2016-05-16,122229.0
2016-05-17,130540.0
2016-05-18,115644.0
2016-05-19,133312.0
2016-05-20,109305.0
2016-05-23,136000.0
2016-05-24,119861.0
2016-05-25,134483.0
2016-05-26,100530.0
2016-05-27,128783.0
2016-05-31,104864.0
2016-06-01,136864.0
2016-06-02,125125.0
2016-06-03,101627.0
2016-06-06,107912.0
2016-06-07,127189.0
2016-06-08,123950.0
2016-06-09,114244.0
2016-06-10,120550.0
2016-06-13,151857.0
2016-06-14,121449.0
2016-06-15,131334.0
2016-06-16,129498.0
2016-06-17,139701.0
2016-06-20,118782.0
2016-06-21,151864.0
2016-06-22,146646.0
2016-06-23,103204.0
2016-06-24,144574.0
2016-06-27,121554.0
2016-06-28,135084.0
2016-06-29,136040.0
2016-06-30,108608.0
2016-07-01,135366.0
2016-07-05,109166.0
2016-07-06,146128.0
2016-07-07,121109.0
2016-07-08,122569.0
2016-07-11,125062.0
2016-07-12,134056.0
