date,value
2015-03-31,56103.0
2015-04-01,65343.0
2015-04-02,59914.0
2015-04-06,62932.0
2015-04-07,66154.0
2015-04-08,68521.0
2015-04-09,70796.0
2015-04-10,55577.0
2015-04-13,58512.0
2015-04-14,68251.0
2015-04-15,70573.0
2015-04-16,62638.0
2015-04-17,72587.0
2015-04-20,54145.0
2015-04-21,74577.0
2015-04-22,64034.0
2015-04-23,50833.0
2015-04-24,59516.0
2015-04-27,62370.0
2015-04-28,65670.0
2015-04-29,67042.0
2015-04-30,68971.0
2015-05-01,58926.0
2015-05-04,69591.0
2015-05-05,70879.0
2015-05-06,55250.0
2015-05-07,69820.0
2015-05-08,67420.0
2015-05-11,65121.0
2015-05-12,62493.0
2015-05-13,57910.0
2015-05-14,73961.0
2015-05-15,65449.0
2015-05-18,63034.0
2015-05-19,65257.0
2015-05-20,57826.0
2015-05-21,58853.0
2015-05-22,76593.0
2015-05-26,71953.0
2015-05-27,53338.0
2015-05-28,61183.0
2015-05-29,77246.0
2015-06-01,63996.0
2015-06-02,60424.0
2015-06-03,54278.0
2015-06-04,64766.0
2015-06-05,66798.0
2015-06-08,60368.0
2015-06-09,68763.0
2015-06-10,60922.0
2015-06-11,55256.0
2015-06-12,69928.0
2015-06-15,67971.0
2015-06-16,62491.0
2015-06-17,58497.0
2015-06-18,65711.0
2015-06-19,53907.0
2015-06-22,50408.0
2015-06-23,52908.0
2015-06-24,64150.0
2015-06-25,64497.0
2015-06-26,54287.0
2015-06-29,65712.0
2015-06-30,65533.0
2015-07-01,69698.0
2015-07-02,54271.0
2015-07-06,67671.0
2015-07-07,71050.0
2015-07-08,56735.0
2015-07-09,62442.0
2015-07-10,57152.0
2015-07-13,56829.0
2015-07-14,65216.0
2015-07-15,62417.0
2015-07-16,67970.0
2015-07-17,53907.0
2015-07-20,68524.0
2015-07-21,72778.0
2015-07-22,63787.0
2015-07-23,68803.0
2015-07-24,78597.0
2015-07-27,44432.0
2015-07-28,62567.0
2015-07-29,61781.0
2015-07-30,64651.0
2015-07-31,55741.0
2015-08-03,62371.0
2015-08-04,50855.0
2015-08-05,70608.0
2015-08-06,69531.0
2015-08-07,65522.0
2015-08-10,78695.0
2015-08-11,63419.0
2015-08-12,61581.0
2015-08-13,60622.0
2015-08-14,68158.0
2015-08-17,64671.0
2015-08-18,76958.0
2015-08-19,56924.0
2015-08-20,62605.0
2015-08-21,71653.0
2015-08-24,61021.0
2015-08-25,64989.0
2015-08-26,58085.0
2015-08-27,55954.0
2015-08-28,64097.0
2015-08-31,65551.0
2015-09-01,61302.0
2015-09-02,60982.0
2015-09-03,74215.0
2015-09-04,75056.0
2015-09-08,65283.0
2015-09-09,57450.0
2015-09-10,71497.0
2015-09-11,64466.0
2015-09-14,62655.0
2015-09-15,68923.0
2015-09-16,73263.0
2015-09-17,58257.0
2015-09-18,58300.0
2015-09-21,71070.0
2015-09-22,68394.0
2015-09-23,47626.0
2015-09-24,67144.0
2015-09-25,60593.0
2015-09-28,62964.0
2015-09-29,79270.0
2015-09-30,78546.0
2015-10-01,72989.0
2015-10-02,77001.0
2015-10-05,67041.0
2015-10-06,78114.0
2015-10-07,62027.0
2015-10-08,73921.0
2015-10-09,62760.0
2015-10-12,70152.0
2015-10-13,66565.0
2015-10-14,66665.0
2015-10-15,65087.0
2015-10-16,77434.0
2015-10-19,70836.0
2015-10-20,70894.0
2015-10-21,70456.0
2015-10-22,70766.0
2015-10-23,80640.0
2015-10-26,82746.0
2015-10-27,72528.0
2015-10-28,64091.0
2015-10-29,58375.0
2015-10-30,71599.0
2015-11-02,84383.0
2015-11-03,64286.0
2015-11-04,58423.0
2015-11-05,73388.0
2015-11-06,70119.0
2015-11-09,63112.0
2015-11-10,64725.0
2015-11-11,66742.0
2015-11-12,67637.0
2015-11-13,61037.0
2015-11-16,69273.0
2015-11-17,72384.0
2015-11-18,71105.0
2015-11-19,68523.0
2015-11-20,64656.0
2015-11-23,75974.0
2015-11-24,67132.0
2015-11-25,73859.0
2015-11-27,58464.0
2015-11-30,76201.0
2015-12-01,62992.0
2015-12-02,64611.0
2015-12-03,77835.0
2015-12-04,69731.0
2015-12-07,78292.0
2015-12-08,66741.0
2015-12-09,55304.0
2015-12-10,61413.0
2015-12-11,80645.0
2015-12-14,78777.0
2015-12-15,77732.0
2015-12-16,67637.0
2015-12-17,58570.0
2015-12-18,62125.0
2015-12-21,64571.0
2015-12-22,78647.0
2015-12-23,73711.0
2015-12-24,73209.0
2015-12-28,62306.0
2015-12-29,62299.0
2015-12-30,59022.0
2015-12-31,62748.0
2016-01-04,61765.0
2016-01-05,62796.0
2016-01-06,62015.0
2016-01-07,60695.0
2016-01-08,69540.0
2016-01-11,72854.0
2016-01-12,69416.0
2016-01-13,76938.0
2016-01-14,75531.0
2016-01-15,71768.0
2016-01-19,68959.0
2016-01-20,57584.0
2016-01-21,56970.0
2016-01-22,65813.0
2016-01-25,58262.0
2016-01-26,70673.0
2016-01-27,69398.0
2016-01-28,71454.0
2016-01-29,57693.0
2016-02-01,63824.0
2016-02-02,64434.0
2016-02-03,69187.0
2016-02-04,72078.0
2016-02-05,70976.0
2016-02-08,62155.0
2016-02-09,72571.0
2016-02-10,62600.0
2016-02-11,62304.0
2016-02-12,56079.0
2016-02-16,70803.0
2016-02-17,72071.0
2016-02-18,62210.0
