date,value
2015-03-31,18348.0
2015-04-01,15449.0
2015-04-02,20070.0
2015-04-06,19136.0
2015-04-07,16515.0
2015-04-08,17683.0
2015-04-09,13708.0
2015-04-10,19722.0
2015-04-13,14153.0
2015-04-14,17162.0
2015-04-15,17775.0
2015-04-16,18509.0
2015-04-17,18320.0
2015-04-20,17493.0
2015-04-21,16699.0
2015-04-22,18234.0
2015-04-23,18896.0
2015-04-24,20284.0
2015-04-27,14706.0
2015-04-28,17659.0
2015-04-29,19911.0
2015-04-30,17304.0
2015-05-01,18647.0
2015-05-04,19650.0
2015-05-05,17884.0
2015-05-06,18347.0
2015-05-07,17553.0
2015-05-08,19683.0
2015-05-11,17173.0
2015-05-12,18287.0
2015-05-13,14454.0
2015-05-14,18707.0
2015-05-15,16632.0
2015-05-18,19705.0
2015-05-19,18733.0
2015-05-20,19898.0
2015-05-21,15715.0
2015-05-22,15810.0
2015-05-26,19108.0
2015-05-27,18406.0
2015-05-28,19534.0
2015-05-29,21365.0
2015-06-01,19126.0
2015-06-02,18184.0
2015-06-03,20509.0
2015-06-04,14139.0
2015-06-05,22402.0
2015-06-08,19987.0
2015-06-09,17220.0
2015-06-10,19569.0
2015-06-11,20040.0
2015-06-12,19719.0
2015-06-15,19214.0
2015-06-16,16637.0
2015-06-17,20011.0
2015-06-18,18912.0
2015-06-19,19730.0
2015-06-22,19193.0
2015-06-23,19232.0
2015-06-24,18123.0
2015-06-25,20409.0
2015-06-26,20840.0
2015-06-29,19173.0
2015-06-30,18276.0
2015-07-01,17088.0
2015-07-02,17939.0
2015-07-06,20093.0
2015-07-07,17052.0
2015-07-08,18123.0
2015-07-09,19665.0
2015-07-10,20199.0
2015-07-13,20067.0
2015-07-14,21758.0
2015-07-15,17659.0
2015-07-16,18267.0
2015-07-17,21519.0
2015-07-20,15911.0
2015-07-21,18337.0
2015-07-22,20650.0
2015-07-23,18826.0
2015-07-24,18876.0
2015-07-27,19340.0
2015-07-28,20018.0
2015-07-29,18787.0
2015-07-30,18083.0
2015-07-31,17965.0
2015-08-03,20065.0
2015-08-04,18387.0
2015-08-05,18743.0
2015-08-06,20670.0
2015-08-07,20648.0
2015-08-10,20940.0
2015-08-11,23035.0
2015-08-12,20615.0
2015-08-13,17519.0
2015-08-14,15348.0
2015-08-17,21765.0
2015-08-18,20972.0
2015-08-19,18693.0
2015-08-20,20804.0
2015-08-21,17793.0
2015-08-24,20834.0
2015-08-25,21395.0
2015-08-26,19248.0
2015-08-27,24105.0
2015-08-28,20469.0
2015-08-31,19414.0
2015-09-01,22185.0
2015-09-02,17968.0
2015-09-03,15397.0
2015-09-04,18904.0
2015-09-08,18131.0
2015-09-09,18968.0
2015-09-10,17807.0
2015-09-11,17925.0
2015-09-14,20001.0
2015-09-15,21514.0
2015-09-16,21592.0
2015-09-17,19516.0
2015-09-18,18583.0
2015-09-21,19965.0
2015-09-22,19258.0
2015-09-23,23890.0
2015-09-24,19954.0
2015-09-25,16942.0
2015-09-28,17084.0
2015-09-29,20471.0
2015-09-30,19731.0
2015-10-01,22303.0
2015-10-02,16938.0
2015-10-05,19060.0
2015-10-06,17070.0
2015-10-07,20351.0
2015-10-08,18775.0
2015-10-09,17039.0
2015-10-12,19191.0
2015-10-13,19758.0
2015-10-14,21894.0
2015-10-15,20711.0
2015-10-16,18036.0
2015-10-19,20547.0
2015-10-20,19096.0
2015-10-21,22423.0
2015-10-22,18696.0
2015-10-23,19261.0
2015-10-26,22009.0
2015-10-27,21475.0
2015-10-28,19334.0
2015-10-29,22613.0
2015-10-30,24822.0
2015-11-02,22116.0
2015-11-03,19208.0
2015-11-04,21532.0
2015-11-05,22071.0
2015-11-06,20101.0
2015-11-09,22595.0
2015-11-10,21242.0
2015-11-11,16474.0
2015-11-12,20013.0
2015-11-13,20664.0
2015-11-16,21173.0
2015-11-17,21571.0
2015-11-18,20640.0
2015-11-19,19439.0
2015-11-20,18396.0
2015-11-23,26922.0
2015-11-24,21960.0
2015-11-25,22555.0
2015-11-27,22252.0
2015-11-30,18305.0
2015-12-01,23746.0
2015-12-02,23834.0
2015-12-03,22174.0
2015-12-04,19482.0
2015-12-07,17767.0
2015-12-08,18442.0
2015-12-09,21760.0
2015-12-10,21520.0
2015-12-11,18803.0
2015-12-14,20521.0
2015-12-15,19929.0
2015-12-16,24972.0
2015-12-17,22130.0
2015-12-18,22389.0
2015-12-21,24128.0
2015-12-22,22600.0
2015-12-23,25967.0
2015-12-24,20795.0
2015-12-28,21256.0
2015-12-29,20392.0
2015-12-30,22395.0
2015-12-31,24196.0
2016-01-04,21235.0
2016-01-05,20720.0
2016-01-06,20927.0
2016-01-07,16492.0
2016-01-08,24980.0
2016-01-11,18779.0
2016-01-12,25288.0
2016-01-13,20645.0
2016-01-14,21132.0
2016-01-15,22131.0
2016-01-19,21183.0
2016-01-20,23897.0
2016-01-21,20913.0
2016-01-22,20208.0
2016-01-25,21925.0
2016-01-26,22256.0
2016-01-27,20280.0
2016-01-28,26138.0
2016-01-29,17040.0
2016-02-01,21705.0
2016-02-02,20790.0
2016-02-03,16822.0
2016-02-04,20933.0
2016-02-05,19196.0
2016-02-08,20102.0
2016-02-09,19527.0
2016-02-10,21911.0
2016-02-11,19886.0
2016-02-12,18502.0
2016-02-16,21180.0
2016-02-17,19983.0
2016-02-18,18085.0
2016-02-19,18953.0
2016-02-22,20960.0
2016-02-23,18610.0
2016-02-24,19736.0
2016-02-25,19866.0
2016-02-26,19418.0
2016-02-29,19654.0
2016-03-01,21736.0
2016-03-02,19004.0
2016-03-03,19248.0
2016-03-04,19774.0
2016-03-07,19907.0
2016-03-08,18431.0
2016-03-09,16705.0
2016-03-10,18571.0
2016-03-11,17040.0
2016-03-14,16658.0
2016-03-15,17633.0
2016-03-16,21127.0
2016-03-17,17665.0
2016-03-18,17439.0
2016-03-21,19621.0
2016-03-22,21878.0
2016-03-23,20350.0
2016-03-24,18475.0
2016-03-28,17443.0
2016-03-29,22152.0
2016-03-30,20151.0
2016-03-31,15613.0
2016-04-01,15435.0
2016-04-04,16665.0
2016-04-05,17956.0
2016-04-06,15242.0
2016-04-07,18200.0
2016-04-08,16248.0
2016-04-11,15570.0
2016-04-12,18945.0
2016-04-13,16747.0
2016-04-14,20827.0
2016-04-15,17833.0
2016-04-18,18445.0
2016-04-19,17220.0
2016-04-20,20019.0
2016-04-21,15008.0
2016-04-22,16819.0
2016-04-25,16532.0
2016-04-26,18901.0
2016-04-27,19286.0
2016-04-28,16287.0
2016-04-29,18455.0
2016-05-02,18001.0
2016-05-03,22033.0
2016-05-04,18071.0
2016-05-05,16804.0
2016-05-06,19199.0
2016-05-09,17751.0
2016-05-10,20482.0
2016-05-11,21254.0
2016-05-12,20720.0
2016-05-13,19533.0
2016-05-16,19731.0
2016-05-17,17623.0
2016-05-18,17509.0
2016-05-19,18406.0
2016-05-20,19990.0
2016-05-23,17233.0
2016-05-24,17562.0
2016-05-25,18802.0
2016-05-26,19555.0
2016-05-27,19509.0
2016-05-31,19042.0
2016-06-01,18279.0
2016-06-02,19876.0
2016-06-03,17254.0
2016-06-06,16891.0
2016-06-07,16313.0
2016-06-08,22367.0
2016-06-09,18228.0
2016-06-10,19072.0
2016-06-13,18144.0
2016-06-14,20671.0
2016-06-15,19102.0
2016-06-16,20199.0
2016-06-17,18825.0
2016-06-20,20198.0
2016-06-21,17274.0
2016-06-22,18272.0
2016-06-23,16301.0
2016-06-24,20284.0
2016-06-27,18656.0
2016-06-28,19898.0
2016-06-29,18734.0
2016-06-30,22095.0
2016-07-01,17505.0
2016-07-05,17672.0
2016-07-06,20823.0
2016-07-07,20828.0
2016-07-08,21452.0
2016-07-11,19055.0
2016-07-12,18675.0
2016-07-13,22873.0
2016-07-14,19530.0
2016-07-15,21127.0
2016-07-18,20241.0
2016-07-19,21081.0
2016-07-20,17348.0
2016-07-21,21121.0
2016-07-22,21269.0
2016-07-25,19267.0
2016-07-26,19448.0
2016-07-27,16811.0
2016-07-28,20257.0
2016-07-29,18774.0
2016-08-01,15841.0
2016-08-02,21872.0
2016-08-03,22278.0
2016-08-04,19271.0
2016-08-05,17326.0
2016-08-08,20144.0
2016-08-09,20741.0
2016-08-10,16256.0
2016-08-11,18469.0
2016-08-12,21618.0
2016-08-15,20494.0
2016-08-16,19151.0
2016-08-17,24185.0
2016-08-18,21105.0
2016-08-19,22904.0
2016-08-22,20279.0
2016-08-23,19711.0
2016-08-24,24270.0
2016-08-25,23715.0
2016-08-26,18330.0
2016-08-29,21989.0
2016-08-30,23112.0
2016-08-31,19942.0
2016-09-01,22418.0
2016-09-02,20880.0
2016-09-06,20653.0
2016-09-07,20994.0
2016-09-08,25356.0
2016-09-09,24250.0
2016-09-12,18620.0
2016-09-13,19125.0
2016-09-14,18730.0
2016-09-15,20904.0
2016-09-16,18289.0
2016-09-19,19781.0
2016-09-20,19297.0
2016-09-21,19024.0
2016-09-22,23714.0
2016-09-23,24799.0
2016-09-26,18687.0
2016-09-27,22631.0
2016-09-28,21675.0
2016-09-29,23585.0
2016-09-30,20239.0
