date,value
2015-03-31,244671.0
2015-04-01,243201.0
2015-04-02,223846.0
2015-04-06,214011.0
2015-04-07,207946.0
2015-04-08,244120.0
2015-04-09,274956.0
2015-04-10,254087.0
2015-04-13,235866.0
2015-04-14,278029.0
2015-04-15,250427.0
2015-04-16,280383.0
2015-04-17,232145.0
2015-04-20,208549.0
2015-04-21,280645.0
2015-04-22,262899.0
2015-04-23,271333.0
2015-04-24,258424.0
2015-04-27,292267.0
2015-04-28,261062.0
2015-04-29,249017.0
2015-04-30,218627.0
2015-05-01,266146.0
2015-05-04,256873.0
2015-05-05,223042.0
2015-05-06,206817.0
2015-05-07,241987.0
2015-05-08,231140.0
2015-05-11,259369.0
2015-05-12,291410.0
2015-05-13,256436.0
2015-05-14,264495.0
2015-05-15,258102.0
2015-05-18,223336.0
2015-05-19,253706.0
2015-05-20,263067.0
2015-05-21,264057.0
2015-05-22,259090.0
2015-05-26,272437.0
2015-05-27,245345.0
2015-05-28,255377.0
2015-05-29,277254.0
2015-06-01,224800.0
2015-06-02,256455.0
2015-06-03,221618.0
2015-06-04,215208.0
2015-06-05,206053.0
2015-06-08,330675.0
2015-06-09,242445.0
2015-06-10,275605.0
2015-06-11,282087.0
2015-06-12,241539.0
2015-06-15,275142.0
2015-06-16,214925.0
2015-06-17,217926.0
2015-06-18,247199.0
2015-06-19,231845.0
2015-06-22,234326.0
2015-06-23,294598.0
2015-06-24,256472.0
2015-06-25,247395.0
2015-06-26,274590.0
2015-06-29,188846.0
2015-06-30,243800.0
2015-07-01,270640.0
2015-07-02,233135.0
2015-07-06,275463.0
2015-07-07,265739.0
2015-07-08,244811.0
2015-07-09,264250.0
2015-07-10,261915.0
2015-07-13,230500.0
2015-07-14,285345.0
2015-07-15,251484.0
2015-07-16,267011.0
2015-07-17,280537.0
2015-07-20,257622.0
2015-07-21,259604.0
2015-07-22,234376.0
2015-07-23,252949.0
2015-07-24,236707.0
2015-07-27,269245.0
2015-07-28,242160.0
2015-07-29,240868.0
2015-07-30,281684.0
2015-07-31,276934.0
2015-08-03,292810.0
2015-08-04,223122.0
2015-08-05,282353.0
2015-08-06,279726.0
2015-08-07,302739.0
2015-08-10,215316.0
2015-08-11,256760.0
2015-08-12,237877.0
2015-08-13,267494.0
2015-08-14,214997.0
2015-08-17,227394.0
2015-08-18,208262.0
2015-08-19,279171.0
2015-08-20,284423.0
2015-08-21,260911.0
2015-08-24,274034.0
2015-08-25,306851.0
2015-08-26,249408.0
2015-08-27,298408.0
2015-08-28,232962.0
2015-08-31,272120.0
2015-09-01,295119.0
2015-09-02,266572.0
2015-09-03,265767.0
2015-09-04,186605.0
2015-09-08,266703.0
2015-09-09,230003.0
2015-09-10,286075.0
2015-09-11,281961.0
2015-09-14,292962.0
2015-09-15,278014.0
2015-09-16,238541.0
2015-09-17,276800.0
2015-09-18,263504.0
2015-09-21,242700.0
2015-09-22,254058.0
2015-09-23,262372.0
2015-09-24,249875.0
2015-09-25,264860.0
2015-09-28,294114.0
2015-09-29,277291.0
2015-09-30,279392.0
2015-10-01,234424.0
2015-10-02,273901.0
2015-10-05,230250.0
2015-10-06,251880.0
2015-10-07,277193.0
2015-10-08,293493.0
2015-10-09,256187.0
2015-10-12,263293.0
2015-10-13,265613.0
2015-10-14,220132.0
2015-10-15,314064.0
2015-10-16,268056.0
2015-10-19,240446.0
2015-10-20,315288.0
2015-10-21,257551.0
2015-10-22,321613.0
2015-10-23,236274.0
2015-10-26,272023.0
2015-10-27,269311.0
2015-10-28,282568.0
2015-10-29,251378.0
2015-10-30,283827.0
2015-11-02,255051.0
2015-11-03,251761.0
2015-11-04,302100.0
2015-11-05,305797.0
2015-11-06,246801.0
2015-11-09,252017.0
2015-11-10,266201.0
2015-11-11,296022.0
2015-11-12,270654.0
2015-11-13,247471.0
2015-11-16,272576.0
2015-11-17,235221.0
2015-11-18,273092.0
2015-11-19,303577.0
2015-11-20,256949.0
2015-11-23,300578.0
2015-11-24,212244.0
2015-11-25,278958.0
2015-11-27,268256.0
2015-11-30,291240.0
2015-12-01,270453.0
2015-12-02,284392.0
2015-12-03,304544.0
2015-12-04,301119.0
2015-12-07,249323.0
2015-12-08,284282.0
2015-12-09,270849.0
2015-12-10,243788.0
2015-12-11,292709.0
2015-12-14,249652.0
2015-12-15,248572.0
2015-12-16,283392.0
2015-12-17,269756.0
2015-12-18,260172.0
2015-12-21,315356.0
2015-12-22,307928.0
2015-12-23,314843.0
2015-12-24,226665.0
2015-12-28,277507.0
2015-12-29,276724.0
2015-12-30,289302.0
2015-12-31,284830.0
2016-01-04,298686.0
2016-01-05,285493.0
2016-01-06,273313.0
2016-01-07,276807.0
2016-01-08,267704.0
2016-01-11,274737.0
2016-01-12,281072.0
2016-01-13,261101.0
2016-01-14,290481.0
2016-01-15,232676.0
2016-01-19,274109.0
2016-01-20,258243.0
2016-01-21,316823.0
2016-01-22,265626.0
2016-01-25,272015.0
2016-01-26,243929.0
2016-01-27,257136.0
2016-01-28,278858.0
2016-01-29,252032.0
2016-02-01,310334.0
2016-02-02,257173.0
2016-02-03,277225.0
2016-02-04,237552.0
2016-02-05,245259.0
2016-02-08,291421.0
2016-02-09,259877.0
2016-02-10,271752.0
2016-02-11,259089.0
2016-02-12,282521.0
2016-02-16,234083.0
2016-02-17,253850.0
2016-02-18,229683.0
2016-02-19,293887.0
2016-02-22,295121.0
2016-02-23,297173.0
2016-02-24,326998.0
2016-02-25,311177.0
2016-02-26,256146.0
2016-02-29,276037.0
2016-03-01,288164.0
2016-03-02,278421.0
2016-03-03,235482.0
2016-03-04,257453.0
2016-03-07,240041.0
2016-03-08,327083.0
2016-03-09,268348.0
2016-03-10,253473.0
2016-03-11,279828.0
2016-03-14,258287.0
2016-03-15,250034.0
2016-03-16,326736.0
2016-03-17,302485.0
2016-03-18,275519.0
2016-03-21,242244.0
