date,value
2015-03-31,18258.0
2015-04-01,19103.0
2015-04-02,19021.0
2015-04-06,19406.0
2015-04-07,17322.0
2015-04-08,21842.0
2015-04-09,18259.0
2015-04-10,19074.0
2015-04-13,22804.0
2015-04-14,19585.0
2015-04-15,19907.0
2015-04-16,20004.0
2015-04-17,21458.0
2015-04-20,17726.0
2015-04-21,21049.0
2015-04-22,23821.0
2015-04-23,19600.0
2015-04-24,18629.0
2015-04-27,20926.0
2015-04-28,21460.0
2015-04-29,22813.0
2015-04-30,19606.0
2015-05-01,19236.0
2015-05-04,18937.0
2015-05-05,16946.0
2015-05-06,20574.0
2015-05-07,17560.0
2015-05-08,20055.0
2015-05-11,19980.0
2015-05-12,21560.0
2015-05-13,21642.0
2015-05-14,18455.0
2015-05-15,22473.0
2015-05-18,18802.0
2015-05-19,22274.0
2015-05-20,19959.0
2015-05-21,19894.0
2015-05-22,19281.0
2015-05-26,20150.0
2015-05-27,20594.0
2015-05-28,20901.0
2015-05-29,20662.0
2015-06-01,21596.0
2015-06-02,22972.0
2015-06-03,20662.0
2015-06-04,23467.0
2015-06-05,20039.0
2015-06-08,23243.0
2015-06-09,20783.0
2015-06-10,21427.0
2015-06-11,21945.0
2015-06-12,22994.0
2015-06-15,20951.0
2015-06-16,23099.0
2015-06-17,23255.0
2015-06-18,20979.0
2015-06-19,24108.0
2015-06-22,22219.0
2015-06-23,17190.0
2015-06-24,22464.0
2015-06-25,20810.0
2015-06-26,20232.0
2015-06-29,21578.0
2015-06-30,21444.0
2015-07-01,20263.0
2015-07-02,25465.0
2015-07-06,22268.0
2015-07-07,22643.0
2015-07-08,21895.0
2015-07-09,25507.0
2015-07-10,23908.0
2015-07-13,17562.0
2015-07-14,19845.0
2015-07-15,21279.0
2015-07-16,25020.0
2015-07-17,23945.0
2015-07-20,21470.0
2015-07-21,21118.0
2015-07-22,22497.0
2015-07-23,25897.0
2015-07-24,30066.0
2015-07-27,18323.0
2015-07-28,20970.0
2015-07-29,22519.0
2015-07-30,20040.0
2015-07-31,22417.0
2015-08-03,18968.0
2015-08-04,19730.0
2015-08-05,20962.0
2015-08-06,18636.0
2015-08-07,23296.0
2015-08-10,21581.0
2015-08-11,22104.0
2015-08-12,24703.0
2015-08-13,23165.0
2015-08-14,27623.0
2015-08-17,19065.0
2015-08-18,21030.0
2015-08-19,23315.0
2015-08-20,25606.0
2015-08-21,21819.0
2015-08-24,23682.0
2015-08-25,23467.0
2015-08-26,25247.0
2015-08-27,28109.0
2015-08-28,23496.0
2015-08-31,16280.0
2015-09-01,22796.0
2015-09-02,19523.0
2015-09-03,24046.0
2015-09-04,20907.0
2015-09-08,20059.0
2015-09-09,21276.0
2015-09-10,17687.0
2015-09-11,23244.0
2015-09-14,18659.0
2015-09-15,23426.0
2015-09-16,24141.0
2015-09-17,24231.0
2015-09-18,20419.0
2015-09-21,26360.0
2015-09-22,24105.0
2015-09-23,20563.0
2015-09-24,22342.0
2015-09-25,27907.0
2015-09-28,24074.0
2015-09-29,27178.0
2015-09-30,26943.0
2015-10-01,25129.0
2015-10-02,23266.0
2015-10-05,25116.0
2015-10-06,28073.0
2015-10-07,26038.0
2015-10-08,25867.0
2015-10-09,25927.0
2015-10-12,22530.0
2015-10-13,25603.0
2015-10-14,26907.0
2015-10-15,28545.0
2015-10-16,26338.0
2015-10-19,23872.0
2015-10-20,26367.0
2015-10-21,24780.0
2015-10-22,20214.0
2015-10-23,20082.0
2015-10-26,22627.0
2015-10-27,23172.0
2015-10-28,22929.0
2015-10-29,26103.0
2015-10-30,26743.0
2015-11-02,21863.0
2015-11-03,27651.0
2015-11-04,22790.0
2015-11-05,22770.0
2015-11-06,22638.0
2015-11-09,25970.0
2015-11-10,25483.0
2015-11-11,22849.0
2015-11-12,24547.0
2015-11-13,27026.0
2015-11-16,26501.0
2015-11-17,24651.0
2015-11-18,28202.0
2015-11-19,26564.0
2015-11-20,23064.0
2015-11-23,23437.0
2015-11-24,29197.0
2015-11-25,26107.0
2015-11-27,20928.0
