date,value
2015-03-31,276931.0
2015-04-01,377387.0
2015-04-02,356095.0
2015-04-06,309308.0
2015-04-07,332748.0
2015-04-08,398400.0
2015-04-09,357338.0
2015-04-10,367973.0
2015-04-13,358338.0
2015-04-14,388122.0
2015-04-15,329025.0
2015-04-16,409633.0
2015-04-17,363426.0
2015-04-20,381565.0
2015-04-21,333687.0
2015-04-22,397005.0
2015-04-23,388743.0
2015-04-24,309241.0
2015-04-27,394025.0
2015-04-28,365775.0
2015-04-29,382584.0
2015-04-30,410406.0
2015-05-01,369208.0
2015-05-04,334537.0
2015-05-05,370725.0
2015-05-06,304370.0
2015-05-07,398182.0
2015-05-08,362707.0
2015-05-11,373059.0
2015-05-12,384320.0
2015-05-13,283018.0
2015-05-14,310152.0
2015-05-15,361931.0
2015-05-18,306538.0
2015-05-19,325102.0
2015-05-20,416491.0
2015-05-21,344668.0
2015-05-22,360725.0
2015-05-26,347730.0
2015-05-27,411572.0
2015-05-28,401076.0
2015-05-29,426697.0
2015-06-01,358918.0
2015-06-02,397871.0
2015-06-03,372549.0
2015-06-04,318116.0
2015-06-05,417626.0
2015-06-08,374474.0
2015-06-09,388098.0
2015-06-10,374811.0
2015-06-11,352164.0
2015-06-12,397186.0
2015-06-15,358539.0
2015-06-16,401085.0
2015-06-17,374096.0
2015-06-18,401019.0
2015-06-19,411404.0
2015-06-22,411636.0
2015-06-23,385158.0
2015-06-24,449874.0
2015-06-25,368548.0
2015-06-26,392978.0
2015-06-29,427336.0
2015-06-30,427381.0
2015-07-01,387864.0
2015-07-02,315409.0
2015-07-06,380817.0
2015-07-07,375310.0
2015-07-08,388441.0
2015-07-09,378035.0
2015-07-10,364512.0
2015-07-13,328972.0
2015-07-14,322334.0
2015-07-15,412076.0
2015-07-16,387581.0
2015-07-17,453796.0
2015-07-20,388215.0
2015-07-21,374279.0
2015-07-22,339030.0
2015-07-23,403533.0
2015-07-24,356076.0
2015-07-27,411766.0
2015-07-28,401928.0
2015-07-29,431500.0
2015-07-30,367209.0
2015-07-31,376761.0
2015-08-03,403849.0
2015-08-04,372828.0
2015-08-05,324851.0
2015-08-06,414320.0
2015-08-07,365280.0
2015-08-10,352319.0
2015-08-11,336618.0
2015-08-12,372312.0
2015-08-13,458057.0
2015-08-14,330943.0
2015-08-17,414065.0
2015-08-18,429714.0
2015-08-19,403920.0
2015-08-20,393949.0
2015-08-21,280229.0
2015-08-24,350933.0
2015-08-25,327035.0
2015-08-26,372280.0
2015-08-27,386699.0
2015-08-28,343803.0
2015-08-31,421197.0
2015-09-01,357111.0
2015-09-02,337812.0
2015-09-03,374600.0
2015-09-04,383159.0
2015-09-08,363811.0
2015-09-09,462059.0
2015-09-10,400460.0
2015-09-11,418691.0
2015-09-14,402512.0
2015-09-15,463994.0
2015-09-16,386226.0
2015-09-17,347489.0
2015-09-18,289339.0
2015-09-21,348569.0
2015-09-22,336475.0
2015-09-23,448346.0
2015-09-24,479092.0
2015-09-25,402115.0
2015-09-28,379523.0
2015-09-29,333742.0
2015-09-30,285711.0
2015-10-01,383994.0
2015-10-02,403630.0
2015-10-05,304411.0
2015-10-06,408111.0
2015-10-07,384359.0
2015-10-08,346232.0
2015-10-09,372274.0
2015-10-12,373798.0
2015-10-13,399083.0
2015-10-14,360051.0
2015-10-15,453714.0
2015-10-16,352674.0
2015-10-19,417844.0
2015-10-20,383769.0
2015-10-21,368128.0
2015-10-22,373347.0
2015-10-23,340770.0
2015-10-26,416790.0
2015-10-27,352582.0
2015-10-28,336798.0
2015-10-29,332407.0
2015-10-30,428216.0
2015-11-02,357822.0
2015-11-03,394805.0
2015-11-04,379371.0
2015-11-05,372332.0
2015-11-06,319130.0
2015-11-09,422707.0
2015-11-10,381050.0
2015-11-11,360659.0
2015-11-12,370169.0
2015-11-13,382196.0
2015-11-16,390783.0
2015-11-17,440657.0
2015-11-18,451829.0
2015-11-19,420586.0
2015-11-20,420935.0
2015-11-23,390812.0
2015-11-24,339515.0
2015-11-25,360618.0
2015-11-27,326852.0
2015-11-30,397086.0
2015-12-01,369210.0
2015-12-02,345327.0
2015-12-03,342747.0
2015-12-04,414356.0
2015-12-07,429743.0
2015-12-08,407765.0
2015-12-09,352941.0
2015-12-10,457523.0
2015-12-11,349454.0
2015-12-14,346212.0
2015-12-15,380853.0
2015-12-16,364584.0
2015-12-17,369751.0
2015-12-18,379838.0
2015-12-21,398707.0
2015-12-22,413728.0
2015-12-23,398825.0
2015-12-24,382072.0
2015-12-28,301344.0
2015-12-29,412403.0
2015-12-30,400119.0
2015-12-31,379915.0
2016-01-04,441950.0
2016-01-05,321796.0
2016-01-06,378433.0
2016-01-07,372015.0
2016-01-08,397887.0
2016-01-11,414322.0
2016-01-12,341374.0
2016-01-13,409931.0
2016-01-14,404948.0
2016-01-15,431658.0
