date,value
2015-03-31,496820.0
2015-04-01,491012.0
2015-04-02,470542.0
2015-04-06,477265.0
2015-04-07,530187.0
2015-04-08,490763.0
2015-04-09,460359.0
2015-04-10,408349.0
2015-04-13,573285.0
2015-04-14,472623.0
2015-04-15,498538.0
2015-04-16,437527.0
2015-04-17,532451.0
2015-04-20,449156.0
2015-04-21,437767.0
2015-04-22,512065.0
2015-04-23,528529.0
2015-04-24,497619.0
2015-04-27,472107.0
2015-04-28,486734.0
2015-04-29,481664.0
2015-04-30,424027.0
2015-05-01,496429.0
2015-05-04,449461.0
2015-05-05,404075.0
2015-05-06,563601.0
2015-05-07,487539.0
2015-05-08,387039.0
2015-05-11,429262.0
2015-05-12,532929.0
2015-05-13,432124.0
2015-05-14,537397.0
2015-05-15,429121.0
2015-05-18,501760.0
2015-05-19,409191.0
2015-05-20,501850.0
2015-05-21,544879.0
2015-05-22,492708.0
2015-05-26,513326.0
2015-05-27,471343.0
2015-05-28,496228.0
2015-05-29,558280.0
2015-06-01,498176.0
2015-06-02,566291.0
2015-06-03,524894.0
2015-06-04,522573.0
2015-06-05,532221.0
2015-06-08,472801.0
2015-06-09,581727.0
2015-06-10,507881.0
2015-06-11,447014.0
2015-06-12,532607.0
2015-06-15,528476.0
2015-06-16,486067.0
2015-06-17,588308.0
2015-06-18,525679.0
2015-06-19,527830.0
2015-06-22,443969.0
2015-06-23,597252.0
2015-06-24,452468.0
2015-06-25,555725.0
2015-06-26,549081.0
2015-06-29,507109.0
2015-06-30,593310.0
2015-07-01,535777.0
2015-07-02,607674.0
2015-07-06,592174.0
2015-07-07,522262.0
2015-07-08,518902.0
2015-07-09,557816.0
2015-07-10,581598.0
2015-07-13,548919.0
2015-07-14,502283.0
2015-07-15,546870.0
2015-07-16,496783.0
2015-07-17,423852.0
2015-07-20,536725.0
2015-07-21,470389.0
2015-07-22,509897.0
2015-07-23,581067.0
2015-07-24,432970.0
2015-07-27,461083.0
2015-07-28,563387.0
2015-07-29,520125.0
2015-07-30,479487.0
2015-07-31,484344.0
2015-08-03,533630.0
2015-08-04,522870.0
2015-08-05,578606.0
2015-08-06,459987.0
2015-08-07,389546.0
2015-08-10,550766.0
2015-08-11,447341.0
2015-08-12,552794.0
2015-08-13,523780.0
2015-08-14,535782.0
2015-08-17,551004.0
2015-08-18,453618.0
2015-08-19,414541.0
2015-08-20,514127.0
2015-08-21,467650.0
2015-08-24,584108.0
2015-08-25,438389.0
2015-08-26,574898.0
2015-08-27,461379.0
2015-08-28,418768.0
2015-08-31,453119.0
2015-09-01,490657.0
2015-09-02,440887.0
2015-09-03,468865.0
2015-09-04,436665.0
2015-09-08,393880.0
2015-09-09,479995.0
2015-09-10,414752.0
2015-09-11,510686.0
2015-09-14,493567.0
2015-09-15,509101.0
2015-09-16,404252.0
2015-09-17,422897.0
2015-09-18,454984.0
2015-09-21,570297.0
2015-09-22,487601.0
2015-09-23,429497.0
2015-09-24,561961.0
2015-09-25,470872.0
2015-09-28,463933.0
2015-09-29,457405.0
2015-09-30,386072.0
2015-10-01,469606.0
2015-10-02,377946.0
2015-10-05,439064.0
2015-10-06,452899.0
2015-10-07,466320.0
2015-10-08,415862.0
2015-10-09,458620.0
2015-10-12,492935.0
2015-10-13,375825.0
2015-10-14,465039.0
2015-10-15,489967.0
2015-10-16,459293.0
2015-10-19,446306.0
2015-10-20,441860.0
2015-10-21,423321.0
2015-10-22,482361.0
2015-10-23,423825.0
2015-10-26,341374.0
2015-10-27,419444.0
2015-10-28,454845.0
2015-10-29,423760.0
2015-10-30,395900.0
2015-11-02,380781.0
2015-11-03,461046.0
2015-11-04,510863.0
2015-11-05,340885.0
2015-11-06,421870.0
2015-11-09,413545.0
2015-11-10,373804.0
2015-11-11,427090.0
2015-11-12,528021.0
2015-11-13,388946.0
2015-11-16,402347.0
2015-11-17,472387.0
2015-11-18,414283.0
2015-11-19,406346.0
2015-11-20,394744.0
2015-11-23,445045.0
2015-11-24,395141.0
2015-11-25,434487.0
2015-11-27,498932.0
2015-11-30,399528.0
2015-12-01,470747.0
2015-12-02,478219.0
2015-12-03,452441.0
2015-12-04,417152.0
2015-12-07,497204.0
2015-12-08,459833.0
2015-12-09,449254.0
2015-12-10,367679.0
2015-12-11,458643.0
2015-12-14,419546.0
2015-12-15,405311.0
2015-12-16,449793.0
2015-12-17,535247.0
2015-12-18,417197.0
2015-12-21,353743.0
2015-12-22,433981.0
2015-12-23,444622.0
2015-12-24,400916.0
2015-12-28,426408.0
2015-12-29,402254.0
2015-12-30,442742.0
2015-12-31,402849.0
2016-01-04,417426.0
2016-01-05,387187.0
2016-01-06,420428.0
2016-01-07,376587.0
2016-01-08,428017.0
2016-01-11,424050.0
2016-01-12,373373.0
2016-01-13,437738.0
2016-01-14,490678.0
2016-01-15,316576.0
2016-01-19,363820.0
2016-01-20,389558.0
2016-01-21,418492.0
2016-01-22,365306.0
2016-01-25,398361.0
2016-01-26,392221.0
2016-01-27,420363.0
2016-01-28,428534.0
2016-01-29,347433.0
2016-02-01,355996.0
2016-02-02,280807.0
2016-02-03,408828.0
2016-02-04,349343.0
2016-02-05,384144.0
2016-02-08,295828.0
2016-02-09,421306.0
2016-02-10,303305.0
2016-02-11,382651.0
2016-02-12,400643.0
2016-02-16,344635.0
2016-02-17,376418.0
2016-02-18,441701.0
2016-02-19,344343.0
2016-02-22,345765.0
2016-02-23,334674.0
2016-02-24,352998.0
2016-02-25,305007.0
2016-02-26,339644.0
2016-02-29,397613.0
2016-03-01,321155.0
2016-03-02,328868.0
2016-03-03,342122.0
2016-03-04,402700.0
2016-03-07,334224.0
2016-03-08,342453.0
2016-03-09,352881.0
2016-03-10,313583.0
2016-03-11,346987.0
2016-03-14,338114.0
2016-03-15,369013.0
2016-03-16,311923.0
2016-03-17,329288.0
2016-03-18,278111.0
2016-03-21,338421.0
2016-03-22,372570.0
2016-03-23,318916.0
2016-03-24,327256.0
2016-03-28,301737.0
2016-03-29,299530.0
2016-03-30,257858.0
2016-03-31,348173.0
2016-04-01,288210.0
2016-04-04,288944.0
2016-04-05,246382.0
2016-04-06,284785.0
2016-04-07,320975.0
2016-04-08,361628.0
2016-04-11,343024.0
2016-04-12,297110.0
2016-04-13,305058.0
2016-04-14,319517.0
2016-04-15,298786.0
2016-04-18,397718.0
2016-04-19,322684.0
2016-04-20,329140.0
2016-04-21,327523.0
2016-04-22,300712.0
2016-04-25,372824.0
2016-04-26,250116.0
2016-04-27,303883.0
2016-04-28,316508.0
2016-04-29,317031.0
2016-05-02,287215.0
2016-05-03,296115.0
2016-05-04,307997.0
2016-05-05,289988.0
2016-05-06,370690.0
2016-05-09,364015.0
2016-05-10,281261.0
2016-05-11,351014.0
2016-05-12,350809.0
2016-05-13,342725.0
2016-05-16,339197.0
2016-05-17,367350.0
2016-05-18,281282.0
2016-05-19,341759.0
2016-05-20,367525.0
2016-05-23,279398.0
2016-05-24,260327.0
2016-05-25,363822.0
2016-05-26,336774.0
2016-05-27,249346.0
2016-05-31,364930.0
2016-06-01,383074.0
2016-06-02,283503.0
2016-06-03,349807.0
2016-06-06,301294.0
2016-06-07,331818.0
2016-06-08,349264.0
2016-06-09,351182.0
2016-06-10,331540.0
2016-06-13,330992.0
2016-06-14,335876.0
2016-06-15,339965.0
2016-06-16,339292.0
2016-06-17,342822.0
2016-06-20,385568.0
2016-06-21,381481.0
2016-06-22,354137.0
2016-06-23,320207.0
2016-06-24,300997.0
2016-06-27,277211.0
2016-06-28,305169.0
2016-06-29,298178.0
