date,value
2015-03-31,23917.0
2015-04-01,26926.0
2015-04-02,22175.0
2015-04-06,21605.0
2015-04-07,21248.0
2015-04-08,27282.0
2015-04-09,27547.0
2015-04-10,20745.0
2015-04-13,21793.0
2015-04-14,24297.0
2015-04-15,24095.0
2015-04-16,25785.0
2015-04-17,26178.0
2015-04-20,24605.0
2015-04-21,25952.0
2015-04-22,24905.0
2015-04-23,26150.0
2015-04-24,22916.0
2015-04-27,23665.0
2015-04-28,23361.0
2015-04-29,18203.0
2015-04-30,22813.0
2015-05-01,23758.0
2015-05-04,22302.0
2015-05-05,25046.0
2015-05-06,22552.0
2015-05-07,23463.0
2015-05-08,25628.0
2015-05-11,20100.0
2015-05-12,26889.0
2015-05-13,24339.0
2015-05-14,22966.0
2015-05-15,23484.0
2015-05-18,24861.0
2015-05-19,21479.0
2015-05-20,23426.0
2015-05-21,23301.0
2015-05-22,29005.0
2015-05-26,21352.0
2015-05-27,26438.0
2015-05-28,25787.0
2015-05-29,26804.0
2015-06-01,23390.0
2015-06-02,24875.0
2015-06-03,25328.0
2015-06-04,20025.0
2015-06-05,23489.0
2015-06-08,26168.0
2015-06-09,22634.0
2015-06-10,26606.0
2015-06-11,22049.0
2015-06-12,21814.0
2015-06-15,29005.0
2015-06-16,26986.0
2015-06-17,26560.0
2015-06-18,26648.0
2015-06-19,25745.0
2015-06-22,27564.0
2015-06-23,24788.0
2015-06-24,24979.0
2015-06-25,26480.0
2015-06-26,20810.0
2015-06-29,22392.0
2015-06-30,24812.0
2015-07-01,26609.0
2015-07-02,19011.0
2015-07-06,25455.0
2015-07-07,18316.0
2015-07-08,22906.0
2015-07-09,25467.0
2015-07-10,25457.0
2015-07-13,23870.0
2015-07-14,27964.0
2015-07-15,22348.0
2015-07-16,28517.0
2015-07-17,23776.0
2015-07-20,23502.0
2015-07-21,26211.0
2015-07-22,19067.0
2015-07-23,22993.0
2015-07-24,24150.0
2015-07-27,25329.0
2015-07-28,25063.0
2015-07-29,23636.0
2015-07-30,23699.0
2015-07-31,25735.0
2015-08-03,20628.0
2015-08-04,20413.0
2015-08-05,23512.0
2015-08-06,24076.0
2015-08-07,27720.0
2015-08-10,22595.0
2015-08-11,24073.0
2015-08-12,27895.0
2015-08-13,21617.0
2015-08-14,24753.0
2015-08-17,25321.0
2015-08-18,25778.0
2015-08-19,22371.0
2015-08-20,21742.0
2015-08-21,22295.0
2015-08-24,24070.0
2015-08-25,23264.0
2015-08-26,24380.0
2015-08-27,23372.0
2015-08-28,25932.0
2015-08-31,25708.0
2015-09-01,21743.0
2015-09-02,26186.0
2015-09-03,21035.0
2015-09-04,25804.0
2015-09-08,31073.0
2015-09-09,25149.0
2015-09-10,27733.0
2015-09-11,24568.0
2015-09-14,26313.0
2015-09-15,25622.0
2015-09-16,23177.0
2015-09-17,27856.0
2015-09-18,22933.0
2015-09-21,26353.0
2015-09-22,26179.0
2015-09-23,27323.0
2015-09-24,30071.0
2015-09-25,23728.0
2015-09-28,25831.0
2015-09-29,26253.0
2015-09-30,22348.0
2015-10-01,23500.0
2015-10-02,28183.0
2015-10-05,26504.0
2015-10-06,22453.0
2015-10-07,26210.0
2015-10-08,28361.0
2015-10-09,28101.0
2015-10-12,24690.0
2015-10-13,29756.0
2015-10-14,23091.0
2015-10-15,29499.0
