date,value
2015-03-31,42193.0
2015-04-01,33587.0
2015-04-02,33472.0
2015-04-06,35272.0
2015-04-07,42742.0
2015-04-08,34642.0
2015-04-09,38162.0
2015-04-10,38252.0
2015-04-13,33402.0
2015-04-14,33906.0
2015-04-15,37089.0
2015-04-16,33495.0
2015-04-17,37409.0
2015-04-20,34519.0
2015-04-21,31743.0
2015-04-22,42399.0
2015-04-23,38137.0
2015-04-24,44090.0
2015-04-27,34998.0
2015-04-28,35725.0
2015-04-29,40126.0
2015-04-30,37640.0
2015-05-01,42113.0
2015-05-04,47036.0
2015-05-05,32342.0
2015-05-06,40699.0
2015-05-07,40683.0
2015-05-08,35763.0
2015-05-11,42034.0
2015-05-12,40008.0
2015-05-13,37490.0
2015-05-14,34668.0
2015-05-15,40294.0
2015-05-18,35457.0
2015-05-19,34905.0
2015-05-20,34717.0
2015-05-21,38172.0
2015-05-22,41005.0
2015-05-26,36347.0
2015-05-27,42241.0
2015-05-28,40482.0
2015-05-29,33860.0
2015-06-01,35025.0
2015-06-02,39234.0
2015-06-03,39462.0
2015-06-04,41950.0
2015-06-05,32736.0
2015-06-08,37415.0
2015-06-09,33175.0
2015-06-10,40699.0
2015-06-11,41280.0
2015-06-12,41444.0
2015-06-15,37397.0
2015-06-16,33397.0
2015-06-17,39660.0
2015-06-18,34009.0
2015-06-19,38473.0
2015-06-22,38879.0
2015-06-23,41586.0
2015-06-24,36331.0
2015-06-25,35030.0
2015-06-26,40377.0
2015-06-29,43237.0
2015-06-30,33108.0
2015-07-01,43225.0
2015-07-02,36719.0
2015-07-06,41911.0
2015-07-07,42536.0
2015-07-08,46288.0
2015-07-09,37916.0
2015-07-10,39908.0
2015-07-13,36784.0
2015-07-14,42118.0
2015-07-15,34945.0
2015-07-16,34605.0
2015-07-17,37187.0
2015-07-20,37385.0
2015-07-21,41853.0
2015-07-22,30023.0
2015-07-23,43601.0
2015-07-24,41151.0
2015-07-27,40362.0
2015-07-28,43078.0
2015-07-29,35974.0
2015-07-30,34779.0
2015-07-31,39405.0
2015-08-03,34001.0
2015-08-04,25695.0
2015-08-05,37947.0
2015-08-06,40142.0
2015-08-07,38246.0
2015-08-10,32434.0
2015-08-11,39656.0
2015-08-12,33382.0
2015-08-13,31936.0
2015-08-14,40846.0
2015-08-17,37209.0
2015-08-18,35859.0
2015-08-19,40688.0
2015-08-20,35673.0
2015-08-21,39826.0
2015-08-24,36436.0
2015-08-25,39511.0
2015-08-26,39148.0
2015-08-27,36259.0
2015-08-28,31194.0
2015-08-31,37906.0
2015-09-01,39918.0
2015-09-02,35893.0
2015-09-03,35328.0
2015-09-04,32378.0
2015-09-08,39943.0
2015-09-09,36716.0
2015-09-10,37493.0
2015-09-11,35788.0
2015-09-14,36350.0
2015-09-15,39519.0
2015-09-16,34795.0
2015-09-17,33816.0
2015-09-18,41984.0
2015-09-21,40991.0
2015-09-22,36414.0
2015-09-23,38184.0
2015-09-24,39723.0
2015-09-25,31152.0
2015-09-28,33885.0
2015-09-29,36540.0
2015-09-30,34979.0
2015-10-01,38266.0
2015-10-02,36496.0
2015-10-05,31151.0
2015-10-06,26952.0
2015-10-07,31899.0
2015-10-08,36356.0
2015-10-09,40257.0
2015-10-12,33569.0
2015-10-13,38696.0
2015-10-14,36819.0
2015-10-15,33018.0
2015-10-16,42668.0
2015-10-19,37363.0
2015-10-20,34879.0
2015-10-21,40287.0
2015-10-22,40369.0
2015-10-23,42414.0
2015-10-26,36810.0
2015-10-27,38743.0
2015-10-28,37768.0
2015-10-29,42221.0
2015-10-30,36485.0
2015-11-02,36310.0
2015-11-03,38997.0
2015-11-04,31852.0
2015-11-05,41690.0
2015-11-06,41061.0
2015-11-09,37762.0
2015-11-10,33344.0
2015-11-11,37258.0
2015-11-12,40175.0
2015-11-13,31206.0
2015-11-16,38075.0
2015-11-17,35941.0
2015-11-18,34313.0
2015-11-19,44181.0
2015-11-20,41982.0
2015-11-23,41240.0
2015-11-24,48072.0
2015-11-25,41570.0
2015-11-27,29117.0
2015-11-30,41945.0
2015-12-01,41782.0
2015-12-02,35081.0
2015-12-03,35481.0
2015-12-04,40227.0
2015-12-07,36359.0
2015-12-08,34714.0
2015-12-09,30795.0
2015-12-10,38079.0
2015-12-11,37522.0
2015-12-14,40035.0
2015-12-15,41116.0
2015-12-16,35325.0
2015-12-17,38095.0
2015-12-18,36885.0
2015-12-21,41481.0
2015-12-22,37305.0
2015-12-23,40254.0
2015-12-24,40764.0
2015-12-28,37854.0
2015-12-29,39203.0
2015-12-30,35548.0
2015-12-31,38244.0
2016-01-04,37054.0
2016-01-05,44761.0
2016-01-06,47550.0
2016-01-07,41716.0
2016-01-08,40916.0
2016-01-11,37015.0
2016-01-12,41052.0
2016-01-13,40463.0
2016-01-14,32295.0
2016-01-15,47846.0
2016-01-19,40995.0
2016-01-20,38298.0
2016-01-21,47922.0
2016-01-22,35423.0
2016-01-25,45934.0
2016-01-26,37835.0
2016-01-27,38273.0
2016-01-28,38611.0
2016-01-29,41364.0
2016-02-01,42904.0
2016-02-02,46355.0
2016-02-03,45252.0
2016-02-04,36056.0
2016-02-05,39355.0
2016-02-08,43001.0
2016-02-09,41382.0
2016-02-10,35469.0
2016-02-11,42606.0
2016-02-12,46141.0
2016-02-16,41401.0
2016-02-17,41805.0
2016-02-18,46903.0
2016-02-19,37120.0
2016-02-22,30021.0
