date,value
2015-03-31,60822.0
2015-04-01,67861.0
2015-04-02,47030.0
2015-04-06,57716.0
2015-04-07,76072.0
2015-04-08,57720.0
2015-04-09,51375.0
2015-04-10,58525.0
2015-04-13,65912.0
2015-04-14,61758.0
2015-04-15,58286.0
2015-04-16,45412.0
2015-04-17,61540.0
2015-04-20,66486.0
2015-04-21,55374.0
2015-04-22,59733.0
2015-04-23,67063.0
2015-04-24,60499.0
2015-04-27,62382.0
2015-04-28,57222.0
2015-04-29,63287.0
2015-04-30,61477.0
2015-05-01,53305.0
2015-05-04,47027.0
2015-05-05,63528.0
2015-05-06,58067.0
2015-05-07,53617.0
2015-05-08,57013.0
2015-05-11,59127.0
2015-05-12,45824.0
2015-05-13,52034.0
2015-05-14,57218.0
2015-05-15,60766.0
2015-05-18,55250.0
2015-05-19,50828.0
2015-05-20,52663.0
2015-05-21,52311.0
2015-05-22,64161.0
2015-05-26,48846.0
2015-05-27,64202.0
2015-05-28,54972.0
2015-05-29,48131.0
2015-06-01,54751.0
2015-06-02,51529.0
2015-06-03,58708.0
2015-06-04,55269.0
2015-06-05,56148.0
2015-06-08,50777.0
2015-06-09,49997.0
2015-06-10,52795.0
2015-06-11,56416.0
2015-06-12,55526.0
2015-06-15,56240.0
2015-06-16,53278.0
2015-06-17,47907.0
2015-06-18,54966.0
2015-06-19,47812.0
2015-06-22,51542.0
2015-06-23,45516.0
2015-06-24,51801.0
2015-06-25,47549.0
2015-06-26,47030.0
2015-06-29,49977.0
2015-06-30,42598.0
2015-07-01,55644.0
2015-07-02,49065.0
2015-07-06,49214.0
2015-07-07,43097.0
2015-07-08,50432.0
2015-07-09,48054.0
2015-07-10,51742.0
2015-07-13,52730.0
2015-07-14,48655.0
2015-07-15,46546.0
2015-07-16,52992.0
2015-07-17,51353.0
2015-07-20,54254.0
2015-07-21,61979.0
2015-07-22,46527.0
2015-07-23,54866.0
2015-07-24,54623.0
2015-07-27,46335.0
2015-07-28,47935.0
2015-07-29,58883.0
2015-07-30,54370.0
2015-07-31,52794.0
2015-08-03,49294.0
2015-08-04,48238.0
2015-08-05,64222.0
2015-08-06,51746.0
2015-08-07,49603.0
2015-08-10,48561.0
2015-08-11,53710.0
2015-08-12,52289.0
2015-08-13,49344.0
2015-08-14,63067.0
2015-08-17,61305.0
2015-08-18,45994.0
2015-08-19,58075.0
2015-08-20,53229.0
2015-08-21,65396.0
2015-08-24,68701.0
2015-08-25,60389.0
2015-08-26,56736.0
2015-08-27,53443.0
2015-08-28,53150.0
2015-08-31,61899.0
2015-09-01,58660.0
2015-09-02,65820.0
2015-09-03,63754.0
2015-09-04,51695.0
2015-09-08,54981.0
2015-09-09,54673.0
2015-09-10,47329.0
2015-09-11,57392.0
2015-09-14,47540.0
2015-09-15,63944.0
2015-09-16,56738.0
2015-09-17,49458.0
2015-09-18,56527.0
2015-09-21,61742.0
2015-09-22,61071.0
2015-09-23,52364.0
2015-09-24,53933.0
2015-09-25,53255.0
2015-09-28,53463.0
2015-09-29,67298.0
2015-09-30,67499.0
2015-10-01,55049.0
2015-10-02,62114.0
2015-10-05,64457.0
2015-10-06,41820.0
2015-10-07,62705.0
2015-10-08,68458.0
2015-10-09,60292.0
2015-10-12,67399.0
2015-10-13,57617.0
2015-10-14,54881.0
2015-10-15,64793.0
2015-10-16,66108.0
2015-10-19,66522.0
2015-10-20,61176.0
2015-10-21,61660.0
2015-10-22,54818.0
2015-10-23,54551.0
2015-10-26,70073.0
2015-10-27,53690.0
2015-10-28,67961.0
2015-10-29,51348.0
2015-10-30,59024.0
2015-11-02,55850.0
2015-11-03,47791.0
2015-11-04,59921.0
2015-11-05,62955.0
2015-11-06,56497.0
2015-11-09,55562.0
2015-11-10,51839.0
2015-11-11,49160.0
2015-11-12,51232.0
2015-11-13,58376.0
2015-11-16,62569.0
2015-11-17,74158.0
2015-11-18,64261.0
2015-11-19,54538.0
2015-11-20,58944.0
2015-11-23,62690.0
2015-11-24,58683.0
2015-11-25,54053.0
2015-11-27,57853.0
2015-11-30,64133.0
2015-12-01,69372.0
2015-12-02,53228.0
2015-12-03,59299.0
2015-12-04,49902.0
2015-12-07,71871.0
2015-12-08,64792.0
2015-12-09,60575.0
2015-12-10,64619.0
2015-12-11,70019.0
2015-12-14,61608.0
2015-12-15,58637.0
2015-12-16,57523.0
2015-12-17,59730.0
2015-12-18,50120.0
2015-12-21,60310.0
2015-12-22,66766.0
2015-12-23,58450.0
2015-12-24,60622.0
2015-12-28,59123.0
2015-12-29,56675.0
2015-12-30,55884.0
2015-12-31,59056.0
2016-01-04,53361.0
2016-01-05,59493.0
2016-01-06,60207.0
2016-01-07,49554.0
2016-01-08,58725.0
2016-01-11,67567.0
2016-01-12,56019.0
2016-01-13,48043.0
2016-01-14,55316.0
2016-01-15,69185.0
2016-01-19,69684.0
2016-01-20,66984.0
2016-01-21,52974.0
2016-01-22,60204.0
2016-01-25,55498.0
2016-01-26,57261.0
2016-01-27,56725.0
2016-01-28,71451.0
2016-01-29,65719.0
2016-02-01,63476.0
2016-02-02,59961.0
2016-02-03,53955.0
2016-02-04,59444.0
2016-02-05,58448.0
2016-02-08,67778.0
2016-02-09,54842.0
2016-02-10,66690.0
2016-02-11,62015.0
2016-02-12,63992.0
2016-02-16,70161.0
2016-02-17,62322.0
