date,value
2015-03-31,3120.0
2015-04-01,3981.0
2015-04-02,4050.0
2015-04-06,3892.0
2015-04-07,3588.0
2015-04-08,3273.0
2015-04-09,3469.0
2015-04-10,3755.0
2015-04-13,3754.0
2015-04-14,3685.0
2015-04-15,2972.0
2015-04-16,4383.0
2015-04-17,3527.0
2015-04-20,3496.0
2015-04-21,3627.0
2015-04-22,2850.0
2015-04-23,4298.0
2015-04-24,3759.0
2015-04-27,2928.0
2015-04-28,3785.0
2015-04-29,3278.0
2015-04-30,3829.0
2015-05-01,4225.0
2015-05-04,4259.0
2015-05-05,3462.0
2015-05-06,3506.0
2015-05-07,2933.0
2015-05-08,4241.0
2015-05-11,3435.0
2015-05-12,2884.0
2015-05-13,3201.0
2015-05-14,3632.0
2015-05-15,3808.0
2015-05-18,4051.0
2015-05-19,3443.0
2015-05-20,3418.0
2015-05-21,3598.0
2015-05-22,3636.0
2015-05-26,3986.0
2015-05-27,3801.0
2015-05-28,3460.0
2015-05-29,3629.0
2015-06-01,3480.0
2015-06-02,3556.0
2015-06-03,3807.0
2015-06-04,3834.0
2015-06-05,3235.0
2015-06-08,3345.0
2015-06-09,3106.0
2015-06-10,3834.0
2015-06-11,3378.0
2015-06-12,3574.0
2015-06-15,3391.0
2015-06-16,3754.0
2015-06-17,4106.0
2015-06-18,3883.0
2015-06-19,3700.0
2015-06-22,3581.0
2015-06-23,3206.0
2015-06-24,3608.0
2015-06-25,3183.0
2015-06-26,3788.0
2015-06-29,3293.0
2015-06-30,3534.0
2015-07-01,3598.0
2015-07-02,4005.0
2015-07-06,3924.0
2015-07-07,3017.0
2015-07-08,3549.0
2015-07-09,3495.0
2015-07-10,3862.0
2015-07-13,2622.0
2015-07-14,3787.0
2015-07-15,3705.0
2015-07-16,4085.0
2015-07-17,3675.0
2015-07-20,3962.0
2015-07-21,4326.0
2015-07-22,3697.0
2015-07-23,3109.0
2015-07-24,3897.0
2015-07-27,3665.0
2015-07-28,3474.0
2015-07-29,3789.0
2015-07-30,3866.0
2015-07-31,3487.0
2015-08-03,3262.0
2015-08-04,3562.0
2015-08-05,3801.0
2015-08-06,3630.0
2015-08-07,3726.0
2015-08-10,4366.0
2015-08-11,3699.0
2015-08-12,3910.0
2015-08-13,3806.0
2015-08-14,4445.0
2015-08-17,3304.0
2015-08-18,3719.0
2015-08-19,3101.0
2015-08-20,3796.0
2015-08-21,3487.0
2015-08-24,3863.0
2015-08-25,3205.0
2015-08-26,3955.0
2015-08-27,3843.0
2015-08-28,3443.0
2015-08-31,3543.0
2015-09-01,3274.0
2015-09-02,3896.0
2015-09-03,3086.0
2015-09-04,3091.0
2015-09-08,3083.0
2015-09-09,3085.0
2015-09-10,2887.0
2015-09-11,4185.0
2015-09-14,3552.0
2015-09-15,3277.0
2015-09-16,3194.0
2015-09-17,3841.0
2015-09-18,3010.0
2015-09-21,3759.0
2015-09-22,3603.0
2015-09-23,3304.0
2015-09-24,4238.0
2015-09-25,3218.0
2015-09-28,4022.0
2015-09-29,3648.0
2015-09-30,3919.0
2015-10-01,3832.0
2015-10-02,3163.0
2015-10-05,3580.0
2015-10-06,3187.0
2015-10-07,4246.0
2015-10-08,3582.0
2015-10-09,3524.0
2015-10-12,3951.0
2015-10-13,4023.0
2015-10-14,3656.0
2015-10-15,3899.0
2015-10-16,3542.0
2015-10-19,3936.0
2015-10-20,3298.0
2015-10-21,3980.0
2015-10-22,3584.0
2015-10-23,4275.0
2015-10-26,3729.0
2015-10-27,3942.0
2015-10-28,3816.0
2015-10-29,3549.0
2015-10-30,4120.0
2015-11-02,4059.0
2015-11-03,3382.0
2015-11-04,3640.0
2015-11-05,3392.0
2015-11-06,3454.0
2015-11-09,4025.0
2015-11-10,3884.0
2015-11-11,3603.0
2015-11-12,3652.0
2015-11-13,3798.0
2015-11-16,3298.0
2015-11-17,3372.0
2015-11-18,3788.0
2015-11-19,3628.0
2015-11-20,3777.0
2015-11-23,3904.0
2015-11-24,3996.0
2015-11-25,2948.0
2015-11-27,4136.0
2015-11-30,4305.0
2015-12-01,4246.0
2015-12-02,4046.0
2015-12-03,3823.0
2015-12-04,3720.0
2015-12-07,4537.0
2015-12-08,3747.0
2015-12-09,4089.0
2015-12-10,3800.0
2015-12-11,4116.0
2015-12-14,3500.0
2015-12-15,4107.0
2015-12-16,3669.0
2015-12-17,3810.0
2015-12-18,3932.0
2015-12-21,4066.0
2015-12-22,3856.0
2015-12-23,3529.0
2015-12-24,4460.0
2015-12-28,3774.0
2015-12-29,4120.0
2015-12-30,3225.0
2015-12-31,4039.0
2016-01-04,4112.0
2016-01-05,4027.0
2016-01-06,3500.0
2016-01-07,3732.0
2016-01-08,3483.0
2016-01-11,3757.0
2016-01-12,3269.0
2016-01-13,3691.0
2016-01-14,4365.0
2016-01-15,3393.0
2016-01-19,3861.0
2016-01-20,3477.0
2016-01-21,3156.0
2016-01-22,4328.0
2016-01-25,4094.0
2016-01-26,3245.0
2016-01-27,3565.0
2016-01-28,3414.0
2016-01-29,3585.0
2016-02-01,4528.0
2016-02-02,3543.0
2016-02-03,3053.0
2016-02-04,3589.0
2016-02-05,3639.0
2016-02-08,4270.0
2016-02-09,3727.0
2016-02-10,3707.0
2016-02-11,3588.0
2016-02-12,3616.0
2016-02-16,3387.0
2016-02-17,3606.0
2016-02-18,3734.0
2016-02-19,3949.0
2016-02-22,3625.0
2016-02-23,3947.0
2016-02-24,3514.0
2016-02-25,4262.0
2016-02-26,3880.0
2016-02-29,3591.0
