date,value
2015-03-31,20520.0
2015-04-01,22820.0
2015-04-02,22925.0
2015-04-06,20455.0
2015-04-07,20391.0
2015-04-08,22214.0
2015-04-09,17315.0
2015-04-10,18117.0
2015-04-13,21775.0
2015-04-14,20449.0
2015-04-15,20716.0
2015-04-16,20162.0
2015-04-17,26962.0
2015-04-20,21980.0
2015-04-21,18847.0
2015-04-22,23299.0
2015-04-23,20642.0
2015-04-24,20103.0
2015-04-27,17752.0
2015-04-28,18858.0
2015-04-29,20432.0
2015-04-30,18554.0
2015-05-01,22040.0
2015-05-04,25011.0
2015-05-05,17935.0
2015-05-06,22305.0
2015-05-07,22428.0
2015-05-08,19743.0
2015-05-11,16607.0
2015-05-12,23000.0
2015-05-13,21670.0
2015-05-14,22017.0
2015-05-15,21824.0
2015-05-18,23186.0
2015-05-19,21778.0
2015-05-20,20295.0
2015-05-21,18847.0
2015-05-22,24456.0
2015-05-26,20926.0
2015-05-27,23174.0
2015-05-28,20049.0
2015-05-29,22895.0
2015-06-01,20425.0
2015-06-02,16882.0
2015-06-03,22538.0
2015-06-04,24575.0
2015-06-05,19755.0
2015-06-08,22795.0
2015-06-09,21723.0
2015-06-10,20720.0
2015-06-11,24593.0
2015-06-12,21224.0
2015-06-15,20584.0
2015-06-16,21982.0
2015-06-17,22457.0
2015-06-18,20161.0
2015-06-19,21682.0
2015-06-22,22699.0
2015-06-23,22013.0
2015-06-24,20978.0
2015-06-25,23923.0
2015-06-26,20242.0
2015-06-29,22244.0
2015-06-30,21215.0
2015-07-01,18781.0
2015-07-02,23479.0
2015-07-06,22198.0
2015-07-07,18391.0
2015-07-08,23845.0
2015-07-09,21991.0
2015-07-10,20472.0
2015-07-13,22035.0
2015-07-14,22646.0
2015-07-15,21931.0
2015-07-16,19485.0
2015-07-17,20039.0
2015-07-20,20995.0
2015-07-21,20550.0
2015-07-22,21397.0
2015-07-23,24391.0
2015-07-24,18281.0
2015-07-27,25851.0
2015-07-28,25512.0
2015-07-29,21992.0
2015-07-30,18425.0
2015-07-31,22407.0
2015-08-03,20606.0
2015-08-04,25283.0
2015-08-05,22445.0
2015-08-06,22533.0
2015-08-07,18624.0
2015-08-10,20343.0
2015-08-11,22365.0
2015-08-12,21084.0
2015-08-13,22365.0
2015-08-14,23375.0
2015-08-17,22959.0
2015-08-18,24960.0
2015-08-19,18733.0
2015-08-20,23542.0
2015-08-21,20884.0
2015-08-24,20743.0
2015-08-25,18667.0
2015-08-26,21226.0
2015-08-27,24336.0
2015-08-28,16886.0
2015-08-31,22271.0
2015-09-01,22503.0
2015-09-02,23428.0
2015-09-03,21257.0
2015-09-04,17481.0
2015-09-08,22873.0
2015-09-09,19580.0
2015-09-10,19227.0
2015-09-11,22817.0
2015-09-14,17285.0
2015-09-15,19758.0
2015-09-16,24527.0
2015-09-17,21544.0
2015-09-18,22506.0
2015-09-21,22635.0
2015-09-22,21302.0
2015-09-23,21970.0
2015-09-24,22041.0
2015-09-25,20851.0
2015-09-28,21370.0
2015-09-29,23296.0
2015-09-30,20605.0
2015-10-01,20695.0
2015-10-02,22810.0
2015-10-05,16768.0
2015-10-06,18714.0
2015-10-07,23201.0
2015-10-08,19765.0
2015-10-09,20376.0
2015-10-12,22938.0
2015-10-13,21798.0
2015-10-14,20840.0
2015-10-15,19715.0
2015-10-16,24213.0
2015-10-19,22294.0
2015-10-20,22138.0
2015-10-21,20341.0
2015-10-22,21486.0
2015-10-23,17784.0
2015-10-26,16182.0
2015-10-27,18913.0
2015-10-28,17624.0
2015-10-29,24013.0
2015-10-30,23075.0
2015-11-02,27070.0
2015-11-03,19745.0
2015-11-04,20186.0
2015-11-05,16321.0
2015-11-06,23116.0
2015-11-09,23896.0
2015-11-10,24110.0
2015-11-11,20623.0
2015-11-12,22371.0
2015-11-13,18381.0
2015-11-16,21084.0
2015-11-17,17935.0
2015-11-18,20544.0
2015-11-19,17947.0
2015-11-20,22977.0
2015-11-23,22897.0
2015-11-24,18610.0
2015-11-25,24262.0
2015-11-27,23277.0
2015-11-30,22343.0
2015-12-01,21383.0
2015-12-02,17752.0
2015-12-03,20711.0
2015-12-04,18113.0
2015-12-07,20972.0
2015-12-08,22265.0
2015-12-09,25380.0
2015-12-10,19518.0
2015-12-11,23296.0
2015-12-14,22142.0
2015-12-15,19999.0
2015-12-16,23063.0
2015-12-17,23364.0
2015-12-18,23000.0
2015-12-21,21643.0
2015-12-22,19413.0
2015-12-23,27621.0
2015-12-24,22201.0
2015-12-28,21006.0
2015-12-29,23163.0
2015-12-30,21272.0
2015-12-31,21023.0
2016-01-04,21262.0
2016-01-05,21470.0
2016-01-06,23687.0
2016-01-07,21720.0
2016-01-08,17351.0
2016-01-11,16759.0
2016-01-12,20755.0
2016-01-13,18796.0
