date,value
2015-03-31,80892.0
2015-04-01,74448.0
2015-04-02,77490.0
2015-04-06,75982.0
2015-04-07,64265.0
2015-04-08,72271.0
2015-04-09,82730.0
2015-04-10,73242.0
2015-04-13,81232.0
2015-04-14,83946.0
2015-04-15,82649.0
2015-04-16,84079.0
2015-04-17,70587.0
2015-04-20,81449.0
2015-04-21,68605.0
2015-04-22,78615.0
2015-04-23,96347.0
2015-04-24,67620.0
2015-04-27,90202.0
2015-04-28,69944.0
2015-04-29,79225.0
2015-04-30,78717.0
2015-05-01,83153.0
2015-05-04,77696.0
2015-05-05,74921.0
2015-05-06,82695.0
2015-05-07,79896.0
2015-05-08,79411.0
2015-05-11,68869.0
2015-05-12,86487.0
2015-05-13,75313.0
2015-05-14,86220.0
2015-05-15,83338.0
2015-05-18,83588.0
2015-05-19,77530.0
2015-05-20,91230.0
2015-05-21,75595.0
2015-05-22,72953.0
2015-05-26,70397.0
2015-05-27,75790.0
2015-05-28,78079.0
2015-05-29,87698.0
2015-06-01,85720.0
2015-06-02,77989.0
2015-06-03,76856.0
2015-06-04,88385.0
2015-06-05,71529.0
2015-06-08,86974.0
2015-06-09,81477.0
2015-06-10,78443.0
2015-06-11,84268.0
2015-06-12,67065.0
2015-06-15,73154.0
2015-06-16,73232.0
2015-06-17,76285.0
2015-06-18,65553.0
2015-06-19,85126.0
2015-06-22,87537.0
2015-06-23,86648.0
2015-06-24,67109.0
2015-06-25,74169.0
2015-06-26,72850.0
2015-06-29,59462.0
2015-06-30,67830.0
2015-07-01,72856.0
2015-07-02,76288.0
2015-07-06,73978.0
2015-07-07,80147.0
2015-07-08,87846.0
2015-07-09,77664.0
2015-07-10,91370.0
2015-07-13,86610.0
2015-07-14,86007.0
2015-07-15,94587.0
2015-07-16,69108.0
2015-07-17,89622.0
2015-07-20,83539.0
2015-07-21,66244.0
2015-07-22,81906.0
2015-07-23,78845.0
2015-07-24,85175.0
2015-07-27,77598.0
2015-07-28,82017.0
2015-07-29,74504.0
2015-07-30,91887.0
2015-07-31,80185.0
2015-08-03,85424.0
2015-08-04,76631.0
2015-08-05,98126.0
2015-08-06,71298.0
2015-08-07,77506.0
2015-08-10,80975.0
2015-08-11,75004.0
2015-08-12,76435.0
2015-08-13,77181.0
2015-08-14,67693.0
2015-08-17,66589.0
2015-08-18,67414.0
2015-08-19,72426.0
2015-08-20,82440.0
2015-08-21,71530.0
2015-08-24,78403.0
2015-08-25,68478.0
2015-08-26,83555.0
2015-08-27,61201.0
2015-08-28,69855.0
2015-08-31,80108.0
2015-09-01,70435.0
2015-09-02,73130.0
2015-09-03,67752.0
2015-09-04,72093.0
2015-09-08,72525.0
2015-09-09,76405.0
2015-09-10,73553.0
2015-09-11,69844.0
2015-09-14,78589.0
2015-09-15,68122.0
2015-09-16,86887.0
2015-09-17,69657.0
2015-09-18,62038.0
2015-09-21,66827.0
2015-09-22,101547.0
2015-09-23,85919.0
2015-09-24,74620.0
2015-09-25,73635.0
2015-09-28,75236.0
2015-09-29,72317.0
2015-09-30,82358.0
2015-10-01,78263.0
2015-10-02,85654.0
2015-10-05,78584.0
2015-10-06,72705.0
2015-10-07,75610.0
2015-10-08,82249.0
2015-10-09,71143.0
2015-10-12,70126.0
2015-10-13,66805.0
2015-10-14,76109.0
2015-10-15,72525.0
2015-10-16,68010.0
