date,value
2015-03-31,7348.0
2015-04-01,7185.0
2015-04-02,7297.0
2015-04-06,7804.0
2015-04-07,10097.0
2015-04-08,9229.0
2015-04-09,8246.0
2015-04-10,8664.0
2015-04-13,6755.0
2015-04-14,7161.0
2015-04-15,8228.0
2015-04-16,8077.0
2015-04-17,8453.0
2015-04-20,8251.0
2015-04-21,9126.0
2015-04-22,8746.0
2015-04-23,6621.0
2015-04-24,8061.0
2015-04-27,9138.0
2015-04-28,9580.0
2015-04-29,9038.0
2015-04-30,9601.0
2015-05-01,11139.0
2015-05-04,10366.0
2015-05-05,10132.0
2015-05-06,7406.0
2015-05-07,7116.0
2015-05-08,9335.0
2015-05-11,9094.0
2015-05-12,9777.0
2015-05-13,9754.0
2015-05-14,11191.0
2015-05-15,9198.0
2015-05-18,9035.0
2015-05-19,9995.0
2015-05-20,10925.0
2015-05-21,11299.0
2015-05-22,10395.0
2015-05-26,9589.0
2015-05-27,9129.0
2015-05-28,11123.0
2015-05-29,9569.0
2015-06-01,8621.0
2015-06-02,10355.0
2015-06-03,10780.0
2015-06-04,10382.0
2015-06-05,10120.0
2015-06-08,10594.0
2015-06-09,11152.0
2015-06-10,10064.0
2015-06-11,7908.0
2015-06-12,10620.0
2015-06-15,11522.0
2015-06-16,11230.0
2015-06-17,8473.0
2015-06-18,10830.0
2015-06-19,11696.0
2015-06-22,9794.0
2015-06-23,12551.0
2015-06-24,11238.0
2015-06-25,10704.0
2015-06-26,8877.0
2015-06-29,11628.0
2015-06-30,13387.0
2015-07-01,8977.0
2015-07-02,11472.0
2015-07-06,11211.0
2015-07-07,10590.0
2015-07-08,10810.0
2015-07-09,11103.0
2015-07-10,11494.0
2015-07-13,12632.0
2015-07-14,10234.0
2015-07-15,11330.0
2015-07-16,11267.0
2015-07-17,11163.0
2015-07-20,10871.0
2015-07-21,11684.0
2015-07-22,11053.0
2015-07-23,11771.0
2015-07-24,10312.0
2015-07-27,10991.0
2015-07-28,14296.0
2015-07-29,12480.0
2015-07-30,12609.0
2015-07-31,12302.0
2015-08-03,12342.0
2015-08-04,12294.0
2015-08-05,11131.0
2015-08-06,11474.0
2015-08-07,11764.0
2015-08-10,13891.0
2015-08-11,13653.0
