date,value
2015-03-31,37940.0
2015-04-01,47973.0
2015-04-02,41004.0
2015-04-06,44040.0
2015-04-07,42734.0
2015-04-08,43705.0
2015-04-09,45382.0
2015-04-10,43262.0
2015-04-13,47742.0
2015-04-14,39417.0
2015-04-15,46221.0
2015-04-16,40023.0
2015-04-17,40177.0
2015-04-20,49973.0
2015-04-21,47007.0
2015-04-22,46847.0
2015-04-23,37729.0
2015-04-24,43958.0
2015-04-27,37749.0
2015-04-28,38211.0
2015-04-29,42759.0
2015-04-30,44551.0
2015-05-01,48206.0
2015-05-04,34909.0
2015-05-05,37744.0
2015-05-06,42588.0
2015-05-07,43625.0
2015-05-08,45169.0
2015-05-11,42536.0
2015-05-12,39416.0
2015-05-13,49611.0
2015-05-14,40610.0
2015-05-15,35324.0
2015-05-18,40210.0
2015-05-19,38975.0
2015-05-20,37594.0
2015-05-21,38874.0
2015-05-22,49904.0
2015-05-26,44324.0
2015-05-27,46273.0
2015-05-28,45517.0
2015-05-29,42778.0
2015-06-01,48540.0
2015-06-02,41601.0
2015-06-03,42403.0
2015-06-04,47584.0
2015-06-05,45251.0
2015-06-08,39531.0
2015-06-09,44389.0
2015-06-10,50545.0
2015-06-11,37775.0
2015-06-12,44918.0
2015-06-15,53404.0
2015-06-16,41470.0
2015-06-17,49975.0
2015-06-18,40955.0
2015-06-19,43303.0
2015-06-22,44438.0
2015-06-23,42583.0
2015-06-24,41819.0
2015-06-25,43618.0
2015-06-26,44170.0
2015-06-29,38119.0
2015-06-30,48469.0
2015-07-01,36359.0
2015-07-02,37646.0
2015-07-06,41980.0
2015-07-07,44183.0
2015-07-08,45089.0
2015-07-09,40977.0
2015-07-10,44791.0
2015-07-13,46787.0
2015-07-14,54444.0
2015-07-15,42757.0
2015-07-16,47873.0
2015-07-17,45003.0
2015-07-20,45944.0
2015-07-21,42054.0
2015-07-22,41910.0
2015-07-23,51807.0
2015-07-24,41975.0
2015-07-27,44391.0
2015-07-28,40547.0
2015-07-29,44751.0
2015-07-30,49469.0
2015-07-31,40837.0
2015-08-03,48016.0
2015-08-04,32842.0
2015-08-05,48675.0
2015-08-06,53200.0
2015-08-07,41406.0
2015-08-10,49540.0
2015-08-11,49814.0
2015-08-12,44824.0
2015-08-13,44433.0
2015-08-14,36858.0
2015-08-17,51020.0
2015-08-18,50960.0
2015-08-19,41502.0
2015-08-20,53031.0
2015-08-21,45790.0
2015-08-24,51165.0
2015-08-25,48025.0
2015-08-26,53727.0
2015-08-27,56210.0
2015-08-28,45018.0
2015-08-31,42158.0
2015-09-01,48087.0
2015-09-02,46193.0
2015-09-03,28318.0
2015-09-04,49213.0
2015-09-08,51370.0
2015-09-09,52597.0
2015-09-10,42975.0
2015-09-11,39978.0
2015-09-14,49304.0
2015-09-15,50427.0
2015-09-16,56512.0
2015-09-17,43199.0
2015-09-18,53756.0
2015-09-21,42333.0
2015-09-22,47811.0
2015-09-23,46717.0
2015-09-24,39077.0
2015-09-25,46218.0
2015-09-28,45870.0
2015-09-29,48892.0
2015-09-30,42441.0
2015-10-01,47300.0
2015-10-02,40141.0
2015-10-05,47160.0
2015-10-06,43520.0
2015-10-07,49525.0
2015-10-08,44693.0
2015-10-09,44248.0
2015-10-12,49969.0
2015-10-13,48837.0
2015-10-14,29205.0
2015-10-15,52193.0
2015-10-16,43889.0
2015-10-19,41474.0
2015-10-20,40028.0
2015-10-21,40117.0
2015-10-22,41809.0
2015-10-23,49128.0
2015-10-26,47783.0
2015-10-27,45803.0
2015-10-28,52245.0
2015-10-29,47176.0
2015-10-30,45405.0
2015-11-02,39628.0
2015-11-03,48482.0
2015-11-04,55376.0
2015-11-05,47453.0
2015-11-06,35751.0
2015-11-09,49487.0
2015-11-10,43036.0
2015-11-11,46718.0
2015-11-12,49436.0
2015-11-13,43997.0
2015-11-16,40807.0
2015-11-17,44322.0
2015-11-18,45291.0
2015-11-19,44501.0
2015-11-20,44710.0
2015-11-23,47600.0
2015-11-24,45187.0
2015-11-25,52718.0
2015-11-27,40599.0
2015-11-30,48489.0
2015-12-01,46685.0
2015-12-02,50308.0
2015-12-03,48386.0
2015-12-04,40031.0
2015-12-07,46499.0
2015-12-08,43912.0
2015-12-09,43656.0
2015-12-10,47706.0
2015-12-11,41630.0
2015-12-14,48151.0
2015-12-15,45131.0
2015-12-16,44106.0
2015-12-17,41736.0
2015-12-18,46098.0
2015-12-21,40164.0
2015-12-22,46933.0
2015-12-23,45359.0
2015-12-24,49691.0
2015-12-28,45099.0
2015-12-29,35372.0
2015-12-30,37448.0
2015-12-31,43741.0
2016-01-04,51449.0
2016-01-05,40121.0
2016-01-06,40552.0
2016-01-07,40058.0
2016-01-08,43580.0
2016-01-11,47688.0
2016-01-12,45505.0
2016-01-13,41435.0
2016-01-14,44641.0
2016-01-15,46843.0
2016-01-19,39915.0
2016-01-20,54495.0
2016-01-21,41126.0
2016-01-22,36703.0
2016-01-25,41962.0
2016-01-26,43097.0
2016-01-27,48864.0
2016-01-28,42423.0
2016-01-29,42849.0
2016-02-01,49127.0
2016-02-02,40769.0
2016-02-03,47723.0
2016-02-04,43549.0
2016-02-05,52482.0
2016-02-08,43097.0
2016-02-09,49884.0
2016-02-10,45674.0
2016-02-11,40438.0
2016-02-12,51073.0
2016-02-16,40701.0
2016-02-17,43277.0
2016-02-18,40895.0
2016-02-19,41637.0
2016-02-22,49312.0
2016-02-23,49641.0
2016-02-24,36866.0
2016-02-25,39847.0
2016-02-26,51377.0
2016-02-29,34803.0
2016-03-01,44918.0
2016-03-02,47108.0
2016-03-03,41917.0
2016-03-04,37817.0
2016-03-07,51380.0
2016-03-08,44349.0
2016-03-09,45906.0
2016-03-10,40381.0
2016-03-11,47126.0
2016-03-14,46329.0
2016-03-15,36173.0
2016-03-16,49291.0
2016-03-17,47449.0
2016-03-18,42985.0
2016-03-21,42555.0
2016-03-22,47889.0
2016-03-23,37694.0
2016-03-24,39064.0
2016-03-28,44818.0
2016-03-29,46380.0
2016-03-30,36422.0
2016-03-31,42788.0
2016-04-01,51359.0
2016-04-04,40705.0
2016-04-05,50515.0
2016-04-06,44623.0
2016-04-07,46027.0
2016-04-08,40237.0
2016-04-11,41251.0
2016-04-12,41915.0
2016-04-13,45932.0
2016-04-14,52919.0
2016-04-15,39807.0
2016-04-18,44194.0
2016-04-19,42885.0
2016-04-20,33409.0
2016-04-21,44406.0
2016-04-22,39139.0
2016-04-25,47704.0
2016-04-26,42962.0
2016-04-27,44917.0
2016-04-28,41570.0
2016-04-29,46608.0
2016-05-02,42370.0
2016-05-03,41251.0
2016-05-04,38840.0
2016-05-05,43033.0
2016-05-06,42423.0
2016-05-09,43525.0
2016-05-10,45079.0
2016-05-11,41935.0
2016-05-12,42450.0
2016-05-13,45911.0
2016-05-16,41189.0
2016-05-17,37910.0
2016-05-18,45238.0
2016-05-19,37730.0
2016-05-20,50061.0
2016-05-23,46447.0
2016-05-24,48610.0
2016-05-25,40362.0
2016-05-26,39192.0
2016-05-27,45963.0
2016-05-31,45218.0
2016-06-01,49676.0
2016-06-02,53107.0
2016-06-03,37588.0
2016-06-06,42310.0
2016-06-07,51602.0
2016-06-08,42553.0
2016-06-09,45235.0
2016-06-10,37058.0
2016-06-13,50239.0
2016-06-14,39640.0
2016-06-15,44995.0
2016-06-16,42314.0
2016-06-17,49322.0
2016-06-20,39192.0
2016-06-21,41471.0
2016-06-22,37370.0
2016-06-23,39132.0
2016-06-24,49852.0
2016-06-27,40929.0
2016-06-28,42544.0
2016-06-29,48220.0
2016-06-30,47192.0
2016-07-01,40499.0
2016-07-05,50833.0
2016-07-06,46932.0
2016-07-07,43856.0
2016-07-08,44807.0
2016-07-11,49293.0
2016-07-12,41575.0
2016-07-13,44417.0
2016-07-14,47229.0
2016-07-15,51435.0
2016-07-18,47825.0
2016-07-19,44173.0
2016-07-20,37984.0
2016-07-21,33642.0
2016-07-22,45142.0
2016-07-25,45926.0
2016-07-26,38355.0
2016-07-27,49479.0
2016-07-28,36396.0
2016-07-29,50042.0
2016-08-01,49459.0
2016-08-02,41820.0
2016-08-03,46066.0
2016-08-04,47226.0
2016-08-05,45274.0
2016-08-08,43152.0
2016-08-09,45759.0
2016-08-10,47870.0
2016-08-11,49339.0
2016-08-12,42264.0
2016-08-15,46746.0
2016-08-16,37317.0
2016-08-17,38613.0
2016-08-18,45794.0
2016-08-19,47642.0
2016-08-22,34605.0
2016-08-23,45437.0
2016-08-24,41263.0
2016-08-25,41023.0
2016-08-26,48524.0
2016-08-29,46400.0
2016-08-30,50008.0
2016-08-31,37535.0
2016-09-01,46156.0
2016-09-02,41759.0
2016-09-06,49081.0
2016-09-07,40354.0
2016-09-08,47473.0
2016-09-09,45157.0
2016-09-12,38955.0
2016-09-13,40328.0
2016-09-14,45590.0
2016-09-15,41283.0
2016-09-16,43842.0
2016-09-19,44856.0
2016-09-20,35280.0
2016-09-21,43426.0
2016-09-22,50559.0
2016-09-23,42623.0
2016-09-26,46158.0
2016-09-27,43774.0
2016-09-28,49167.0
2016-09-29,47027.0
2016-09-30,46405.0
2016-10-03,41675.0
2016-10-04,44295.0
2016-10-05,39117.0
2016-10-06,46514.0
2016-10-07,48857.0
2016-10-10,52396.0
2016-10-11,40709.0
2016-10-12,48399.0
2016-10-13,41947.0
2016-10-14,47634.0
2016-10-17,41821.0
2016-10-18,47952.0
2016-10-19,44904.0
2016-10-20,49807.0
2016-10-21,37744.0
2016-10-24,39576.0
2016-10-25,38974.0
2016-10-26,42528.0
2016-10-27,37234.0
2016-10-28,46729.0
2016-10-31,41495.0
2016-11-01,48600.0
2016-11-02,47995.0
2016-11-03,48521.0
2016-11-04,40891.0
2016-11-07,44366.0
2016-11-08,47409.0
2016-11-09,42701.0
2016-11-10,44205.0
2016-11-11,41992.0
2016-11-14,45627.0
2016-11-15,47105.0
2016-11-16,44838.0
2016-11-17,46954.0
2016-11-18,42295.0
2016-11-21,48272.0
2016-11-22,54921.0
2016-11-23,41386.0
2016-11-25,47801.0
2016-11-28,48963.0
2016-11-29,41953.0
2016-11-30,37502.0
2016-12-01,47204.0
2016-12-02,41574.0
2016-12-05,35135.0
2016-12-06,40949.0
2016-12-07,51842.0
2016-12-08,50276.0
2016-12-09,47585.0
2016-12-12,52614.0
2016-12-13,38522.0
2016-12-14,45725.0
2016-12-15,46196.0
2016-12-16,47015.0
2016-12-19,43356.0
2016-12-20,39293.0
2016-12-21,47044.0
2016-12-22,44304.0
2016-12-23,42631.0
2016-12-27,44154.0
2016-12-28,39696.0
2016-12-29,39183.0
2016-12-30,47228.0
2017-01-03,36985.0
2017-01-04,41473.0
2017-01-05,51023.0
2017-01-06,39748.0
2017-01-09,42714.0
2017-01-10,36391.0
2017-01-11,44122.0
2017-01-12,47720.0
2017-01-13,46055.0
2017-01-17,45878.0
2017-01-18,49555.0
2017-01-19,49015.0
2017-01-20,45597.0
2017-01-23,41601.0
2017-01-24,43625.0
2017-01-25,45979.0
2017-01-26,43378.0
2017-01-27,44431.0
2017-01-30,43414.0
2017-01-31,46317.0
2017-02-01,41388.0
2017-02-02,40853.0
2017-02-03,40307.0
2017-02-06,45158.0
2017-02-07,46128.0
2017-02-08,38762.0
2017-02-09,38244.0
2017-02-10,32988.0
2017-02-13,42050.0
2017-02-14,51172.0
2017-02-15,48241.0
2017-02-16,52566.0
2017-02-17,50877.0
2017-02-21,43628.0
2017-02-22,40753.0
2017-02-23,44288.0
2017-02-24,44348.0
2017-02-27,44905.0
2017-02-28,41809.0
