date,value
2015-03-31,81175.0
2015-04-01,96664.0
2015-04-02,91967.0
2015-04-06,92293.0
2015-04-07,100435.0
2015-04-08,100662.0
2015-04-09,81543.0
2015-04-10,112042.0
2015-04-13,94061.0
2015-04-14,114307.0
2015-04-15,119247.0
2015-04-16,85466.0
2015-04-17,94032.0
2015-04-20,99680.0
2015-04-21,107891.0
2015-04-22,108900.0
2015-04-23,109661.0
2015-04-24,107053.0
2015-04-27,116419.0
2015-04-28,118535.0
2015-04-29,94027.0
2015-04-30,108505.0
2015-05-01,98403.0
2015-05-04,106359.0
2015-05-05,112679.0
2015-05-06,121241.0
2015-05-07,120749.0
2015-05-08,110214.0
2015-05-11,110547.0
2015-05-12,101974.0
2015-05-13,93131.0
2015-05-14,117732.0
2015-05-15,129144.0
2015-05-18,120413.0
2015-05-19,118229.0
2015-05-20,106732.0
2015-05-21,113393.0
2015-05-22,109472.0
2015-05-26,106280.0
2015-05-27,123966.0
2015-05-28,113200.0
2015-05-29,104380.0
2015-06-01,129554.0
2015-06-02,78006.0
2015-06-03,128999.0
2015-06-04,111803.0
2015-06-05,122542.0
2015-06-08,105743.0
2015-06-09,112428.0
2015-06-10,134360.0
2015-06-11,117623.0
2015-06-12,108779.0
2015-06-15,139761.0
2015-06-16,121993.0
2015-06-17,115295.0
2015-06-18,117314.0
2015-06-19,113478.0
2015-06-22,128441.0
2015-06-23,116881.0
2015-06-24,127330.0
2015-06-25,121640.0
2015-06-26,108052.0
2015-06-29,123961.0
2015-06-30,119867.0
2015-07-01,113538.0
2015-07-02,104906.0
2015-07-06,104691.0
2015-07-07,130342.0
2015-07-08,136943.0
2015-07-09,125090.0
2015-07-10,130877.0
2015-07-13,119458.0
2015-07-14,145902.0
2015-07-15,122834.0
2015-07-16,126479.0
2015-07-17,110373.0
2015-07-20,142413.0
2015-07-21,109261.0
2015-07-22,107079.0
2015-07-23,113931.0
2015-07-24,143539.0
2015-07-27,124847.0
2015-07-28,130749.0
2015-07-29,149297.0
2015-07-30,153410.0
2015-07-31,143904.0
2015-08-03,133097.0
2015-08-04,155371.0
2015-08-05,143521.0
2015-08-06,146216.0
2015-08-07,160555.0
2015-08-10,122436.0
2015-08-11,138242.0
2015-08-12,140749.0
2015-08-13,118042.0
2015-08-14,134854.0
2015-08-17,126284.0
2015-08-18,155283.0
2015-08-19,167617.0
2015-08-20,159044.0
2015-08-21,162075.0
2015-08-24,147362.0
2015-08-25,141606.0
2015-08-26,134708.0
2015-08-27,149955.0
2015-08-28,129570.0
2015-08-31,143463.0
2015-09-01,153015.0
2015-09-02,176707.0
2015-09-03,161207.0
2015-09-04,165306.0
2015-09-08,150247.0
2015-09-09,154103.0
2015-09-10,133240.0
2015-09-11,136654.0
2015-09-14,186511.0
2015-09-15,142405.0
2015-09-16,174345.0
2015-09-17,139009.0
2015-09-18,167125.0
2015-09-21,180654.0
2015-09-22,199207.0
2015-09-23,172758.0
2015-09-24,153932.0
2015-09-25,186840.0
2015-09-28,161638.0
2015-09-29,151911.0
2015-09-30,152403.0
2015-10-01,161243.0
2015-10-02,135639.0
2015-10-05,181733.0
2015-10-06,157467.0
2015-10-07,145959.0
2015-10-08,148494.0
2015-10-09,151117.0
2015-10-12,171397.0
2015-10-13,156067.0
2015-10-14,148272.0
2015-10-15,168507.0
2015-10-16,166086.0
2015-10-19,159040.0
2015-10-20,146654.0
2015-10-21,153598.0
2015-10-22,162865.0
2015-10-23,150856.0
2015-10-26,155570.0
2015-10-27,157479.0
2015-10-28,160969.0
2015-10-29,137159.0
2015-10-30,142529.0
2015-11-02,163544.0
2015-11-03,136604.0
2015-11-04,135961.0
2015-11-05,139070.0
2015-11-06,135710.0
2015-11-09,143824.0
2015-11-10,128326.0
2015-11-11,147386.0
2015-11-12,138141.0
2015-11-13,146224.0
2015-11-16,134756.0
2015-11-17,114194.0
2015-11-18,156624.0
2015-11-19,126024.0
2015-11-20,137034.0
2015-11-23,148100.0
2015-11-24,123520.0
2015-11-25,136729.0
2015-11-27,120470.0
2015-11-30,131619.0
2015-12-01,153017.0
2015-12-02,108692.0
2015-12-03,132485.0
2015-12-04,107996.0
2015-12-07,122648.0
2015-12-08,122651.0
2015-12-09,135012.0
2015-12-10,134962.0
2015-12-11,123010.0
2015-12-14,118937.0
2015-12-15,114778.0
2015-12-16,136698.0
2015-12-17,95113.0
2015-12-18,124163.0
2015-12-21,98946.0
2015-12-22,110457.0
2015-12-23,117872.0
2015-12-24,115444.0
2015-12-28,116489.0
2015-12-29,99057.0
2015-12-30,106409.0
2015-12-31,108726.0
2016-01-04,101497.0
2016-01-05,111241.0
2016-01-06,102369.0
2016-01-07,118696.0
2016-01-08,110665.0
2016-01-11,138348.0
2016-01-12,110284.0
2016-01-13,114441.0
2016-01-14,116472.0
2016-01-15,124884.0
2016-01-19,116411.0
2016-01-20,113422.0
2016-01-21,105886.0
2016-01-22,98972.0
2016-01-25,113251.0
2016-01-26,106311.0
2016-01-27,110510.0
2016-01-28,132616.0
2016-01-29,117311.0
2016-02-01,102070.0
2016-02-02,115961.0
2016-02-03,112196.0
2016-02-04,94918.0
2016-02-05,121589.0
2016-02-08,117731.0
2016-02-09,110398.0
2016-02-10,123879.0
2016-02-11,107887.0
2016-02-12,101597.0
2016-02-16,107099.0
2016-02-17,109721.0
2016-02-18,107849.0
2016-02-19,83679.0
2016-02-22,101243.0
2016-02-23,122625.0
2016-02-24,106376.0
2016-02-25,111177.0
2016-02-26,116392.0
2016-02-29,106999.0
2016-03-01,123797.0
2016-03-02,114775.0
2016-03-03,115933.0
2016-03-04,119470.0
2016-03-07,137255.0
2016-03-08,139513.0
2016-03-09,101638.0
2016-03-10,102644.0
2016-03-11,116692.0
2016-03-14,125411.0
2016-03-15,117593.0
2016-03-16,111687.0
2016-03-17,112674.0
2016-03-18,129056.0
2016-03-21,102025.0
2016-03-22,114878.0
2016-03-23,104392.0
2016-03-24,96064.0
2016-03-28,128124.0
2016-03-29,123913.0
2016-03-30,112276.0
2016-03-31,104772.0
2016-04-01,141915.0
2016-04-04,100589.0
2016-04-05,112627.0
2016-04-06,96180.0
2016-04-07,88773.0
2016-04-08,109242.0
2016-04-11,112647.0
2016-04-12,96839.0
2016-04-13,128893.0
2016-04-14,99738.0
2016-04-15,106238.0
2016-04-18,132505.0
2016-04-19,137195.0
2016-04-20,104841.0
2016-04-21,132455.0
2016-04-22,118863.0
2016-04-25,116194.0
2016-04-26,114824.0
2016-04-27,104021.0
2016-04-28,113302.0
2016-04-29,119348.0
2016-05-02,118996.0
2016-05-03,131570.0
2016-05-04,130803.0
2016-05-05,138314.0
2016-05-06,129408.0
2016-05-09,134431.0
2016-05-10,126831.0
2016-05-11,100717.0
2016-05-12,136552.0
2016-05-13,115084.0
2016-05-16,116417.0
2016-05-17,103111.0
2016-05-18,114767.0
2016-05-19,139519.0
2016-05-20,115111.0
2016-05-23,128084.0
2016-05-24,131923.0
2016-05-25,134232.0
2016-05-26,147712.0
2016-05-27,149270.0
2016-05-31,114798.0
2016-06-01,155403.0
2016-06-02,107911.0
2016-06-03,153840.0
2016-06-06,121393.0
2016-06-07,132248.0
2016-06-08,160412.0
2016-06-09,133480.0
2016-06-10,131348.0
2016-06-13,110729.0
2016-06-14,129621.0
2016-06-15,141528.0
2016-06-16,138427.0
2016-06-17,143940.0
2016-06-20,151912.0
2016-06-21,129082.0
2016-06-22,133220.0
2016-06-23,128452.0
2016-06-24,147815.0
2016-06-27,151985.0
2016-06-28,126196.0
2016-06-29,132950.0
2016-06-30,151570.0
2016-07-01,136434.0
2016-07-05,115647.0
2016-07-06,135254.0
2016-07-07,154909.0
2016-07-08,144210.0
2016-07-11,143875.0
2016-07-12,146601.0
2016-07-13,149446.0
2016-07-14,141922.0
2016-07-15,167532.0
2016-07-18,172265.0
2016-07-19,141300.0
2016-07-20,145860.0
2016-07-21,155570.0
2016-07-22,163458.0
2016-07-25,166293.0
2016-07-26,156468.0
2016-07-27,160832.0
2016-07-28,180675.0
2016-07-29,163801.0
2016-08-01,183328.0
2016-08-02,192563.0
2016-08-03,175813.0
2016-08-04,180546.0
2016-08-05,165494.0
2016-08-08,163700.0
2016-08-09,169116.0
2016-08-10,192014.0
2016-08-11,165527.0
2016-08-12,164887.0
2016-08-15,182600.0
2016-08-16,191559.0
2016-08-17,179036.0
2016-08-18,174287.0
2016-08-19,151969.0
2016-08-22,197761.0
2016-08-23,199523.0
2016-08-24,196099.0
2016-08-25,204435.0
2016-08-26,195663.0
2016-08-29,192813.0
2016-08-30,179694.0
2016-08-31,194645.0
2016-09-01,149447.0
2016-09-02,188850.0
2016-09-06,179665.0
2016-09-07,191629.0
2016-09-08,158101.0
2016-09-09,212936.0
2016-09-12,160649.0
2016-09-13,155604.0
2016-09-14,172366.0
2016-09-15,219139.0
2016-09-16,166819.0
2016-09-19,218476.0
2016-09-20,174887.0
2016-09-21,207419.0
2016-09-22,182820.0
2016-09-23,178506.0
2016-09-26,166979.0
2016-09-27,176526.0
2016-09-28,210445.0
2016-09-29,202353.0
2016-09-30,188732.0
2016-10-03,223214.0
2016-10-04,207011.0
2016-10-05,178205.0
2016-10-06,169229.0
2016-10-07,210820.0
2016-10-10,212389.0
2016-10-11,171432.0
2016-10-12,202240.0
2016-10-13,213494.0
2016-10-14,227289.0
2016-10-17,189879.0
2016-10-18,183355.0
2016-10-19,206617.0
2016-10-20,193071.0
2016-10-21,181080.0
2016-10-24,193858.0
2016-10-25,156342.0
2016-10-26,189459.0
2016-10-27,160324.0
2016-10-28,170797.0
2016-10-31,151458.0
2016-11-01,178298.0
2016-11-02,175770.0
2016-11-03,183017.0
2016-11-04,196648.0
2016-11-07,174670.0
2016-11-08,178861.0
2016-11-09,173759.0
2016-11-10,163996.0
2016-11-11,167695.0
2016-11-14,149850.0
2016-11-15,184855.0
2016-11-16,167131.0
2016-11-17,172042.0
2016-11-18,178568.0
2016-11-21,135471.0
2016-11-22,147755.0
2016-11-23,145224.0
2016-11-25,162450.0
2016-11-28,131739.0
2016-11-29,141944.0
2016-11-30,158407.0
2016-12-01,134669.0
2016-12-02,114056.0
2016-12-05,146811.0
2016-12-06,132221.0
2016-12-07,129358.0
2016-12-08,119735.0
2016-12-09,153399.0
2016-12-12,137999.0
2016-12-13,141189.0
2016-12-14,153196.0
2016-12-15,135766.0
2016-12-16,115597.0
2016-12-19,135907.0
2016-12-20,125751.0
2016-12-21,123693.0
2016-12-22,122799.0
2016-12-23,136999.0
2016-12-27,120907.0
2016-12-28,128230.0
2016-12-29,116183.0
2016-12-30,110260.0
2017-01-03,127517.0
2017-01-04,124469.0
2017-01-05,100896.0
2017-01-06,119014.0
2017-01-09,140183.0
2017-01-10,124854.0
2017-01-11,139049.0
2017-01-12,101816.0
2017-01-13,134773.0
2017-01-17,134505.0
2017-01-18,116794.0
2017-01-19,141133.0
2017-01-20,129437.0
2017-01-23,120776.0
2017-01-24,110964.0
2017-01-25,140952.0
2017-01-26,136652.0
2017-01-27,115143.0
2017-01-30,129638.0
2017-01-31,145323.0
2017-02-01,134639.0
2017-02-02,119470.0
2017-02-03,142273.0
2017-02-06,121901.0
2017-02-07,136603.0
2017-02-08,128764.0
2017-02-09,140683.0
2017-02-10,120876.0
2017-02-13,118830.0
2017-02-14,131414.0
2017-02-15,155446.0
2017-02-16,134469.0
2017-02-17,121408.0
2017-02-21,125353.0
2017-02-22,148542.0
2017-02-23,144867.0
2017-02-24,131883.0
2017-02-27,135247.0
2017-02-28,134456.0
2017-03-01,136771.0
2017-03-02,141212.0
2017-03-03,108656.0
2017-03-06,134142.0
2017-03-07,123940.0
2017-03-08,141120.0
2017-03-09,126120.0
2017-03-10,145043.0
2017-03-13,111349.0
2017-03-14,129225.0
2017-03-15,141430.0
2017-03-16,116029.0
2017-03-17,130136.0
2017-03-20,126315.0
2017-03-21,145336.0
2017-03-22,131049.0
2017-03-23,140315.0
2017-03-24,91304.0
2017-03-27,132174.0
2017-03-28,144102.0
2017-03-29,153430.0
2017-03-30,117174.0
2017-03-31,142448.0
2017-04-03,129413.0
2017-04-04,118981.0
2017-04-05,116139.0
2017-04-06,110166.0
2017-04-07,149812.0
2017-04-10,134858.0
2017-04-11,142753.0
2017-04-12,118665.0
2017-04-13,130640.0
2017-04-17,106737.0
2017-04-18,151863.0
2017-04-19,129776.0
2017-04-20,138869.0
2017-04-21,126951.0
2017-04-24,123020.0
2017-04-25,154991.0
2017-04-26,114893.0
2017-04-27,160354.0
2017-04-28,138378.0
2017-05-01,156688.0
2017-05-02,139943.0
2017-05-03,145393.0
2017-05-04,154680.0
2017-05-05,138112.0
2017-05-08,152911.0
2017-05-09,142368.0
2017-05-10,136320.0
2017-05-11,145552.0
2017-05-12,125126.0
2017-05-15,130400.0
2017-05-16,150604.0
2017-05-17,124293.0
2017-05-18,132636.0
2017-05-19,151240.0
2017-05-22,144748.0
2017-05-23,129777.0
2017-05-24,147043.0
2017-05-25,157789.0
2017-05-26,153957.0
2017-05-30,136103.0
2017-05-31,137829.0
2017-06-01,173153.0
2017-06-02,175050.0
2017-06-05,151113.0
2017-06-06,175167.0
2017-06-07,137988.0
2017-06-08,154277.0
2017-06-09,181724.0
2017-06-12,176164.0
2017-06-13,160376.0
2017-06-14,136196.0
2017-06-15,155320.0
2017-06-16,152777.0
2017-06-19,145424.0
2017-06-20,187480.0
2017-06-21,182007.0
2017-06-22,151689.0
2017-06-23,166382.0
2017-06-26,143859.0
2017-06-27,167601.0
2017-06-28,174406.0
2017-06-29,178668.0
2017-06-30,157070.0
2017-07-03,175688.0
2017-07-05,178522.0
2017-07-06,136903.0
2017-07-07,163884.0
2017-07-10,175262.0
2017-07-11,151087.0
2017-07-12,184563.0
2017-07-13,181629.0
2017-07-14,181472.0
2017-07-17,136970.0
2017-07-18,168624.0
2017-07-19,150468.0
2017-07-20,198141.0
