date,value
2015-03-31,1397208.0
2015-04-01,1180240.0
2015-04-02,1493482.0
2015-04-06,1469300.0
2015-04-07,1529667.0
2015-04-08,1304276.0
2015-04-09,1236326.0
2015-04-10,1557690.0
2015-04-13,1340727.0
2015-04-14,1520297.0
2015-04-15,1560472.0
2015-04-16,1503533.0
2015-04-17,1478087.0
2015-04-20,1347583.0
2015-04-21,1465561.0
2015-04-22,1762832.0
2015-04-23,1292710.0
2015-04-24,1346918.0
2015-04-27,1413860.0
2015-04-28,1505150.0
2015-04-29,1512339.0
2015-04-30,1434453.0
2015-05-01,1334337.0
2015-05-04,1524722.0
2015-05-05,1425346.0
2015-05-06,1317718.0
2015-05-07,1705902.0
2015-05-08,1510970.0
2015-05-11,1349433.0
2015-05-12,1713162.0
2015-05-13,1424509.0
2015-05-14,1758342.0
2015-05-15,1562529.0
2015-05-18,1470342.0
2015-05-19,1419016.0
2015-05-20,1371062.0
2015-05-21,1468091.0
2015-05-22,1144296.0
2015-05-26,1342384.0
2015-05-27,1444630.0
2015-05-28,1225744.0
2015-05-29,1562486.0
2015-06-01,1582038.0
2015-06-02,1703276.0
2015-06-03,1567716.0
2015-06-04,1610617.0
2015-06-05,1253898.0
2015-06-08,1522629.0
2015-06-09,1238746.0
2015-06-10,1216162.0
2015-06-11,1392865.0
2015-06-12,1413336.0
2015-06-15,1463857.0
2015-06-16,1733534.0
2015-06-17,1473794.0
2015-06-18,1502819.0
2015-06-19,1507292.0
2015-06-22,1485248.0
2015-06-23,1537193.0
2015-06-24,1754709.0
2015-06-25,1378939.0
2015-06-26,1537820.0
2015-06-29,1539223.0
2015-06-30,1561278.0
2015-07-01,1791329.0
2015-07-02,1571799.0
2015-07-06,1594906.0
2015-07-07,1481340.0
2015-07-08,1359519.0
2015-07-09,1806920.0
2015-07-10,1444492.0
2015-07-13,1860339.0
2015-07-14,1693711.0
2015-07-15,1688309.0
2015-07-16,1597014.0
2015-07-17,1481512.0
2015-07-20,1637981.0
2015-07-21,1664779.0
2015-07-22,1341621.0
2015-07-23,1560153.0
2015-07-24,1292944.0
2015-07-27,1832016.0
2015-07-28,1742573.0
2015-07-29,1813475.0
2015-07-30,1819289.0
2015-07-31,1413637.0
2015-08-03,1822323.0
2015-08-04,1661104.0
2015-08-05,1566621.0
2015-08-06,1452915.0
2015-08-07,1778536.0
2015-08-10,1463070.0
2015-08-11,1742123.0
2015-08-12,1620674.0
2015-08-13,1716538.0
2015-08-14,1633330.0
2015-08-17,1953540.0
2015-08-18,1679719.0
2015-08-19,1746726.0
2015-08-20,1765635.0
2015-08-21,1667026.0
2015-08-24,1710346.0
2015-08-25,1889135.0
2015-08-26,1574588.0
2015-08-27,1822520.0
2015-08-28,1693230.0
2015-08-31,1753549.0
2015-09-01,1676532.0
2015-09-02,1974849.0
2015-09-03,1626441.0
2015-09-04,1813892.0
2015-09-08,1840852.0
2015-09-09,1884160.0
2015-09-10,1656216.0
2015-09-11,1529538.0
2015-09-14,1704920.0
2015-09-15,1702055.0
2015-09-16,1705981.0
2015-09-17,1332815.0
2015-09-18,1581865.0
2015-09-21,1494682.0
2015-09-22,1567917.0
2015-09-23,1760547.0
2015-09-24,2039525.0
2015-09-25,1512744.0
2015-09-28,1904627.0
2015-09-29,1688267.0
2015-09-30,1387170.0
2015-10-01,1708394.0
2015-10-02,1625022.0
2015-10-05,1927051.0
2015-10-06,1728376.0
2015-10-07,1423260.0
2015-10-08,1988958.0
2015-10-09,1658492.0
2015-10-12,1934996.0
2015-10-13,1744651.0
2015-10-14,1627110.0
2015-10-15,1888660.0
2015-10-16,1678959.0
2015-10-19,1608986.0
2015-10-20,1996512.0
