date,value
2015-03-31,196002.0
2015-04-01,167658.0
2015-04-02,160397.0
2015-04-06,188276.0
2015-04-07,185367.0
2015-04-08,187211.0
2015-04-09,195138.0
2015-04-10,162513.0
2015-04-13,184599.0
2015-04-14,163618.0
2015-04-15,200521.0
2015-04-16,179002.0
2015-04-17,181797.0
2015-04-20,169084.0
2015-04-21,179445.0
2015-04-22,182501.0
2015-04-23,162316.0
2015-04-24,193353.0
2015-04-27,168479.0
2015-04-28,188758.0
2015-04-29,212253.0
2015-04-30,175028.0
2015-05-01,170197.0
2015-05-04,178482.0
2015-05-05,193980.0
2015-05-06,179507.0
2015-05-07,233723.0
2015-05-08,185851.0
2015-05-11,187991.0
2015-05-12,198641.0
2015-05-13,158181.0
2015-05-14,170844.0
2015-05-15,190065.0
2015-05-18,200318.0
2015-05-19,159886.0
2015-05-20,199041.0
2015-05-21,184866.0
2015-05-22,187454.0
2015-05-26,152937.0
2015-05-27,176110.0
2015-05-28,196590.0
2015-05-29,159923.0
2015-06-01,230102.0
2015-06-02,188193.0
2015-06-03,213420.0
2015-06-04,182215.0
2015-06-05,164896.0
2015-06-08,203394.0
2015-06-09,186018.0
2015-06-10,214171.0
2015-06-11,219015.0
2015-06-12,199918.0
2015-06-15,199949.0
2015-06-16,216872.0
2015-06-17,167415.0
2015-06-18,186553.0
2015-06-19,172355.0
2015-06-22,199196.0
2015-06-23,211027.0
2015-06-24,181078.0
2015-06-25,206419.0
2015-06-26,228947.0
2015-06-29,184234.0
2015-06-30,189554.0
2015-07-01,203797.0
2015-07-02,192999.0
2015-07-06,187864.0
2015-07-07,183737.0
2015-07-08,186146.0
2015-07-09,197959.0
2015-07-10,176443.0
2015-07-13,212075.0
2015-07-14,178926.0
2015-07-15,226993.0
2015-07-16,193887.0
2015-07-17,192574.0
2015-07-20,191827.0
2015-07-21,195431.0
2015-07-22,230854.0
2015-07-23,188438.0
2015-07-24,180311.0
2015-07-27,205731.0
2015-07-28,188937.0
2015-07-29,158753.0
2015-07-30,161283.0
2015-07-31,183254.0
2015-08-03,197727.0
2015-08-04,193838.0
2015-08-05,209372.0
2015-08-06,177907.0
2015-08-07,194145.0
2015-08-10,198569.0
2015-08-11,154529.0
2015-08-12,189913.0
2015-08-13,210474.0
2015-08-14,194781.0
2015-08-17,178397.0
2015-08-18,178591.0
2015-08-19,219975.0
2015-08-20,184493.0
2015-08-21,180556.0
2015-08-24,193216.0
2015-08-25,201134.0
2015-08-26,165479.0
2015-08-27,229350.0
2015-08-28,210264.0
2015-08-31,183939.0
2015-09-01,160015.0
2015-09-02,221499.0
2015-09-03,212108.0
2015-09-04,194881.0
2015-09-08,173718.0
2015-09-09,196325.0
2015-09-10,189019.0
2015-09-11,188497.0
2015-09-14,203622.0
2015-09-15,162124.0
2015-09-16,226048.0
2015-09-17,222323.0
2015-09-18,180843.0
2015-09-21,172393.0
2015-09-22,186462.0
2015-09-23,171484.0
2015-09-24,199386.0
2015-09-25,216263.0
2015-09-28,220213.0
2015-09-29,171776.0
2015-09-30,226719.0
2015-10-01,169968.0
2015-10-02,183712.0
2015-10-05,181398.0
2015-10-06,180650.0
2015-10-07,171518.0
2015-10-08,177614.0
2015-10-09,144720.0
2015-10-12,225333.0
2015-10-13,204237.0
2015-10-14,184474.0
2015-10-15,173292.0
2015-10-16,204986.0
2015-10-19,226244.0
2015-10-20,218173.0
2015-10-21,149470.0
2015-10-22,160020.0
2015-10-23,196420.0
2015-10-26,196015.0
2015-10-27,205800.0
2015-10-28,170152.0
2015-10-29,237598.0
2015-10-30,224446.0
2015-11-02,211094.0
2015-11-03,197233.0
2015-11-04,195374.0
2015-11-05,229062.0
2015-11-06,201026.0
2015-11-09,221514.0
2015-11-10,221886.0
2015-11-11,221694.0
2015-11-12,199104.0
2015-11-13,194629.0
2015-11-16,201503.0
2015-11-17,187748.0
2015-11-18,160506.0
2015-11-19,196666.0
2015-11-20,222368.0
2015-11-23,195343.0
2015-11-24,198854.0
2015-11-25,184589.0
2015-11-27,236498.0
2015-11-30,204876.0
2015-12-01,220828.0
2015-12-02,232906.0
2015-12-03,199539.0
2015-12-04,182506.0
2015-12-07,248714.0
2015-12-08,236551.0
2015-12-09,198730.0
2015-12-10,180250.0
2015-12-11,211668.0
2015-12-14,205275.0
2015-12-15,233649.0
2015-12-16,219630.0
2015-12-17,181558.0
2015-12-18,211037.0
2015-12-21,202017.0
2015-12-22,184596.0
2015-12-23,199903.0
2015-12-24,215822.0
2015-12-28,219513.0
2015-12-29,207854.0
2015-12-30,221396.0
2015-12-31,180029.0
2016-01-04,169062.0
2016-01-05,239394.0
2016-01-06,193093.0
2016-01-07,207367.0
2016-01-08,192239.0
2016-01-11,205369.0
2016-01-12,158306.0
2016-01-13,180866.0
2016-01-14,185324.0
2016-01-15,224232.0
2016-01-19,177632.0
2016-01-20,241640.0
2016-01-21,210474.0
2016-01-22,205085.0
2016-01-25,213566.0
2016-01-26,221609.0
2016-01-27,189735.0
2016-01-28,199988.0
2016-01-29,187811.0
2016-02-01,209837.0
2016-02-02,195480.0
2016-02-03,208793.0
2016-02-04,202466.0
2016-02-05,193773.0
2016-02-08,213198.0
2016-02-09,171056.0
2016-02-10,182504.0
2016-02-11,189827.0
2016-02-12,200392.0
2016-02-16,190453.0
2016-02-17,220187.0
2016-02-18,166985.0
2016-02-19,192740.0
2016-02-22,184844.0
2016-02-23,187291.0
2016-02-24,192645.0
2016-02-25,195206.0
2016-02-26,171503.0
2016-02-29,164217.0
2016-03-01,215829.0
2016-03-02,167433.0
2016-03-03,214225.0
2016-03-04,176837.0
2016-03-07,185409.0
2016-03-08,234328.0
2016-03-09,166006.0
2016-03-10,200979.0
2016-03-11,201569.0
2016-03-14,195217.0
2016-03-15,236905.0
2016-03-16,211274.0
2016-03-17,172603.0
2016-03-18,184580.0
2016-03-21,185512.0
2016-03-22,170096.0
2016-03-23,187764.0
2016-03-24,185447.0
2016-03-28,172678.0
