date,value
2015-03-31,34084.0
2015-04-01,26973.0
2015-04-02,28996.0
2015-04-06,25581.0
2015-04-07,23873.0
2015-04-08,27729.0
2015-04-09,22908.0
2015-04-10,31431.0
2015-04-13,31835.0
2015-04-14,31089.0
2015-04-15,28596.0
2015-04-16,25196.0
2015-04-17,26330.0
2015-04-20,29510.0
2015-04-21,28317.0
2015-04-22,29928.0
2015-04-23,23634.0
2015-04-24,31263.0
2015-04-27,30992.0
2015-04-28,25108.0
2015-04-29,26860.0
2015-04-30,24739.0
2015-05-01,27703.0
2015-05-04,31002.0
2015-05-05,30576.0
2015-05-06,25926.0
2015-05-07,28403.0
2015-05-08,30110.0
2015-05-11,28790.0
2015-05-12,25089.0
2015-05-13,28760.0
2015-05-14,27365.0
2015-05-15,25646.0
2015-05-18,30262.0
2015-05-19,28076.0
2015-05-20,25247.0
2015-05-21,28864.0
2015-05-22,30809.0
2015-05-26,28618.0
2015-05-27,27115.0
2015-05-28,33734.0
2015-05-29,27660.0
2015-06-01,28086.0
2015-06-02,30671.0
2015-06-03,30926.0
2015-06-04,24401.0
2015-06-05,27207.0
2015-06-08,31262.0
2015-06-09,26796.0
2015-06-10,26822.0
2015-06-11,28636.0
2015-06-12,29497.0
2015-06-15,30893.0
2015-06-16,26957.0
2015-06-17,25405.0
2015-06-18,24812.0
2015-06-19,27181.0
2015-06-22,24328.0
2015-06-23,25980.0
2015-06-24,29634.0
2015-06-25,25808.0
2015-06-26,29180.0
2015-06-29,30936.0
2015-06-30,28717.0
2015-07-01,32266.0
2015-07-02,24347.0
2015-07-06,32895.0
2015-07-07,29130.0
2015-07-08,28211.0
2015-07-09,28352.0
2015-07-10,28030.0
2015-07-13,34773.0
2015-07-14,29829.0
2015-07-15,28387.0
2015-07-16,24328.0
2015-07-17,30641.0
2015-07-20,26806.0
2015-07-21,26856.0
2015-07-22,23373.0
2015-07-23,31980.0
2015-07-24,22480.0
2015-07-27,27837.0
2015-07-28,26895.0
2015-07-29,29995.0
2015-07-30,25784.0
2015-07-31,29599.0
2015-08-03,28105.0
2015-08-04,27876.0
2015-08-05,34451.0
2015-08-06,22661.0
2015-08-07,31753.0
2015-08-10,33031.0
2015-08-11,23474.0
2015-08-12,24215.0
2015-08-13,29075.0
2015-08-14,21330.0
2015-08-17,26044.0
2015-08-18,25612.0
2015-08-19,28545.0
2015-08-20,25437.0
2015-08-21,29627.0
2015-08-24,26389.0
2015-08-25,28487.0
2015-08-26,27917.0
2015-08-27,31140.0
2015-08-28,31322.0
2015-08-31,27313.0
2015-09-01,30890.0
2015-09-02,23510.0
2015-09-03,28131.0
2015-09-04,27042.0
2015-09-08,28275.0
2015-09-09,22450.0
2015-09-10,30379.0
2015-09-11,28324.0
2015-09-14,24326.0
2015-09-15,26758.0
2015-09-16,29129.0
2015-09-17,31210.0
2015-09-18,28929.0
2015-09-21,27197.0
2015-09-22,31508.0
2015-09-23,27298.0
2015-09-24,28759.0
2015-09-25,32689.0
2015-09-28,30681.0
2015-09-29,28111.0
2015-09-30,23249.0
2015-10-01,29621.0
2015-10-02,24119.0
2015-10-05,26708.0
2015-10-06,29514.0
2015-10-07,29491.0
2015-10-08,26762.0
2015-10-09,26826.0
2015-10-12,29790.0
2015-10-13,26483.0
2015-10-14,27197.0
2015-10-15,28439.0
2015-10-16,30671.0
2015-10-19,26953.0
2015-10-20,26359.0
2015-10-21,31325.0
2015-10-22,26794.0
2015-10-23,31157.0
2015-10-26,27631.0
2015-10-27,31913.0
2015-10-28,27630.0
2015-10-29,30729.0
2015-10-30,31392.0
2015-11-02,26274.0
2015-11-03,26121.0
2015-11-04,30007.0
2015-11-05,24700.0
2015-11-06,24633.0
2015-11-09,27989.0
2015-11-10,23096.0
2015-11-11,27993.0
2015-11-12,23928.0
2015-11-13,27261.0
2015-11-16,20066.0
2015-11-17,27670.0
2015-11-18,26212.0
2015-11-19,32099.0
2015-11-20,26364.0
2015-11-23,27960.0
2015-11-24,33077.0
2015-11-25,29192.0
2015-11-27,28692.0
2015-11-30,30384.0
2015-12-01,28166.0
2015-12-02,30514.0
2015-12-03,25862.0
2015-12-04,22452.0
2015-12-07,30971.0
2015-12-08,29269.0
2015-12-09,26539.0
2015-12-10,25263.0
2015-12-11,30962.0
2015-12-14,32968.0
2015-12-15,23451.0
2015-12-16,27072.0
2015-12-17,24375.0
2015-12-18,26675.0
2015-12-21,28107.0
2015-12-22,26397.0
2015-12-23,25112.0
2015-12-24,20364.0
2015-12-28,28367.0
2015-12-29,31017.0
2015-12-30,27262.0
2015-12-31,26891.0
2016-01-04,26507.0
2016-01-05,29719.0
2016-01-06,29920.0
2016-01-07,29817.0
2016-01-08,24902.0
2016-01-11,25317.0
2016-01-12,24947.0
2016-01-13,28981.0
2016-01-14,28350.0
2016-01-15,30916.0
2016-01-19,27664.0
2016-01-20,26689.0
2016-01-21,28887.0
2016-01-22,26648.0
2016-01-25,27147.0
2016-01-26,24163.0
2016-01-27,28228.0
2016-01-28,23467.0
2016-01-29,27990.0
2016-02-01,30496.0
2016-02-02,26042.0
2016-02-03,26198.0
2016-02-04,27107.0
2016-02-05,30989.0
2016-02-08,30219.0
2016-02-09,28813.0
2016-02-10,28477.0
2016-02-11,31200.0
2016-02-12,26442.0
2016-02-16,22143.0
2016-02-17,21737.0
2016-02-18,28755.0
2016-02-19,32294.0
2016-02-22,28099.0
2016-02-23,33490.0
2016-02-24,29637.0
2016-02-25,24351.0
2016-02-26,27355.0
2016-02-29,24893.0
