date,value
2015-03-31,997968.0
2015-04-01,805672.0
2015-04-02,798339.0
2015-04-06,929316.0
2015-04-07,872291.0
2015-04-08,772225.0
2015-04-09,909144.0
2015-04-10,690166.0
2015-04-13,739348.0
2015-04-14,829698.0
2015-04-15,856038.0
2015-04-16,884801.0
2015-04-17,771482.0
2015-04-20,672409.0
2015-04-21,764517.0
2015-04-22,780114.0
2015-04-23,760970.0
2015-04-24,777652.0
2015-04-27,683544.0
2015-04-28,886088.0
2015-04-29,726279.0
2015-04-30,690588.0
2015-05-01,917464.0
2015-05-04,862163.0
2015-05-05,825704.0
2015-05-06,942333.0
2015-05-07,843627.0
2015-05-08,863487.0
2015-05-11,838922.0
2015-05-12,669551.0
2015-05-13,759631.0
2015-05-14,721585.0
2015-05-15,874696.0
2015-05-18,781246.0
2015-05-19,789731.0
2015-05-20,758540.0
2015-05-21,724986.0
2015-05-22,737764.0
2015-05-26,895322.0
2015-05-27,775501.0
2015-05-28,818582.0
2015-05-29,841366.0
2015-06-01,917613.0
2015-06-02,911052.0
2015-06-03,823900.0
2015-06-04,734974.0
2015-06-05,817195.0
2015-06-08,784405.0
2015-06-09,647489.0
2015-06-10,814950.0
2015-06-11,714263.0
2015-06-12,639160.0
2015-06-15,697013.0
2015-06-16,847135.0
2015-06-17,820375.0
2015-06-18,736063.0
2015-06-19,666912.0
2015-06-22,664604.0
2015-06-23,800192.0
2015-06-24,683248.0
2015-06-25,775216.0
2015-06-26,876154.0
2015-06-29,802854.0
2015-06-30,859388.0
2015-07-01,723028.0
2015-07-02,599755.0
2015-07-06,708334.0
2015-07-07,826916.0
2015-07-08,832122.0
2015-07-09,730630.0
2015-07-10,808928.0
2015-07-13,752027.0
2015-07-14,636429.0
2015-07-15,807213.0
2015-07-16,628506.0
2015-07-17,777387.0
2015-07-20,1075251.0
2015-07-21,683829.0
2015-07-22,655818.0
2015-07-23,691622.0
2015-07-24,704317.0
2015-07-27,905594.0
2015-07-28,841240.0
2015-07-29,793562.0
2015-07-30,682320.0
2015-07-31,855094.0
2015-08-03,644575.0
2015-08-04,718122.0
2015-08-05,784181.0
2015-08-06,799652.0
2015-08-07,788595.0
2015-08-10,741077.0
2015-08-11,765853.0
2015-08-12,714351.0
2015-08-13,823762.0
2015-08-14,881169.0
2015-08-17,859860.0
2015-08-18,784919.0
2015-08-19,693721.0
2015-08-20,828372.0
2015-08-21,633981.0
2015-08-24,876802.0
2015-08-25,701089.0
2015-08-26,818306.0
2015-08-27,682267.0
2015-08-28,747891.0
2015-08-31,716437.0
2015-09-01,699330.0
2015-09-02,677927.0
2015-09-03,706504.0
2015-09-04,742877.0
2015-09-08,616420.0
2015-09-09,685402.0
2015-09-10,718968.0
2015-09-11,777017.0
2015-09-14,890160.0
2015-09-15,676337.0
2015-09-16,733282.0
2015-09-17,651338.0
2015-09-18,816386.0
2015-09-21,684931.0
2015-09-22,737167.0
2015-09-23,681056.0
2015-09-24,802106.0
2015-09-25,746181.0
2015-09-28,673193.0
2015-09-29,666509.0
2015-09-30,750910.0
2015-10-01,659820.0
2015-10-02,750453.0
2015-10-05,624285.0
2015-10-06,795262.0
2015-10-07,623613.0
2015-10-08,785319.0
2015-10-09,705803.0
2015-10-12,729335.0
2015-10-13,841110.0
2015-10-14,568207.0
2015-10-15,704087.0
2015-10-16,725894.0
2015-10-19,626113.0
2015-10-20,724289.0
2015-10-21,716953.0
2015-10-22,635568.0
2015-10-23,787086.0
2015-10-26,788789.0
2015-10-27,744823.0
2015-10-28,768468.0
2015-10-29,634247.0
2015-10-30,762669.0
2015-11-02,740200.0
2015-11-03,755587.0
2015-11-04,732123.0
2015-11-05,627021.0
2015-11-06,601412.0
2015-11-09,734720.0
2015-11-10,732169.0
2015-11-11,687560.0
2015-11-12,676090.0
2015-11-13,625616.0
2015-11-16,788883.0
2015-11-17,631780.0
2015-11-18,489550.0
2015-11-19,630075.0
2015-11-20,820754.0
2015-11-23,622706.0
2015-11-24,644107.0
2015-11-25,639228.0
2015-11-27,721289.0
2015-11-30,692668.0
2015-12-01,773963.0
2015-12-02,648488.0
2015-12-03,651720.0
2015-12-04,684102.0
2015-12-07,711732.0
2015-12-08,639585.0
2015-12-09,730223.0
2015-12-10,721496.0
2015-12-11,779103.0
2015-12-14,712124.0
2015-12-15,685208.0
2015-12-16,685434.0
2015-12-17,790516.0
2015-12-18,673264.0
2015-12-21,782799.0
2015-12-22,699629.0
2015-12-23,672490.0
2015-12-24,740309.0
2015-12-28,620524.0
2015-12-29,754575.0
2015-12-30,577205.0
2015-12-31,739336.0
2016-01-04,672665.0
2016-01-05,613148.0
2016-01-06,646374.0
2016-01-07,784983.0
2016-01-08,575202.0
2016-01-11,536638.0
2016-01-12,770217.0
2016-01-13,675765.0
2016-01-14,719659.0
2016-01-15,605861.0
2016-01-19,701853.0
2016-01-20,681556.0
2016-01-21,652716.0
2016-01-22,627810.0
2016-01-25,596014.0
2016-01-26,598049.0
2016-01-27,774126.0
2016-01-28,714055.0
2016-01-29,682339.0
2016-02-01,738748.0
2016-02-02,680582.0
2016-02-03,742952.0
2016-02-04,629368.0
2016-02-05,652692.0
2016-02-08,581079.0
2016-02-09,719505.0
2016-02-10,756393.0
2016-02-11,634024.0
2016-02-12,738023.0
2016-02-16,610142.0
2016-02-17,615263.0
2016-02-18,682253.0
2016-02-19,665596.0
2016-02-22,677519.0
2016-02-23,538991.0
2016-02-24,572910.0
2016-02-25,572443.0
2016-02-26,616809.0
2016-02-29,658728.0
2016-03-01,655329.0
2016-03-02,647500.0
2016-03-03,626241.0
2016-03-04,628465.0
2016-03-07,672380.0
2016-03-08,679108.0
2016-03-09,687448.0
2016-03-10,502760.0
2016-03-11,627609.0
2016-03-14,518930.0
2016-03-15,591709.0
2016-03-16,716762.0
2016-03-17,638639.0
2016-03-18,580772.0
2016-03-21,607725.0
2016-03-22,634012.0
2016-03-23,658115.0
2016-03-24,604636.0
2016-03-28,655826.0
2016-03-29,637842.0
2016-03-30,584056.0
2016-03-31,627963.0
2016-04-01,710184.0
2016-04-04,697345.0
2016-04-05,606247.0
2016-04-06,685675.0
2016-04-07,686978.0
2016-04-08,654858.0
2016-04-11,567992.0
2016-04-12,572447.0
2016-04-13,603819.0
2016-04-14,501233.0
2016-04-15,663958.0
2016-04-18,616693.0
2016-04-19,581494.0
2016-04-20,649041.0
2016-04-21,609383.0
2016-04-22,533308.0
2016-04-25,684100.0
2016-04-26,657171.0
2016-04-27,650746.0
2016-04-28,620508.0
2016-04-29,605809.0
2016-05-02,608065.0
2016-05-03,553360.0
2016-05-04,600086.0
2016-05-05,697505.0
2016-05-06,552114.0
2016-05-09,515431.0
2016-05-10,661747.0
2016-05-11,624291.0
2016-05-12,644079.0
2016-05-13,614225.0
2016-05-16,697210.0
2016-05-17,491672.0
2016-05-18,548432.0
2016-05-19,575383.0
2016-05-20,645994.0
2016-05-23,673391.0
2016-05-24,606191.0
2016-05-25,680388.0
2016-05-26,609807.0
2016-05-27,571789.0
2016-05-31,654543.0
2016-06-01,692243.0
2016-06-02,589765.0
2016-06-03,627813.0
2016-06-06,687511.0
2016-06-07,694132.0
2016-06-08,605758.0
2016-06-09,603117.0
2016-06-10,672519.0
2016-06-13,593362.0
2016-06-14,711332.0
2016-06-15,614122.0
2016-06-16,669554.0
2016-06-17,656636.0
2016-06-20,630640.0
2016-06-21,746897.0
2016-06-22,657238.0
2016-06-23,702685.0
2016-06-24,689913.0
2016-06-27,690146.0
2016-06-28,661973.0
2016-06-29,602861.0
2016-06-30,552737.0
2016-07-01,718818.0
2016-07-05,624649.0
2016-07-06,741221.0
2016-07-07,641188.0
2016-07-08,635803.0
2016-07-11,586536.0
2016-07-12,552156.0
2016-07-13,563983.0
2016-07-14,656130.0
2016-07-15,638082.0
2016-07-18,540937.0
2016-07-19,708808.0
