date,value
2015-03-31,95110.0
2015-04-01,93315.0
2015-04-02,92713.0
2015-04-06,84817.0
2015-04-07,91453.0
2015-04-08,102995.0
2015-04-09,86819.0
2015-04-10,90373.0
2015-04-13,80986.0
2015-04-14,82361.0
2015-04-15,84129.0
2015-04-16,101632.0
2015-04-17,80483.0
2015-04-20,96709.0
2015-04-21,86198.0
2015-04-22,74164.0
2015-04-23,105692.0
2015-04-24,90665.0
2015-04-27,106293.0
2015-04-28,101960.0
2015-04-29,86523.0
2015-04-30,102681.0
2015-05-01,97445.0
2015-05-04,94569.0
2015-05-05,82927.0
2015-05-06,107309.0
2015-05-07,104901.0
2015-05-08,87159.0
2015-05-11,88814.0
2015-05-12,103109.0
2015-05-13,97268.0
2015-05-14,108649.0
2015-05-15,98663.0
2015-05-18,103188.0
2015-05-19,88442.0
2015-05-20,84935.0
2015-05-21,99180.0
2015-05-22,119404.0
2015-05-26,105014.0
2015-05-27,109001.0
2015-05-28,102754.0
2015-05-29,78689.0
2015-06-01,125949.0
2015-06-02,110523.0
2015-06-03,105285.0
2015-06-04,107624.0
2015-06-05,114626.0
2015-06-08,104414.0
2015-06-09,103440.0
2015-06-10,103421.0
2015-06-11,104664.0
2015-06-12,92695.0
2015-06-15,116033.0
2015-06-16,117546.0
2015-06-17,96448.0
2015-06-18,97622.0
2015-06-19,111458.0
2015-06-22,116467.0
2015-06-23,126587.0
2015-06-24,115779.0
2015-06-25,113021.0
2015-06-26,97098.0
2015-06-29,122714.0
2015-06-30,104188.0
2015-07-01,117461.0
2015-07-02,123729.0
2015-07-06,106350.0
2015-07-07,96031.0
2015-07-08,114265.0
2015-07-09,114523.0
2015-07-10,123412.0
2015-07-13,99730.0
2015-07-14,126122.0
2015-07-15,105676.0
2015-07-16,102808.0
2015-07-17,97391.0
2015-07-20,102576.0
2015-07-21,106499.0
2015-07-22,114266.0
2015-07-23,104878.0
2015-07-24,109888.0
2015-07-27,112444.0
2015-07-28,99068.0
2015-07-29,130974.0
2015-07-30,125171.0
2015-07-31,112215.0
2015-08-03,96528.0
2015-08-04,111763.0
2015-08-05,100905.0
2015-08-06,102271.0
2015-08-07,115748.0
2015-08-10,113453.0
2015-08-11,127893.0
2015-08-12,98786.0
2015-08-13,104783.0
2015-08-14,117971.0
2015-08-17,109353.0
2015-08-18,101739.0
2015-08-19,101424.0
2015-08-20,99301.0
2015-08-21,101709.0
2015-08-24,115073.0
2015-08-25,132776.0
2015-08-26,118420.0
2015-08-27,136342.0
2015-08-28,110399.0
2015-08-31,104579.0
2015-09-01,110198.0
2015-09-02,105801.0
2015-09-03,101767.0
2015-09-04,116155.0
2015-09-08,116638.0
2015-09-09,115606.0
2015-09-10,108601.0
2015-09-11,105811.0
2015-09-14,106596.0
2015-09-15,121619.0
2015-09-16,119295.0
2015-09-17,112418.0
2015-09-18,98530.0
2015-09-21,110663.0
2015-09-22,124479.0
2015-09-23,111276.0
2015-09-24,106760.0
2015-09-25,104742.0
2015-09-28,116280.0
2015-09-29,123709.0
2015-09-30,109698.0
2015-10-01,109002.0
2015-10-02,99047.0
2015-10-05,117407.0
2015-10-06,105092.0
2015-10-07,131248.0
2015-10-08,121511.0
2015-10-09,110655.0
2015-10-12,94136.0
2015-10-13,111952.0
2015-10-14,107100.0
2015-10-15,113495.0
2015-10-16,102630.0
2015-10-19,94852.0
2015-10-20,103588.0
2015-10-21,102124.0
2015-10-22,104579.0
2015-10-23,101359.0
2015-10-26,99728.0
2015-10-27,104943.0
2015-10-28,116089.0
2015-10-29,116818.0
2015-10-30,103024.0
2015-11-02,123607.0
2015-11-03,112807.0
2015-11-04,96980.0
2015-11-05,111939.0
2015-11-06,114280.0
2015-11-09,103496.0
2015-11-10,107854.0
2015-11-11,123136.0
2015-11-12,111108.0
2015-11-13,93604.0
2015-11-16,107538.0
2015-11-17,113846.0
2015-11-18,122184.0
2015-11-19,115476.0
2015-11-20,116088.0
2015-11-23,112498.0
2015-11-24,99804.0
2015-11-25,81104.0
2015-11-27,105962.0
2015-11-30,112790.0
2015-12-01,87914.0
2015-12-02,113373.0
2015-12-03,101643.0
2015-12-04,115449.0
2015-12-07,115588.0
2015-12-08,114297.0
2015-12-09,106577.0
2015-12-10,122887.0
2015-12-11,111350.0
2015-12-14,116530.0
2015-12-15,131692.0
2015-12-16,118213.0
2015-12-17,133215.0
2015-12-18,99728.0
2015-12-21,109294.0
2015-12-22,113826.0
2015-12-23,129676.0
2015-12-24,121037.0
2015-12-28,100169.0
2015-12-29,103603.0
2015-12-30,118805.0
2015-12-31,118364.0
2016-01-04,103753.0
2016-01-05,105833.0
2016-01-06,103398.0
2016-01-07,101798.0
2016-01-08,109624.0
2016-01-11,81276.0
2016-01-12,95583.0
2016-01-13,104628.0
2016-01-14,101075.0
2016-01-15,110491.0
2016-01-19,82475.0
2016-01-20,103073.0
2016-01-21,127768.0
2016-01-22,111410.0
2016-01-25,110821.0
2016-01-26,108473.0
2016-01-27,98619.0
2016-01-28,109134.0
2016-01-29,103799.0
2016-02-01,107419.0
2016-02-02,111452.0
2016-02-03,105384.0
2016-02-04,93853.0
2016-02-05,105784.0
2016-02-08,89265.0
2016-02-09,114139.0
2016-02-10,68699.0
2016-02-11,88088.0
2016-02-12,117739.0
2016-02-16,107906.0
2016-02-17,112599.0
2016-02-18,96169.0
2016-02-19,106486.0
2016-02-22,91061.0
2016-02-23,94785.0
2016-02-24,89323.0
2016-02-25,80532.0
2016-02-26,96056.0
2016-02-29,89416.0
2016-03-01,113938.0
2016-03-02,91123.0
2016-03-03,104579.0
2016-03-04,108778.0
2016-03-07,107402.0
2016-03-08,93717.0
2016-03-09,88703.0
2016-03-10,90777.0
2016-03-11,94938.0
2016-03-14,91818.0
2016-03-15,99330.0
2016-03-16,96873.0
2016-03-17,95000.0
2016-03-18,86680.0
2016-03-21,114247.0
2016-03-22,108529.0
2016-03-23,92367.0
2016-03-24,81249.0
2016-03-28,104013.0
2016-03-29,79260.0
2016-03-30,100479.0
2016-03-31,93345.0
2016-04-01,97605.0
2016-04-04,116218.0
2016-04-05,112369.0
2016-04-06,94711.0
2016-04-07,104556.0
2016-04-08,105514.0
2016-04-11,99464.0
2016-04-12,116519.0
2016-04-13,120221.0
2016-04-14,136278.0
2016-04-15,154043.0
2016-04-18,126803.0
2016-04-19,133091.0
2016-04-20,120608.0
2016-04-21,132370.0
2016-04-22,125655.0
2016-04-25,125747.0
2016-04-26,138674.0
2016-04-27,136923.0
2016-04-28,146934.0
2016-04-29,166166.0
2016-05-02,172831.0
2016-05-03,161126.0
2016-05-04,146106.0
2016-05-05,134844.0
2016-05-06,146827.0
2016-05-09,191448.0
2016-05-10,172330.0
2016-05-11,179500.0
2016-05-12,176939.0
2016-05-13,191900.0
2016-05-16,184362.0
2016-05-17,176197.0
2016-05-18,180546.0
2016-05-19,180928.0
2016-05-20,186512.0
2016-05-23,205250.0
2016-05-24,203070.0
2016-05-25,195036.0
2016-05-26,216825.0
2016-05-27,215991.0
2016-05-31,245289.0
2016-06-01,223175.0
2016-06-02,185520.0
2016-06-03,237246.0
2016-06-06,229415.0
2016-06-07,218306.0
2016-06-08,206331.0
2016-06-09,199628.0
2016-06-10,196503.0
2016-06-13,212834.0
2016-06-14,240383.0
2016-06-15,268995.0
2016-06-16,265673.0
2016-06-17,203092.0
2016-06-20,282156.0
2016-06-21,270186.0
2016-06-22,254696.0
2016-06-23,306057.0
2016-06-24,260858.0
2016-06-27,245721.0
2016-06-28,258484.0
2016-06-29,262900.0
2016-06-30,294022.0
2016-07-01,285138.0
2016-07-05,296750.0
2016-07-06,282817.0
2016-07-07,236357.0
2016-07-08,303574.0
2016-07-11,286131.0
2016-07-12,299360.0
2016-07-13,294913.0
2016-07-14,281635.0
2016-07-15,274446.0
2016-07-18,294189.0
2016-07-19,225942.0
2016-07-20,265220.0
2016-07-21,325683.0
2016-07-22,240397.0
2016-07-25,285407.0
2016-07-26,238168.0
2016-07-27,280630.0
2016-07-28,292601.0
2016-07-29,319586.0
2016-08-01,250157.0
2016-08-02,277899.0
2016-08-03,275956.0
2016-08-04,314920.0
2016-08-05,289011.0
2016-08-08,297494.0
2016-08-09,342781.0
2016-08-10,283506.0
2016-08-11,258972.0
2016-08-12,291069.0
2016-08-15,282515.0
2016-08-16,287988.0
2016-08-17,269692.0
2016-08-18,227784.0
2016-08-19,291505.0
2016-08-22,290940.0
2016-08-23,221601.0
2016-08-24,269923.0
2016-08-25,269172.0
2016-08-26,303695.0
2016-08-29,275397.0
2016-08-30,286943.0
2016-08-31,289617.0
2016-09-01,261207.0
2016-09-02,265773.0
2016-09-06,247755.0
2016-09-07,267069.0
2016-09-08,295187.0
2016-09-09,275236.0
2016-09-12,285833.0
2016-09-13,254728.0
2016-09-14,301835.0
2016-09-15,272803.0
2016-09-16,312378.0
2016-09-19,314146.0
2016-09-20,294776.0
2016-09-21,271589.0
2016-09-22,283165.0
2016-09-23,291094.0
2016-09-26,292500.0
2016-09-27,223151.0
2016-09-28,294185.0
2016-09-29,288190.0
2016-09-30,277759.0
2016-10-03,369012.0
2016-10-04,275904.0
2016-10-05,288979.0
2016-10-06,330139.0
2016-10-07,296757.0
2016-10-10,293444.0
2016-10-11,297553.0
2016-10-12,273786.0
2016-10-13,221565.0
2016-10-14,266966.0
2016-10-17,319490.0
2016-10-18,248005.0
2016-10-19,273157.0
2016-10-20,226893.0
2016-10-21,299325.0
2016-10-24,283493.0
2016-10-25,296260.0
2016-10-26,259411.0
2016-10-27,271173.0
2016-10-28,297144.0
2016-10-31,278662.0
2016-11-01,289591.0
2016-11-02,320178.0
2016-11-03,279369.0
2016-11-04,300993.0
2016-11-07,232371.0
2016-11-08,267610.0
2016-11-09,294770.0
2016-11-10,272057.0
2016-11-11,318881.0
2016-11-14,307124.0
2016-11-15,313768.0
2016-11-16,299867.0
2016-11-17,307460.0
2016-11-18,322632.0
2016-11-21,318874.0
2016-11-22,307275.0
2016-11-23,348081.0
2016-11-25,337754.0
2016-11-28,267445.0
2016-11-29,304274.0
2016-11-30,301346.0
2016-12-01,298630.0
2016-12-02,261398.0
2016-12-05,268858.0
2016-12-06,290239.0
2016-12-07,299314.0
2016-12-08,316433.0
2016-12-09,264160.0
2016-12-12,280594.0
2016-12-13,290536.0
2016-12-14,271668.0
2016-12-15,255693.0
2016-12-16,265895.0
2016-12-19,282949.0
2016-12-20,283583.0
2016-12-21,243000.0
2016-12-22,271818.0
2016-12-23,300267.0
2016-12-27,278272.0
2016-12-28,266926.0
2016-12-29,315695.0
2016-12-30,299209.0
2017-01-03,286353.0
2017-01-04,347022.0
2017-01-05,263870.0
2017-01-06,284918.0
2017-01-09,275461.0
2017-01-10,269460.0
2017-01-11,253063.0
2017-01-12,291575.0
2017-01-13,289801.0
2017-01-17,255914.0
2017-01-18,256853.0
2017-01-19,317154.0
2017-01-20,263508.0
2017-01-23,217940.0
2017-01-24,242950.0
2017-01-25,262962.0
2017-01-26,193160.0
2017-01-27,270403.0
2017-01-30,315157.0
2017-01-31,271185.0
2017-02-01,265763.0
2017-02-02,275129.0
2017-02-03,296471.0
2017-02-06,295077.0
2017-02-07,305695.0
2017-02-08,251711.0
2017-02-09,240113.0
2017-02-10,260215.0
2017-02-13,240855.0
2017-02-14,230699.0
2017-02-15,250595.0
2017-02-16,292271.0
2017-02-17,280198.0
2017-02-21,291386.0
2017-02-22,307742.0
2017-02-23,279976.0
2017-02-24,230402.0
2017-02-27,187157.0
2017-02-28,250146.0
2017-03-01,284687.0
2017-03-02,250466.0
2017-03-03,244015.0
2017-03-06,243843.0
2017-03-07,275337.0
2017-03-08,221117.0
2017-03-09,230054.0
2017-03-10,249847.0
2017-03-13,275136.0
2017-03-14,257780.0
2017-03-15,215760.0
2017-03-16,215530.0
2017-03-17,233897.0
2017-03-20,213372.0
2017-03-21,225699.0
2017-03-22,241028.0
2017-03-23,210639.0
2017-03-24,254177.0
2017-03-27,268381.0
2017-03-28,235430.0
2017-03-29,241941.0
2017-03-30,252859.0
2017-03-31,204526.0
2017-04-03,239860.0
2017-04-04,233743.0
2017-04-05,267571.0
2017-04-06,245011.0
2017-04-07,281601.0
2017-04-10,213252.0
2017-04-11,266517.0
2017-04-12,260739.0
2017-04-13,224895.0
2017-04-17,276121.0
2017-04-18,206534.0
2017-04-19,264882.0
2017-04-20,293718.0
2017-04-21,251973.0
2017-04-24,244205.0
2017-04-25,197792.0
2017-04-26,218832.0
2017-04-27,230204.0
2017-04-28,252499.0
2017-05-01,244817.0
2017-05-02,265675.0
2017-05-03,295593.0
2017-05-04,276270.0
2017-05-05,268488.0
2017-05-08,267997.0
2017-05-09,233181.0
2017-05-10,221463.0
2017-05-11,296048.0
2017-05-12,273153.0
2017-05-15,270666.0
2017-05-16,290829.0
2017-05-17,226308.0
2017-05-18,290147.0
2017-05-19,292179.0
2017-05-22,279024.0
2017-05-23,269040.0
2017-05-24,303775.0
2017-05-25,298769.0
2017-05-26,280545.0
2017-05-30,274335.0
2017-05-31,298516.0
2017-06-01,267105.0
2017-06-02,246476.0
2017-06-05,291609.0
2017-06-06,280426.0
2017-06-07,306358.0
2017-06-08,307823.0
2017-06-09,322521.0
2017-06-12,227509.0
2017-06-13,213962.0
2017-06-14,263864.0
2017-06-15,210287.0
2017-06-16,280655.0
2017-06-19,237681.0
2017-06-20,291667.0
2017-06-21,258335.0
2017-06-22,291811.0
2017-06-23,267957.0
2017-06-26,278151.0
2017-06-27,273145.0
2017-06-28,292304.0
2017-06-29,281189.0
2017-06-30,310951.0
2017-07-03,281783.0
2017-07-05,245952.0
2017-07-06,293020.0
2017-07-07,280076.0
2017-07-10,303773.0
2017-07-11,287252.0
2017-07-12,240086.0
2017-07-13,233677.0
2017-07-14,339482.0
2017-07-17,253499.0
2017-07-18,293864.0
2017-07-19,262670.0
2017-07-20,296257.0
2017-07-21,286464.0
2017-07-24,327231.0
2017-07-25,292280.0
2017-07-26,297725.0
2017-07-27,264339.0
2017-07-28,285904.0
2017-07-31,296259.0
2017-08-01,261188.0
2017-08-02,296354.0
2017-08-03,241623.0
2017-08-04,245121.0
2017-08-07,243238.0
2017-08-08,240613.0
2017-08-09,258053.0
2017-08-10,237955.0
2017-08-11,260103.0
2017-08-14,274363.0
2017-08-15,251219.0
2017-08-16,281386.0
2017-08-17,267372.0
2017-08-18,274495.0
2017-08-21,268755.0
2017-08-22,248840.0
2017-08-23,273549.0
2017-08-24,235083.0
2017-08-25,304445.0
2017-08-28,311571.0
2017-08-29,198714.0
2017-08-30,210013.0
2017-08-31,252809.0
2017-09-01,285614.0
2017-09-05,241974.0
2017-09-06,239091.0
2017-09-07,275232.0
2017-09-08,222839.0
2017-09-11,260094.0
2017-09-12,256498.0
2017-09-13,275990.0
2017-09-14,253654.0
2017-09-15,272963.0
2017-09-18,265352.0
2017-09-19,273366.0
2017-09-20,241812.0
2017-09-21,212862.0
2017-09-22,282786.0
2017-09-25,290306.0
2017-09-26,259938.0
2017-09-27,275388.0
2017-09-28,263037.0
2017-09-29,257062.0
2017-10-02,325813.0
2017-10-03,225449.0
2017-10-04,279706.0
2017-10-05,242759.0
2017-10-06,235527.0
2017-10-09,232062.0
2017-10-10,306167.0
2017-10-11,295527.0
2017-10-12,306242.0
2017-10-13,261937.0
2017-10-16,295654.0
2017-10-17,241843.0
2017-10-18,237426.0
2017-10-19,272856.0
2017-10-20,275428.0
2017-10-23,300770.0
2017-10-24,228522.0
2017-10-25,228656.0
2017-10-26,276234.0
2017-10-27,264729.0
2017-10-30,224369.0
2017-10-31,235456.0
2017-11-01,236079.0
2017-11-02,247924.0
2017-11-03,271748.0
2017-11-06,278824.0
2017-11-07,251410.0
2017-11-08,225995.0
2017-11-09,235179.0
2017-11-10,283099.0
2017-11-13,232907.0
2017-11-14,234740.0
2017-11-15,276459.0
2017-11-16,289089.0
2017-11-17,308300.0
2017-11-20,254593.0
2017-11-21,255653.0
2017-11-22,266357.0
2017-11-24,284848.0
2017-11-27,238265.0
2017-11-28,306979.0
2017-11-29,284585.0
2017-11-30,222956.0
2017-12-01,303728.0
2017-12-04,261006.0
2017-12-05,266531.0
2017-12-06,237797.0
2017-12-07,265313.0
2017-12-08,286270.0
2017-12-11,288715.0
2017-12-12,295494.0
2017-12-13,269385.0
2017-12-14,262155.0
2017-12-15,241909.0
2017-12-18,282808.0
2017-12-19,231513.0
2017-12-20,289245.0
2017-12-21,213093.0
2017-12-22,274709.0
2017-12-26,244466.0
2017-12-27,238076.0
2017-12-28,291662.0
2017-12-29,264837.0
2018-01-02,262652.0
2018-01-03,271103.0
2018-01-04,236273.0
2018-01-05,261845.0
2018-01-08,283348.0
2018-01-09,263778.0
2018-01-10,251003.0
2018-01-11,259149.0
2018-01-12,263401.0
2018-01-16,281236.0
2018-01-17,260815.0
2018-01-18,244438.0
2018-01-19,288394.0
2018-01-22,249141.0
2018-01-23,255976.0
2018-01-24,246420.0
2018-01-25,279705.0
2018-01-26,252026.0
2018-01-29,222554.0
2018-01-30,248378.0
2018-01-31,240255.0
2018-02-01,255445.0
2018-02-02,238410.0
2018-02-05,274287.0
2018-02-06,190510.0
2018-02-07,248530.0
2018-02-08,261447.0
2018-02-09,233527.0
2018-02-12,234778.0
2018-02-13,222112.0
2018-02-14,245043.0
2018-02-15,251355.0
2018-02-16,242088.0
2018-02-20,246332.0
2018-02-21,247593.0
2018-02-22,225234.0
2018-02-23,275271.0
2018-02-26,215430.0
2018-02-27,237697.0
2018-02-28,254165.0
2018-03-01,230312.0
2018-03-02,239403.0
2018-03-05,220074.0
2018-03-06,224894.0
2018-03-07,206776.0
2018-03-08,251817.0
2018-03-09,212014.0
2018-03-12,177333.0
2018-03-13,212681.0
2018-03-14,229334.0
2018-03-15,221436.0
2018-03-16,212859.0
2018-03-19,185684.0
2018-03-20,243955.0
2018-03-21,221340.0
2018-03-22,202300.0
2018-03-23,206790.0
2018-03-26,214662.0
2018-03-27,204902.0
2018-03-28,228684.0
2018-03-29,261746.0
2018-04-02,247084.0
2018-04-03,230054.0
2018-04-04,225902.0
2018-04-05,190336.0
2018-04-06,196255.0
2018-04-09,208118.0
2018-04-10,228297.0
2018-04-11,166404.0
2018-04-12,227682.0
2018-04-13,198866.0
2018-04-16,184778.0
2018-04-17,181682.0
2018-04-18,211097.0
2018-04-19,205913.0
2018-04-20,193739.0
2018-04-23,207417.0
2018-04-24,168267.0
2018-04-25,201200.0
2018-04-26,211478.0
2018-04-27,198333.0
2018-04-30,216887.0
