date,value
2015-03-31,31254.0
2015-04-01,22687.0
2015-04-02,25224.0
2015-04-06,22934.0
2015-04-07,30980.0
2015-04-08,28238.0
2015-04-09,29411.0
2015-04-10,27855.0
2015-04-13,25651.0
2015-04-14,33166.0
2015-04-15,32547.0
2015-04-16,29239.0
2015-04-17,23742.0
2015-04-20,32317.0
2015-04-21,35513.0
2015-04-22,27981.0
2015-04-23,26876.0
2015-04-24,26574.0
2015-04-27,28002.0
2015-04-28,32912.0
2015-04-29,27595.0
2015-04-30,27691.0
2015-05-01,27018.0
2015-05-04,26784.0
2015-05-05,31071.0
2015-05-06,29177.0
2015-05-07,30232.0
2015-05-08,26419.0
2015-05-11,25397.0
2015-05-12,26490.0
2015-05-13,27602.0
2015-05-14,26976.0
2015-05-15,26294.0
2015-05-18,30178.0
2015-05-19,20710.0
2015-05-20,28180.0
2015-05-21,26459.0
2015-05-22,28858.0
2015-05-26,25553.0
2015-05-27,26571.0
2015-05-28,30418.0
2015-05-29,25490.0
2015-06-01,27678.0
2015-06-02,27153.0
2015-06-03,29881.0
2015-06-04,28400.0
2015-06-05,31375.0
2015-06-08,23144.0
2015-06-09,28298.0
2015-06-10,26164.0
2015-06-11,28360.0
2015-06-12,24137.0
2015-06-15,29041.0
2015-06-16,33289.0
2015-06-17,32031.0
2015-06-18,29984.0
2015-06-19,27875.0
2015-06-22,26953.0
2015-06-23,30492.0
2015-06-24,28527.0
2015-06-25,29077.0
2015-06-26,32689.0
2015-06-29,24668.0
2015-06-30,27623.0
2015-07-01,30402.0
2015-07-02,30283.0
2015-07-06,28874.0
2015-07-07,26149.0
2015-07-08,30733.0
2015-07-09,26505.0
2015-07-10,28140.0
2015-07-13,30021.0
2015-07-14,29367.0
2015-07-15,24938.0
2015-07-16,30787.0
2015-07-17,27211.0
2015-07-20,28990.0
2015-07-21,31710.0
2015-07-22,26787.0
2015-07-23,28362.0
2015-07-24,32184.0
2015-07-27,24137.0
2015-07-28,24353.0
2015-07-29,26539.0
2015-07-30,28842.0
2015-07-31,24996.0
2015-08-03,27338.0
2015-08-04,28089.0
2015-08-05,33620.0
2015-08-06,20736.0
2015-08-07,28220.0
2015-08-10,28387.0
2015-08-11,30403.0
2015-08-12,27398.0
2015-08-13,28835.0
2015-08-14,26731.0
2015-08-17,34680.0
2015-08-18,31205.0
2015-08-19,32613.0
2015-08-20,33791.0
2015-08-21,28688.0
2015-08-24,24481.0
2015-08-25,25184.0
2015-08-26,24294.0
2015-08-27,25079.0
2015-08-28,35328.0
2015-08-31,28464.0
2015-09-01,28147.0
2015-09-02,28048.0
2015-09-03,27180.0
2015-09-04,32711.0
2015-09-08,29839.0
2015-09-09,33461.0
2015-09-10,27922.0
2015-09-11,25517.0
2015-09-14,27584.0
2015-09-15,30672.0
2015-09-16,28064.0
2015-09-17,29465.0
2015-09-18,34695.0
2015-09-21,25158.0
2015-09-22,30902.0
2015-09-23,37529.0
2015-09-24,34803.0
2015-09-25,28268.0
2015-09-28,30224.0
2015-09-29,24629.0
2015-09-30,30079.0
2015-10-01,32181.0
2015-10-02,23437.0
2015-10-05,25928.0
2015-10-06,24925.0
2015-10-07,32546.0
2015-10-08,30239.0
2015-10-09,30253.0
2015-10-12,25268.0
2015-10-13,27533.0
2015-10-14,27283.0
2015-10-15,28987.0
2015-10-16,32868.0
2015-10-19,27975.0
2015-10-20,28353.0
2015-10-21,33035.0
2015-10-22,32750.0
2015-10-23,32474.0
2015-10-26,25326.0
2015-10-27,27083.0
2015-10-28,25583.0
2015-10-29,27664.0
2015-10-30,26130.0
2015-11-02,23747.0
2015-11-03,30411.0
2015-11-04,33116.0
2015-11-05,27220.0
2015-11-06,31370.0
2015-11-09,30308.0
2015-11-10,33101.0
2015-11-11,30452.0
2015-11-12,28902.0
2015-11-13,25655.0
2015-11-16,30168.0
2015-11-17,33052.0
2015-11-18,28382.0
2015-11-19,27908.0
2015-11-20,32382.0
2015-11-23,30949.0
2015-11-24,32148.0
2015-11-25,31936.0
2015-11-27,28897.0
2015-11-30,27473.0
2015-12-01,28016.0
2015-12-02,29851.0
2015-12-03,32200.0
2015-12-04,25197.0
2015-12-07,32666.0
2015-12-08,26580.0
2015-12-09,28563.0
2015-12-10,33463.0
2015-12-11,33589.0
2015-12-14,25348.0
2015-12-15,32087.0
2015-12-16,26376.0
2015-12-17,29064.0
2015-12-18,34634.0
2015-12-21,29359.0
2015-12-22,27367.0
2015-12-23,30767.0
2015-12-24,30475.0
2015-12-28,24670.0
2015-12-29,30626.0
2015-12-30,27171.0
2015-12-31,29668.0
2016-01-04,33681.0
2016-01-05,30928.0
2016-01-06,31050.0
2016-01-07,30395.0
2016-01-08,28285.0
2016-01-11,29833.0
2016-01-12,31902.0
2016-01-13,31602.0
2016-01-14,30702.0
2016-01-15,25722.0
2016-01-19,32044.0
2016-01-20,28412.0
2016-01-21,29715.0
2016-01-22,29032.0
2016-01-25,31193.0
2016-01-26,24564.0
2016-01-27,30684.0
2016-01-28,25161.0
2016-01-29,28448.0
2016-02-01,19487.0
2016-02-02,22272.0
2016-02-03,23114.0
2016-02-04,28572.0
2016-02-05,31218.0
2016-02-08,27599.0
2016-02-09,33235.0
2016-02-10,22001.0
2016-02-11,26640.0
2016-02-12,27440.0
2016-02-16,27157.0
2016-02-17,25149.0
2016-02-18,29954.0
2016-02-19,27457.0
2016-02-22,25859.0
2016-02-23,26740.0
2016-02-24,24938.0
2016-02-25,25736.0
2016-02-26,25022.0
2016-02-29,34201.0
2016-03-01,27873.0
2016-03-02,23598.0
2016-03-03,25975.0
2016-03-04,21715.0
2016-03-07,25085.0
2016-03-08,24494.0
2016-03-09,28620.0
2016-03-10,26764.0
2016-03-11,29410.0
2016-03-14,26920.0
2016-03-15,24470.0
2016-03-16,30299.0
2016-03-17,28658.0
2016-03-18,32892.0
2016-03-21,25101.0
2016-03-22,23406.0
2016-03-23,27069.0
2016-03-24,17345.0
2016-03-28,29457.0
2016-03-29,29430.0
2016-03-30,28458.0
2016-03-31,26289.0
2016-04-01,26773.0
2016-04-04,24333.0
2016-04-05,26764.0
2016-04-06,30910.0
2016-04-07,28183.0
2016-04-08,29255.0
2016-04-11,28329.0
2016-04-12,28937.0
2016-04-13,25334.0
2016-04-14,27050.0
2016-04-15,23883.0
2016-04-18,29947.0
2016-04-19,28580.0
2016-04-20,24410.0
2016-04-21,27720.0
2016-04-22,27259.0
2016-04-25,26561.0
2016-04-26,26961.0
2016-04-27,28157.0
2016-04-28,24405.0
2016-04-29,24793.0
2016-05-02,25971.0
2016-05-03,24311.0
2016-05-04,29786.0
2016-05-05,24593.0
2016-05-06,27918.0
2016-05-09,24348.0
2016-05-10,27524.0
2016-05-11,25359.0
2016-05-12,23687.0
2016-05-13,22918.0
2016-05-16,24118.0
2016-05-17,24894.0
2016-05-18,28120.0
2016-05-19,26976.0
2016-05-20,25762.0
2016-05-23,25708.0
2016-05-24,26902.0
2016-05-25,24900.0
2016-05-26,24959.0
2016-05-27,24275.0
2016-05-31,24947.0
2016-06-01,25867.0
2016-06-02,28676.0
2016-06-03,27499.0
2016-06-06,23594.0
2016-06-07,27075.0
2016-06-08,25798.0
2016-06-09,23979.0
2016-06-10,23155.0
2016-06-13,24307.0
2016-06-14,25611.0
2016-06-15,23411.0
2016-06-16,25927.0
2016-06-17,24781.0
2016-06-20,23868.0
2016-06-21,23475.0
2016-06-22,23981.0
2016-06-23,24748.0
2016-06-24,26226.0
2016-06-27,25046.0
2016-06-28,24804.0
2016-06-29,25936.0
2016-06-30,25817.0
2016-07-01,25772.0
2016-07-05,23387.0
2016-07-06,24521.0
2016-07-07,20619.0
2016-07-08,21350.0
2016-07-11,25602.0
2016-07-12,23200.0
2016-07-13,23185.0
2016-07-14,27971.0
2016-07-15,21658.0
2016-07-18,26203.0
2016-07-19,25147.0
2016-07-20,26112.0
2016-07-21,27345.0
2016-07-22,30515.0
2016-07-25,25052.0
2016-07-26,25731.0
2016-07-27,24123.0
2016-07-28,33571.0
2016-07-29,26256.0
2016-08-01,26700.0
2016-08-02,23352.0
2016-08-03,26843.0
2016-08-04,25249.0
2016-08-05,23077.0
2016-08-08,22431.0
2016-08-09,26222.0
2016-08-10,26789.0
2016-08-11,26599.0
2016-08-12,27082.0
2016-08-15,21197.0
2016-08-16,30279.0
2016-08-17,33601.0
2016-08-18,27578.0
2016-08-19,28644.0
2016-08-22,26184.0
2016-08-23,26034.0
2016-08-24,26474.0
2016-08-25,24873.0
2016-08-26,25058.0
2016-08-29,28157.0
2016-08-30,23218.0
2016-08-31,28543.0
2016-09-01,23535.0
2016-09-02,28418.0
2016-09-06,24789.0
2016-09-07,26822.0
2016-09-08,22265.0
2016-09-09,24228.0
2016-09-12,25669.0
2016-09-13,19983.0
2016-09-14,20350.0
2016-09-15,28355.0
2016-09-16,28241.0
2016-09-19,28896.0
2016-09-20,21736.0
2016-09-21,29595.0
2016-09-22,26541.0
