date,value
2015-03-31,226209.0
2015-04-01,191191.0
2015-04-02,207871.0
2015-04-06,170773.0
2015-04-07,164737.0
2015-04-08,207526.0
2015-04-09,232239.0
2015-04-10,213484.0
2015-04-13,218262.0
2015-04-14,227013.0
2015-04-15,232277.0
2015-04-16,186584.0
2015-04-17,214499.0
2015-04-20,229193.0
2015-04-21,195011.0
2015-04-22,183988.0
2015-04-23,250352.0
2015-04-24,175531.0
2015-04-27,246033.0
2015-04-28,213647.0
2015-04-29,219722.0
2015-04-30,178334.0
2015-05-01,197655.0
2015-05-04,229711.0
2015-05-05,199720.0
2015-05-06,232243.0
2015-05-07,227759.0
2015-05-08,215554.0
2015-05-11,224863.0
2015-05-12,231407.0
2015-05-13,214440.0
2015-05-14,229566.0
2015-05-15,197393.0
2015-05-18,192024.0
2015-05-19,218326.0
2015-05-20,207078.0
2015-05-21,212104.0
2015-05-22,205879.0
2015-05-26,211984.0
2015-05-27,217476.0
2015-05-28,200169.0
2015-05-29,187515.0
2015-06-01,197641.0
2015-06-02,232356.0
2015-06-03,231833.0
2015-06-04,209357.0
2015-06-05,221982.0
2015-06-08,239723.0
2015-06-09,237516.0
2015-06-10,198578.0
2015-06-11,235863.0
2015-06-12,229612.0
2015-06-15,142153.0
2015-06-16,176409.0
2015-06-17,219693.0
2015-06-18,196983.0
2015-06-19,221511.0
2015-06-22,209472.0
2015-06-23,225244.0
2015-06-24,202794.0
2015-06-25,239332.0
2015-06-26,239446.0
2015-06-29,169618.0
2015-06-30,220042.0
2015-07-01,199351.0
2015-07-02,234577.0
2015-07-06,205276.0
2015-07-07,213486.0
2015-07-08,212865.0
2015-07-09,195497.0
2015-07-10,191279.0
2015-07-13,199636.0
2015-07-14,144688.0
2015-07-15,184264.0
2015-07-16,193010.0
2015-07-17,205840.0
2015-07-20,220487.0
2015-07-21,215934.0
2015-07-22,216672.0
2015-07-23,204141.0
2015-07-24,221370.0
2015-07-27,192381.0
2015-07-28,178661.0
2015-07-29,240853.0
2015-07-30,175893.0
2015-07-31,212866.0
2015-08-03,191195.0
2015-08-04,256612.0
2015-08-05,220516.0
2015-08-06,196384.0
2015-08-07,199467.0
2015-08-10,214443.0
2015-08-11,226320.0
2015-08-12,209151.0
2015-08-13,195785.0
2015-08-14,200935.0
2015-08-17,182649.0
2015-08-18,170897.0
2015-08-19,217040.0
2015-08-20,203722.0
2015-08-21,217595.0
2015-08-24,184784.0
2015-08-25,223245.0
2015-08-26,208227.0
2015-08-27,208144.0
2015-08-28,194299.0
2015-08-31,174686.0
2015-09-01,209782.0
2015-09-02,216037.0
2015-09-03,226252.0
2015-09-04,229704.0
2015-09-08,196657.0
2015-09-09,230740.0
2015-09-10,164825.0
2015-09-11,176414.0
2015-09-14,190985.0
2015-09-15,248856.0
2015-09-16,225601.0
2015-09-17,215076.0
2015-09-18,176641.0
2015-09-21,232014.0
2015-09-22,206929.0
2015-09-23,169244.0
2015-09-24,234085.0
2015-09-25,198805.0
2015-09-28,230199.0
2015-09-29,238139.0
2015-09-30,218219.0
2015-10-01,215799.0
2015-10-02,191429.0
2015-10-05,189116.0
2015-10-06,198695.0
2015-10-07,215588.0
2015-10-08,240919.0
2015-10-09,161853.0
2015-10-12,192553.0
2015-10-13,227079.0
2015-10-14,221306.0
2015-10-15,194184.0
2015-10-16,227045.0
2015-10-19,217104.0
2015-10-20,199262.0
2015-10-21,182937.0
2015-10-22,193138.0
2015-10-23,183502.0
2015-10-26,246957.0
2015-10-27,230576.0
2015-10-28,207891.0
2015-10-29,249452.0
2015-10-30,206202.0
2015-11-02,175982.0
2015-11-03,217829.0
2015-11-04,203320.0
2015-11-05,224331.0
2015-11-06,185826.0
2015-11-09,207523.0
2015-11-10,193698.0
2015-11-11,192302.0
2015-11-12,224528.0
2015-11-13,229708.0
2015-11-16,196302.0
2015-11-17,207425.0
2015-11-18,248827.0
2015-11-19,212941.0
2015-11-20,209211.0
2015-11-23,206192.0
2015-11-24,218709.0
2015-11-25,221068.0
2015-11-27,176244.0
2015-11-30,203874.0
2015-12-01,218950.0
2015-12-02,239180.0
2015-12-03,200906.0
2015-12-04,170375.0
2015-12-07,206099.0
2015-12-08,180288.0
2015-12-09,216354.0
2015-12-10,210518.0
2015-12-11,192553.0
2015-12-14,176651.0
2015-12-15,180070.0
2015-12-16,246511.0
2015-12-17,239688.0
2015-12-18,219584.0
2015-12-21,188563.0
2015-12-22,206020.0
2015-12-23,199357.0
2015-12-24,211609.0
2015-12-28,175242.0
2015-12-29,209399.0
2015-12-30,252587.0
2015-12-31,178557.0
2016-01-04,192239.0
2016-01-05,149599.0
2016-01-06,195266.0
2016-01-07,160937.0
2016-01-08,246511.0
2016-01-11,199196.0
2016-01-12,206352.0
2016-01-13,209907.0
2016-01-14,200896.0
2016-01-15,227302.0
2016-01-19,206634.0
2016-01-20,218029.0
2016-01-21,240943.0
2016-01-22,187136.0
2016-01-25,203423.0
2016-01-26,181031.0
2016-01-27,182719.0
2016-01-28,209431.0
2016-01-29,217609.0
2016-02-01,210196.0
2016-02-02,214678.0
2016-02-03,195658.0
2016-02-04,223606.0
2016-02-05,216471.0
2016-02-08,210335.0
2016-02-09,180617.0
2016-02-10,211345.0
2016-02-11,217632.0
2016-02-12,186399.0
2016-02-16,212011.0
2016-02-17,208359.0
2016-02-18,212975.0
2016-02-19,221090.0
2016-02-22,204560.0
2016-02-23,188098.0
2016-02-24,205069.0
2016-02-25,178690.0
2016-02-26,206153.0
2016-02-29,255326.0
2016-03-01,216611.0
2016-03-02,179239.0
2016-03-03,208233.0
2016-03-04,197006.0
2016-03-07,194376.0
2016-03-08,169897.0
2016-03-09,198561.0
2016-03-10,199892.0
2016-03-11,222598.0
2016-03-14,232993.0
2016-03-15,166466.0
2016-03-16,187207.0
2016-03-17,214680.0
2016-03-18,205486.0
2016-03-21,200984.0
2016-03-22,141360.0
2016-03-23,168771.0
2016-03-24,183894.0
2016-03-28,197508.0
2016-03-29,199576.0
2016-03-30,200800.0
2016-03-31,175203.0
2016-04-01,200059.0
2016-04-04,240464.0
2016-04-05,180237.0
2016-04-06,167468.0
2016-04-07,225265.0
2016-04-08,183285.0
2016-04-11,218005.0
2016-04-12,197386.0
2016-04-13,211066.0
2016-04-14,189050.0
2016-04-15,216008.0
2016-04-18,187521.0
2016-04-19,269925.0
2016-04-20,215461.0
2016-04-21,223345.0
2016-04-22,212639.0
2016-04-25,200612.0
2016-04-26,237590.0
2016-04-27,217458.0
2016-04-28,177627.0
2016-04-29,187841.0
2016-05-02,157047.0
2016-05-03,204908.0
2016-05-04,182259.0
2016-05-05,200252.0
2016-05-06,199416.0
2016-05-09,216209.0
2016-05-10,214141.0
2016-05-11,190366.0
2016-05-12,202186.0
2016-05-13,196120.0
2016-05-16,192255.0
2016-05-17,221183.0
2016-05-18,217615.0
2016-05-19,218691.0
2016-05-20,190748.0
2016-05-23,183527.0
2016-05-24,195787.0
2016-05-25,214614.0
2016-05-26,194433.0
2016-05-27,200439.0
2016-05-31,181693.0
2016-06-01,213770.0
2016-06-02,215486.0
2016-06-03,201438.0
2016-06-06,203471.0
2016-06-07,185900.0
2016-06-08,201149.0
2016-06-09,216840.0
2016-06-10,180868.0
2016-06-13,229548.0
2016-06-14,202035.0
2016-06-15,215765.0
2016-06-16,214588.0
2016-06-17,207745.0
2016-06-20,236528.0
2016-06-21,186649.0
2016-06-22,245371.0
2016-06-23,208880.0
2016-06-24,199950.0
2016-06-27,215828.0
2016-06-28,208428.0
2016-06-29,222672.0
2016-06-30,208936.0
2016-07-01,211483.0
2016-07-05,196272.0
2016-07-06,204534.0
2016-07-07,190823.0
