date,value
2015-03-31,123303.0
2015-04-01,117463.0
2015-04-02,131674.0
2015-04-06,105684.0
2015-04-07,88304.0
2015-04-08,97274.0
2015-04-09,113144.0
2015-04-10,79152.0
2015-04-13,102094.0
2015-04-14,111932.0
2015-04-15,120162.0
2015-04-16,109980.0
2015-04-17,109259.0
2015-04-20,116476.0
2015-04-21,87385.0
2015-04-22,115220.0
2015-04-23,108140.0
2015-04-24,106295.0
2015-04-27,105005.0
2015-04-28,106008.0
2015-04-29,119821.0
2015-04-30,98686.0
2015-05-01,119755.0
2015-05-04,106916.0
2015-05-05,107059.0
2015-05-06,119128.0
2015-05-07,120245.0
2015-05-08,122841.0
2015-05-11,104550.0
2015-05-12,106284.0
2015-05-13,108771.0
2015-05-14,100911.0
2015-05-15,102415.0
2015-05-18,128837.0
2015-05-19,108067.0
2015-05-20,109669.0
2015-05-21,128664.0
2015-05-22,106697.0
2015-05-26,103686.0
2015-05-27,113132.0
2015-05-28,109387.0
2015-05-29,111698.0
2015-06-01,135992.0
2015-06-02,119840.0
2015-06-03,130070.0
2015-06-04,101156.0
2015-06-05,119169.0
2015-06-08,107385.0
2015-06-09,121349.0
2015-06-10,111485.0
2015-06-11,99867.0
2015-06-12,124047.0
2015-06-15,92710.0
2015-06-16,111028.0
2015-06-17,101564.0
2015-06-18,117931.0
2015-06-19,104419.0
2015-06-22,135445.0
2015-06-23,108781.0
2015-06-24,128865.0
2015-06-25,103455.0
2015-06-26,121819.0
2015-06-29,92470.0
2015-06-30,116956.0
2015-07-01,118749.0
2015-07-02,103567.0
2015-07-06,136059.0
2015-07-07,117027.0
2015-07-08,120669.0
2015-07-09,118565.0
2015-07-10,123556.0
2015-07-13,124996.0
2015-07-14,108607.0
2015-07-15,111745.0
2015-07-16,110836.0
2015-07-17,109560.0
2015-07-20,118249.0
2015-07-21,110828.0
2015-07-22,128946.0
2015-07-23,129072.0
2015-07-24,121719.0
2015-07-27,107683.0
2015-07-28,113865.0
2015-07-29,116680.0
2015-07-30,108861.0
2015-07-31,117601.0
2015-08-03,117734.0
2015-08-04,129047.0
2015-08-05,130130.0
2015-08-06,138966.0
2015-08-07,119444.0
2015-08-10,110140.0
2015-08-11,116646.0
2015-08-12,105834.0
2015-08-13,105150.0
2015-08-14,115565.0
2015-08-17,140243.0
2015-08-18,113988.0
2015-08-19,115418.0
2015-08-20,99736.0
2015-08-21,123422.0
2015-08-24,115334.0
2015-08-25,115099.0
2015-08-26,96170.0
2015-08-27,121370.0
2015-08-28,131936.0
2015-08-31,120846.0
2015-09-01,120647.0
2015-09-02,111252.0
2015-09-03,129836.0
2015-09-04,130513.0
2015-09-08,133448.0
2015-09-09,121751.0
2015-09-10,111020.0
2015-09-11,103242.0
2015-09-14,104785.0
2015-09-15,112291.0
2015-09-16,101283.0
2015-09-17,128737.0
2015-09-18,97417.0
