date,value
2015-03-31,8575.0
2015-04-01,7831.0
2015-04-02,8373.0
2015-04-06,6875.0
2015-04-07,7797.0
2015-04-08,8342.0
2015-04-09,8928.0
2015-04-10,8066.0
2015-04-13,7412.0
2015-04-14,8668.0
2015-04-15,7514.0
2015-04-16,6720.0
2015-04-17,7416.0
2015-04-20,7989.0
2015-04-21,6974.0
2015-04-22,7335.0
2015-04-23,7040.0
2015-04-24,7043.0
2015-04-27,7523.0
2015-04-28,9492.0
2015-04-29,7291.0
2015-04-30,7609.0
2015-05-01,6652.0
2015-05-04,6444.0
2015-05-05,7671.0
2015-05-06,7295.0
2015-05-07,7196.0
2015-05-08,7079.0
2015-05-11,7100.0
2015-05-12,7152.0
2015-05-13,7494.0
2015-05-14,7120.0
2015-05-15,8063.0
2015-05-18,8062.0
2015-05-19,6986.0
2015-05-20,8040.0
2015-05-21,7763.0
2015-05-22,6932.0
2015-05-26,7336.0
2015-05-27,7365.0
2015-05-28,7442.0
2015-05-29,6829.0
2015-06-01,8878.0
2015-06-02,8242.0
2015-06-03,7521.0
2015-06-04,7426.0
2015-06-05,8071.0
2015-06-08,7544.0
2015-06-09,7614.0
2015-06-10,7523.0
2015-06-11,8198.0
2015-06-12,7178.0
2015-06-15,8093.0
2015-06-16,7135.0
2015-06-17,8198.0
2015-06-18,8463.0
2015-06-19,7533.0
2015-06-22,7710.0
2015-06-23,7525.0
2015-06-24,8100.0
2015-06-25,7592.0
2015-06-26,6701.0
2015-06-29,7771.0
2015-06-30,7342.0
2015-07-01,8337.0
2015-07-02,7809.0
2015-07-06,6680.0
2015-07-07,8496.0
2015-07-08,7786.0
2015-07-09,8530.0
2015-07-10,9373.0
2015-07-13,7574.0
2015-07-14,7481.0
2015-07-15,6720.0
2015-07-16,6457.0
2015-07-17,7167.0
2015-07-20,8490.0
2015-07-21,9032.0
2015-07-22,6812.0
2015-07-23,8608.0
2015-07-24,9311.0
2015-07-27,9118.0
2015-07-28,8366.0
2015-07-29,7716.0
2015-07-30,6502.0
2015-07-31,7141.0
2015-08-03,7063.0
2015-08-04,8032.0
2015-08-05,7537.0
2015-08-06,7146.0
2015-08-07,7359.0
2015-08-10,7956.0
2015-08-11,7869.0
2015-08-12,9787.0
2015-08-13,5990.0
2015-08-14,8222.0
2015-08-17,9381.0
2015-08-18,6691.0
2015-08-19,8800.0
2015-08-20,7858.0
2015-08-21,7457.0
2015-08-24,7619.0
2015-08-25,8231.0
2015-08-26,8250.0
2015-08-27,8463.0
2015-08-28,7185.0
2015-08-31,7914.0
2015-09-01,8382.0
2015-09-02,8521.0
2015-09-03,7348.0
2015-09-04,7622.0
2015-09-08,6602.0
2015-09-09,7515.0
2015-09-10,7218.0
2015-09-11,8445.0
2015-09-14,6419.0
2015-09-15,7826.0
2015-09-16,7786.0
2015-09-17,7200.0
2015-09-18,7200.0
2015-09-21,6502.0
2015-09-22,8554.0
2015-09-23,7782.0
2015-09-24,6577.0
2015-09-25,7478.0
2015-09-28,7566.0
2015-09-29,8430.0
2015-09-30,6004.0
2015-10-01,7179.0
2015-10-02,7791.0
2015-10-05,8244.0
2015-10-06,9803.0
2015-10-07,7000.0
2015-10-08,6932.0
2015-10-09,5248.0
2015-10-12,7910.0
2015-10-13,6399.0
2015-10-14,7352.0
2015-10-15,7982.0
2015-10-16,7141.0
2015-10-19,7404.0
2015-10-20,6736.0
2015-10-21,7619.0
2015-10-22,8710.0
2015-10-23,7831.0
2015-10-26,6839.0
2015-10-27,7728.0
2015-10-28,7324.0
2015-10-29,7625.0
2015-10-30,8387.0
2015-11-02,6605.0
2015-11-03,7431.0
2015-11-04,6453.0
2015-11-05,6888.0
2015-11-06,8562.0
2015-11-09,7117.0
2015-11-10,8005.0
2015-11-11,7412.0
2015-11-12,8082.0
2015-11-13,8729.0
2015-11-16,9016.0
2015-11-17,7031.0
2015-11-18,7597.0
2015-11-19,7991.0
2015-11-20,8541.0
2015-11-23,6944.0
2015-11-24,7315.0
2015-11-25,6273.0
2015-11-27,5724.0
2015-11-30,7484.0
2015-12-01,7356.0
2015-12-02,7380.0
2015-12-03,7924.0
2015-12-04,6742.0
2015-12-07,6947.0
2015-12-08,6640.0
2015-12-09,8056.0
2015-12-10,8163.0
