date,value
2015-03-31,188120.0
2015-04-01,238466.0
2015-04-02,196100.0
2015-04-06,192547.0
2015-04-07,195265.0
2015-04-08,189259.0
2015-04-09,213543.0
2015-04-10,255691.0
2015-04-13,237648.0
2015-04-14,213727.0
2015-04-15,251773.0
2015-04-16,218953.0
2015-04-17,220623.0
2015-04-20,203153.0
2015-04-21,191309.0
2015-04-22,232613.0
2015-04-23,189966.0
2015-04-24,237139.0
2015-04-27,218576.0
2015-04-28,195572.0
2015-04-29,251997.0
2015-04-30,228248.0
2015-05-01,242955.0
2015-05-04,213525.0
2015-05-05,181102.0
2015-05-06,224020.0
2015-05-07,246410.0
2015-05-08,176008.0
2015-05-11,218046.0
2015-05-12,170808.0
2015-05-13,197306.0
2015-05-14,218122.0
2015-05-15,225892.0
2015-05-18,172274.0
2015-05-19,182071.0
2015-05-20,241437.0
2015-05-21,212364.0
2015-05-22,230966.0
2015-05-26,250503.0
2015-05-27,218195.0
2015-05-28,214088.0
2015-05-29,201719.0
2015-06-01,177642.0
2015-06-02,216018.0
2015-06-03,191483.0
2015-06-04,185151.0
2015-06-05,192153.0
2015-06-08,181074.0
2015-06-09,252719.0
2015-06-10,194967.0
2015-06-11,222364.0
2015-06-12,199963.0
2015-06-15,209130.0
2015-06-16,208341.0
2015-06-17,225113.0
2015-06-18,179806.0
2015-06-19,219168.0
2015-06-22,186270.0
2015-06-23,175220.0
2015-06-24,171714.0
2015-06-25,226571.0
2015-06-26,198469.0
2015-06-29,242360.0
2015-06-30,206397.0
2015-07-01,213367.0
2015-07-02,216767.0
2015-07-06,206383.0
2015-07-07,217607.0
2015-07-08,205579.0
2015-07-09,189827.0
2015-07-10,217240.0
2015-07-13,218604.0
2015-07-14,213072.0
2015-07-15,205349.0
2015-07-16,195448.0
2015-07-17,232659.0
2015-07-20,214334.0
2015-07-21,227374.0
2015-07-22,153186.0
2015-07-23,212347.0
2015-07-24,205988.0
2015-07-27,175841.0
2015-07-28,197449.0
2015-07-29,206789.0
2015-07-30,166729.0
2015-07-31,167035.0
2015-08-03,178522.0
2015-08-04,192909.0
2015-08-05,198811.0
2015-08-06,190464.0
2015-08-07,206243.0
2015-08-10,184853.0
2015-08-11,187235.0
2015-08-12,238236.0
2015-08-13,170287.0
2015-08-14,178674.0
2015-08-17,203721.0
2015-08-18,219658.0
2015-08-19,194547.0
2015-08-20,232388.0
2015-08-21,230669.0
2015-08-24,176093.0
2015-08-25,190583.0
2015-08-26,197093.0
2015-08-27,180676.0
2015-08-28,252546.0
2015-08-31,226910.0
2015-09-01,198577.0
2015-09-02,240235.0
2015-09-03,201500.0
2015-09-04,204977.0
2015-09-08,178378.0
2015-09-09,226577.0
2015-09-10,222865.0
2015-09-11,215357.0
2015-09-14,179508.0
2015-09-15,196728.0
2015-09-16,215168.0
2015-09-17,236042.0
2015-09-18,217677.0
2015-09-21,197228.0
2015-09-22,195560.0
2015-09-23,217002.0
2015-09-24,214420.0
2015-09-25,201811.0
2015-09-28,246214.0
2015-09-29,207951.0
2015-09-30,180364.0
2015-10-01,201628.0
2015-10-02,179881.0
2015-10-05,169658.0
2015-10-06,217638.0
2015-10-07,196210.0
2015-10-08,178822.0
2015-10-09,223255.0
2015-10-12,181441.0
2015-10-13,172217.0
2015-10-14,212755.0
2015-10-15,218141.0
2015-10-16,204821.0
2015-10-19,188305.0
2015-10-20,166827.0
2015-10-21,215166.0
2015-10-22,156978.0
2015-10-23,154268.0
2015-10-26,195748.0
2015-10-27,195284.0
2015-10-28,179736.0
2015-10-29,195345.0
2015-10-30,184137.0
2015-11-02,197289.0
2015-11-03,145387.0
2015-11-04,207938.0
2015-11-05,170988.0
2015-11-06,202548.0
2015-11-09,220451.0
2015-11-10,183627.0
2015-11-11,234393.0
2015-11-12,217355.0
2015-11-13,170271.0
2015-11-16,178083.0
2015-11-17,175564.0
2015-11-18,206061.0
2015-11-19,198881.0
2015-11-20,209661.0
2015-11-23,205985.0
2015-11-24,170152.0
2015-11-25,193157.0
2015-11-27,202263.0
2015-11-30,192344.0
2015-12-01,200267.0
2015-12-02,202828.0
2015-12-03,194151.0
2015-12-04,213677.0
2015-12-07,191943.0
2015-12-08,183000.0
2015-12-09,144202.0
2015-12-10,178183.0
2015-12-11,215077.0
2015-12-14,169052.0
2015-12-15,202589.0
2015-12-16,189958.0
2015-12-17,176108.0
2015-12-18,210431.0
2015-12-21,174207.0
2015-12-22,195366.0
2015-12-23,182729.0
2015-12-24,180239.0
2015-12-28,190888.0
2015-12-29,173981.0
2015-12-30,177706.0
2015-12-31,207147.0
2016-01-04,188144.0
2016-01-05,170316.0
2016-01-06,207325.0
2016-01-07,175863.0
2016-01-08,189656.0
2016-01-11,200338.0
2016-01-12,157558.0
2016-01-13,156102.0
2016-01-14,168913.0
2016-01-15,202731.0
2016-01-19,163289.0
2016-01-20,189303.0
2016-01-21,183222.0
2016-01-22,157554.0
2016-01-25,172522.0
2016-01-26,175985.0
2016-01-27,232764.0
2016-01-28,192604.0
2016-01-29,218360.0
2016-02-01,210757.0
2016-02-02,184455.0
2016-02-03,207151.0
2016-02-04,180647.0
2016-02-05,174415.0
2016-02-08,221054.0
2016-02-09,166139.0
2016-02-10,180095.0
2016-02-11,174487.0
2016-02-12,197780.0
2016-02-16,203220.0
2016-02-17,184909.0
2016-02-18,168272.0
2016-02-19,189097.0
2016-02-22,182686.0
2016-02-23,175153.0
2016-02-24,188383.0
2016-02-25,155629.0
2016-02-26,148556.0
2016-02-29,204031.0
2016-03-01,179811.0
2016-03-02,197306.0
2016-03-03,171623.0
2016-03-04,162146.0
2016-03-07,173071.0
2016-03-08,200545.0
2016-03-09,189537.0
2016-03-10,211592.0
2016-03-11,177934.0
2016-03-14,157552.0
2016-03-15,180208.0
2016-03-16,161917.0
2016-03-17,192298.0
2016-03-18,191379.0
2016-03-21,167542.0
2016-03-22,173348.0
2016-03-23,184942.0
2016-03-24,191684.0
2016-03-28,171301.0
2016-03-29,212019.0
2016-03-30,157578.0
2016-03-31,158967.0
2016-04-01,161095.0
2016-04-04,168398.0
2016-04-05,123471.0
2016-04-06,188798.0
2016-04-07,193456.0
2016-04-08,170988.0
2016-04-11,190927.0
2016-04-12,203193.0
2016-04-13,157820.0
2016-04-14,156556.0
2016-04-15,158190.0
2016-04-18,172612.0
2016-04-19,162798.0
2016-04-20,193831.0
2016-04-21,198427.0
2016-04-22,171214.0
2016-04-25,174293.0
2016-04-26,199152.0
2016-04-27,197844.0
2016-04-28,190996.0
2016-04-29,200857.0
2016-05-02,200133.0
2016-05-03,144754.0
2016-05-04,157388.0
2016-05-05,173502.0
2016-05-06,185342.0
2016-05-09,209786.0
2016-05-10,172137.0
2016-05-11,209214.0
2016-05-12,167298.0
2016-05-13,224925.0
2016-05-16,175145.0
2016-05-17,207377.0
2016-05-18,188924.0
2016-05-19,160746.0
2016-05-20,170314.0
2016-05-23,198721.0
2016-05-24,170783.0
2016-05-25,152109.0
2016-05-26,185471.0
2016-05-27,197727.0
2016-05-31,178385.0
2016-06-01,219822.0
2016-06-02,150896.0
2016-06-03,161165.0
2016-06-06,188317.0
2016-06-07,206589.0
2016-06-08,172399.0
2016-06-09,160361.0
2016-06-10,174889.0
2016-06-13,207087.0
2016-06-14,180236.0
2016-06-15,164852.0
2016-06-16,212919.0
2016-06-17,170433.0
2016-06-20,206077.0
2016-06-21,205004.0
2016-06-22,163983.0
2016-06-23,168149.0
2016-06-24,190321.0
2016-06-27,184243.0
2016-06-28,176375.0
2016-06-29,193749.0
2016-06-30,183270.0
2016-07-01,191164.0
2016-07-05,172549.0
2016-07-06,183002.0
2016-07-07,161877.0
2016-07-08,189773.0
2016-07-11,175917.0
2016-07-12,163105.0
2016-07-13,193853.0
2016-07-14,181741.0
2016-07-15,188444.0
2016-07-18,201826.0
2016-07-19,195721.0
2016-07-20,171072.0
2016-07-21,172587.0
2016-07-22,204865.0
2016-07-25,163963.0
2016-07-26,173566.0
2016-07-27,186758.0
2016-07-28,226467.0
2016-07-29,192967.0
2016-08-01,179851.0
2016-08-02,190046.0
2016-08-03,202771.0
2016-08-04,158957.0
2016-08-05,150257.0
2016-08-08,215171.0
2016-08-09,197741.0
2016-08-10,169890.0
2016-08-11,176231.0
2016-08-12,151829.0
2016-08-15,199023.0
2016-08-16,167174.0
2016-08-17,173546.0
2016-08-18,175559.0
2016-08-19,185295.0
2016-08-22,220044.0
2016-08-23,193300.0
2016-08-24,173829.0
2016-08-25,173313.0
2016-08-26,168243.0
2016-08-29,184890.0
2016-08-30,167861.0
2016-08-31,198259.0
2016-09-01,157764.0
2016-09-02,175780.0
2016-09-06,184732.0
2016-09-07,179658.0
2016-09-08,199701.0
2016-09-09,195287.0
2016-09-12,184440.0
2016-09-13,180149.0
2016-09-14,196773.0
2016-09-15,161077.0
2016-09-16,174498.0
2016-09-19,185445.0
2016-09-20,190808.0
2016-09-21,184245.0
2016-09-22,195769.0
2016-09-23,195321.0
2016-09-26,182721.0
2016-09-27,183377.0
2016-09-28,171497.0
2016-09-29,167152.0
2016-09-30,187157.0
2016-10-03,206998.0
2016-10-04,172336.0
2016-10-05,157302.0
2016-10-06,164435.0
2016-10-07,197191.0
2016-10-10,188132.0
2016-10-11,204605.0
2016-10-12,178443.0
2016-10-13,163924.0
2016-10-14,211999.0
2016-10-17,209611.0
2016-10-18,199797.0
2016-10-19,167953.0
2016-10-20,184486.0
2016-10-21,185388.0
2016-10-24,161871.0
2016-10-25,166224.0
2016-10-26,181861.0
2016-10-27,160052.0
2016-10-28,185852.0
2016-10-31,209748.0
2016-11-01,183624.0
2016-11-02,206003.0
2016-11-03,196818.0
2016-11-04,191086.0
2016-11-07,219923.0
2016-11-08,194404.0
2016-11-09,229658.0
2016-11-10,204900.0
2016-11-11,204563.0
2016-11-14,190117.0
2016-11-15,218191.0
2016-11-16,200290.0
2016-11-17,188066.0
2016-11-18,203252.0
2016-11-21,198972.0
2016-11-22,187798.0
2016-11-23,178098.0
2016-11-25,197923.0
2016-11-28,211426.0
2016-11-29,228044.0
2016-11-30,217320.0
2016-12-01,211959.0
2016-12-02,194259.0
2016-12-05,164182.0
2016-12-06,196276.0
2016-12-07,202142.0
2016-12-08,169406.0
2016-12-09,206098.0
2016-12-12,206604.0
2016-12-13,230947.0
2016-12-14,174623.0
2016-12-15,218488.0
2016-12-16,207511.0
2016-12-19,157024.0
2016-12-20,155052.0
2016-12-21,183295.0
2016-12-22,230379.0
2016-12-23,211912.0
2016-12-27,219279.0
2016-12-28,228601.0
2016-12-29,210938.0
2016-12-30,214104.0
2017-01-03,218694.0
2017-01-04,223800.0
2017-01-05,238664.0
2017-01-06,220608.0
2017-01-09,209142.0
2017-01-10,208904.0
2017-01-11,205388.0
2017-01-12,244957.0
2017-01-13,226083.0
2017-01-17,248360.0
2017-01-18,236625.0
2017-01-19,212458.0
2017-01-20,201519.0
2017-01-23,179076.0
2017-01-24,206447.0
2017-01-25,188989.0
2017-01-26,221204.0
2017-01-27,180001.0
2017-01-30,208754.0
2017-01-31,214434.0
2017-02-01,182544.0
2017-02-02,240899.0
2017-02-03,173864.0
2017-02-06,202468.0
2017-02-07,227190.0
2017-02-08,202487.0
2017-02-09,185151.0
2017-02-10,188438.0
2017-02-13,193385.0
2017-02-14,222686.0
2017-02-15,213332.0
2017-02-16,218223.0
2017-02-17,212019.0
2017-02-21,182395.0
2017-02-22,183261.0
2017-02-23,215975.0
2017-02-24,176225.0
2017-02-27,187035.0
2017-02-28,234348.0
2017-03-01,209392.0
2017-03-02,221217.0
2017-03-03,168897.0
2017-03-06,214945.0
2017-03-07,194622.0
2017-03-08,220946.0
2017-03-09,176682.0
2017-03-10,216920.0
2017-03-13,203030.0
2017-03-14,150600.0
2017-03-15,176483.0
2017-03-16,203408.0
2017-03-17,220026.0
2017-03-20,208226.0
2017-03-21,198434.0
2017-03-22,198172.0
2017-03-23,192823.0
2017-03-24,209088.0
2017-03-27,188908.0
2017-03-28,228650.0
2017-03-29,196958.0
2017-03-30,190543.0
2017-03-31,180236.0
2017-04-03,220888.0
2017-04-04,198463.0
2017-04-05,177684.0
2017-04-06,126053.0
2017-04-07,225053.0
2017-04-10,198968.0
2017-04-11,167350.0
2017-04-12,175687.0
2017-04-13,204744.0
2017-04-17,169266.0
2017-04-18,160742.0
2017-04-19,204621.0
2017-04-20,162410.0
2017-04-21,228655.0
2017-04-24,205942.0
2017-04-25,201611.0
2017-04-26,225748.0
2017-04-27,207653.0
2017-04-28,202337.0
2017-05-01,189825.0
2017-05-02,161563.0
2017-05-03,194248.0
2017-05-04,211372.0
2017-05-05,181192.0
2017-05-08,180574.0
2017-05-09,191157.0
2017-05-10,176468.0
2017-05-11,185454.0
2017-05-12,173707.0
2017-05-15,215707.0
2017-05-16,193516.0
2017-05-17,179575.0
2017-05-18,199413.0
2017-05-19,205234.0
2017-05-22,156690.0
2017-05-23,169627.0
2017-05-24,222750.0
2017-05-25,197538.0
2017-05-26,228904.0
2017-05-30,186304.0
2017-05-31,200837.0
2017-06-01,204542.0
2017-06-02,184591.0
2017-06-05,181622.0
2017-06-06,212870.0
2017-06-07,183455.0
2017-06-08,209421.0
2017-06-09,186467.0
2017-06-12,206461.0
2017-06-13,195217.0
2017-06-14,232459.0
2017-06-15,212724.0
2017-06-16,224775.0
2017-06-19,185731.0
2017-06-20,210848.0
2017-06-21,175656.0
2017-06-22,190768.0
2017-06-23,199220.0
2017-06-26,202827.0
2017-06-27,214440.0
2017-06-28,223385.0
2017-06-29,157221.0
2017-06-30,199612.0
2017-07-03,181511.0
2017-07-05,171666.0
2017-07-06,227424.0
2017-07-07,187878.0
2017-07-10,206284.0
2017-07-11,230317.0
2017-07-12,186838.0
2017-07-13,187326.0
2017-07-14,193067.0
2017-07-17,224564.0
2017-07-18,205820.0
2017-07-19,167957.0
2017-07-20,203919.0
2017-07-21,159698.0
2017-07-24,205231.0
2017-07-25,176369.0
2017-07-26,166511.0
2017-07-27,201459.0
2017-07-28,194805.0
2017-07-31,201367.0
2017-08-01,243625.0
2017-08-02,184338.0
2017-08-03,223467.0
2017-08-04,191504.0
2017-08-07,183082.0
2017-08-08,206523.0
2017-08-09,165471.0
2017-08-10,182278.0
2017-08-11,184877.0
2017-08-14,182938.0
2017-08-15,179274.0
2017-08-16,174653.0
2017-08-17,188561.0
2017-08-18,167883.0
2017-08-21,189495.0
2017-08-22,184353.0
2017-08-23,201637.0
2017-08-24,194508.0
2017-08-25,185172.0
2017-08-28,217314.0
2017-08-29,169042.0
2017-08-30,224824.0
2017-08-31,195481.0
2017-09-01,183939.0
2017-09-05,200643.0
2017-09-06,183707.0
2017-09-07,200356.0
2017-09-08,224988.0
2017-09-11,206505.0
2017-09-12,205168.0
2017-09-13,217594.0
2017-09-14,218484.0
2017-09-15,208862.0
2017-09-18,242936.0
2017-09-19,169450.0
2017-09-20,198503.0
2017-09-21,201492.0
2017-09-22,228495.0
2017-09-25,211619.0
2017-09-26,188833.0
2017-09-27,144469.0
2017-09-28,186403.0
2017-09-29,219485.0
2017-10-02,215656.0
2017-10-03,190336.0
2017-10-04,210128.0
2017-10-05,181309.0
2017-10-06,182354.0
2017-10-09,224232.0
2017-10-10,208604.0
2017-10-11,175784.0
2017-10-12,182071.0
2017-10-13,172219.0
2017-10-16,182309.0
2017-10-17,233643.0
2017-10-18,173675.0
2017-10-19,172055.0
2017-10-20,229183.0
2017-10-23,189987.0
2017-10-24,157418.0
2017-10-25,190932.0
2017-10-26,197511.0
2017-10-27,203863.0
2017-10-30,172260.0
2017-10-31,199429.0
2017-11-01,164679.0
2017-11-02,204841.0
2017-11-03,173111.0
2017-11-06,134706.0
2017-11-07,204965.0
2017-11-08,161605.0
2017-11-09,162944.0
2017-11-10,204412.0
2017-11-13,179167.0
2017-11-14,211175.0
2017-11-15,180650.0
2017-11-16,172520.0
2017-11-17,187938.0
2017-11-20,165449.0
2017-11-21,181581.0
2017-11-22,171641.0
2017-11-24,178682.0
2017-11-27,195956.0
2017-11-28,175380.0
2017-11-29,160536.0
2017-11-30,184770.0
2017-12-01,155038.0
2017-12-04,192112.0
2017-12-05,218638.0
2017-12-06,217637.0
2017-12-07,155108.0
2017-12-08,188930.0
2017-12-11,218505.0
2017-12-12,207610.0
2017-12-13,248746.0
2017-12-14,195534.0
2017-12-15,175149.0
2017-12-18,197824.0
2017-12-19,199552.0
2017-12-20,208697.0
2017-12-21,203527.0
2017-12-22,182449.0
2017-12-26,205289.0
2017-12-27,219533.0
2017-12-28,198908.0
2017-12-29,202074.0
2018-01-02,185405.0
2018-01-03,178610.0
2018-01-04,174136.0
2018-01-05,203549.0
2018-01-08,175718.0
2018-01-09,203917.0
2018-01-10,195168.0
2018-01-11,193124.0
2018-01-12,151660.0
2018-01-16,189690.0
2018-01-17,212028.0
2018-01-18,208004.0
2018-01-19,199935.0
2018-01-22,189422.0
2018-01-23,201148.0
2018-01-24,179273.0
2018-01-25,209104.0
2018-01-26,199096.0
2018-01-29,202638.0
2018-01-30,182608.0
2018-01-31,179705.0
2018-02-01,204620.0
2018-02-02,197374.0
2018-02-05,167469.0
2018-02-06,181870.0
2018-02-07,206286.0
2018-02-08,153864.0
2018-02-09,179791.0
2018-02-12,203738.0
2018-02-13,169040.0
2018-02-14,256083.0
2018-02-15,186890.0
2018-02-16,217152.0
2018-02-20,211558.0
2018-02-21,203521.0
2018-02-22,186831.0
2018-02-23,187819.0
2018-02-26,225699.0
2018-02-27,199624.0
2018-02-28,167231.0
2018-03-01,209252.0
2018-03-02,211313.0
2018-03-05,185817.0
2018-03-06,175484.0
2018-03-07,180023.0
2018-03-08,176606.0
2018-03-09,199616.0
2018-03-12,174155.0
2018-03-13,145720.0
2018-03-14,195715.0
2018-03-15,195660.0
2018-03-16,194129.0
2018-03-19,214335.0
2018-03-20,219849.0
2018-03-21,188407.0
2018-03-22,194334.0
2018-03-23,170295.0
2018-03-26,182706.0
2018-03-27,206693.0
2018-03-28,186759.0
2018-03-29,152932.0
2018-04-02,187116.0
2018-04-03,205032.0
2018-04-04,200056.0
2018-04-05,182021.0
2018-04-06,200355.0
2018-04-09,202258.0
2018-04-10,218512.0
2018-04-11,183419.0
2018-04-12,191037.0
2018-04-13,212168.0
2018-04-16,193320.0
2018-04-17,224441.0
2018-04-18,198999.0
2018-04-19,183459.0
2018-04-20,188300.0
2018-04-23,216261.0
2018-04-24,195293.0
2018-04-25,220572.0
2018-04-26,182546.0
2018-04-27,235665.0
2018-04-30,207214.0
2018-05-01,188990.0
2018-05-02,193949.0
2018-05-03,210027.0
2018-05-04,211965.0
2018-05-07,188073.0
2018-05-08,195870.0
2018-05-09,185742.0
2018-05-10,214651.0
2018-05-11,221322.0
2018-05-14,199892.0
2018-05-15,179166.0
2018-05-16,211863.0
2018-05-17,193818.0
2018-05-18,212472.0
2018-05-21,234572.0
2018-05-22,216891.0
2018-05-23,200985.0
2018-05-24,176337.0
2018-05-25,207253.0
2018-05-29,187737.0
2018-05-30,193115.0
2018-05-31,215780.0
2018-06-01,184865.0
2018-06-04,240166.0
2018-06-05,214800.0
2018-06-06,194189.0
2018-06-07,195573.0
2018-06-08,209450.0
2018-06-11,204164.0
2018-06-12,235578.0
2018-06-13,193626.0
2018-06-14,232698.0
2018-06-15,211917.0
2018-06-18,233697.0
2018-06-19,210187.0
2018-06-20,206368.0
2018-06-21,182760.0
2018-06-22,180105.0
2018-06-25,223556.0
2018-06-26,210308.0
2018-06-27,211314.0
2018-06-28,175523.0
2018-06-29,218915.0
2018-07-02,231302.0
2018-07-03,174904.0
2018-07-05,208658.0
2018-07-06,198228.0
2018-07-09,243407.0
2018-07-10,224525.0
2018-07-11,196758.0
2018-07-12,205901.0
2018-07-13,215112.0
2018-07-16,201451.0
2018-07-17,206922.0
2018-07-18,200562.0
2018-07-19,185566.0
2018-07-20,235305.0
2018-07-23,251697.0
2018-07-24,191236.0
2018-07-25,220644.0
2018-07-26,194843.0
2018-07-27,205311.0
2018-07-30,196689.0
2018-07-31,225883.0
2018-08-01,238517.0
2018-08-02,204105.0
2018-08-03,222121.0
2018-08-06,198926.0
2018-08-07,224098.0
2018-08-08,239636.0
2018-08-09,196477.0
2018-08-10,238596.0
2018-08-13,211812.0
2018-08-14,225034.0
2018-08-15,197852.0
2018-08-16,230316.0
2018-08-17,202083.0
2018-08-20,236667.0
2018-08-21,255382.0
2018-08-22,222750.0
2018-08-23,235889.0
2018-08-24,191132.0
2018-08-27,205863.0
2018-08-28,216982.0
2018-08-29,173382.0
2018-08-30,199479.0
2018-08-31,235326.0
2018-09-04,194793.0
2018-09-05,197833.0
2018-09-06,196360.0
2018-09-07,207646.0
2018-09-10,214895.0
2018-09-11,211664.0
2018-09-12,218054.0
2018-09-13,251004.0
2018-09-14,208731.0
2018-09-17,203570.0
2018-09-18,173286.0
2018-09-19,196544.0
2018-09-20,228882.0
2018-09-21,230470.0
2018-09-24,195613.0
2018-09-25,241909.0
2018-09-26,230936.0
2018-09-27,208750.0
2018-09-28,218161.0
2018-10-01,185438.0
2018-10-02,218880.0
2018-10-03,230811.0
2018-10-04,168885.0
2018-10-05,222558.0
2018-10-08,197641.0
2018-10-09,190103.0
2018-10-10,189416.0
2018-10-11,233886.0
2018-10-12,196995.0
2018-10-15,237662.0
2018-10-16,208480.0
2018-10-17,221905.0
2018-10-18,213771.0
2018-10-19,186755.0
2018-10-22,221601.0
2018-10-23,241097.0
2018-10-24,232552.0
2018-10-25,221723.0
2018-10-26,171541.0
2018-10-29,194359.0
2018-10-30,200363.0
2018-10-31,224211.0
2018-11-01,203990.0
2018-11-02,204729.0
2018-11-05,214946.0
2018-11-06,202945.0
2018-11-07,227686.0
2018-11-08,239207.0
2018-11-09,236421.0
2018-11-12,231640.0
2018-11-13,213881.0
2018-11-14,211486.0
2018-11-15,180434.0
2018-11-16,275038.0
2018-11-19,210362.0
2018-11-20,237920.0
2018-11-21,250268.0
2018-11-23,200724.0
2018-11-26,247841.0
2018-11-27,190638.0
2018-11-28,189570.0
2018-11-29,212763.0
2018-11-30,220232.0
2018-12-03,220395.0
2018-12-04,228757.0
2018-12-06,225455.0
2018-12-07,219562.0
2018-12-10,183073.0
2018-12-11,220789.0
2018-12-12,194909.0
2018-12-13,192338.0
2018-12-14,204027.0
2018-12-17,254350.0
2018-12-18,220987.0
2018-12-19,233911.0
2018-12-20,208539.0
2018-12-21,229667.0
2018-12-24,240703.0
2018-12-26,213449.0
2018-12-27,196784.0
2018-12-28,208130.0
2018-12-31,178258.0
2019-01-02,185803.0
2019-01-03,205677.0
2019-01-04,170803.0
2019-01-07,268151.0
2019-01-08,265920.0
2019-01-09,181118.0
2019-01-10,220572.0
2019-01-11,226018.0
2019-01-14,202752.0
2019-01-15,213217.0
2019-01-16,205539.0
2019-01-17,247306.0
2019-01-18,219379.0
2019-01-22,241939.0
2019-01-23,216685.0
2019-01-24,204049.0
2019-01-25,194064.0
2019-01-28,238271.0
2019-01-29,185793.0
2019-01-30,201564.0
2019-01-31,221075.0
2019-02-01,204853.0
2019-02-04,179778.0
2019-02-05,245841.0
2019-02-06,209832.0
2019-02-07,218528.0
2019-02-08,178455.0
2019-02-11,213667.0
2019-02-12,210738.0
2019-02-13,177152.0
2019-02-14,224815.0
2019-02-15,249203.0
2019-02-19,221639.0
2019-02-20,188136.0
2019-02-21,189196.0
2019-02-22,203280.0
2019-02-25,216160.0
2019-02-26,203161.0
2019-02-27,205985.0
2019-02-28,242014.0
2019-03-01,232437.0
2019-03-04,226482.0
2019-03-05,176287.0
2019-03-06,204265.0
2019-03-07,177179.0
2019-03-08,209357.0
2019-03-11,193060.0
2019-03-12,216777.0
2019-03-13,205624.0
2019-03-14,221487.0
2019-03-15,211730.0
2019-03-18,181606.0
2019-03-19,203730.0
2019-03-20,218271.0
2019-03-21,185137.0
2019-03-22,212384.0
2019-03-25,193167.0
2019-03-26,161318.0
2019-03-27,188501.0
2019-03-28,200656.0
2019-03-29,191992.0
2019-04-01,221520.0
2019-04-02,249100.0
2019-04-03,238189.0
2019-04-04,248506.0
2019-04-05,206942.0
2019-04-08,202072.0
2019-04-09,190849.0
2019-04-10,196002.0
2019-04-11,233044.0
2019-04-12,230038.0
2019-04-15,211584.0
2019-04-16,235161.0
2019-04-17,240225.0
2019-04-18,181953.0
2019-04-22,238723.0
2019-04-23,199971.0
2019-04-24,228043.0
2019-04-25,218780.0
2019-04-26,227579.0
2019-04-29,179689.0
2019-04-30,213871.0
2019-05-01,200325.0
2019-05-02,204825.0
2019-05-03,224772.0
2019-05-06,240233.0
2019-05-07,226935.0
2019-05-08,180445.0
2019-05-09,248230.0
2019-05-10,203444.0
2019-05-13,225732.0
2019-05-14,185096.0
2019-05-15,193889.0
2019-05-16,220069.0
2019-05-17,184082.0
2019-05-20,206766.0
2019-05-21,197818.0
2019-05-22,211709.0
2019-05-23,212889.0
2019-05-24,161576.0
2019-05-28,198921.0
2019-05-29,225060.0
2019-05-30,200576.0
2019-05-31,219218.0
2019-06-03,222894.0
2019-06-04,209387.0
2019-06-05,193999.0
2019-06-06,210984.0
2019-06-07,188974.0
2019-06-10,185255.0
2019-06-11,201724.0
2019-06-12,206806.0
2019-06-13,216928.0
2019-06-14,186346.0
2019-06-17,192549.0
2019-06-18,202006.0
2019-06-19,196687.0
2019-06-20,193373.0
