date,value
2015-03-31,54014.0
2015-04-01,53753.0
2015-04-02,54603.0
2015-04-06,60579.0
2015-04-07,60632.0
2015-04-08,56805.0
2015-04-09,59451.0
2015-04-10,62865.0
2015-04-13,55484.0
2015-04-14,56452.0
2015-04-15,64193.0
2015-04-16,54244.0
2015-04-17,48196.0
2015-04-20,57361.0
2015-04-21,52448.0
2015-04-22,62760.0
2015-04-23,61645.0
2015-04-24,73885.0
2015-04-27,64321.0
2015-04-28,56431.0
2015-04-29,56655.0
2015-04-30,59491.0
2015-05-01,57884.0
2015-05-04,55566.0
2015-05-05,66637.0
2015-05-06,62811.0
2015-05-07,54932.0
2015-05-08,58377.0
2015-05-11,56523.0
2015-05-12,58958.0
2015-05-13,67069.0
2015-05-14,62199.0
2015-05-15,50994.0
2015-05-18,53895.0
2015-05-19,57378.0
2015-05-20,65956.0
2015-05-21,61334.0
2015-05-22,77115.0
2015-05-26,49432.0
2015-05-27,58418.0
2015-05-28,59514.0
2015-05-29,57591.0
2015-06-01,61552.0
2015-06-02,54025.0
2015-06-03,75510.0
2015-06-04,66078.0
2015-06-05,62499.0
2015-06-08,52937.0
2015-06-09,57724.0
2015-06-10,63655.0
2015-06-11,59623.0
2015-06-12,59574.0
2015-06-15,58899.0
2015-06-16,61137.0
2015-06-17,52884.0
2015-06-18,55418.0
2015-06-19,67281.0
2015-06-22,64854.0
2015-06-23,52124.0
2015-06-24,61841.0
2015-06-25,68206.0
2015-06-26,55965.0
2015-06-29,69963.0
2015-06-30,61770.0
2015-07-01,61768.0
2015-07-02,71676.0
2015-07-06,73874.0
2015-07-07,62779.0
2015-07-08,66139.0
2015-07-09,65558.0
2015-07-10,66630.0
2015-07-13,62191.0
2015-07-14,63559.0
2015-07-15,59402.0
2015-07-16,62834.0
2015-07-17,64111.0
2015-07-20,53137.0
2015-07-21,71530.0
2015-07-22,59466.0
2015-07-23,62249.0
2015-07-24,60860.0
2015-07-27,55652.0
2015-07-28,68735.0
2015-07-29,62116.0
2015-07-30,62297.0
2015-07-31,56744.0
2015-08-03,65995.0
2015-08-04,57767.0
2015-08-05,64602.0
2015-08-06,78201.0
2015-08-07,53797.0
2015-08-10,81612.0
2015-08-11,63980.0
2015-08-12,76424.0
2015-08-13,69667.0
2015-08-14,76167.0
2015-08-17,68847.0
2015-08-18,79284.0
2015-08-19,67199.0
2015-08-20,55067.0
2015-08-21,71003.0
2015-08-24,64007.0
2015-08-25,77524.0
2015-08-26,74455.0
2015-08-27,64050.0
2015-08-28,65183.0
2015-08-31,83514.0
2015-09-01,58446.0
