date,value
2015-03-31,198573.0
2015-04-01,257467.0
2015-04-02,242207.0
2015-04-06,264296.0
2015-04-07,242769.0
2015-04-08,250715.0
2015-04-09,232688.0
2015-04-10,243864.0
2015-04-13,253656.0
2015-04-14,203899.0
2015-04-15,175001.0
2015-04-16,263862.0
2015-04-17,255867.0
2015-04-20,248298.0
2015-04-21,218169.0
2015-04-22,227809.0
2015-04-23,185522.0
2015-04-24,204431.0
2015-04-27,257479.0
2015-04-28,176583.0
2015-04-29,220538.0
2015-04-30,233524.0
2015-05-01,223770.0
2015-05-04,185997.0
2015-05-05,219988.0
2015-05-06,232124.0
2015-05-07,256275.0
2015-05-08,262622.0
2015-05-11,281402.0
2015-05-12,218065.0
2015-05-13,229268.0
2015-05-14,250202.0
2015-05-15,241420.0
2015-05-18,189453.0
2015-05-19,261370.0
2015-05-20,252723.0
2015-05-21,273710.0
2015-05-22,243159.0
2015-05-26,253940.0
2015-05-27,240219.0
2015-05-28,271234.0
2015-05-29,205547.0
2015-06-01,189491.0
2015-06-02,216799.0
2015-06-03,258877.0
2015-06-04,248131.0
2015-06-05,274649.0
2015-06-08,182747.0
2015-06-09,255398.0
2015-06-10,231767.0
2015-06-11,259451.0
2015-06-12,247204.0
2015-06-15,255849.0
2015-06-16,230554.0
2015-06-17,309798.0
2015-06-18,263435.0
2015-06-19,278496.0
2015-06-22,272827.0
2015-06-23,243171.0
2015-06-24,246036.0
2015-06-25,179448.0
2015-06-26,241638.0
2015-06-29,278547.0
2015-06-30,255738.0
2015-07-01,237779.0
2015-07-02,249402.0
2015-07-06,265336.0
2015-07-07,242128.0
2015-07-08,280135.0
2015-07-09,250040.0
2015-07-10,274099.0
2015-07-13,294281.0
2015-07-14,242851.0
2015-07-15,267033.0
2015-07-16,240070.0
2015-07-17,264810.0
2015-07-20,272999.0
2015-07-21,235202.0
2015-07-22,226979.0
2015-07-23,253937.0
2015-07-24,284507.0
2015-07-27,281256.0
2015-07-28,264585.0
2015-07-29,259279.0
2015-07-30,279109.0
2015-07-31,269760.0
2015-08-03,248745.0
2015-08-04,288027.0
2015-08-05,280894.0
2015-08-06,188379.0
2015-08-07,264054.0
2015-08-10,277327.0
2015-08-11,287705.0
2015-08-12,281308.0
2015-08-13,280115.0
2015-08-14,236265.0
2015-08-17,281599.0
2015-08-18,267850.0
2015-08-19,299140.0
2015-08-20,272808.0
2015-08-21,276851.0
2015-08-24,216956.0
2015-08-25,279410.0
2015-08-26,283837.0
2015-08-27,240555.0
2015-08-28,286623.0
2015-08-31,249163.0
2015-09-01,316715.0
2015-09-02,249143.0
2015-09-03,310229.0
2015-09-04,267326.0
2015-09-08,179884.0
2015-09-09,232060.0
2015-09-10,317237.0
2015-09-11,317032.0
2015-09-14,325580.0
2015-09-15,286020.0
2015-09-16,299923.0
2015-09-17,275542.0
2015-09-18,297083.0
2015-09-21,245653.0
2015-09-22,272886.0
2015-09-23,284903.0
2015-09-24,274187.0
2015-09-25,284221.0
2015-09-28,301061.0
2015-09-29,288036.0
2015-09-30,275260.0
2015-10-01,293352.0
2015-10-02,320613.0
2015-10-05,228820.0
2015-10-06,250488.0
2015-10-07,276210.0
2015-10-08,307172.0
2015-10-09,298180.0
2015-10-12,291540.0
2015-10-13,305193.0
2015-10-14,286711.0
2015-10-15,291245.0
2015-10-16,303149.0
2015-10-19,263314.0
2015-10-20,281480.0
2015-10-21,234871.0
2015-10-22,324296.0
2015-10-23,247295.0
2015-10-26,274231.0
2015-10-27,258786.0
2015-10-28,268989.0
2015-10-29,254715.0
2015-10-30,269277.0
2015-11-02,273043.0
2015-11-03,283749.0
2015-11-04,259336.0
2015-11-05,280117.0
2015-11-06,289438.0
2015-11-09,291509.0
2015-11-10,270548.0
2015-11-11,229927.0
2015-11-12,219732.0
2015-11-13,271895.0
2015-11-16,231890.0
2015-11-17,231612.0
2015-11-18,259866.0
2015-11-19,235709.0
2015-11-20,285538.0
2015-11-23,245724.0
2015-11-24,279279.0
2015-11-25,270008.0
2015-11-27,211081.0
2015-11-30,249432.0
2015-12-01,275290.0
2015-12-02,241009.0
2015-12-03,261347.0
2015-12-04,232233.0
2015-12-07,232781.0
2015-12-08,213417.0
2015-12-09,218968.0
2015-12-10,214037.0
2015-12-11,291610.0
2015-12-14,265788.0
2015-12-15,194795.0
2015-12-16,244131.0
2015-12-17,230300.0
2015-12-18,248913.0
2015-12-21,266152.0
2015-12-22,215651.0
2015-12-23,192358.0
2015-12-24,230778.0
2015-12-28,234282.0
2015-12-29,241183.0
2015-12-30,202068.0
2015-12-31,220222.0
2016-01-04,242838.0
2016-01-05,233098.0
2016-01-06,222197.0
2016-01-07,278119.0
2016-01-08,197965.0
2016-01-11,237948.0
2016-01-12,176841.0
2016-01-13,218077.0
2016-01-14,232872.0
2016-01-15,231785.0
2016-01-19,219122.0
2016-01-20,227788.0
2016-01-21,222124.0
2016-01-22,252494.0
2016-01-25,271985.0
2016-01-26,223842.0
2016-01-27,266107.0
2016-01-28,267153.0
2016-01-29,210597.0
2016-02-01,221290.0
2016-02-02,201887.0
2016-02-03,217561.0
2016-02-04,239993.0
2016-02-05,244967.0
2016-02-08,220922.0
2016-02-09,245816.0
2016-02-10,218535.0
2016-02-11,239047.0
2016-02-12,197941.0
2016-02-16,196165.0
2016-02-17,214425.0
2016-02-18,246709.0
2016-02-19,229929.0
2016-02-22,229072.0
2016-02-23,257986.0
2016-02-24,219221.0
2016-02-25,218639.0
2016-02-26,245687.0
2016-02-29,237613.0
2016-03-01,268442.0
2016-03-02,208668.0
2016-03-03,210742.0
2016-03-04,263762.0
2016-03-07,200977.0
2016-03-08,246451.0
2016-03-09,260592.0
2016-03-10,243488.0
2016-03-11,222223.0
2016-03-14,238195.0
2016-03-15,213751.0
2016-03-16,228137.0
2016-03-17,228856.0
2016-03-18,167715.0
2016-03-21,216132.0
2016-03-22,221871.0
2016-03-23,211534.0
2016-03-24,214814.0
2016-03-28,232079.0
2016-03-29,205809.0
2016-03-30,166965.0
2016-03-31,195321.0
2016-04-01,248554.0
2016-04-04,211367.0
2016-04-05,207261.0
2016-04-06,253011.0
2016-04-07,229045.0
2016-04-08,238100.0
2016-04-11,241956.0
2016-04-12,267379.0
2016-04-13,212604.0
2016-04-14,222207.0
2016-04-15,208619.0
2016-04-18,235916.0
2016-04-19,190652.0
2016-04-20,191097.0
2016-04-21,214845.0
2016-04-22,218825.0
2016-04-25,240148.0
2016-04-26,240195.0
2016-04-27,256724.0
2016-04-28,208335.0
2016-04-29,207263.0
2016-05-02,222487.0
2016-05-03,215001.0
2016-05-04,208196.0
2016-05-05,208410.0
2016-05-06,209721.0
2016-05-09,202808.0
2016-05-10,186287.0
2016-05-11,227591.0
2016-05-12,229077.0
2016-05-13,226800.0
2016-05-16,204563.0
2016-05-17,193056.0
2016-05-18,201712.0
2016-05-19,201411.0
2016-05-20,219200.0
2016-05-23,234185.0
2016-05-24,197889.0
2016-05-25,192880.0
2016-05-26,237228.0
2016-05-27,253985.0
2016-05-31,236334.0
2016-06-01,207485.0
2016-06-02,215306.0
2016-06-03,174333.0
