date,value
2015-03-31,8918.0
2015-04-01,9746.0
2015-04-02,8543.0
2015-04-06,9901.0
2015-04-07,10013.0
2015-04-08,8243.0
2015-04-09,8334.0
2015-04-10,6892.0
2015-04-13,8285.0
2015-04-14,10270.0
2015-04-15,8838.0
2015-04-16,9067.0
2015-04-17,9486.0
2015-04-20,9324.0
2015-04-21,8214.0
2015-04-22,9275.0
2015-04-23,9267.0
2015-04-24,10398.0
2015-04-27,9832.0
2015-04-28,9846.0
2015-04-29,11295.0
2015-04-30,7890.0
2015-05-01,8118.0
2015-05-04,8549.0
2015-05-05,10004.0
2015-05-06,9860.0
2015-05-07,7657.0
2015-05-08,8967.0
2015-05-11,8090.0
2015-05-12,10383.0
2015-05-13,9607.0
2015-05-14,8404.0
2015-05-15,9034.0
2015-05-18,8596.0
2015-05-19,9567.0
2015-05-20,8477.0
2015-05-21,8980.0
2015-05-22,8828.0
2015-05-26,8022.0
2015-05-27,8833.0
2015-05-28,8357.0
2015-05-29,10015.0
2015-06-01,8437.0
2015-06-02,7578.0
2015-06-03,8812.0
2015-06-04,9669.0
2015-06-05,10868.0
2015-06-08,9041.0
2015-06-09,9050.0
2015-06-10,9185.0
2015-06-11,8911.0
2015-06-12,8739.0
2015-06-15,8646.0
2015-06-16,8036.0
2015-06-17,9720.0
2015-06-18,9165.0
2015-06-19,8740.0
2015-06-22,10133.0
2015-06-23,8449.0
2015-06-24,8879.0
2015-06-25,8881.0
2015-06-26,8440.0
2015-06-29,10320.0
2015-06-30,9085.0
2015-07-01,9999.0
2015-07-02,10090.0
2015-07-06,7232.0
2015-07-07,8191.0
2015-07-08,8133.0
2015-07-09,10156.0
2015-07-10,8200.0
2015-07-13,8008.0
2015-07-14,8462.0
2015-07-15,8989.0
2015-07-16,8271.0
2015-07-17,9009.0
2015-07-20,8176.0
2015-07-21,9641.0
2015-07-22,7780.0
2015-07-23,9833.0
2015-07-24,8358.0
2015-07-27,8301.0
2015-07-28,10360.0
2015-07-29,7010.0
2015-07-30,8872.0
2015-07-31,8430.0
2015-08-03,8722.0
2015-08-04,8833.0
2015-08-05,7567.0
2015-08-06,8640.0
2015-08-07,9284.0
2015-08-10,8445.0
2015-08-11,8022.0
2015-08-12,9009.0
2015-08-13,8206.0
2015-08-14,10153.0
2015-08-17,8287.0
2015-08-18,8320.0
2015-08-19,8509.0
2015-08-20,9595.0
2015-08-21,8614.0
2015-08-24,8514.0
2015-08-25,8834.0
2015-08-26,9059.0
2015-08-27,7528.0
2015-08-28,9942.0
2015-08-31,10222.0
2015-09-01,9797.0
2015-09-02,8442.0
2015-09-03,9770.0
2015-09-04,8672.0
2015-09-08,9403.0
2015-09-09,7840.0
2015-09-10,9147.0
2015-09-11,8743.0
2015-09-14,9642.0
2015-09-15,7827.0
2015-09-16,8484.0
2015-09-17,9245.0
2015-09-18,9267.0
2015-09-21,9700.0
2015-09-22,10335.0
2015-09-23,10076.0
2015-09-24,10096.0
