date,value
2015-03-31,228701.0
2015-04-01,183787.0
2015-04-02,242387.0
2015-04-06,225303.0
2015-04-07,215116.0
2015-04-08,176077.0
2015-04-09,223677.0
2015-04-10,248032.0
2015-04-13,197970.0
2015-04-14,236712.0
2015-04-15,292329.0
2015-04-16,227203.0
2015-04-17,210129.0
2015-04-20,223026.0
2015-04-21,227714.0
2015-04-22,278673.0
2015-04-23,211206.0
2015-04-24,221972.0
2015-04-27,240174.0
2015-04-28,230811.0
2015-04-29,231184.0
2015-04-30,210011.0
2015-05-01,217144.0
2015-05-04,208857.0
2015-05-05,238864.0
2015-05-06,262976.0
2015-05-07,266133.0
2015-05-08,212104.0
2015-05-11,238189.0
2015-05-12,247904.0
2015-05-13,264534.0
2015-05-14,246951.0
2015-05-15,258118.0
2015-05-18,222898.0
2015-05-19,213163.0
2015-05-20,227009.0
2015-05-21,253560.0
2015-05-22,228118.0
2015-05-26,257793.0
2015-05-27,222960.0
2015-05-28,213330.0
2015-05-29,236447.0
2015-06-01,229807.0
2015-06-02,248399.0
2015-06-03,247656.0
2015-06-04,243365.0
2015-06-05,269521.0
2015-06-08,257800.0
2015-06-09,274149.0
2015-06-10,219511.0
2015-06-11,277290.0
2015-06-12,250628.0
2015-06-15,228057.0
2015-06-16,257556.0
2015-06-17,254300.0
2015-06-18,216206.0
2015-06-19,266165.0
2015-06-22,268369.0
2015-06-23,229516.0
2015-06-24,231103.0
2015-06-25,255362.0
2015-06-26,224755.0
2015-06-29,247653.0
2015-06-30,231143.0
2015-07-01,302680.0
2015-07-02,200926.0
2015-07-06,249146.0
2015-07-07,242965.0
2015-07-08,250245.0
2015-07-09,242457.0
2015-07-10,248922.0
2015-07-13,259907.0
2015-07-14,244714.0
2015-07-15,251265.0
2015-07-16,203599.0
2015-07-17,217457.0
2015-07-20,261087.0
2015-07-21,248520.0
2015-07-22,202029.0
2015-07-23,272718.0
2015-07-24,259387.0
2015-07-27,280421.0
2015-07-28,260411.0
2015-07-29,260179.0
2015-07-30,247609.0
2015-07-31,268544.0
2015-08-03,223106.0
2015-08-04,253661.0
2015-08-05,272621.0
2015-08-06,286579.0
2015-08-07,249466.0
2015-08-10,214180.0
2015-08-11,275590.0
2015-08-12,224759.0
2015-08-13,219750.0
2015-08-14,218296.0
2015-08-17,248605.0
2015-08-18,259185.0
2015-08-19,248539.0
2015-08-20,270694.0
2015-08-21,207427.0
2015-08-24,248237.0
2015-08-25,253235.0
2015-08-26,263770.0
2015-08-27,248339.0
2015-08-28,264386.0
2015-08-31,253610.0
2015-09-01,235730.0
2015-09-02,235097.0
2015-09-03,264210.0
2015-09-04,230466.0
2015-09-08,221703.0
2015-09-09,234920.0
2015-09-10,255815.0
2015-09-11,281098.0
2015-09-14,268084.0
2015-09-15,254159.0
2015-09-16,210746.0
2015-09-17,216865.0
2015-09-18,200002.0
2015-09-21,252137.0
2015-09-22,217489.0
2015-09-23,216414.0
2015-09-24,206177.0
2015-09-25,224353.0
2015-09-28,239537.0
2015-09-29,238743.0
2015-09-30,258981.0
2015-10-01,238464.0
2015-10-02,273035.0
2015-10-05,245400.0
2015-10-06,262332.0
2015-10-07,267795.0
2015-10-08,243770.0
2015-10-09,260169.0
2015-10-12,237318.0
2015-10-13,217216.0
2015-10-14,205696.0
2015-10-15,222828.0
2015-10-16,279549.0
2015-10-19,215481.0
2015-10-20,247613.0
2015-10-21,237816.0
2015-10-22,264183.0
2015-10-23,256910.0
2015-10-26,277066.0
2015-10-27,216416.0
2015-10-28,241027.0
2015-10-29,266284.0
2015-10-30,245809.0
2015-11-02,251462.0
2015-11-03,249470.0
2015-11-04,265214.0
2015-11-05,222816.0
2015-11-06,247185.0
2015-11-09,235645.0
2015-11-10,238333.0
2015-11-11,242231.0
2015-11-12,276708.0
2015-11-13,255716.0
2015-11-16,222716.0
2015-11-17,248893.0
2015-11-18,237975.0
2015-11-19,184178.0
2015-11-20,254335.0
2015-11-23,257894.0
2015-11-24,279069.0
2015-11-25,246467.0
2015-11-27,242206.0
2015-11-30,216995.0
2015-12-01,245946.0
2015-12-02,260346.0
2015-12-03,244393.0
2015-12-04,281558.0
2015-12-07,297092.0
2015-12-08,208815.0
2015-12-09,252717.0
2015-12-10,289983.0
2015-12-11,219182.0
2015-12-14,267228.0
2015-12-15,245809.0
2015-12-16,218961.0
2015-12-17,221071.0
2015-12-18,343579.0
2015-12-21,284084.0
2015-12-22,272118.0
2015-12-23,254908.0
2015-12-24,279141.0
2015-12-28,234192.0
2015-12-29,232162.0
2015-12-30,257619.0
2015-12-31,296729.0
2016-01-04,260023.0
2016-01-05,295627.0
2016-01-06,250573.0
2016-01-07,262747.0
2016-01-08,249577.0
2016-01-11,297698.0
2016-01-12,316700.0
2016-01-13,262470.0
2016-01-14,286689.0
2016-01-15,274199.0
2016-01-19,272284.0
2016-01-20,233957.0
2016-01-21,266396.0
2016-01-22,229965.0
2016-01-25,285031.0
2016-01-26,243661.0
2016-01-27,263789.0
2016-01-28,254852.0
2016-01-29,256796.0
2016-02-01,269495.0
2016-02-02,284874.0
2016-02-03,254967.0
2016-02-04,293509.0
2016-02-05,266745.0
2016-02-08,268599.0
2016-02-09,273567.0
2016-02-10,228502.0
2016-02-11,245626.0
2016-02-12,305798.0
2016-02-16,283790.0
2016-02-17,167080.0
2016-02-18,248423.0
2016-02-19,256388.0
2016-02-22,228595.0
2016-02-23,241672.0
2016-02-24,243917.0
2016-02-25,236970.0
2016-02-26,240637.0
2016-02-29,275975.0
2016-03-01,267947.0
2016-03-02,254290.0
2016-03-03,268711.0
2016-03-04,241323.0
2016-03-07,228922.0
2016-03-08,234218.0
2016-03-09,287741.0
2016-03-10,229580.0
2016-03-11,255259.0
2016-03-14,268597.0
2016-03-15,239346.0
2016-03-16,271765.0
2016-03-17,294226.0
2016-03-18,282883.0
2016-03-21,212891.0
2016-03-22,305210.0
2016-03-23,245973.0
2016-03-24,275979.0
2016-03-28,245792.0
2016-03-29,252964.0
2016-03-30,232553.0
2016-03-31,254970.0
2016-04-01,282276.0
2016-04-04,244040.0
2016-04-05,218693.0
2016-04-06,292077.0
2016-04-07,244827.0
2016-04-08,245344.0
2016-04-11,248215.0
2016-04-12,292332.0
2016-04-13,242403.0
2016-04-14,278653.0
2016-04-15,251202.0
2016-04-18,276241.0
2016-04-19,202846.0
2016-04-20,217239.0
2016-04-21,272411.0
2016-04-22,256734.0
2016-04-25,243175.0
2016-04-26,258885.0
2016-04-27,247309.0
2016-04-28,276779.0
2016-04-29,262065.0
2016-05-02,237095.0
2016-05-03,275344.0
2016-05-04,245709.0
2016-05-05,233901.0
2016-05-06,244865.0
2016-05-09,265240.0
2016-05-10,275143.0
2016-05-11,243991.0
2016-05-12,267991.0
2016-05-13,289025.0
2016-05-16,248528.0
2016-05-17,238405.0
2016-05-18,275444.0
2016-05-19,224931.0
2016-05-20,260407.0
2016-05-23,221863.0
2016-05-24,268411.0
2016-05-25,248485.0
2016-05-26,291851.0
2016-05-27,260516.0
2016-05-31,273070.0
2016-06-01,256039.0
2016-06-02,254209.0
2016-06-03,260577.0
2016-06-06,243095.0
2016-06-07,287850.0
2016-06-08,233249.0
2016-06-09,233786.0
2016-06-10,290493.0
2016-06-13,235228.0
2016-06-14,279902.0
2016-06-15,231632.0
2016-06-16,241931.0
2016-06-17,255056.0
2016-06-20,294914.0
2016-06-21,270612.0
2016-06-22,270600.0
2016-06-23,266248.0
2016-06-24,261341.0
2016-06-27,277068.0
2016-06-28,248820.0
2016-06-29,273609.0
2016-06-30,249072.0
2016-07-01,273245.0
2016-07-05,274968.0
2016-07-06,260350.0
2016-07-07,236891.0
2016-07-08,297182.0
2016-07-11,267481.0
2016-07-12,278798.0
2016-07-13,270620.0
2016-07-14,224913.0
2016-07-15,285674.0
2016-07-18,274780.0
2016-07-19,216556.0
2016-07-20,288283.0
2016-07-21,248983.0
2016-07-22,258897.0
2016-07-25,288854.0
2016-07-26,267516.0
2016-07-27,235564.0
2016-07-28,250027.0
2016-07-29,246335.0
2016-08-01,225162.0
2016-08-02,263482.0
2016-08-03,288901.0
2016-08-04,289020.0
2016-08-05,203601.0
2016-08-08,253113.0
2016-08-09,219514.0
2016-08-10,254061.0
2016-08-11,262375.0
2016-08-12,240942.0
2016-08-15,276924.0
2016-08-16,254008.0
2016-08-17,253203.0
2016-08-18,245161.0
2016-08-19,294304.0
2016-08-22,294079.0
2016-08-23,266762.0
2016-08-24,340830.0
2016-08-25,272639.0
2016-08-26,257436.0
2016-08-29,211091.0
2016-08-30,299208.0
2016-08-31,266108.0
2016-09-01,262194.0
2016-09-02,234658.0
2016-09-06,254038.0
2016-09-07,239806.0
2016-09-08,258562.0
2016-09-09,237478.0
2016-09-12,228898.0
2016-09-13,258052.0
2016-09-14,283473.0
2016-09-15,251128.0
2016-09-16,244342.0
2016-09-19,305962.0
2016-09-20,290614.0
2016-09-21,303758.0
2016-09-22,254276.0
2016-09-23,256909.0
2016-09-26,255179.0
2016-09-27,259565.0
2016-09-28,264135.0
2016-09-29,242347.0
2016-09-30,238228.0
2016-10-03,255471.0
2016-10-04,272381.0
2016-10-05,248378.0
2016-10-06,212124.0
2016-10-07,260392.0
2016-10-10,237884.0
2016-10-11,284417.0
2016-10-12,264149.0
2016-10-13,253818.0
2016-10-14,242977.0
2016-10-17,265158.0
2016-10-18,241486.0
2016-10-19,264999.0
2016-10-20,255605.0
2016-10-21,267011.0
2016-10-24,316690.0
2016-10-25,236147.0
2016-10-26,213721.0
2016-10-27,255733.0
2016-10-28,298957.0
2016-10-31,280025.0
2016-11-01,280714.0
2016-11-02,283853.0
2016-11-03,268465.0
2016-11-04,307687.0
2016-11-07,316671.0
2016-11-08,236918.0
2016-11-09,257327.0
2016-11-10,300056.0
2016-11-11,256274.0
2016-11-14,310638.0
2016-11-15,290417.0
2016-11-16,264280.0
2016-11-17,282701.0
2016-11-18,281080.0
2016-11-21,314960.0
2016-11-22,261737.0
2016-11-23,272056.0
2016-11-25,304903.0
2016-11-28,250147.0
2016-11-29,292737.0
2016-11-30,242367.0
2016-12-01,286739.0
2016-12-02,282137.0
2016-12-05,292760.0
2016-12-06,250234.0
2016-12-07,218642.0
2016-12-08,320287.0
2016-12-09,268690.0
2016-12-12,309137.0
2016-12-13,248453.0
2016-12-14,198712.0
2016-12-15,282538.0
2016-12-16,279058.0
2016-12-19,278358.0
2016-12-20,278122.0
2016-12-21,255023.0
2016-12-22,274288.0
2016-12-23,255012.0
2016-12-27,297276.0
2016-12-28,282479.0
2016-12-29,229894.0
2016-12-30,265831.0
2017-01-03,245615.0
2017-01-04,299610.0
2017-01-05,232233.0
2017-01-06,279359.0
2017-01-09,268022.0
2017-01-10,269409.0
2017-01-11,279643.0
2017-01-12,227551.0
2017-01-13,245974.0
2017-01-17,246057.0
2017-01-18,241855.0
2017-01-19,276013.0
2017-01-20,296011.0
2017-01-23,225594.0
2017-01-24,240279.0
2017-01-25,272813.0
2017-01-26,283143.0
2017-01-27,284668.0
2017-01-30,306052.0
2017-01-31,272163.0
2017-02-01,333176.0
2017-02-02,281521.0
2017-02-03,266576.0
2017-02-06,317090.0
2017-02-07,243473.0
2017-02-08,242679.0
2017-02-09,278102.0
2017-02-10,285058.0
2017-02-13,267958.0
2017-02-14,301872.0
2017-02-15,278468.0
2017-02-16,266383.0
2017-02-17,250819.0
2017-02-21,299850.0
2017-02-22,240341.0
2017-02-23,284220.0
2017-02-24,269619.0
2017-02-27,303063.0
2017-02-28,272630.0
2017-03-01,310370.0
2017-03-02,287984.0
2017-03-03,325151.0
2017-03-06,248397.0
2017-03-07,334288.0
2017-03-08,262035.0
2017-03-09,280831.0
2017-03-10,235183.0
2017-03-13,302480.0
2017-03-14,306837.0
2017-03-15,223847.0
2017-03-16,300872.0
2017-03-17,254389.0
2017-03-20,243622.0
2017-03-21,298410.0
2017-03-22,230178.0
2017-03-23,248648.0
2017-03-24,293845.0
2017-03-27,250453.0
2017-03-28,294529.0
2017-03-29,285317.0
2017-03-30,304509.0
2017-03-31,263144.0
2017-04-03,282569.0
2017-04-04,250790.0
2017-04-05,228519.0
2017-04-06,316303.0
2017-04-07,342510.0
2017-04-10,250817.0
2017-04-11,246104.0
2017-04-12,307893.0
2017-04-13,313973.0
2017-04-17,242506.0
2017-04-18,254667.0
2017-04-19,298942.0
2017-04-20,314027.0
2017-04-21,319206.0
2017-04-24,266812.0
2017-04-25,278409.0
2017-04-26,225106.0
2017-04-27,262257.0
2017-04-28,298551.0
2017-05-01,225631.0
2017-05-02,270302.0
2017-05-03,243915.0
2017-05-04,258801.0
2017-05-05,298295.0
2017-05-08,261764.0
2017-05-09,289480.0
2017-05-10,288055.0
2017-05-11,277572.0
2017-05-12,209523.0
2017-05-15,267235.0
2017-05-16,284358.0
2017-05-17,287993.0
2017-05-18,280843.0
2017-05-19,337309.0
2017-05-22,299313.0
2017-05-23,288294.0
2017-05-24,269934.0
2017-05-25,251262.0
2017-05-26,275755.0
2017-05-30,293845.0
2017-05-31,303976.0
2017-06-01,365467.0
2017-06-02,259326.0
2017-06-05,311502.0
2017-06-06,264050.0
2017-06-07,307128.0
2017-06-08,268294.0
2017-06-09,254564.0
2017-06-12,243175.0
2017-06-13,353382.0
2017-06-14,335927.0
2017-06-15,296266.0
2017-06-16,247116.0
2017-06-19,243273.0
2017-06-20,303465.0
2017-06-21,271280.0
2017-06-22,300550.0
2017-06-23,282412.0
2017-06-26,280654.0
2017-06-27,239388.0
2017-06-28,267633.0
2017-06-29,253492.0
2017-06-30,296866.0
2017-07-03,272576.0
2017-07-05,274212.0
2017-07-06,279723.0
2017-07-07,238925.0
2017-07-10,336631.0
2017-07-11,271208.0
2017-07-12,316268.0
2017-07-13,329951.0
2017-07-14,327184.0
2017-07-17,287335.0
2017-07-18,297236.0
2017-07-19,281089.0
2017-07-20,326634.0
2017-07-21,330567.0
2017-07-24,318473.0
2017-07-25,288505.0
2017-07-26,248985.0
2017-07-27,322640.0
2017-07-28,297895.0
2017-07-31,318842.0
2017-08-01,336671.0
2017-08-02,253561.0
2017-08-03,306784.0
2017-08-04,270349.0
2017-08-07,293579.0
2017-08-08,252053.0
2017-08-09,311132.0
2017-08-10,297101.0
2017-08-11,297990.0
2017-08-14,320557.0
2017-08-15,280842.0
2017-08-16,279431.0
2017-08-17,287664.0
2017-08-18,315645.0
2017-08-21,282194.0
2017-08-22,297579.0
2017-08-23,297811.0
2017-08-24,336298.0
2017-08-25,290546.0
2017-08-28,254121.0
2017-08-29,259852.0
2017-08-30,281832.0
2017-08-31,322787.0
2017-09-01,300700.0
2017-09-05,285541.0
2017-09-06,280234.0
2017-09-07,267795.0
2017-09-08,274639.0
2017-09-11,227884.0
2017-09-12,280195.0
2017-09-13,283593.0
2017-09-14,332866.0
2017-09-15,316937.0
2017-09-18,343367.0
2017-09-19,295985.0
2017-09-20,383907.0
2017-09-21,243698.0
2017-09-22,303537.0
2017-09-25,303507.0
2017-09-26,246564.0
2017-09-27,257415.0
2017-09-28,253431.0
2017-09-29,310788.0
2017-10-02,274394.0
2017-10-03,279378.0
2017-10-04,272789.0
2017-10-05,248095.0
2017-10-06,288755.0
2017-10-09,286043.0
2017-10-10,310125.0
2017-10-11,275212.0
2017-10-12,307367.0
2017-10-13,255270.0
2017-10-16,293066.0
2017-10-17,318872.0
2017-10-18,316614.0
2017-10-19,321598.0
2017-10-20,342227.0
2017-10-23,365962.0
2017-10-24,363378.0
2017-10-25,358181.0
2017-10-26,287984.0
2017-10-27,309960.0
2017-10-30,322015.0
2017-10-31,264253.0
2017-11-01,265740.0
2017-11-02,299323.0
2017-11-03,341247.0
2017-11-06,302024.0
2017-11-07,318210.0
2017-11-08,346329.0
2017-11-09,289640.0
2017-11-10,325189.0
2017-11-13,292175.0
2017-11-14,312280.0
2017-11-15,359607.0
