date,value
2015-03-31,51180.0
2015-04-01,54812.0
2015-04-02,56690.0
2015-04-06,62658.0
2015-04-07,44705.0
2015-04-08,60422.0
2015-04-09,50507.0
2015-04-10,55175.0
2015-04-13,47553.0
2015-04-14,57148.0
2015-04-15,50707.0
2015-04-16,54226.0
2015-04-17,58060.0
2015-04-20,63610.0
2015-04-21,46277.0
2015-04-22,60635.0
2015-04-23,54455.0
2015-04-24,54303.0
2015-04-27,49982.0
2015-04-28,52611.0
2015-04-29,57796.0
2015-04-30,60369.0
2015-05-01,46236.0
2015-05-04,58671.0
2015-05-05,48027.0
2015-05-06,42707.0
2015-05-07,60372.0
2015-05-08,55567.0
2015-05-11,49130.0
2015-05-12,49350.0
2015-05-13,51990.0
2015-05-14,46280.0
2015-05-15,57606.0
2015-05-18,38884.0
2015-05-19,58218.0
2015-05-20,51881.0
2015-05-21,61017.0
2015-05-22,46896.0
2015-05-26,48476.0
2015-05-27,52953.0
2015-05-28,61106.0
2015-05-29,52776.0
2015-06-01,56629.0
2015-06-02,55241.0
2015-06-03,54805.0
2015-06-04,57390.0
2015-06-05,58405.0
2015-06-08,46396.0
2015-06-09,50474.0
2015-06-10,52353.0
2015-06-11,49842.0
2015-06-12,56690.0
2015-06-15,59535.0
2015-06-16,44891.0
2015-06-17,51729.0
2015-06-18,57109.0
2015-06-19,54850.0
2015-06-22,51038.0
2015-06-23,58425.0
2015-06-24,59297.0
2015-06-25,61385.0
2015-06-26,51891.0
2015-06-29,51456.0
2015-06-30,55390.0
2015-07-01,54905.0
2015-07-02,58720.0
2015-07-06,53159.0
2015-07-07,57763.0
2015-07-08,56928.0
2015-07-09,58337.0
2015-07-10,51655.0
2015-07-13,54685.0
2015-07-14,52769.0
2015-07-15,64914.0
2015-07-16,59806.0
2015-07-17,60446.0
2015-07-20,57793.0
2015-07-21,53572.0
2015-07-22,51888.0
2015-07-23,53633.0
2015-07-24,56893.0
2015-07-27,68302.0
2015-07-28,55885.0
2015-07-29,55284.0
2015-07-30,54893.0
2015-07-31,43163.0
2015-08-03,66537.0
2015-08-04,52871.0
2015-08-05,58754.0
2015-08-06,44656.0
2015-08-07,55014.0
2015-08-10,50537.0
2015-08-11,47658.0
2015-08-12,55499.0
2015-08-13,57834.0
2015-08-14,55638.0
2015-08-17,59634.0
2015-08-18,46104.0
2015-08-19,63266.0
2015-08-20,59081.0
2015-08-21,59366.0
2015-08-24,47805.0
2015-08-25,56510.0
2015-08-26,55790.0
2015-08-27,60296.0
2015-08-28,48768.0
2015-08-31,55425.0
2015-09-01,55426.0
2015-09-02,52690.0
2015-09-03,61613.0
2015-09-04,52459.0
2015-09-08,52997.0
2015-09-09,57412.0
2015-09-10,59005.0
2015-09-11,43080.0
2015-09-14,47920.0
2015-09-15,46583.0
2015-09-16,56488.0
2015-09-17,51385.0
2015-09-18,60049.0
2015-09-21,56749.0
2015-09-22,61924.0
2015-09-23,63197.0
2015-09-24,55192.0
2015-09-25,53992.0
2015-09-28,54035.0
2015-09-29,49993.0
2015-09-30,55195.0
2015-10-01,54442.0
2015-10-02,57551.0
2015-10-05,55568.0
2015-10-06,55106.0
2015-10-07,48067.0
2015-10-08,52518.0
2015-10-09,56544.0
2015-10-12,63620.0
2015-10-13,49066.0
2015-10-14,49531.0
2015-10-15,60615.0
2015-10-16,58869.0
2015-10-19,46743.0
2015-10-20,57127.0
2015-10-21,54080.0
2015-10-22,50170.0
2015-10-23,52408.0
2015-10-26,51101.0
2015-10-27,59859.0
2015-10-28,47518.0
2015-10-29,57769.0
2015-10-30,53759.0
2015-11-02,48683.0
2015-11-03,47970.0
2015-11-04,54672.0
2015-11-05,59860.0
2015-11-06,54390.0
2015-11-09,57528.0
2015-11-10,60909.0
2015-11-11,52266.0
2015-11-12,52462.0
2015-11-13,44060.0
2015-11-16,56207.0
2015-11-17,54277.0
2015-11-18,55366.0
2015-11-19,50545.0
2015-11-20,54670.0
2015-11-23,56008.0
2015-11-24,63938.0
2015-11-25,50582.0
2015-11-27,62499.0
2015-11-30,52963.0
2015-12-01,56180.0
2015-12-02,54992.0
2015-12-03,61121.0
2015-12-04,64583.0
2015-12-07,51873.0
2015-12-08,55728.0
2015-12-09,45039.0
2015-12-10,52695.0
2015-12-11,62094.0
2015-12-14,48754.0
2015-12-15,53337.0
2015-12-16,52039.0
2015-12-17,44926.0
2015-12-18,58283.0
2015-12-21,64818.0
2015-12-22,52832.0
2015-12-23,54666.0
2015-12-24,54321.0
2015-12-28,53689.0
2015-12-29,47480.0
2015-12-30,60176.0
2015-12-31,59902.0
2016-01-04,56700.0
2016-01-05,62396.0
2016-01-06,55288.0
2016-01-07,57414.0
2016-01-08,57857.0
2016-01-11,52882.0
2016-01-12,61366.0
2016-01-13,52405.0
2016-01-14,57807.0
2016-01-15,48588.0
2016-01-19,43332.0
2016-01-20,62579.0
2016-01-21,53321.0
2016-01-22,50377.0
2016-01-25,54426.0
2016-01-26,63538.0
2016-01-27,45870.0
2016-01-28,49779.0
2016-01-29,55526.0
2016-02-01,46900.0
2016-02-02,57707.0
2016-02-03,64349.0
2016-02-04,51449.0
2016-02-05,46535.0
2016-02-08,54321.0
2016-02-09,54384.0
2016-02-10,64802.0
2016-02-11,46322.0
2016-02-12,58137.0
2016-02-16,59477.0
2016-02-17,49066.0
2016-02-18,47407.0
2016-02-19,52427.0
2016-02-22,53473.0
2016-02-23,52400.0
2016-02-24,56423.0
2016-02-25,50273.0
2016-02-26,54267.0
2016-02-29,69229.0
2016-03-01,44758.0
2016-03-02,45240.0
2016-03-03,59862.0
2016-03-04,56518.0
2016-03-07,50462.0
2016-03-08,54696.0
2016-03-09,57705.0
2016-03-10,57924.0
2016-03-11,59775.0
2016-03-14,60896.0
2016-03-15,57977.0
2016-03-16,49036.0
2016-03-17,49280.0
2016-03-18,57576.0
2016-03-21,49722.0
2016-03-22,49920.0
2016-03-23,58484.0
2016-03-24,40658.0
2016-03-28,56533.0
2016-03-29,45654.0
2016-03-30,41860.0
2016-03-31,54818.0
2016-04-01,39064.0
2016-04-04,52659.0
2016-04-05,48028.0
2016-04-06,46653.0
2016-04-07,49495.0
2016-04-08,45761.0
2016-04-11,60459.0
2016-04-12,61087.0
2016-04-13,57938.0
2016-04-14,60076.0
2016-04-15,52264.0
2016-04-18,44069.0
2016-04-19,53567.0
2016-04-20,43310.0
2016-04-21,50915.0
2016-04-22,45953.0
2016-04-25,55147.0
2016-04-26,53513.0
2016-04-27,55960.0
2016-04-28,60404.0
2016-04-29,47470.0
2016-05-02,58872.0
2016-05-03,51189.0
2016-05-04,49724.0
2016-05-05,58158.0
2016-05-06,48988.0
2016-05-09,44964.0
2016-05-10,49577.0
2016-05-11,45441.0
2016-05-12,48863.0
2016-05-13,57147.0
2016-05-16,50331.0
2016-05-17,57892.0
2016-05-18,62817.0
2016-05-19,53568.0
2016-05-20,47428.0
2016-05-23,55523.0
2016-05-24,51406.0
2016-05-25,56233.0
2016-05-26,55115.0
2016-05-27,42415.0
2016-05-31,41985.0
2016-06-01,61343.0
2016-06-02,55451.0
2016-06-03,54007.0
2016-06-06,58902.0
2016-06-07,53426.0
2016-06-08,47843.0
2016-06-09,49107.0
2016-06-10,46500.0
2016-06-13,61739.0
2016-06-14,40554.0
2016-06-15,57195.0
2016-06-16,55293.0
2016-06-17,51064.0
2016-06-20,49670.0
2016-06-21,52344.0
2016-06-22,51929.0
2016-06-23,52087.0
2016-06-24,62738.0
2016-06-27,46524.0
2016-06-28,54839.0
2016-06-29,52050.0
2016-06-30,53002.0
2016-07-01,50990.0
2016-07-05,54914.0
2016-07-06,55952.0
2016-07-07,52234.0
2016-07-08,49254.0
2016-07-11,53943.0
2016-07-12,56069.0
2016-07-13,56384.0
2016-07-14,62671.0
2016-07-15,62982.0
2016-07-18,51657.0
2016-07-19,52527.0
2016-07-20,57980.0
2016-07-21,65905.0
2016-07-22,52923.0
2016-07-25,56808.0
2016-07-26,45816.0
2016-07-27,51109.0
2016-07-28,48113.0
2016-07-29,47331.0
2016-08-01,54747.0
2016-08-02,54941.0
2016-08-03,60662.0
2016-08-04,55530.0
2016-08-05,57058.0
2016-08-08,47779.0
2016-08-09,51590.0
2016-08-10,55977.0
2016-08-11,60053.0
2016-08-12,53103.0
2016-08-15,54571.0
2016-08-16,42601.0
2016-08-17,61044.0
2016-08-18,54552.0
2016-08-19,43640.0
2016-08-22,57353.0
2016-08-23,55136.0
2016-08-24,52182.0
2016-08-25,49141.0
2016-08-26,57047.0
2016-08-29,56192.0
2016-08-30,44899.0
2016-08-31,42510.0
2016-09-01,42701.0
2016-09-02,57477.0
2016-09-06,52423.0
2016-09-07,47320.0
2016-09-08,45218.0
2016-09-09,59898.0
2016-09-12,52399.0
2016-09-13,55921.0
2016-09-14,45837.0
2016-09-15,52905.0
2016-09-16,44478.0
2016-09-19,52661.0
2016-09-20,53356.0
2016-09-21,57276.0
2016-09-22,49234.0
2016-09-23,43673.0
2016-09-26,46778.0
2016-09-27,47524.0
2016-09-28,45028.0
2016-09-29,53877.0
2016-09-30,44391.0
2016-10-03,43120.0
2016-10-04,52649.0
2016-10-05,49655.0
2016-10-06,60574.0
2016-10-07,54772.0
2016-10-10,52844.0
2016-10-11,51915.0
2016-10-12,48528.0
2016-10-13,44785.0
2016-10-14,51801.0
2016-10-17,44659.0
2016-10-18,47918.0
2016-10-19,47791.0
2016-10-20,50437.0
2016-10-21,57735.0
2016-10-24,55520.0
2016-10-25,51973.0
2016-10-26,53953.0
2016-10-27,55347.0
2016-10-28,53844.0
2016-10-31,56981.0
2016-11-01,53246.0
2016-11-02,55516.0
2016-11-03,51648.0
2016-11-04,54925.0
2016-11-07,43096.0
2016-11-08,46463.0
2016-11-09,55743.0
2016-11-10,49070.0
2016-11-11,62005.0
2016-11-14,54572.0
2016-11-15,47485.0
2016-11-16,52304.0
2016-11-17,61068.0
2016-11-18,63300.0
2016-11-21,49166.0
2016-11-22,55839.0
2016-11-23,56010.0
2016-11-25,46859.0
2016-11-28,49637.0
2016-11-29,55655.0
2016-11-30,51483.0
2016-12-01,50377.0
2016-12-02,48279.0
2016-12-05,54527.0
2016-12-06,58101.0
2016-12-07,61237.0
2016-12-08,53370.0
2016-12-09,60037.0
2016-12-12,58854.0
2016-12-13,56492.0
2016-12-14,53546.0
2016-12-15,59117.0
2016-12-16,56667.0
2016-12-19,54323.0
2016-12-20,46299.0
2016-12-21,59380.0
2016-12-22,50880.0
2016-12-23,56691.0
2016-12-27,57953.0
2016-12-28,47973.0
2016-12-29,62003.0
2016-12-30,44931.0
2017-01-03,59850.0
2017-01-04,50812.0
2017-01-05,60330.0
2017-01-06,52264.0
2017-01-09,57803.0
2017-01-10,50518.0
2017-01-11,49945.0
2017-01-12,48725.0
2017-01-13,65963.0
2017-01-17,47938.0
2017-01-18,53017.0
2017-01-19,51441.0
2017-01-20,61269.0
2017-01-23,53510.0
2017-01-24,54642.0
2017-01-25,59809.0
2017-01-26,53885.0
2017-01-27,43389.0
2017-01-30,54930.0
2017-01-31,52276.0
2017-02-01,59318.0
2017-02-02,45170.0
2017-02-03,57231.0
2017-02-06,56538.0
2017-02-07,57536.0
2017-02-08,52971.0
2017-02-09,64391.0
2017-02-10,44477.0
2017-02-13,50441.0
2017-02-14,48270.0
2017-02-15,49809.0
2017-02-16,60618.0
2017-02-17,50993.0
2017-02-21,49867.0
2017-02-22,47492.0
2017-02-23,57074.0
2017-02-24,62665.0
2017-02-27,42399.0
2017-02-28,64979.0
2017-03-01,44453.0
2017-03-02,59228.0
2017-03-03,53446.0
2017-03-06,60640.0
2017-03-07,49121.0
2017-03-08,62943.0
2017-03-09,62238.0
2017-03-10,63881.0
2017-03-13,50167.0
2017-03-14,61637.0
2017-03-15,52101.0
2017-03-16,48037.0
2017-03-17,54328.0
2017-03-20,52656.0
2017-03-21,50967.0
2017-03-22,50578.0
2017-03-23,55706.0
2017-03-24,61421.0
2017-03-27,55329.0
2017-03-28,46298.0
2017-03-29,57683.0
2017-03-30,50686.0
2017-03-31,52839.0
2017-04-03,67332.0
2017-04-04,61225.0
2017-04-05,56093.0
2017-04-06,63015.0
2017-04-07,56851.0
2017-04-10,60579.0
2017-04-11,63731.0
2017-04-12,52098.0
2017-04-13,46393.0
2017-04-17,49984.0
2017-04-18,56723.0
2017-04-19,51652.0
2017-04-20,50435.0
2017-04-21,61134.0
2017-04-24,65753.0
2017-04-25,56598.0
2017-04-26,44031.0
2017-04-27,56122.0
2017-04-28,63878.0
2017-05-01,52464.0
2017-05-02,65250.0
2017-05-03,65605.0
2017-05-04,56973.0
2017-05-05,59106.0
2017-05-08,62953.0
2017-05-09,53720.0
2017-05-10,60859.0
2017-05-11,52176.0
2017-05-12,54145.0
2017-05-15,53373.0
2017-05-16,65686.0
2017-05-17,54537.0
2017-05-18,53537.0
2017-05-19,54698.0
2017-05-22,50523.0
2017-05-23,57424.0
2017-05-24,56859.0
2017-05-25,53555.0
2017-05-26,60128.0
2017-05-30,45504.0
2017-05-31,58768.0
2017-06-01,65772.0
2017-06-02,61436.0
2017-06-05,52980.0
2017-06-06,58651.0
2017-06-07,54997.0
2017-06-08,66713.0
2017-06-09,54824.0
2017-06-12,52231.0
2017-06-13,60138.0
2017-06-14,56502.0
2017-06-15,59453.0
2017-06-16,49463.0
2017-06-19,64307.0
2017-06-20,63946.0
2017-06-21,61596.0
2017-06-22,54388.0
2017-06-23,59004.0
2017-06-26,58542.0
2017-06-27,51878.0
2017-06-28,55111.0
2017-06-29,53048.0
2017-06-30,57920.0
2017-07-03,58755.0
2017-07-05,61095.0
2017-07-06,57744.0
2017-07-07,58532.0
2017-07-10,54894.0
2017-07-11,60178.0
2017-07-12,58761.0
2017-07-13,59058.0
2017-07-14,68385.0
2017-07-17,61372.0
2017-07-18,71502.0
2017-07-19,60496.0
2017-07-20,62777.0
