date,value
2015-03-31,61956.0
2015-04-01,65256.0
2015-04-02,65533.0
2015-04-06,58211.0
2015-04-07,66200.0
2015-04-08,69538.0
2015-04-09,65679.0
2015-04-10,68243.0
2015-04-13,78835.0
2015-04-14,76032.0
2015-04-15,80492.0
2015-04-16,62523.0
2015-04-17,57282.0
2015-04-20,69472.0
2015-04-21,67147.0
2015-04-22,70644.0
2015-04-23,76156.0
2015-04-24,75545.0
2015-04-27,82983.0
2015-04-28,73294.0
2015-04-29,74804.0
2015-04-30,80015.0
2015-05-01,65688.0
2015-05-04,80151.0
2015-05-05,88921.0
2015-05-06,75530.0
2015-05-07,86845.0
2015-05-08,64981.0
2015-05-11,83184.0
2015-05-12,69181.0
2015-05-13,73603.0
2015-05-14,66154.0
2015-05-15,80672.0
2015-05-18,78934.0
2015-05-19,85007.0
2015-05-20,63427.0
2015-05-21,69433.0
2015-05-22,74131.0
2015-05-26,84460.0
2015-05-27,74726.0
2015-05-28,77918.0
2015-05-29,79504.0
2015-06-01,89102.0
2015-06-02,89175.0
2015-06-03,87008.0
2015-06-04,80336.0
2015-06-05,84888.0
2015-06-08,89897.0
2015-06-09,86866.0
2015-06-10,78796.0
2015-06-11,82589.0
2015-06-12,83439.0
2015-06-15,85150.0
2015-06-16,94233.0
2015-06-17,80588.0
2015-06-18,74798.0
2015-06-19,85446.0
2015-06-22,95661.0
2015-06-23,89747.0
2015-06-24,85260.0
2015-06-25,88810.0
2015-06-26,88885.0
2015-06-29,93006.0
2015-06-30,87328.0
2015-07-01,67742.0
2015-07-02,86717.0
2015-07-06,112055.0
2015-07-07,99078.0
2015-07-08,106875.0
2015-07-09,83999.0
2015-07-10,90520.0
2015-07-13,108065.0
2015-07-14,89435.0
2015-07-15,89242.0
2015-07-16,96312.0
2015-07-17,94478.0
2015-07-20,104481.0
2015-07-21,83312.0
2015-07-22,95819.0
2015-07-23,95213.0
2015-07-24,82727.0
2015-07-27,102171.0
2015-07-28,84914.0
2015-07-29,102644.0
2015-07-30,79168.0
2015-07-31,93105.0
2015-08-03,85505.0
2015-08-04,95634.0
2015-08-05,82457.0
2015-08-06,77592.0
2015-08-07,83122.0
2015-08-10,86864.0
2015-08-11,93805.0
2015-08-12,87450.0
2015-08-13,78203.0
2015-08-14,86113.0
2015-08-17,74352.0
2015-08-18,90163.0
2015-08-19,106414.0
2015-08-20,84884.0
2015-08-21,102049.0
2015-08-24,91277.0
2015-08-25,100979.0
2015-08-26,79280.0
2015-08-27,73379.0
2015-08-28,81137.0
2015-08-31,83951.0
2015-09-01,78889.0
2015-09-02,97417.0
2015-09-03,70963.0
2015-09-04,88506.0
2015-09-08,67139.0
2015-09-09,79533.0
2015-09-10,83296.0
2015-09-11,80826.0
2015-09-14,85919.0
2015-09-15,81239.0
2015-09-16,73748.0
2015-09-17,83190.0
2015-09-18,74397.0
2015-09-21,86857.0
2015-09-22,83437.0
2015-09-23,82195.0
2015-09-24,87144.0
2015-09-25,95014.0
2015-09-28,75904.0
2015-09-29,75050.0
2015-09-30,74857.0
2015-10-01,81962.0
2015-10-02,81292.0
2015-10-05,76036.0
2015-10-06,71623.0
2015-10-07,78057.0
2015-10-08,75256.0
2015-10-09,78646.0
2015-10-12,68509.0
2015-10-13,73990.0
2015-10-14,81478.0
2015-10-15,76951.0
2015-10-16,97609.0
2015-10-19,86434.0
2015-10-20,87207.0
2015-10-21,84432.0
2015-10-22,80536.0
2015-10-23,83882.0
2015-10-26,82247.0
2015-10-27,76103.0
2015-10-28,86034.0
2015-10-29,86286.0
2015-10-30,69165.0
2015-11-02,97763.0
2015-11-03,73245.0
2015-11-04,92272.0
2015-11-05,82804.0
2015-11-06,84323.0
2015-11-09,92073.0
2015-11-10,90583.0
2015-11-11,71811.0
2015-11-12,82475.0
2015-11-13,86775.0
2015-11-16,80164.0
2015-11-17,86017.0
2015-11-18,77766.0
2015-11-19,77426.0
2015-11-20,94440.0
2015-11-23,87647.0
2015-11-24,87309.0
2015-11-25,77734.0
2015-11-27,72423.0
2015-11-30,85083.0
2015-12-01,98404.0
2015-12-02,81665.0
2015-12-03,87570.0
2015-12-04,81324.0
2015-12-07,77272.0
2015-12-08,81421.0
2015-12-09,77255.0
2015-12-10,92413.0
2015-12-11,95907.0
2015-12-14,70694.0
2015-12-15,89884.0
2015-12-16,87348.0
2015-12-17,90794.0
2015-12-18,85988.0
2015-12-21,76547.0
2015-12-22,94743.0
2015-12-23,96022.0
2015-12-24,90472.0
2015-12-28,90169.0
2015-12-29,75799.0
2015-12-30,84151.0
2015-12-31,85317.0
2016-01-04,80438.0
