date,value
2014-12-31,267844.0
2015-01-02,269965.0
2015-01-05,311826.0
2015-01-06,253922.0
2015-01-07,271244.0
2015-01-08,256665.0
2015-01-09,232406.0
2015-01-12,314087.0
2015-01-13,250016.0
2015-01-14,297709.0
2015-01-15,290740.0
2015-01-16,272786.0
2015-01-20,257173.0
2015-01-21,324215.0
2015-01-22,235532.0
2015-01-23,259909.0
2015-01-26,257051.0
2015-01-27,271572.0
2015-01-28,283353.0
2015-01-29,270171.0
2015-01-30,263865.0
2015-02-02,257186.0
2015-02-03,208289.0
2015-02-04,249669.0
2015-02-05,248183.0
2015-02-06,252452.0
2015-02-09,283247.0
2015-02-10,264602.0
2015-02-11,278890.0
2015-02-12,296434.0
2015-02-13,259861.0
2015-02-17,266563.0
2015-02-18,275442.0
2015-02-19,278323.0
2015-02-20,254331.0
2015-02-23,317110.0
2015-02-24,251591.0
2015-02-25,242400.0
2015-02-26,262913.0
2015-02-27,263736.0
2015-03-02,251379.0
2015-03-03,230869.0
2015-03-04,275899.0
2015-03-05,273063.0
2015-03-06,266116.0
2015-03-09,235453.0
2015-03-10,318183.0
2015-03-11,295681.0
2015-03-12,209160.0
2015-03-13,299933.0
2015-03-16,262292.0
2015-03-17,283715.0
2015-03-18,284803.0
2015-03-19,264595.0
2015-03-20,299334.0
2015-03-23,249873.0
2015-03-24,268556.0
2015-03-25,207955.0
2015-03-26,277600.0
2015-03-27,278068.0
2015-03-30,245828.0
2015-03-31,239510.0
2015-04-01,256389.0
2015-04-02,262968.0
2015-04-06,306709.0
2015-04-07,291877.0
2015-04-08,271248.0
2015-04-09,280016.0
2015-04-10,253112.0
2015-04-13,313767.0
2015-04-14,291542.0
2015-04-15,245110.0
2015-04-16,276804.0
2015-04-17,243966.0
2015-04-20,302587.0
2015-04-21,271075.0
2015-04-22,295502.0
2015-04-23,253233.0
2015-04-24,270583.0
2015-04-27,279441.0
2015-04-28,287830.0
2015-04-29,268416.0
2015-04-30,251956.0
2015-05-01,211878.0
2015-05-04,268557.0
2015-05-05,276514.0
2015-05-06,310000.0
2015-05-07,286062.0
2015-05-08,305368.0
2015-05-11,266378.0
2015-05-12,286444.0
2015-05-13,237450.0
2015-05-14,288914.0
2015-05-15,322485.0
2015-05-18,272998.0
2015-05-19,248189.0
2015-05-20,273985.0
2015-05-21,272853.0
2015-05-22,324138.0
2015-05-26,301054.0
2015-05-27,275513.0
