date,value
2015-03-31,3914.0
2015-04-01,3208.0
2015-04-02,3595.0
2015-04-06,3662.0
2015-04-07,4419.0
2015-04-08,3955.0
2015-04-09,4115.0
2015-04-10,3975.0
2015-04-13,3808.0
2015-04-14,4013.0
2015-04-15,4047.0
2015-04-16,4575.0
2015-04-17,4229.0
2015-04-20,4474.0
2015-04-21,4091.0
2015-04-22,3964.0
2015-04-23,3928.0
2015-04-24,3280.0
2015-04-27,3343.0
2015-04-28,3333.0
2015-04-29,3567.0
2015-04-30,3774.0
2015-05-01,4012.0
2015-05-04,3861.0
2015-05-05,3834.0
2015-05-06,4332.0
2015-05-07,3543.0
2015-05-08,3879.0
2015-05-11,3892.0
2015-05-12,3799.0
2015-05-13,3843.0
2015-05-14,3759.0
2015-05-15,3695.0
2015-05-18,4414.0
2015-05-19,3743.0
2015-05-20,3407.0
2015-05-21,3310.0
2015-05-22,3682.0
2015-05-26,4096.0
2015-05-27,4445.0
2015-05-28,3781.0
2015-05-29,3680.0
2015-06-01,3356.0
2015-06-02,3710.0
2015-06-03,4412.0
2015-06-04,4140.0
2015-06-05,3595.0
2015-06-08,3702.0
2015-06-09,4072.0
2015-06-10,3614.0
2015-06-11,4427.0
2015-06-12,4294.0
2015-06-15,4704.0
2015-06-16,3445.0
2015-06-17,3869.0
2015-06-18,4383.0
2015-06-19,4350.0
2015-06-22,3531.0
2015-06-23,4701.0
2015-06-24,4523.0
2015-06-25,3628.0
2015-06-26,3934.0
2015-06-29,3924.0
2015-06-30,3342.0
2015-07-01,3986.0
2015-07-02,3431.0
2015-07-06,3755.0
2015-07-07,4029.0
2015-07-08,3713.0
2015-07-09,3270.0
2015-07-10,3906.0
2015-07-13,3863.0
2015-07-14,3577.0
2015-07-15,4033.0
2015-07-16,3873.0
2015-07-17,4013.0
2015-07-20,3646.0
2015-07-21,4620.0
2015-07-22,3515.0
2015-07-23,3075.0
2015-07-24,4088.0
2015-07-27,4424.0
2015-07-28,3462.0
2015-07-29,3442.0
2015-07-30,4160.0
2015-07-31,4399.0
2015-08-03,4369.0
2015-08-04,3548.0
2015-08-05,3655.0
2015-08-06,4138.0
2015-08-07,3702.0
2015-08-10,3518.0
2015-08-11,4222.0
2015-08-12,3940.0
2015-08-13,3419.0
2015-08-14,3974.0
2015-08-17,4479.0
2015-08-18,3652.0
2015-08-19,4120.0
2015-08-20,3771.0
2015-08-21,4508.0
2015-08-24,4607.0
2015-08-25,4307.0
2015-08-26,4084.0
2015-08-27,4342.0
2015-08-28,3649.0
2015-08-31,3437.0
2015-09-01,4569.0
2015-09-02,3613.0
2015-09-03,4252.0
2015-09-04,3731.0
2015-09-08,4072.0
2015-09-09,4751.0
2015-09-10,3988.0
2015-09-11,4192.0
2015-09-14,4063.0
2015-09-15,4017.0
2015-09-16,3469.0
2015-09-17,4119.0
2015-09-18,3971.0
2015-09-21,4240.0
2015-09-22,4776.0
2015-09-23,3879.0
2015-09-24,3935.0
2015-09-25,3592.0
2015-09-28,4676.0
2015-09-29,3512.0
2015-09-30,4153.0
2015-10-01,4164.0
2015-10-02,4501.0
2015-10-05,4237.0
2015-10-06,3761.0
2015-10-07,3817.0
2015-10-08,4328.0
2015-10-09,4000.0
2015-10-12,3742.0
2015-10-13,4214.0
2015-10-14,4123.0
2015-10-15,4553.0
2015-10-16,4037.0
2015-10-19,3804.0
2015-10-20,4189.0
2015-10-21,3832.0
2015-10-22,4377.0
2015-10-23,4089.0
2015-10-26,4327.0
2015-10-27,4164.0
2015-10-28,4688.0
2015-10-29,3756.0
2015-10-30,3329.0
2015-11-02,4496.0
2015-11-03,4275.0
2015-11-04,3746.0
2015-11-05,4068.0
2015-11-06,3757.0
2015-11-09,3497.0
2015-11-10,3416.0
2015-11-11,3749.0
2015-11-12,3577.0
2015-11-13,4044.0
2015-11-16,4642.0
2015-11-17,3513.0
2015-11-18,4292.0
2015-11-19,4041.0
2015-11-20,4199.0
2015-11-23,4523.0
2015-11-24,4527.0
2015-11-25,3947.0
2015-11-27,3870.0
2015-11-30,4198.0
2015-12-01,3997.0
2015-12-02,3573.0
2015-12-03,4170.0
2015-12-04,3860.0
2015-12-07,4372.0
2015-12-08,4692.0
2015-12-09,4200.0
2015-12-10,3564.0
2015-12-11,3897.0
2015-12-14,4562.0
2015-12-15,3288.0
2015-12-16,4079.0
2015-12-17,4415.0
2015-12-18,4180.0
2015-12-21,3553.0
2015-12-22,3635.0
2015-12-23,4394.0
2015-12-24,4110.0
2015-12-28,4313.0
2015-12-29,4376.0
2015-12-30,3764.0
2015-12-31,3517.0
2016-01-04,4266.0
2016-01-05,4156.0
2016-01-06,3658.0
2016-01-07,4129.0
2016-01-08,4591.0
2016-01-11,4022.0
2016-01-12,3928.0
2016-01-13,4589.0
2016-01-14,4178.0
2016-01-15,4342.0
2016-01-19,3882.0
2016-01-20,3915.0
2016-01-21,4908.0
2016-01-22,4315.0
2016-01-25,3900.0
2016-01-26,4721.0
2016-01-27,4187.0
2016-01-28,4735.0
2016-01-29,4193.0
2016-02-01,3458.0
2016-02-02,3993.0
2016-02-03,3732.0
2016-02-04,4428.0
2016-02-05,4696.0
2016-02-08,3731.0
2016-02-09,3900.0
2016-02-10,4411.0
2016-02-11,4416.0
2016-02-12,3449.0
2016-02-16,4060.0
2016-02-17,3837.0
2016-02-18,3513.0
2016-02-19,3929.0
2016-02-22,3724.0
2016-02-23,3856.0
2016-02-24,3778.0
2016-02-25,3623.0
2016-02-26,4446.0
2016-02-29,4006.0
2016-03-01,4709.0
2016-03-02,3698.0
2016-03-03,4262.0
2016-03-04,4014.0
2016-03-07,4441.0
2016-03-08,4386.0
2016-03-09,3837.0
2016-03-10,4101.0
2016-03-11,4081.0
2016-03-14,3767.0
2016-03-15,4048.0
2016-03-16,3529.0
2016-03-17,3155.0
2016-03-18,4065.0
2016-03-21,4441.0
2016-03-22,3819.0
2016-03-23,3659.0
2016-03-24,4038.0
2016-03-28,4545.0
2016-03-29,3880.0
2016-03-30,4811.0
2016-03-31,3062.0
2016-04-01,3924.0
2016-04-04,3425.0
2016-04-05,4139.0
2016-04-06,3782.0
2016-04-07,4197.0
2016-04-08,3924.0
2016-04-11,4145.0
2016-04-12,4837.0
2016-04-13,4025.0
2016-04-14,4166.0
2016-04-15,4691.0
2016-04-18,4783.0
2016-04-19,4088.0
2016-04-20,3497.0
2016-04-21,3997.0
2016-04-22,4422.0
2016-04-25,4086.0
2016-04-26,4121.0
2016-04-27,3450.0
2016-04-28,3767.0
2016-04-29,5013.0
2016-05-02,4312.0
2016-05-03,4186.0
2016-05-04,4251.0
2016-05-05,4077.0
2016-05-06,4484.0
2016-05-09,3476.0
2016-05-10,4285.0
2016-05-11,3043.0
2016-05-12,4747.0
2016-05-13,3976.0
2016-05-16,3740.0
2016-05-17,4332.0
2016-05-18,3553.0
2016-05-19,4134.0
2016-05-20,4743.0
2016-05-23,4035.0
2016-05-24,4754.0
2016-05-25,4931.0
2016-05-26,3963.0
2016-05-27,4335.0
2016-05-31,4148.0
2016-06-01,4224.0
2016-06-02,3774.0
2016-06-03,3927.0
2016-06-06,4082.0
2016-06-07,3918.0
2016-06-08,3975.0
2016-06-09,4422.0
2016-06-10,4024.0
2016-06-13,3974.0
2016-06-14,3945.0
2016-06-15,4470.0
2016-06-16,4058.0
2016-06-17,4476.0
2016-06-20,4429.0
2016-06-21,3899.0
2016-06-22,3630.0
2016-06-23,4527.0
2016-06-24,4692.0
2016-06-27,4514.0
2016-06-28,3788.0
2016-06-29,4860.0
2016-06-30,4540.0
2016-07-01,4077.0
2016-07-05,4082.0
2016-07-06,3935.0
2016-07-07,3549.0
2016-07-08,4073.0
2016-07-11,3834.0
2016-07-12,4433.0
2016-07-13,4206.0
2016-07-14,3965.0
2016-07-15,3289.0
2016-07-18,3392.0
2016-07-19,3827.0
2016-07-20,4075.0
2016-07-21,4525.0
2016-07-22,4601.0
2016-07-25,3830.0
2016-07-26,4238.0
2016-07-27,4509.0
2016-07-28,4712.0
2016-07-29,4528.0
2016-08-01,4356.0
2016-08-02,4314.0
2016-08-03,4088.0
2016-08-04,4549.0
2016-08-05,4907.0
2016-08-08,4291.0
2016-08-09,4703.0
2016-08-10,4406.0
2016-08-11,3644.0
2016-08-12,4125.0
2016-08-15,4471.0
2016-08-16,4054.0
2016-08-17,4052.0
2016-08-18,3752.0
2016-08-19,4112.0
2016-08-22,4434.0
2016-08-23,4159.0
2016-08-24,4878.0
2016-08-25,3591.0
2016-08-26,4247.0
2016-08-29,3607.0
2016-08-30,4184.0
2016-08-31,5092.0
2016-09-01,4429.0
2016-09-02,4472.0
2016-09-06,4701.0
2016-09-07,5094.0
2016-09-08,3933.0
2016-09-09,3339.0
2016-09-12,4140.0
2016-09-13,4282.0
2016-09-14,4065.0
2016-09-15,3703.0
2016-09-16,4400.0
2016-09-19,3822.0
2016-09-20,4380.0
2016-09-21,3830.0
2016-09-22,4024.0
2016-09-23,3672.0
2016-09-26,4863.0
2016-09-27,3772.0
2016-09-28,4796.0
2016-09-29,4521.0
2016-09-30,3745.0
2016-10-03,4155.0
2016-10-04,4391.0
2016-10-05,4161.0
2016-10-06,4482.0
2016-10-07,4163.0
2016-10-10,4588.0
2016-10-11,4125.0
2016-10-12,4394.0
2016-10-13,4063.0
2016-10-14,4140.0
2016-10-17,3833.0
2016-10-18,4330.0
2016-10-19,4283.0
2016-10-20,4454.0
2016-10-21,4283.0
2016-10-24,4335.0
2016-10-25,4509.0
2016-10-26,4498.0
2016-10-27,3922.0
2016-10-28,4603.0
2016-10-31,4064.0
2016-11-01,5021.0
2016-11-02,3387.0
2016-11-03,4788.0
2016-11-04,3908.0
2016-11-07,4428.0
2016-11-08,4046.0
2016-11-09,4389.0
2016-11-10,4444.0
2016-11-11,3988.0
2016-11-14,4769.0
2016-11-15,4055.0
2016-11-16,4293.0
2016-11-17,4520.0
2016-11-18,3963.0
2016-11-21,4077.0
2016-11-22,4228.0
2016-11-23,4139.0
2016-11-25,3390.0
2016-11-28,3690.0
2016-11-29,4686.0
2016-11-30,3915.0
2016-12-01,5439.0
2016-12-02,5271.0
2016-12-05,4149.0
2016-12-06,4580.0
2016-12-07,4371.0
2016-12-08,3417.0
2016-12-09,4023.0
2016-12-12,4880.0
2016-12-13,4442.0
2016-12-14,4953.0
