date,value
2015-03-31,59728.0
2015-04-01,45075.0
2015-04-02,57202.0
2015-04-06,52922.0
2015-04-07,60284.0
2015-04-08,53684.0
2015-04-09,61534.0
2015-04-10,53517.0
2015-04-13,63014.0
2015-04-14,57303.0
2015-04-15,53918.0
2015-04-16,50029.0
2015-04-17,56992.0
2015-04-20,63003.0
2015-04-21,55419.0
2015-04-22,68655.0
2015-04-23,51318.0
2015-04-24,55628.0
2015-04-27,55451.0
2015-04-28,65793.0
2015-04-29,63577.0
2015-04-30,58238.0
2015-05-01,62908.0
2015-05-04,65622.0
2015-05-05,57310.0
2015-05-06,62260.0
2015-05-07,68998.0
2015-05-08,49944.0
2015-05-11,56410.0
2015-05-12,62268.0
2015-05-13,56217.0
2015-05-14,56549.0
2015-05-15,65463.0
2015-05-18,59374.0
2015-05-19,73313.0
2015-05-20,48941.0
2015-05-21,60753.0
2015-05-22,67202.0
2015-05-26,68800.0
2015-05-27,68244.0
2015-05-28,52540.0
2015-05-29,62940.0
2015-06-01,48333.0
2015-06-02,56344.0
2015-06-03,64692.0
2015-06-04,64795.0
2015-06-05,52854.0
2015-06-08,57191.0
2015-06-09,60296.0
2015-06-10,59193.0
2015-06-11,58785.0
2015-06-12,59567.0
2015-06-15,60255.0
2015-06-16,62075.0
2015-06-17,68291.0
2015-06-18,66776.0
2015-06-19,51514.0
2015-06-22,60099.0
2015-06-23,56804.0
2015-06-24,63158.0
2015-06-25,58754.0
2015-06-26,63203.0
2015-06-29,63376.0
2015-06-30,64852.0
2015-07-01,66114.0
2015-07-02,74740.0
2015-07-06,72513.0
2015-07-07,70898.0
2015-07-08,63788.0
2015-07-09,60574.0
2015-07-10,56237.0
2015-07-13,58978.0
2015-07-14,72927.0
2015-07-15,74499.0
2015-07-16,72961.0
2015-07-17,59959.0
2015-07-20,69041.0
2015-07-21,57601.0
2015-07-22,59106.0
2015-07-23,69008.0
2015-07-24,54663.0
2015-07-27,68880.0
2015-07-28,59778.0
2015-07-29,70885.0
2015-07-30,69315.0
2015-07-31,62092.0
2015-08-03,61668.0
2015-08-04,66016.0
2015-08-05,51257.0
2015-08-06,53460.0
2015-08-07,67610.0
2015-08-10,64837.0
2015-08-11,62761.0
2015-08-12,67843.0
2015-08-13,65592.0
2015-08-14,76254.0
2015-08-17,65782.0
2015-08-18,56046.0
2015-08-19,63463.0
2015-08-20,68822.0
2015-08-21,54775.0
2015-08-24,58720.0
2015-08-25,58064.0
2015-08-26,72568.0
2015-08-27,63811.0
2015-08-28,57492.0
2015-08-31,66089.0
2015-09-01,67289.0
2015-09-02,54177.0
2015-09-03,63443.0
2015-09-04,70772.0
2015-09-08,52939.0
2015-09-09,56360.0
2015-09-10,67701.0
2015-09-11,70647.0
2015-09-14,63320.0
2015-09-15,68900.0
2015-09-16,73904.0
2015-09-17,62861.0
2015-09-18,58974.0
2015-09-21,64886.0
2015-09-22,61806.0
2015-09-23,63785.0
2015-09-24,62139.0
2015-09-25,63234.0
2015-09-28,60738.0
2015-09-29,69790.0
2015-09-30,58723.0
2015-10-01,58588.0
2015-10-02,75945.0
2015-10-05,65265.0
2015-10-06,47861.0
2015-10-07,61792.0
2015-10-08,71771.0
2015-10-09,69131.0
2015-10-12,55218.0
2015-10-13,58378.0
2015-10-14,68248.0
2015-10-15,60821.0
2015-10-16,70743.0
2015-10-19,73485.0
2015-10-20,64928.0
2015-10-21,71494.0
2015-10-22,58746.0
2015-10-23,65577.0
2015-10-26,76185.0
2015-10-27,78065.0
2015-10-28,69563.0
2015-10-29,76422.0
2015-10-30,65656.0
2015-11-02,94365.0
2015-11-03,76437.0
2015-11-04,80722.0
2015-11-05,91122.0
2015-11-06,76431.0
2015-11-09,73739.0
2015-11-10,80825.0
2015-11-11,78331.0
2015-11-12,84229.0
2015-11-13,70955.0
2015-11-16,70719.0
2015-11-17,70336.0
2015-11-18,74323.0
2015-11-19,71646.0
2015-11-20,78092.0
2015-11-23,76545.0
2015-11-24,71550.0
2015-11-25,69645.0
2015-11-27,75751.0
2015-11-30,74003.0
2015-12-01,77863.0
2015-12-02,94845.0
2015-12-03,78618.0
2015-12-04,71919.0
2015-12-07,64254.0
2015-12-08,88723.0
2015-12-09,80708.0
2015-12-10,74214.0
2015-12-11,78762.0
2015-12-14,86618.0
2015-12-15,75415.0
2015-12-16,78635.0
2015-12-17,85513.0
2015-12-18,81846.0
2015-12-21,85212.0
2015-12-22,78111.0
2015-12-23,78431.0
2015-12-24,73365.0
2015-12-28,98429.0
2015-12-29,99369.0
2015-12-30,86218.0
2015-12-31,78773.0
2016-01-04,73689.0
2016-01-05,78271.0
2016-01-06,88867.0
2016-01-07,70145.0
2016-01-08,78599.0
2016-01-11,92371.0
2016-01-12,73332.0
2016-01-13,81252.0
2016-01-14,79487.0
2016-01-15,80214.0
2016-01-19,74713.0
2016-01-20,91287.0
2016-01-21,86850.0
2016-01-22,81846.0
2016-01-25,91671.0
2016-01-26,83296.0
2016-01-27,74760.0
2016-01-28,68225.0
2016-01-29,60703.0
2016-02-01,69966.0
2016-02-02,76142.0
2016-02-03,82609.0
2016-02-04,75665.0
2016-02-05,70272.0
2016-02-08,83199.0
2016-02-09,59377.0
2016-02-10,80162.0
2016-02-11,70968.0
2016-02-12,79856.0
2016-02-16,62524.0
2016-02-17,84714.0
2016-02-18,86196.0
2016-02-19,67133.0
2016-02-22,77160.0
2016-02-23,70984.0
2016-02-24,64550.0
2016-02-25,57889.0
2016-02-26,78323.0
2016-02-29,76846.0
2016-03-01,78299.0
2016-03-02,64313.0
2016-03-03,62744.0
2016-03-04,79211.0
2016-03-07,62548.0
2016-03-08,69340.0
2016-03-09,59947.0
2016-03-10,69858.0
2016-03-11,56294.0
2016-03-14,76291.0
2016-03-15,66484.0
2016-03-16,61481.0
2016-03-17,72136.0
2016-03-18,74292.0
2016-03-21,67731.0
2016-03-22,65804.0
2016-03-23,66284.0
2016-03-24,80487.0
2016-03-28,60838.0
2016-03-29,78608.0
2016-03-30,60473.0
2016-03-31,75616.0
2016-04-01,59183.0
2016-04-04,66081.0
2016-04-05,64030.0
2016-04-06,78797.0
2016-04-07,65563.0
2016-04-08,72074.0
2016-04-11,61026.0
2016-04-12,71072.0
2016-04-13,66094.0
2016-04-14,62909.0
2016-04-15,55684.0
2016-04-18,66628.0
2016-04-19,63789.0
2016-04-20,83456.0
2016-04-21,65505.0
2016-04-22,74825.0
2016-04-25,78732.0
2016-04-26,65400.0
2016-04-27,58971.0
2016-04-28,69258.0
2016-04-29,64503.0
2016-05-02,66772.0
2016-05-03,68750.0
2016-05-04,64120.0
2016-05-05,78411.0
2016-05-06,82626.0
2016-05-09,79426.0
2016-05-10,82481.0
2016-05-11,75634.0
2016-05-12,63602.0
2016-05-13,69431.0
2016-05-16,68565.0
2016-05-17,68521.0
2016-05-18,68816.0
2016-05-19,71467.0
2016-05-20,60593.0
2016-05-23,75171.0
2016-05-24,64003.0
2016-05-25,74276.0
2016-05-26,55721.0
2016-05-27,82813.0
2016-05-31,65750.0
2016-06-01,73702.0
2016-06-02,72882.0
2016-06-03,73313.0
2016-06-06,64559.0
2016-06-07,67799.0
2016-06-08,62010.0
2016-06-09,78411.0
2016-06-10,73876.0
2016-06-13,66756.0
2016-06-14,58983.0
2016-06-15,72129.0
2016-06-16,71631.0
2016-06-17,81503.0
2016-06-20,72549.0
2016-06-21,62864.0
2016-06-22,88659.0
2016-06-23,76666.0
2016-06-24,71319.0
2016-06-27,72152.0
2016-06-28,73186.0
2016-06-29,69739.0
2016-06-30,70987.0
2016-07-01,91454.0
2016-07-05,63801.0
2016-07-06,75629.0
2016-07-07,72471.0
2016-07-08,69149.0
2016-07-11,76067.0
2016-07-12,77147.0
2016-07-13,64870.0
2016-07-14,66420.0
2016-07-15,77028.0
2016-07-18,76578.0
2016-07-19,57664.0
2016-07-20,84091.0
2016-07-21,57461.0
2016-07-22,66118.0
2016-07-25,65234.0
2016-07-26,58669.0
2016-07-27,69544.0
2016-07-28,67929.0
2016-07-29,58916.0
2016-08-01,83827.0
2016-08-02,52626.0
2016-08-03,64337.0
2016-08-04,73264.0
2016-08-05,65998.0
2016-08-08,71750.0
2016-08-09,60199.0
2016-08-10,67773.0
2016-08-11,67913.0
2016-08-12,77280.0
2016-08-15,72354.0
2016-08-16,69082.0
2016-08-17,62450.0
2016-08-18,72291.0
2016-08-19,65307.0
2016-08-22,61430.0
2016-08-23,72062.0
2016-08-24,66453.0
2016-08-25,55982.0
2016-08-26,74622.0
2016-08-29,78252.0
2016-08-30,54064.0
2016-08-31,83208.0
2016-09-01,80041.0
2016-09-02,62186.0
2016-09-06,67370.0
2016-09-07,68068.0
2016-09-08,69634.0
2016-09-09,74279.0
2016-09-12,62089.0
2016-09-13,81412.0
2016-09-14,67051.0
2016-09-15,68512.0
2016-09-16,58570.0
2016-09-19,70269.0
2016-09-20,71076.0
2016-09-21,55598.0
2016-09-22,69918.0
2016-09-23,66029.0
2016-09-26,70636.0
2016-09-27,61600.0
2016-09-28,61795.0
2016-09-29,65500.0
2016-09-30,62630.0
2016-10-03,69402.0
2016-10-04,49671.0
2016-10-05,71574.0
2016-10-06,64960.0
2016-10-07,69457.0
2016-10-10,60969.0
2016-10-11,66553.0
2016-10-12,63003.0
2016-10-13,71257.0
2016-10-14,65164.0
2016-10-17,57189.0
2016-10-18,66093.0
2016-10-19,60067.0
2016-10-20,77849.0
2016-10-21,63895.0
2016-10-24,72290.0
