date,value
2015-03-31,13967.0
2015-04-01,14482.0
2015-04-02,14269.0
2015-04-06,16076.0
2015-04-07,15003.0
2015-04-08,14148.0
2015-04-09,13459.0
2015-04-10,15554.0
2015-04-13,11528.0
2015-04-14,14253.0
2015-04-15,16400.0
2015-04-16,11663.0
2015-04-17,13909.0
2015-04-20,14072.0
2015-04-21,14563.0
2015-04-22,13568.0
2015-04-23,12996.0
2015-04-24,15801.0
2015-04-27,13188.0
2015-04-28,13396.0
2015-04-29,12934.0
2015-04-30,15391.0
2015-05-01,12622.0
2015-05-04,12448.0
2015-05-05,13691.0
2015-05-06,13301.0
2015-05-07,13514.0
2015-05-08,14900.0
2015-05-11,12130.0
2015-05-12,14560.0
2015-05-13,12413.0
2015-05-14,13650.0
2015-05-15,13197.0
2015-05-18,13759.0
2015-05-19,13460.0
2015-05-20,13972.0
2015-05-21,13180.0
2015-05-22,13394.0
2015-05-26,12935.0
2015-05-27,12424.0
2015-05-28,12647.0
2015-05-29,13770.0
2015-06-01,14290.0
2015-06-02,15454.0
2015-06-03,13732.0
2015-06-04,14374.0
2015-06-05,13015.0
2015-06-08,12227.0
2015-06-09,15594.0
2015-06-10,14382.0
2015-06-11,14734.0
2015-06-12,13855.0
2015-06-15,13131.0
2015-06-16,13709.0
2015-06-17,13841.0
2015-06-18,15431.0
2015-06-19,14863.0
2015-06-22,13018.0
2015-06-23,11095.0
2015-06-24,15318.0
2015-06-25,11682.0
2015-06-26,12568.0
2015-06-29,12039.0
2015-06-30,15383.0
2015-07-01,13822.0
2015-07-02,13664.0
2015-07-06,15357.0
2015-07-07,13291.0
2015-07-08,16032.0
2015-07-09,14623.0
2015-07-10,12576.0
2015-07-13,15397.0
2015-07-14,13814.0
2015-07-15,13304.0
2015-07-16,14435.0
2015-07-17,15525.0
2015-07-20,14269.0
2015-07-21,17006.0
2015-07-22,15053.0
2015-07-23,15068.0
2015-07-24,10450.0
2015-07-27,14364.0
2015-07-28,12042.0
2015-07-29,14880.0
2015-07-30,12264.0
2015-07-31,12952.0
2015-08-03,15654.0
2015-08-04,14759.0
