date,value
2015-03-31,60448.0
2015-04-01,67316.0
2015-04-02,52028.0
2015-04-06,66162.0
2015-04-07,64066.0
2015-04-08,63574.0
2015-04-09,64674.0
2015-04-10,65057.0
2015-04-13,68728.0
2015-04-14,71156.0
2015-04-15,45815.0
2015-04-16,57630.0
2015-04-17,56504.0
2015-04-20,61946.0
2015-04-21,51512.0
2015-04-22,65952.0
2015-04-23,57279.0
2015-04-24,55177.0
2015-04-27,61351.0
2015-04-28,62898.0
2015-04-29,58752.0
2015-04-30,60633.0
2015-05-01,64749.0
2015-05-04,64315.0
2015-05-05,55940.0
2015-05-06,72377.0
2015-05-07,66430.0
2015-05-08,56535.0
2015-05-11,60147.0
2015-05-12,56584.0
2015-05-13,54870.0
2015-05-14,72378.0
2015-05-15,59511.0
2015-05-18,67463.0
2015-05-19,69266.0
2015-05-20,57378.0
2015-05-21,62588.0
2015-05-22,51680.0
2015-05-26,63252.0
2015-05-27,75255.0
2015-05-28,59374.0
2015-05-29,60241.0
2015-06-01,62184.0
2015-06-02,66155.0
2015-06-03,57443.0
2015-06-04,75224.0
2015-06-05,64554.0
2015-06-08,62137.0
2015-06-09,59463.0
2015-06-10,64783.0
2015-06-11,67005.0
2015-06-12,68940.0
2015-06-15,53744.0
2015-06-16,49913.0
2015-06-17,69087.0
2015-06-18,63595.0
2015-06-19,56495.0
2015-06-22,56086.0
2015-06-23,67577.0
2015-06-24,61689.0
2015-06-25,73276.0
2015-06-26,65616.0
2015-06-29,50318.0
2015-06-30,68583.0
2015-07-01,61847.0
2015-07-02,70167.0
2015-07-06,59694.0
2015-07-07,65595.0
2015-07-08,57417.0
2015-07-09,72707.0
2015-07-10,57258.0
2015-07-13,58469.0
2015-07-14,55910.0
2015-07-15,59361.0
2015-07-16,58002.0
2015-07-17,52568.0
2015-07-20,58760.0
2015-07-21,65358.0
2015-07-22,66184.0
2015-07-23,53779.0
2015-07-24,64627.0
2015-07-27,52139.0
2015-07-28,61224.0
2015-07-29,41720.0
2015-07-30,75557.0
2015-07-31,51764.0
2015-08-03,60414.0
2015-08-04,70683.0
2015-08-05,61338.0
2015-08-06,73582.0
2015-08-07,58043.0
2015-08-10,65722.0
2015-08-11,57496.0
2015-08-12,57238.0
2015-08-13,55336.0
2015-08-14,67724.0
2015-08-17,70706.0
2015-08-18,73581.0
2015-08-19,69897.0
2015-08-20,56990.0
2015-08-21,62332.0
2015-08-24,54469.0
2015-08-25,46960.0
2015-08-26,68763.0
2015-08-27,73331.0
2015-08-28,58144.0
2015-08-31,59117.0
2015-09-01,63190.0
2015-09-02,62480.0
2015-09-03,59558.0
2015-09-04,53044.0
2015-09-08,63996.0
2015-09-09,72223.0
2015-09-10,59019.0
2015-09-11,65171.0
2015-09-14,54247.0
2015-09-15,73582.0
2015-09-16,62381.0
2015-09-17,62667.0
2015-09-18,67720.0
2015-09-21,53869.0
2015-09-22,64345.0
2015-09-23,54483.0
2015-09-24,67927.0
2015-09-25,52178.0
2015-09-28,71531.0
2015-09-29,71188.0
2015-09-30,53767.0
2015-10-01,63490.0
2015-10-02,65090.0
2015-10-05,68805.0
2015-10-06,67085.0
2015-10-07,55270.0
2015-10-08,68033.0
2015-10-09,66358.0
2015-10-12,63485.0
2015-10-13,61780.0
2015-10-14,58757.0
2015-10-15,62913.0
2015-10-16,73391.0
2015-10-19,50913.0
2015-10-20,65827.0
2015-10-21,55255.0
2015-10-22,67385.0
2015-10-23,64349.0
2015-10-26,72459.0
2015-10-27,63137.0
2015-10-28,64577.0
2015-10-29,63800.0
2015-10-30,71089.0
2015-11-02,62607.0
2015-11-03,57837.0
2015-11-04,71232.0
2015-11-05,59200.0
2015-11-06,64534.0
2015-11-09,54720.0
2015-11-10,75495.0
2015-11-11,62474.0
2015-11-12,57491.0
2015-11-13,55282.0
2015-11-16,61203.0
2015-11-17,59273.0
2015-11-18,53778.0
2015-11-19,65637.0
2015-11-20,47622.0
2015-11-23,58793.0
2015-11-24,57281.0
2015-11-25,65896.0
2015-11-27,49605.0
2015-11-30,60425.0
2015-12-01,66852.0
2015-12-02,63060.0
2015-12-03,53366.0
2015-12-04,68894.0
2015-12-07,54267.0
2015-12-08,63291.0
2015-12-09,58413.0
2015-12-10,51779.0
2015-12-11,54010.0
2015-12-14,55685.0
2015-12-15,62434.0
2015-12-16,68550.0
2015-12-17,66692.0
2015-12-18,59119.0
2015-12-21,71297.0
2015-12-22,66679.0
2015-12-23,63491.0
2015-12-24,69253.0
2015-12-28,55999.0
2015-12-29,70324.0
2015-12-30,65699.0
2015-12-31,59737.0
2016-01-04,63581.0
2016-01-05,56314.0
2016-01-06,67890.0
2016-01-07,82275.0
2016-01-08,67409.0
2016-01-11,59486.0
2016-01-12,63026.0
2016-01-13,57547.0
2016-01-14,75271.0
2016-01-15,52217.0
2016-01-19,66370.0
2016-01-20,71932.0
2016-01-21,55443.0
2016-01-22,62078.0
2016-01-25,59085.0
2016-01-26,60755.0
2016-01-27,63179.0
2016-01-28,66065.0
2016-01-29,72837.0
2016-02-01,58838.0
2016-02-02,60314.0
2016-02-03,63600.0
2016-02-04,69394.0
2016-02-05,66421.0
2016-02-08,48517.0
2016-02-09,60779.0
2016-02-10,66213.0
2016-02-11,61642.0
2016-02-12,58532.0
2016-02-16,56588.0
2016-02-17,58773.0
2016-02-18,73829.0
2016-02-19,56221.0
2016-02-22,55487.0
2016-02-23,63588.0
2016-02-24,60517.0
2016-02-25,65554.0
2016-02-26,51426.0
2016-02-29,51464.0
2016-03-01,67161.0
2016-03-02,66237.0
2016-03-03,64532.0
2016-03-04,60620.0
2016-03-07,62796.0
2016-03-08,65137.0
2016-03-09,73289.0
2016-03-10,74122.0
2016-03-11,70120.0
2016-03-14,66295.0
2016-03-15,60534.0
2016-03-16,57740.0
2016-03-17,63368.0
2016-03-18,67059.0
2016-03-21,63694.0
2016-03-22,57699.0
2016-03-23,64569.0
2016-03-24,60738.0
2016-03-28,52751.0
2016-03-29,74680.0
2016-03-30,69241.0
2016-03-31,73022.0
2016-04-01,60603.0
2016-04-04,60539.0
2016-04-05,62724.0
2016-04-06,67038.0
2016-04-07,64132.0
2016-04-08,61420.0
2016-04-11,79507.0
2016-04-12,62558.0
2016-04-13,60705.0
2016-04-14,66153.0
2016-04-15,71965.0
2016-04-18,62133.0
2016-04-19,65771.0
2016-04-20,58382.0
2016-04-21,68298.0
2016-04-22,63997.0
2016-04-25,73145.0
2016-04-26,63695.0
2016-04-27,72758.0
2016-04-28,63753.0
2016-04-29,63610.0
2016-05-02,51156.0
2016-05-03,56335.0
2016-05-04,61053.0
2016-05-05,77026.0
2016-05-06,60996.0
2016-05-09,60834.0
2016-05-10,65237.0
2016-05-11,59567.0
2016-05-12,67957.0
2016-05-13,64029.0
2016-05-16,56860.0
2016-05-17,71194.0
2016-05-18,73947.0
2016-05-19,60529.0
2016-05-20,53737.0
2016-05-23,62783.0
2016-05-24,66631.0
2016-05-25,61996.0
2016-05-26,61036.0
2016-05-27,54923.0
2016-05-31,66337.0
2016-06-01,55484.0
2016-06-02,57151.0
2016-06-03,57577.0
2016-06-06,69394.0
2016-06-07,67236.0
2016-06-08,58496.0
2016-06-09,71973.0
2016-06-10,56565.0
2016-06-13,67950.0
2016-06-14,71465.0
2016-06-15,54923.0
2016-06-16,70928.0
2016-06-17,61805.0
2016-06-20,55963.0
2016-06-21,51794.0
2016-06-22,57922.0
2016-06-23,63773.0
2016-06-24,69881.0
2016-06-27,63440.0
2016-06-28,69949.0
2016-06-29,68784.0
2016-06-30,50961.0
2016-07-01,59839.0
2016-07-05,68079.0
2016-07-06,73924.0
2016-07-07,72876.0
2016-07-08,59363.0
2016-07-11,70924.0
2016-07-12,63300.0
2016-07-13,56457.0
2016-07-14,57642.0
2016-07-15,74244.0
2016-07-18,66480.0
2016-07-19,68497.0
2016-07-20,65889.0
2016-07-21,54433.0
2016-07-22,66422.0
2016-07-25,68926.0
2016-07-26,72628.0
2016-07-27,62750.0
2016-07-28,75999.0
2016-07-29,59669.0
2016-08-01,65888.0
2016-08-02,62106.0
2016-08-03,71999.0
2016-08-04,62034.0
2016-08-05,70639.0
2016-08-08,70575.0
2016-08-09,65164.0
2016-08-10,58029.0
2016-08-11,65385.0
2016-08-12,72117.0
2016-08-15,60544.0
2016-08-16,57781.0
2016-08-17,62419.0
2016-08-18,83667.0
2016-08-19,76483.0
2016-08-22,67737.0
2016-08-23,68537.0
2016-08-24,76865.0
2016-08-25,69663.0
2016-08-26,69694.0
2016-08-29,62916.0
2016-08-30,68950.0
2016-08-31,63726.0
2016-09-01,62843.0
2016-09-02,70865.0
2016-09-06,63062.0
2016-09-07,80281.0
2016-09-08,62254.0
2016-09-09,55014.0
2016-09-12,78718.0
2016-09-13,65458.0
2016-09-14,77969.0
2016-09-15,70349.0
2016-09-16,72314.0
2016-09-19,68663.0
2016-09-20,85098.0
2016-09-21,77054.0
2016-09-22,77166.0
2016-09-23,74471.0
2016-09-26,78175.0
2016-09-27,59883.0
2016-09-28,68729.0
2016-09-29,80171.0
2016-09-30,81492.0
2016-10-03,73407.0
2016-10-04,58639.0
2016-10-05,63210.0
2016-10-06,81657.0
2016-10-07,75526.0
2016-10-10,80798.0
2016-10-11,70144.0
2016-10-12,84001.0
2016-10-13,70591.0
2016-10-14,91833.0
2016-10-17,76773.0
2016-10-18,58865.0
2016-10-19,74997.0
2016-10-20,72332.0
2016-10-21,84617.0
2016-10-24,73853.0
2016-10-25,89974.0
2016-10-26,74312.0
2016-10-27,88016.0
2016-10-28,74824.0
2016-10-31,79579.0
2016-11-01,60916.0
2016-11-02,61961.0
2016-11-03,78826.0
2016-11-04,74274.0
2016-11-07,67902.0
2016-11-08,80865.0
2016-11-09,72859.0
2016-11-10,79719.0
2016-11-11,77375.0
2016-11-14,74200.0
2016-11-15,81493.0
2016-11-16,77587.0
2016-11-17,80875.0
2016-11-18,66366.0
2016-11-21,85159.0
2016-11-22,66284.0
2016-11-23,78360.0
2016-11-25,71846.0
2016-11-28,87120.0
2016-11-29,80770.0
2016-11-30,83900.0
2016-12-01,72620.0
2016-12-02,70772.0
2016-12-05,89132.0
2016-12-06,77850.0
2016-12-07,89152.0
2016-12-08,76106.0
2016-12-09,93071.0
2016-12-12,79444.0
2016-12-13,80560.0
2016-12-14,72233.0
2016-12-15,82482.0
2016-12-16,86228.0
2016-12-19,79625.0
2016-12-20,74874.0
2016-12-21,77071.0
2016-12-22,65276.0
2016-12-23,83267.0
2016-12-27,89637.0
2016-12-28,66584.0
2016-12-29,80839.0
2016-12-30,78528.0
2017-01-03,93512.0
2017-01-04,76888.0
2017-01-05,78214.0
2017-01-06,75281.0
2017-01-09,78652.0
2017-01-10,83333.0
2017-01-11,72752.0
2017-01-12,81307.0
2017-01-13,79616.0
2017-01-17,70229.0
2017-01-18,69725.0
2017-01-19,77583.0
2017-01-20,77878.0
2017-01-23,70883.0
2017-01-24,77305.0
2017-01-25,73379.0
2017-01-26,80776.0
2017-01-27,72046.0
2017-01-30,69782.0
2017-01-31,82264.0
2017-02-01,87998.0
2017-02-02,81550.0
2017-02-03,66562.0
2017-02-06,86718.0
2017-02-07,76698.0
2017-02-08,69631.0
2017-02-09,74724.0
2017-02-10,80023.0
2017-02-13,74873.0
2017-02-14,77377.0
2017-02-15,80459.0
2017-02-16,85408.0
2017-02-17,74408.0
2017-02-21,84957.0
2017-02-22,80836.0
2017-02-23,71639.0
2017-02-24,88022.0
2017-02-27,82271.0
2017-02-28,70464.0
2017-03-01,70406.0
2017-03-02,83285.0
2017-03-03,73041.0
2017-03-06,68272.0
2017-03-07,78641.0
2017-03-08,68467.0
2017-03-09,84448.0
2017-03-10,95791.0
2017-03-13,79197.0
2017-03-14,70455.0
2017-03-15,66196.0
2017-03-16,78915.0
2017-03-17,90374.0
2017-03-20,86779.0
2017-03-21,80346.0
2017-03-22,78572.0
2017-03-23,74514.0
2017-03-24,84733.0
2017-03-27,88714.0
2017-03-28,66383.0
2017-03-29,69015.0
2017-03-30,71415.0
2017-03-31,76186.0
2017-04-03,73445.0
2017-04-04,84118.0
2017-04-05,78318.0
2017-04-06,86969.0
2017-04-07,84082.0
2017-04-10,70932.0
2017-04-11,75185.0
2017-04-12,65729.0
2017-04-13,86575.0
2017-04-17,80098.0
2017-04-18,91462.0
2017-04-19,90993.0
2017-04-20,84433.0
2017-04-21,80339.0
2017-04-24,88046.0
2017-04-25,75816.0
2017-04-26,92576.0
2017-04-27,83558.0
2017-04-28,97926.0
2017-05-01,77922.0
2017-05-02,74889.0
2017-05-03,75815.0
2017-05-04,87129.0
2017-05-05,70491.0
2017-05-08,78266.0
2017-05-09,83103.0
2017-05-10,68287.0
2017-05-11,88334.0
2017-05-12,72150.0
2017-05-15,74578.0
2017-05-16,85558.0
2017-05-17,69517.0
2017-05-18,64004.0
2017-05-19,84401.0
2017-05-22,80419.0
2017-05-23,86367.0
2017-05-24,82925.0
2017-05-25,68302.0
2017-05-26,84634.0
2017-05-30,94822.0
2017-05-31,64442.0
2017-06-01,70414.0
2017-06-02,76586.0
2017-06-05,69199.0
2017-06-06,65221.0
2017-06-07,70011.0
2017-06-08,89787.0
2017-06-09,82037.0
2017-06-12,82233.0
2017-06-13,86615.0
2017-06-14,78668.0
2017-06-15,92747.0
2017-06-16,87646.0
2017-06-19,73918.0
2017-06-20,63292.0
2017-06-21,83421.0
2017-06-22,99096.0
2017-06-23,61535.0
2017-06-26,78401.0
2017-06-27,69727.0
2017-06-28,89242.0
2017-06-29,88181.0
2017-06-30,75855.0
2017-07-03,92300.0
2017-07-05,73007.0
2017-07-06,78190.0
2017-07-07,77858.0
2017-07-10,80429.0
2017-07-11,84586.0
2017-07-12,68137.0
2017-07-13,103983.0
2017-07-14,73008.0
2017-07-17,79634.0
2017-07-18,96458.0
2017-07-19,72280.0
2017-07-20,101450.0
2017-07-21,78834.0
2017-07-24,81930.0
2017-07-25,78806.0
2017-07-26,85552.0
2017-07-27,81895.0
2017-07-28,74479.0
2017-07-31,91197.0
2017-08-01,76287.0
2017-08-02,80828.0
2017-08-03,92196.0
2017-08-04,95641.0
2017-08-07,85161.0
2017-08-08,88200.0
2017-08-09,85419.0
2017-08-10,79569.0
2017-08-11,68157.0
2017-08-14,88071.0
2017-08-15,70865.0
2017-08-16,92787.0
2017-08-17,78329.0
2017-08-18,82867.0
2017-08-21,85289.0
2017-08-22,78051.0
2017-08-23,78990.0
2017-08-24,82752.0
2017-08-25,82678.0
2017-08-28,73488.0
2017-08-29,97859.0
2017-08-30,95400.0
2017-08-31,73535.0
2017-09-01,73986.0
2017-09-05,88806.0
2017-09-06,88446.0
2017-09-07,79320.0
2017-09-08,90319.0
2017-09-11,99346.0
2017-09-12,74967.0
2017-09-13,90137.0
2017-09-14,75998.0
2017-09-15,89731.0
2017-09-18,94033.0
2017-09-19,92177.0
2017-09-20,85168.0
2017-09-21,75694.0
2017-09-22,81622.0
2017-09-25,101728.0
2017-09-26,85131.0
2017-09-27,106767.0
2017-09-28,86326.0
2017-09-29,81401.0
2017-10-02,90270.0
2017-10-03,93880.0
2017-10-04,99946.0
2017-10-05,72242.0
2017-10-06,99601.0
2017-10-09,75152.0
2017-10-10,95435.0
2017-10-11,76892.0
2017-10-12,84872.0
2017-10-13,77302.0
2017-10-16,87607.0
2017-10-17,101462.0
2017-10-18,80555.0
2017-10-19,69031.0
2017-10-20,85413.0
2017-10-23,91535.0
