date,value
2015-03-31,220186.0
2015-04-01,210734.0
2015-04-02,195841.0
2015-04-06,170121.0
2015-04-07,236710.0
2015-04-08,192650.0
2015-04-09,219471.0
2015-04-10,225503.0
2015-04-13,173043.0
2015-04-14,215913.0
2015-04-15,163986.0
2015-04-16,229717.0
2015-04-17,208147.0
2015-04-20,208412.0
2015-04-21,173983.0
2015-04-22,206589.0
2015-04-23,194436.0
2015-04-24,227518.0
2015-04-27,159266.0
2015-04-28,180799.0
2015-04-29,184976.0
2015-04-30,148970.0
2015-05-01,208048.0
2015-05-04,162345.0
2015-05-05,179902.0
2015-05-06,211484.0
2015-05-07,133195.0
2015-05-08,184149.0
2015-05-11,212350.0
2015-05-12,226783.0
2015-05-13,209537.0
2015-05-14,226703.0
2015-05-15,168724.0
2015-05-18,195066.0
2015-05-19,219613.0
2015-05-20,218172.0
2015-05-21,188168.0
2015-05-22,222090.0
2015-05-26,206058.0
2015-05-27,202690.0
2015-05-28,199180.0
2015-05-29,196433.0
2015-06-01,190685.0
2015-06-02,203609.0
2015-06-03,164587.0
2015-06-04,196251.0
2015-06-05,218382.0
2015-06-08,220952.0
2015-06-09,192689.0
2015-06-10,193159.0
2015-06-11,213671.0
2015-06-12,191318.0
2015-06-15,190411.0
2015-06-16,204388.0
2015-06-17,200274.0
2015-06-18,196107.0
2015-06-19,188777.0
2015-06-22,206595.0
2015-06-23,215479.0
2015-06-24,234511.0
2015-06-25,201135.0
2015-06-26,213769.0
2015-06-29,187705.0
2015-06-30,195680.0
2015-07-01,230644.0
2015-07-02,188688.0
2015-07-06,191560.0
2015-07-07,216011.0
2015-07-08,205735.0
2015-07-09,210898.0
2015-07-10,177625.0
2015-07-13,207516.0
2015-07-14,185005.0
2015-07-15,185833.0
2015-07-16,182408.0
2015-07-17,174051.0
2015-07-20,211323.0
2015-07-21,221526.0
2015-07-22,197732.0
2015-07-23,212327.0
2015-07-24,252845.0
2015-07-27,187149.0
2015-07-28,199926.0
2015-07-29,191335.0
2015-07-30,250391.0
2015-07-31,187999.0
2015-08-03,178523.0
2015-08-04,198350.0
2015-08-05,206212.0
2015-08-06,179311.0
2015-08-07,176794.0
2015-08-10,204358.0
2015-08-11,190248.0
2015-08-12,183813.0
2015-08-13,199659.0
2015-08-14,203955.0
2015-08-17,173821.0
2015-08-18,209044.0
2015-08-19,180846.0
2015-08-20,235904.0
2015-08-21,207084.0
2015-08-24,198787.0
2015-08-25,195761.0
2015-08-26,189021.0
