date,value
2015-03-31,1796534.0
2015-04-01,1908647.0
2015-04-02,1819280.0
2015-04-06,1964729.0
2015-04-07,2211704.0
2015-04-08,1889556.0
2015-04-09,1794349.0
2015-04-10,2134357.0
2015-04-13,1923892.0
2015-04-14,1930287.0
2015-04-15,1835606.0
2015-04-16,1827650.0
2015-04-17,2021388.0
2015-04-20,1916448.0
2015-04-21,1781453.0
2015-04-22,1872919.0
2015-04-23,1956471.0
2015-04-24,1533777.0
2015-04-27,1819979.0
2015-04-28,1931247.0
2015-04-29,1645521.0
2015-04-30,1805373.0
2015-05-01,2028887.0
2015-05-04,2039126.0
2015-05-05,1868304.0
2015-05-06,2044340.0
2015-05-07,2078176.0
2015-05-08,1408342.0
2015-05-11,2147666.0
2015-05-12,1915196.0
2015-05-13,1812162.0
2015-05-14,2004009.0
2015-05-15,1818332.0
2015-05-18,2079328.0
2015-05-19,2167661.0
2015-05-20,2339169.0
2015-05-21,1934376.0
2015-05-22,2207050.0
2015-05-26,2287358.0
2015-05-27,2020246.0
2015-05-28,1922889.0
2015-05-29,2061454.0
2015-06-01,1868205.0
2015-06-02,1983817.0
2015-06-03,2091707.0
2015-06-04,1899402.0
2015-06-05,1454225.0
2015-06-08,2240499.0
2015-06-09,1854296.0
2015-06-10,1861396.0
2015-06-11,2088635.0
2015-06-12,1939299.0
2015-06-15,2270778.0
2015-06-16,1920070.0
2015-06-17,2325526.0
2015-06-18,2274501.0
2015-06-19,2051451.0
2015-06-22,1776102.0
2015-06-23,2088482.0
2015-06-24,1937132.0
2015-06-25,1990697.0
2015-06-26,1808104.0
2015-06-29,1875635.0
2015-06-30,2027280.0
2015-07-01,2085684.0
2015-07-02,2026437.0
2015-07-06,2129198.0
2015-07-07,2054892.0
2015-07-08,1917437.0
2015-07-09,2186543.0
2015-07-10,1967045.0
2015-07-13,1910667.0
2015-07-14,2052465.0
2015-07-15,2302982.0
2015-07-16,1864823.0
2015-07-17,2081744.0
2015-07-20,2113491.0
2015-07-21,1988284.0
2015-07-22,2060211.0
2015-07-23,1866367.0
2015-07-24,1931283.0
2015-07-27,1773043.0
2015-07-28,2195497.0
2015-07-29,2040994.0
2015-07-30,1973416.0
2015-07-31,2106511.0
2015-08-03,1927742.0
2015-08-04,2052703.0
2015-08-05,1909648.0
2015-08-06,2246069.0
2015-08-07,2317028.0
2015-08-10,2232747.0
2015-08-11,1992888.0
2015-08-12,1709435.0
2015-08-13,1847445.0
2015-08-14,1927241.0
2015-08-17,2101581.0
2015-08-18,1808321.0
2015-08-19,1860948.0
2015-08-20,1781839.0
2015-08-21,1985563.0
2015-08-24,2004595.0
2015-08-25,1901240.0
2015-08-26,1910665.0
2015-08-27,1837557.0
2015-08-28,1933561.0
2015-08-31,2000217.0
2015-09-01,2041875.0
2015-09-02,1934007.0
2015-09-03,1876226.0
2015-09-04,1716633.0
2015-09-08,1784289.0
2015-09-09,1894256.0
2015-09-10,1895561.0
2015-09-11,1966091.0
2015-09-14,1696346.0
2015-09-15,1901646.0
2015-09-16,1795510.0
2015-09-17,2035003.0
2015-09-18,1938733.0
2015-09-21,1919417.0
2015-09-22,1910644.0
2015-09-23,2036429.0
2015-09-24,1847993.0
2015-09-25,1794189.0
2015-09-28,1731014.0
2015-09-29,2122477.0
2015-09-30,1557914.0
2015-10-01,2080881.0
2015-10-02,1782231.0
2015-10-05,2035474.0
2015-10-06,2002567.0
2015-10-07,1856519.0
2015-10-08,1757888.0
2015-10-09,1883365.0
2015-10-12,2238293.0
2015-10-13,1812357.0
2015-10-14,2116669.0
2015-10-15,2164447.0
2015-10-16,2021518.0
2015-10-19,2004446.0
2015-10-20,1979744.0
2015-10-21,1671555.0
2015-10-22,1750994.0
2015-10-23,1815282.0
2015-10-26,2129512.0
2015-10-27,1748821.0
2015-10-28,2025382.0
2015-10-29,1683397.0
2015-10-30,2202333.0
2015-11-02,2051570.0
2015-11-03,1965734.0
2015-11-04,1897330.0
2015-11-05,2021073.0
2015-11-06,2182122.0
2015-11-09,2393371.0
2015-11-10,1981407.0
2015-11-11,2056079.0
2015-11-12,1972002.0
2015-11-13,1456036.0
2015-11-16,1730336.0
2015-11-17,2218371.0
2015-11-18,2219957.0
2015-11-19,1959446.0
2015-11-20,2393576.0
2015-11-23,2218264.0
2015-11-24,2027393.0
2015-11-25,2248748.0
2015-11-27,2385198.0
2015-11-30,1969285.0
2015-12-01,2108245.0
2015-12-02,2524822.0
2015-12-03,2112636.0
2015-12-04,2054270.0
2015-12-07,2249379.0
2015-12-08,1619132.0
2015-12-09,1825412.0
2015-12-10,1958514.0
2015-12-11,2120038.0
2015-12-14,1622894.0
