date,value
2015-03-31,118977.0
2015-04-01,127351.0
2015-04-02,116621.0
2015-04-06,112083.0
2015-04-07,131912.0
2015-04-08,128299.0
2015-04-09,127033.0
2015-04-10,102795.0
2015-04-13,111689.0
2015-04-14,129087.0
2015-04-15,128469.0
2015-04-16,127531.0
2015-04-17,119502.0
2015-04-20,111035.0
2015-04-21,135463.0
2015-04-22,142728.0
2015-04-23,99992.0
2015-04-24,116248.0
2015-04-27,120561.0
2015-04-28,112218.0
2015-04-29,118016.0
2015-04-30,100532.0
2015-05-01,139759.0
2015-05-04,104424.0
2015-05-05,135161.0
2015-05-06,123890.0
2015-05-07,127297.0
2015-05-08,120829.0
2015-05-11,130788.0
2015-05-12,141131.0
2015-05-13,124479.0
2015-05-14,140074.0
2015-05-15,113897.0
2015-05-18,115832.0
2015-05-19,136346.0
2015-05-20,103209.0
2015-05-21,127458.0
2015-05-22,125323.0
2015-05-26,111094.0
2015-05-27,121473.0
2015-05-28,146691.0
2015-05-29,117762.0
2015-06-01,111977.0
2015-06-02,119387.0
2015-06-03,122233.0
2015-06-04,127725.0
2015-06-05,128326.0
2015-06-08,124006.0
2015-06-09,130335.0
2015-06-10,141214.0
2015-06-11,144356.0
2015-06-12,126933.0
2015-06-15,135111.0
2015-06-16,114365.0
2015-06-17,150020.0
2015-06-18,160017.0
2015-06-19,135472.0
2015-06-22,127102.0
2015-06-23,148228.0
2015-06-24,133051.0
2015-06-25,134550.0
2015-06-26,135232.0
2015-06-29,139124.0
2015-06-30,116601.0
2015-07-01,135087.0
2015-07-02,136881.0
2015-07-06,103782.0
2015-07-07,155181.0
2015-07-08,149916.0
2015-07-09,137848.0
2015-07-10,123559.0
2015-07-13,145930.0
2015-07-14,139168.0
2015-07-15,115893.0
2015-07-16,126886.0
2015-07-17,144432.0
2015-07-20,156562.0
2015-07-21,111865.0
2015-07-22,154211.0
2015-07-23,122000.0
2015-07-24,106640.0
2015-07-27,115579.0
2015-07-28,115457.0
2015-07-29,140546.0
2015-07-30,130509.0
2015-07-31,120377.0
2015-08-03,149709.0
2015-08-04,143007.0
2015-08-05,117975.0
2015-08-06,136836.0
2015-08-07,132366.0
2015-08-10,137370.0
2015-08-11,132189.0
2015-08-12,143501.0
2015-08-13,140228.0
2015-08-14,146685.0
2015-08-17,128273.0
2015-08-18,141155.0
2015-08-19,141749.0
2015-08-20,137424.0
2015-08-21,146148.0
2015-08-24,144881.0
2015-08-25,153269.0
2015-08-26,120769.0
2015-08-27,158504.0
2015-08-28,158486.0
2015-08-31,121493.0
2015-09-01,141634.0
2015-09-02,136536.0
2015-09-03,179187.0
2015-09-04,128318.0
2015-09-08,149600.0
2015-09-09,144110.0
2015-09-10,173446.0
2015-09-11,158784.0
2015-09-14,120200.0
2015-09-15,154176.0
2015-09-16,142910.0
2015-09-17,135556.0
2015-09-18,138911.0
2015-09-21,132042.0
2015-09-22,155093.0
2015-09-23,121682.0
2015-09-24,147463.0
2015-09-25,142124.0
2015-09-28,129071.0
2015-09-29,141948.0
2015-09-30,136718.0
2015-10-01,146129.0
2015-10-02,137757.0
2015-10-05,139671.0
2015-10-06,139794.0
2015-10-07,138079.0
2015-10-08,127811.0
2015-10-09,124470.0
2015-10-12,128833.0
2015-10-13,154403.0
2015-10-14,150995.0
2015-10-15,138198.0
2015-10-16,129703.0
2015-10-19,138503.0
2015-10-20,146414.0
2015-10-21,142369.0
2015-10-22,131786.0
2015-10-23,129532.0
2015-10-26,169184.0
2015-10-27,146356.0
2015-10-28,134003.0
2015-10-29,159986.0
2015-10-30,159281.0
2015-11-02,146299.0
2015-11-03,122781.0
2015-11-04,146608.0
2015-11-05,161952.0
2015-11-06,101972.0
2015-11-09,135735.0
2015-11-10,124880.0
2015-11-11,146066.0
2015-11-12,130506.0
2015-11-13,131067.0
2015-11-16,145661.0
2015-11-17,135217.0
2015-11-18,133571.0
2015-11-19,128874.0
2015-11-20,155789.0
2015-11-23,126751.0
2015-11-24,151736.0
2015-11-25,124400.0
2015-11-27,136302.0
2015-11-30,129776.0
2015-12-01,110350.0
2015-12-02,138613.0
2015-12-03,135414.0
2015-12-04,144929.0
2015-12-07,109277.0
2015-12-08,147402.0
2015-12-09,101134.0
2015-12-10,133623.0
2015-12-11,113506.0
2015-12-14,133883.0
2015-12-15,118371.0
2015-12-16,120866.0
2015-12-17,128368.0
2015-12-18,118744.0
2015-12-21,129187.0
2015-12-22,144108.0
2015-12-23,132962.0
2015-12-24,149552.0
2015-12-28,115848.0
2015-12-29,150531.0
2015-12-30,134474.0
2015-12-31,126863.0
2016-01-04,140100.0
2016-01-05,93777.0
2016-01-06,146656.0
2016-01-07,144965.0
2016-01-08,113911.0
2016-01-11,120904.0
2016-01-12,122281.0
2016-01-13,132618.0
2016-01-14,138987.0
2016-01-15,155873.0
2016-01-19,117080.0
2016-01-20,131903.0
2016-01-21,131760.0
2016-01-22,134421.0
2016-01-25,120119.0
2016-01-26,128908.0
2016-01-27,114225.0
2016-01-28,124810.0
2016-01-29,127928.0
2016-02-01,137883.0
2016-02-02,142833.0
2016-02-03,140324.0
2016-02-04,127113.0
2016-02-05,128509.0
2016-02-08,112499.0
2016-02-09,119249.0
2016-02-10,133798.0
2016-02-11,139344.0
2016-02-12,143057.0
2016-02-16,114901.0
2016-02-17,122390.0
2016-02-18,137344.0
2016-02-19,119333.0
2016-02-22,124135.0
2016-02-23,107315.0
2016-02-24,121949.0
2016-02-25,127759.0
2016-02-26,124972.0
2016-02-29,139858.0
2016-03-01,114505.0
2016-03-02,101779.0
2016-03-03,144016.0
2016-03-04,144952.0
2016-03-07,143494.0
2016-03-08,138260.0
2016-03-09,117373.0
2016-03-10,127571.0
2016-03-11,115531.0
2016-03-14,120566.0
2016-03-15,130365.0
2016-03-16,142591.0
2016-03-17,142363.0
2016-03-18,122420.0
2016-03-21,112890.0
2016-03-22,121620.0
2016-03-23,116151.0
2016-03-24,99928.0
2016-03-28,145797.0
2016-03-29,114261.0
2016-03-30,126565.0
2016-03-31,121775.0
2016-04-01,125696.0
2016-04-04,134242.0
2016-04-05,141886.0
2016-04-06,132926.0
2016-04-07,135929.0
2016-04-08,125373.0
2016-04-11,147756.0
2016-04-12,140497.0
2016-04-13,134168.0
2016-04-14,118504.0
2016-04-15,142544.0
2016-04-18,139565.0
2016-04-19,147980.0
2016-04-20,132662.0
2016-04-21,112931.0
2016-04-22,158830.0
2016-04-25,141113.0
2016-04-26,136747.0
2016-04-27,157072.0
2016-04-28,103649.0
2016-04-29,134436.0
2016-05-02,139239.0
2016-05-03,120888.0
2016-05-04,134145.0
2016-05-05,127598.0
2016-05-06,101141.0
2016-05-09,118003.0
2016-05-10,136131.0
2016-05-11,126480.0
2016-05-12,140721.0
2016-05-13,129974.0
2016-05-16,165382.0
2016-05-17,136536.0
2016-05-18,146179.0
2016-05-19,174808.0
2016-05-20,147787.0
2016-05-23,148476.0
2016-05-24,134306.0
2016-05-25,149680.0
2016-05-26,120334.0
2016-05-27,154065.0
2016-05-31,127093.0
2016-06-01,135965.0
