date,value
2015-03-31,6455.0
2015-04-01,7628.0
2015-04-02,5954.0
2015-04-06,8583.0
2015-04-07,9392.0
2015-04-08,6974.0
2015-04-09,8565.0
2015-04-10,7078.0
2015-04-13,7388.0
2015-04-14,8350.0
2015-04-15,7873.0
2015-04-16,6760.0
2015-04-17,9025.0
2015-04-20,7544.0
2015-04-21,7566.0
2015-04-22,7993.0
2015-04-23,7978.0
2015-04-24,7306.0
2015-04-27,7821.0
2015-04-28,6622.0
2015-04-29,9059.0
2015-04-30,8212.0
2015-05-01,8487.0
2015-05-04,9500.0
2015-05-05,7901.0
2015-05-06,8316.0
2015-05-07,7955.0
2015-05-08,7534.0
2015-05-11,8423.0
2015-05-12,8752.0
2015-05-13,7371.0
2015-05-14,9396.0
2015-05-15,8463.0
2015-05-18,8212.0
2015-05-19,7856.0
2015-05-20,8215.0
2015-05-21,7060.0
2015-05-22,7951.0
2015-05-26,8496.0
2015-05-27,7858.0
2015-05-28,7862.0
2015-05-29,8707.0
2015-06-01,8061.0
2015-06-02,7881.0
2015-06-03,7548.0
2015-06-04,8672.0
2015-06-05,6841.0
2015-06-08,8627.0
2015-06-09,9148.0
2015-06-10,8208.0
2015-06-11,8757.0
2015-06-12,7754.0
2015-06-15,7482.0
2015-06-16,7896.0
2015-06-17,8455.0
2015-06-18,7746.0
2015-06-19,7796.0
2015-06-22,7616.0
2015-06-23,7253.0
2015-06-24,8564.0
2015-06-25,8162.0
2015-06-26,7718.0
2015-06-29,6453.0
2015-06-30,7649.0
2015-07-01,7466.0
2015-07-02,7546.0
2015-07-06,7762.0
2015-07-07,8030.0
2015-07-08,9612.0
2015-07-09,8521.0
2015-07-10,7315.0
2015-07-13,7781.0
2015-07-14,7893.0
2015-07-15,7172.0
2015-07-16,8570.0
2015-07-17,9858.0
2015-07-20,5760.0
2015-07-21,8228.0
2015-07-22,9051.0
2015-07-23,8501.0
2015-07-24,8939.0
2015-07-27,8111.0
2015-07-28,7789.0
2015-07-29,8682.0
2015-07-30,7741.0
2015-07-31,9674.0
2015-08-03,7095.0
2015-08-04,8244.0
2015-08-05,8414.0
2015-08-06,8390.0
2015-08-07,8120.0
2015-08-10,9313.0
2015-08-11,8609.0
2015-08-12,7561.0
2015-08-13,7493.0
2015-08-14,9853.0
2015-08-17,6826.0
2015-08-18,8917.0
2015-08-19,8963.0
2015-08-20,8558.0
2015-08-21,9012.0
2015-08-24,10014.0
2015-08-25,8869.0
2015-08-26,8655.0
2015-08-27,7698.0
2015-08-28,7806.0
2015-08-31,8471.0
2015-09-01,9257.0
2015-09-02,7657.0
2015-09-03,8637.0
2015-09-04,7905.0
2015-09-08,9797.0
2015-09-09,7311.0
2015-09-10,7223.0
2015-09-11,7995.0
2015-09-14,7742.0
2015-09-15,7914.0
2015-09-16,8962.0
2015-09-17,8950.0
2015-09-18,10111.0
2015-09-21,6598.0
2015-09-22,7951.0
2015-09-23,9370.0
2015-09-24,10176.0
2015-09-25,7715.0
2015-09-28,10206.0
2015-09-29,7806.0
2015-09-30,7629.0
2015-10-01,7132.0
2015-10-02,9389.0
2015-10-05,7766.0
2015-10-06,10378.0
2015-10-07,8047.0
2015-10-08,8506.0
2015-10-09,8567.0
2015-10-12,9532.0
2015-10-13,9422.0
2015-10-14,7979.0
2015-10-15,10312.0
2015-10-16,8513.0
2015-10-19,8749.0
2015-10-20,8643.0
2015-10-21,8749.0
2015-10-22,7162.0
2015-10-23,9027.0
2015-10-26,8666.0
2015-10-27,8708.0
2015-10-28,8084.0
2015-10-29,9735.0
2015-10-30,8152.0
2015-11-02,9606.0
2015-11-03,8292.0
2015-11-04,7559.0
2015-11-05,9682.0
2015-11-06,9162.0
2015-11-09,8330.0
2015-11-10,8327.0
2015-11-11,9102.0
2015-11-12,9007.0
2015-11-13,9838.0
2015-11-16,8695.0
2015-11-17,7921.0
2015-11-18,7135.0
2015-11-19,9283.0
2015-11-20,8630.0
2015-11-23,8786.0
2015-11-24,7381.0
2015-11-25,7655.0
2015-11-27,8909.0
2015-11-30,9358.0
2015-12-01,9994.0
2015-12-02,8740.0
2015-12-03,10026.0
2015-12-04,9398.0
2015-12-07,8373.0
2015-12-08,6807.0
2015-12-09,9177.0
2015-12-10,7855.0
2015-12-11,8716.0
2015-12-14,8764.0
2015-12-15,11193.0
2015-12-16,7594.0
2015-12-17,10248.0
2015-12-18,8081.0
2015-12-21,8404.0
2015-12-22,8344.0
2015-12-23,8163.0
2015-12-24,8163.0
2015-12-28,9750.0
2015-12-29,9729.0
2015-12-30,10458.0
2015-12-31,8368.0
2016-01-04,6760.0
2016-01-05,9453.0
2016-01-06,9037.0
2016-01-07,8636.0
2016-01-08,9798.0
2016-01-11,9005.0
2016-01-12,9016.0
2016-01-13,10572.0
2016-01-14,8849.0
2016-01-15,10531.0
2016-01-19,9330.0
2016-01-20,8245.0
2016-01-21,7810.0
2016-01-22,9432.0
2016-01-25,9682.0
2016-01-26,7758.0
2016-01-27,8843.0
2016-01-28,8768.0
2016-01-29,9882.0
2016-02-01,9205.0
2016-02-02,9628.0
2016-02-03,7274.0
2016-02-04,8943.0
2016-02-05,10246.0
2016-02-08,9283.0
2016-02-09,9437.0
2016-02-10,8495.0
2016-02-11,7892.0
2016-02-12,8079.0
2016-02-16,7272.0
2016-02-17,7656.0
2016-02-18,9111.0
2016-02-19,7414.0
2016-02-22,8607.0
2016-02-23,9422.0
2016-02-24,9645.0
