date,value
2015-03-31,145182.0
2015-04-01,141283.0
2015-04-02,141187.0
2015-04-06,146291.0
2015-04-07,148592.0
2015-04-08,144073.0
2015-04-09,135799.0
2015-04-10,166193.0
2015-04-13,150356.0
2015-04-14,165961.0
2015-04-15,131790.0
2015-04-16,148802.0
2015-04-17,135969.0
2015-04-20,152018.0
2015-04-21,135830.0
2015-04-22,142643.0
2015-04-23,105332.0
2015-04-24,136297.0
2015-04-27,149286.0
2015-04-28,146905.0
2015-04-29,147586.0
2015-04-30,150235.0
2015-05-01,140755.0
2015-05-04,136263.0
2015-05-05,168533.0
2015-05-06,142705.0
2015-05-07,161224.0
2015-05-08,132512.0
2015-05-11,125997.0
2015-05-12,136434.0
2015-05-13,138847.0
2015-05-14,140632.0
2015-05-15,144014.0
2015-05-18,172080.0
2015-05-19,139761.0
2015-05-20,141898.0
2015-05-21,166698.0
2015-05-22,130764.0
2015-05-26,143335.0
2015-05-27,143122.0
2015-05-28,119850.0
2015-05-29,145543.0
2015-06-01,146201.0
2015-06-02,167154.0
2015-06-03,170822.0
2015-06-04,180635.0
2015-06-05,143343.0
2015-06-08,149245.0
2015-06-09,139025.0
2015-06-10,143759.0
2015-06-11,156279.0
2015-06-12,160636.0
2015-06-15,139657.0
2015-06-16,168018.0
2015-06-17,144303.0
2015-06-18,139842.0
2015-06-19,119875.0
2015-06-22,146383.0
2015-06-23,123939.0
2015-06-24,156569.0
2015-06-25,144871.0
2015-06-26,147336.0
2015-06-29,113310.0
2015-06-30,132013.0
2015-07-01,142910.0
2015-07-02,136347.0
2015-07-06,147186.0
2015-07-07,124670.0
2015-07-08,149027.0
2015-07-09,156285.0
2015-07-10,140683.0
2015-07-13,152404.0
2015-07-14,151583.0
2015-07-15,159206.0
2015-07-16,164440.0
2015-07-17,135311.0
2015-07-20,159057.0
2015-07-21,129205.0
2015-07-22,149562.0
2015-07-23,152592.0
2015-07-24,153042.0
2015-07-27,136467.0
2015-07-28,137884.0
2015-07-29,156862.0
2015-07-30,135923.0
2015-07-31,120147.0
2015-08-03,115895.0
2015-08-04,144991.0
2015-08-05,156492.0
2015-08-06,128645.0
2015-08-07,146997.0
2015-08-10,152282.0
2015-08-11,130331.0
2015-08-12,138992.0
2015-08-13,153113.0
2015-08-14,158613.0
2015-08-17,123171.0
2015-08-18,114591.0
2015-08-19,145642.0
2015-08-20,153294.0
2015-08-21,145488.0
2015-08-24,133823.0
2015-08-25,158205.0
2015-08-26,153438.0
2015-08-27,123134.0
2015-08-28,131926.0
2015-08-31,158968.0
2015-09-01,134031.0
2015-09-02,121041.0
2015-09-03,120805.0
2015-09-04,128253.0
2015-09-08,149595.0
2015-09-09,147398.0
2015-09-10,161665.0
2015-09-11,143373.0
2015-09-14,112346.0
2015-09-15,134553.0
2015-09-16,137347.0
2015-09-17,142200.0
2015-09-18,122483.0
2015-09-21,116029.0
2015-09-22,128864.0
2015-09-23,123187.0
2015-09-24,106334.0
2015-09-25,128657.0
2015-09-28,130444.0
2015-09-29,133159.0
2015-09-30,104855.0
2015-10-01,144743.0
2015-10-02,126484.0
2015-10-05,128031.0
2015-10-06,111544.0
2015-10-07,115481.0
2015-10-08,122623.0
2015-10-09,143488.0
2015-10-12,130539.0
2015-10-13,125868.0
2015-10-14,146364.0
2015-10-15,106530.0
2015-10-16,138383.0
2015-10-19,123075.0
2015-10-20,113479.0
2015-10-21,124221.0
2015-10-22,138110.0
2015-10-23,143632.0
2015-10-26,138719.0
2015-10-27,147104.0
2015-10-28,163195.0
2015-10-29,137097.0
2015-10-30,127463.0
2015-11-02,138801.0
2015-11-03,123789.0
2015-11-04,147546.0
2015-11-05,143902.0
2015-11-06,156486.0
2015-11-09,146348.0
2015-11-10,114121.0
2015-11-11,123907.0
2015-11-12,132729.0
2015-11-13,149583.0
2015-11-16,127037.0
2015-11-17,133736.0
2015-11-18,128869.0
2015-11-19,114307.0
2015-11-20,135886.0
2015-11-23,125460.0
2015-11-24,109780.0
2015-11-25,133890.0
2015-11-27,109031.0
2015-11-30,143141.0
2015-12-01,124831.0
2015-12-02,111949.0
2015-12-03,123760.0
2015-12-04,121918.0
2015-12-07,115220.0
2015-12-08,134504.0
2015-12-09,131012.0
2015-12-10,121516.0
2015-12-11,130567.0
2015-12-14,151309.0
2015-12-15,124536.0
2015-12-16,134573.0
2015-12-17,127027.0
2015-12-18,119538.0
2015-12-21,128391.0
2015-12-22,139249.0
2015-12-23,112813.0
2015-12-24,130629.0
2015-12-28,120704.0
2015-12-29,121373.0
2015-12-30,119957.0
2015-12-31,115190.0
2016-01-04,129695.0
2016-01-05,120589.0
2016-01-06,123824.0
2016-01-07,142717.0
2016-01-08,138560.0
2016-01-11,127859.0
2016-01-12,116997.0
2016-01-13,121718.0
2016-01-14,142994.0
2016-01-15,125066.0
2016-01-19,135743.0
2016-01-20,134692.0
2016-01-21,120556.0
2016-01-22,106942.0
2016-01-25,115661.0
2016-01-26,135452.0
2016-01-27,117626.0
2016-01-28,107716.0
2016-01-29,135197.0
2016-02-01,118988.0
2016-02-02,114058.0
2016-02-03,125749.0
2016-02-04,131988.0
2016-02-05,140446.0
2016-02-08,122892.0
2016-02-09,131956.0
2016-02-10,127203.0
2016-02-11,118516.0
2016-02-12,131094.0
2016-02-16,153565.0
2016-02-17,119379.0
2016-02-18,157198.0
2016-02-19,124180.0
2016-02-22,141503.0
2016-02-23,138700.0
2016-02-24,130705.0
2016-02-25,124958.0
2016-02-26,119793.0
2016-02-29,131269.0
2016-03-01,117274.0
2016-03-02,113826.0
2016-03-03,124186.0
2016-03-04,137885.0
2016-03-07,123774.0
2016-03-08,121366.0
2016-03-09,147361.0
2016-03-10,148667.0
2016-03-11,128817.0
2016-03-14,122169.0
2016-03-15,132763.0
2016-03-16,146063.0
2016-03-17,137132.0
2016-03-18,128389.0
2016-03-21,130444.0
2016-03-22,114676.0
2016-03-23,129914.0
2016-03-24,137393.0
2016-03-28,136356.0
2016-03-29,122559.0
2016-03-30,126689.0
2016-03-31,140780.0
2016-04-01,138522.0
2016-04-04,142621.0
2016-04-05,124579.0
2016-04-06,124266.0
2016-04-07,125163.0
2016-04-08,118807.0
2016-04-11,134405.0
2016-04-12,115735.0
2016-04-13,128669.0
2016-04-14,135493.0
2016-04-15,124564.0
2016-04-18,108218.0
2016-04-19,128377.0
2016-04-20,148165.0
2016-04-21,129711.0
2016-04-22,148003.0
2016-04-25,149342.0
2016-04-26,104609.0
2016-04-27,121070.0
2016-04-28,130233.0
2016-04-29,147776.0
2016-05-02,132790.0
2016-05-03,133972.0
2016-05-04,118856.0
2016-05-05,141721.0
2016-05-06,123653.0
2016-05-09,111541.0
2016-05-10,151849.0
2016-05-11,120906.0
2016-05-12,141648.0
2016-05-13,141499.0
2016-05-16,131094.0
2016-05-17,135346.0
2016-05-18,133113.0
2016-05-19,172141.0
2016-05-20,141146.0
2016-05-23,145424.0
2016-05-24,126454.0
2016-05-25,141309.0
2016-05-26,150080.0
2016-05-27,132803.0
2016-05-31,132906.0
2016-06-01,137256.0
2016-06-02,126732.0
2016-06-03,120586.0
2016-06-06,126124.0
2016-06-07,126642.0
2016-06-08,153536.0
2016-06-09,133359.0
2016-06-10,100924.0
2016-06-13,134222.0
2016-06-14,160834.0
2016-06-15,147210.0
2016-06-16,120185.0
2016-06-17,146956.0
2016-06-20,137208.0
2016-06-21,132723.0
2016-06-22,143160.0
2016-06-23,116874.0
2016-06-24,147898.0
2016-06-27,156035.0
2016-06-28,155118.0
2016-06-29,147560.0
2016-06-30,155969.0
2016-07-01,149045.0
2016-07-05,146374.0
2016-07-06,138304.0
2016-07-07,124756.0
2016-07-08,122371.0
2016-07-11,150892.0
2016-07-12,144009.0
2016-07-13,115845.0
2016-07-14,140027.0
2016-07-15,130965.0
2016-07-18,140280.0
2016-07-19,120853.0
2016-07-20,113435.0
2016-07-21,120563.0
2016-07-22,145474.0
2016-07-25,122387.0
2016-07-26,127606.0
2016-07-27,103041.0
2016-07-28,150586.0
2016-07-29,125727.0
2016-08-01,133707.0
2016-08-02,129481.0
2016-08-03,145097.0
2016-08-04,139727.0
2016-08-05,127389.0
2016-08-08,154184.0
2016-08-09,143286.0
2016-08-10,116995.0
2016-08-11,148444.0
2016-08-12,119109.0
2016-08-15,136191.0
2016-08-16,119547.0
2016-08-17,117142.0
2016-08-18,113618.0
2016-08-19,113434.0
2016-08-22,128311.0
2016-08-23,135406.0
2016-08-24,136280.0
2016-08-25,139863.0
2016-08-26,144803.0
2016-08-29,143455.0
2016-08-30,136826.0
2016-08-31,141690.0
2016-09-01,123531.0
2016-09-02,123625.0
2016-09-06,106971.0
2016-09-07,140634.0
2016-09-08,122324.0
2016-09-09,122121.0
2016-09-12,124639.0
2016-09-13,133290.0
2016-09-14,128337.0
2016-09-15,117631.0
2016-09-16,145698.0
2016-09-19,117050.0
2016-09-20,132950.0
2016-09-21,129572.0
2016-09-22,113783.0
2016-09-23,155312.0
2016-09-26,133243.0
2016-09-27,130804.0
2016-09-28,118559.0
2016-09-29,125748.0
2016-09-30,158071.0
2016-10-03,125581.0
2016-10-04,127103.0
2016-10-05,112762.0
2016-10-06,116474.0
2016-10-07,125953.0
2016-10-10,137233.0
2016-10-11,116886.0
2016-10-12,114584.0
2016-10-13,143994.0
2016-10-14,123393.0
2016-10-17,136406.0
2016-10-18,142136.0
2016-10-19,134163.0
2016-10-20,125547.0
2016-10-21,114717.0
2016-10-24,115428.0
2016-10-25,150622.0
2016-10-26,136930.0
2016-10-27,126955.0
2016-10-28,146366.0
2016-10-31,137046.0
2016-11-01,146825.0
2016-11-02,118891.0
2016-11-03,139676.0
2016-11-04,116838.0
2016-11-07,134213.0
2016-11-08,119462.0
2016-11-09,122560.0
2016-11-10,120782.0
2016-11-11,120123.0
2016-11-14,145045.0
2016-11-15,143422.0
2016-11-16,121432.0
2016-11-17,143571.0
2016-11-18,140505.0
2016-11-21,116131.0
2016-11-22,135752.0
2016-11-23,125975.0
2016-11-25,128862.0
2016-11-28,115463.0
2016-11-29,115458.0
2016-11-30,127696.0
2016-12-01,133257.0
2016-12-02,129811.0
2016-12-05,135214.0
2016-12-06,125650.0
2016-12-07,125485.0
2016-12-08,122452.0
2016-12-09,117752.0
2016-12-12,136331.0
2016-12-13,112800.0
2016-12-14,116309.0
2016-12-15,131343.0
2016-12-16,111105.0
2016-12-19,123077.0
2016-12-20,116606.0
2016-12-21,138624.0
2016-12-22,131727.0
2016-12-23,132920.0
2016-12-27,119463.0
2016-12-28,119772.0
2016-12-29,118315.0
2016-12-30,134881.0
2017-01-03,137182.0
2017-01-04,138936.0
2017-01-05,109802.0
2017-01-06,143545.0
2017-01-09,118682.0
2017-01-10,115355.0
2017-01-11,130381.0
2017-01-12,154812.0
2017-01-13,126141.0
2017-01-17,130316.0
2017-01-18,138534.0
2017-01-19,105885.0
2017-01-20,108910.0
2017-01-23,126264.0
2017-01-24,118681.0
2017-01-25,147818.0
2017-01-26,117508.0
2017-01-27,111441.0
2017-01-30,151808.0
2017-01-31,133905.0
2017-02-01,132456.0
2017-02-02,126698.0
2017-02-03,132361.0
2017-02-06,155685.0
2017-02-07,168621.0
2017-02-08,161203.0
2017-02-09,161583.0
2017-02-10,111765.0
2017-02-13,153049.0
2017-02-14,144461.0
2017-02-15,134526.0
2017-02-16,143773.0
2017-02-17,130476.0
2017-02-21,128216.0
2017-02-22,135737.0
2017-02-23,135453.0
2017-02-24,143441.0
2017-02-27,122920.0
2017-02-28,167857.0
2017-03-01,128272.0
2017-03-02,145047.0
2017-03-03,136303.0
2017-03-06,143628.0
2017-03-07,146850.0
2017-03-08,141074.0
2017-03-09,162029.0
2017-03-10,140394.0
2017-03-13,107407.0
2017-03-14,135804.0
2017-03-15,136375.0
2017-03-16,149875.0
2017-03-17,170280.0
2017-03-20,136680.0
2017-03-21,146842.0
2017-03-22,121131.0
2017-03-23,138880.0
2017-03-24,172197.0
2017-03-27,146113.0
2017-03-28,150273.0
2017-03-29,118634.0
2017-03-30,153893.0
2017-03-31,127645.0
2017-04-03,154516.0
2017-04-04,151618.0
2017-04-05,160999.0
2017-04-06,157575.0
2017-04-07,152686.0
2017-04-10,153995.0
2017-04-11,176759.0
2017-04-12,144619.0
2017-04-13,158532.0
2017-04-17,173462.0
2017-04-18,169279.0
2017-04-19,161938.0
2017-04-20,167499.0
2017-04-21,165670.0
2017-04-24,166702.0
2017-04-25,131446.0
2017-04-26,156081.0
2017-04-27,135877.0
2017-04-28,143921.0
2017-05-01,149829.0
2017-05-02,176771.0
2017-05-03,153648.0
2017-05-04,154070.0
2017-05-05,162110.0
2017-05-08,142411.0
2017-05-09,178370.0
2017-05-10,158255.0
2017-05-11,155489.0
2017-05-12,127961.0
2017-05-15,151080.0
2017-05-16,151308.0
2017-05-17,161031.0
2017-05-18,145747.0
2017-05-19,147135.0
2017-05-22,151264.0
2017-05-23,168198.0
2017-05-24,188770.0
2017-05-25,153993.0
2017-05-26,144288.0
2017-05-30,148371.0
2017-05-31,173032.0
2017-06-01,139146.0
2017-06-02,194412.0
2017-06-05,177296.0
2017-06-06,162932.0
2017-06-07,152327.0
2017-06-08,150933.0
2017-06-09,166223.0
2017-06-12,181598.0
2017-06-13,141522.0
2017-06-14,138561.0
2017-06-15,134391.0
2017-06-16,162697.0
2017-06-19,155091.0
2017-06-20,169813.0
2017-06-21,145477.0
2017-06-22,146742.0
2017-06-23,137726.0
2017-06-26,163771.0
2017-06-27,170956.0
2017-06-28,148704.0
2017-06-29,141755.0
2017-06-30,172764.0
2017-07-03,188180.0
2017-07-05,164373.0
2017-07-06,166252.0
2017-07-07,169732.0
2017-07-10,160816.0
2017-07-11,167767.0
2017-07-12,144992.0
2017-07-13,160746.0
2017-07-14,169412.0
2017-07-17,175904.0
2017-07-18,150475.0
2017-07-19,183194.0
2017-07-20,173310.0
2017-07-21,143770.0
2017-07-24,141553.0
2017-07-25,153254.0
2017-07-26,178917.0
2017-07-27,180959.0
2017-07-28,157480.0
2017-07-31,150263.0
2017-08-01,177788.0
2017-08-02,157163.0
2017-08-03,162288.0
2017-08-04,178289.0
2017-08-07,144973.0
2017-08-08,164499.0
2017-08-09,160711.0
2017-08-10,117645.0
2017-08-11,146222.0
2017-08-14,157803.0
2017-08-15,137989.0
2017-08-16,165558.0
2017-08-17,146731.0
2017-08-18,154493.0
2017-08-21,153980.0
2017-08-22,165531.0
2017-08-23,173838.0
2017-08-24,166795.0
2017-08-25,148736.0
2017-08-28,151348.0
2017-08-29,165958.0
2017-08-30,183172.0
2017-08-31,158746.0
2017-09-01,167919.0
2017-09-05,147271.0
2017-09-06,159203.0
2017-09-07,152048.0
2017-09-08,164286.0
2017-09-11,148995.0
2017-09-12,159951.0
2017-09-13,159030.0
2017-09-14,151089.0
2017-09-15,162852.0
2017-09-18,168998.0
2017-09-19,147898.0
2017-09-20,156508.0
2017-09-21,154393.0
2017-09-22,168537.0
2017-09-25,159659.0
2017-09-26,132773.0
2017-09-27,158434.0
2017-09-28,139983.0
2017-09-29,153886.0
2017-10-02,178101.0
2017-10-03,161471.0
2017-10-04,145784.0
2017-10-05,156734.0
2017-10-06,143114.0
2017-10-09,154251.0
2017-10-10,165915.0
2017-10-11,186392.0
2017-10-12,170804.0
2017-10-13,154248.0
2017-10-16,177437.0
